코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11170650,199088,364,412,1731,1806,1304,1311,1103,652,372,2237,740,446,300,5622.582,10066.49,26,63,11,604,0,0,3,6,1,1
11170660,127369,602,608,1639,2148,1736,1458,1236,881,422,2674,1038,653,432,2582.882,12728.55,13,26,2,303,0,0,1,3,0,0
11170685,135270,1475,1411,3134,4821,4004,3694,2873,1664,702,6164,2365,1443,985,14937.64,34487.61,26,88,7,742,6,4,9,13,1,2
11170690,62635,914,1630,1870,1684,2715,2364,1438,833,601,1739,1131,955,1069,5839.18,17215.06,9,18,1,73,2,0,1,0,0,1
11170700,111432,593,851,2747,2698,2450,2703,2029,1268,564,4167,1686,997,662,787.7408,11074.45,10,35,6,197,0,2,5,5,0,0
11200520,113212,1260,1264,2654,3064,2752,2867,2098,1187,439,2933,1751,1415,1178,1304.75,16585.98,10,18,7,127,0,3,3,7,4,1
11200535,125761,2463,1673,4596,4954,4130,4563,2989,1631,685,4519,2553,2370,1940,8349.731,27393.55,28,45,33,456,2,5,7,16,1,0
11200540,127874,1271,1752,4751,3375,3217,3890,2959,1739,698,4941,2329,1729,1449,11178.68,24606.68,19,37,3,214,7,2,11,8,1,1
11200550,140472,445,947,5805,1787,1169,1319,946,759,286,5510,992,567,471,7313.527,24017.54,34,20,1,451,0,14,14,19,0,2
11200560,141291,1032,1058,2501,2431,2252,2411,1692,983,390,2767,1410,1229,950,6266.634,21057.91,17,30,1,326,0,1,7,10,3,1
11200570,129507,1896,2217,3063,3803,4237,3958,2708,1741,698,2409,2420,2205,1930,897.5125,19381.8,8,10,0,79,0,0,0,2,3,1
11200580,139653,1212,1733,1787,2306,3006,2451,1690,1196,494,1624,1421,1442,1292,471.4132,12888.49,4,16,0,43,0,1,0,1,0,1
11200590,125042,1352,1111,1866,2866,2636,2404,2044,1102,481,2173,1667,1464,1072,1007.935,15327.7,9,13,1,71,0,2,3,2,2,1
11200615,126159,1784,1559,3060,4307,3855,3774,2974,1767,715,3673,2589,2102,1568,1217.308,22153.16,15,35,10,224,0,1,5,6,2,0
11200620,121639,1412,990,1590,2831,2660,2179,1794,1068,433,2208,1619,1435,951,838.8656,12514.48,7,19,2,119,1,4,3,8,1,1
11200645,164465,2707,1714,3086,5318,4535,4009,3123,1743,735,3269,2839,2607,1811,3329.858,28494.89,13,15,0,154,1,1,2,5,4,1
11200650,120978,1080,1192,2641,3051,2513,3109,2089,929,380,3148,1672,1297,1186,6640.616,19000.44,23,34,3,196,2,3,4,10,2,0
11200660,124653,824,979,2302,2637,2201,2197,1717,892,353,3032,1414,1095,844,15668.36,21099.19,30,36,4,488,6,1,9,15,1,2
11200670,93779,929,964,2493,2784,2552,3404,2635,1252,470,4174,1823,1285,954,44919.11,20124.18,22,35,11,399,1,8,10,19,1,0
11200690,108298,616,560,2127,2082,1568,1929,1500,843,340,3009,1093,770,660,48668.09,29536.08,56,51,7,571,7,7,16,26,1,1
11200720,82140,587,645,1826,1768,1696,2130,1608,757,297,2829,1173,799,587,2448.223,10843.91,8,21,7,77,1,1,2,4,0,0
11200790,125259,523,791,2356,1847,1944,2503,1680,1036,415,4202,1207,741,579,27241.96,17964.49,15,47,7,231,7,4,3,15,2,3
11215710,157380,455,922,11394,4660,2311,2266,1727,1044,396,13187,1977,747,565,6410.88,36047.97,60,47,32,995,5,14,30,98,3,1
11215730,110375,1022,1253,5580,4026,2727,3069,2382,1368,508,6307,2051,1351,977,6822.36,18914.84,30,37,14,393,2,5,11,21,4,0
11215740,86663,845,793,2797,3076,2304,2707,2084,1152,377,4105,1848,1162,808,4208.976,16845.64,15,36,7,264,7,7,7,23,1,0
11215750,90423,1287,1454,4012,4088,3118,3717,2764,1483,488,4705,2472,1711,1320,3930.107,18883.67,27,35,8,267,1,4,7,23,4,0
11215760,94090,807,1044,2731,2819,2457,3068,2371,1301,453,4148,1942,1284,886,2489.581,16595.51,17,21,6,245,4,8,4,18,2,1
11215770,108720,1656,2087,4602,4678,4399,5477,4272,2282,737,4991,3177,2578,1936,2522.681,26808.29,20,37,3,243,2,6,11,21,5,0
11215780,134995,627,566,2516,2802,1666,1518,1261,744,293,3691,1324,745,517,3278.483,16089.15,21,19,1,153,5,3,7,20,0,3
11215810,140039,3458,5617,4161,4098,7839,5364,2962,1481,803,2249,1972,3031,3923,6875.695,39859.6,20,34,4,252,2,1,5,9,10,1
11215820,121920,1137,1560,4475,4029,3627,3991,2868,1535,562,5895,2441,1640,1298,9047.837,25942.37,22,27,4,350,4,6,12,18,5,0
11215830,85428,1780,1987,3983,4213,4249,4456,3574,1672,588,4089,2620,2161,1878,5406.941,21759.24,20,37,1,226,2,6,7,18,3,1
11215840,124891,2442,2669,4073,4485,4711,4745,3532,1602,820,2965,2509,2442,2561,3156.051,24801.42,28,30,5,307,1,3,6,9,5,1
11215847,148193,938,1008,3682,3289,3166,4552,3401,1662,604,5088,2047,1317,893,2923.687,27735.91,30,38,11,454,0,7,12,46,4,0
11215850,108732,977,1266,4938,4475,3344,3473,2462,1438,557,6709,2419,1533,1096,4627.053,24043.6,28,33,5,460,1,8,15,59,1,0
11215860,118544,1936,2476,3818,4092,4558,4584,3424,1911,703,4232,2619,2277,1936,3356.907,24815.4,18,35,7,269,4,4,3,14,4,0
11215870,134399,1973,2603,4847,4801,4706,4937,3435,1673,709,4173,2608,2456,2342,9576.546,33310.51,32,72,7,433,2,10,10,19,12,1
11230536,103155,1397,1508,6457,5529,4448,5017,4124,2591,1120,10992,3174,1927,1387,28668.4,42626.34,51,98,34,705,7,6,17,26,3,2
11230545,137237,1115,1536,5792,3594,3276,4004,3919,2601,1124,7121,2656,1680,1262,6055.097,31088.18,30,142,31,494,1,3,5,8,4,1
11230560,98157,1971,2039,4850,4559,4516,5072,4193,2551,1082,7485,3037,2378,1738,2877.728,33563.97,29,41,22,436,5,12,14,17,8,0
11230570,122622,1314,1810,2599,2463,3148,3324,2670,1622,713,2278,1844,1701,1447,2894.443,16837.49,16,29,0,151,1,4,5,8,4,0
11230600,129713,2808,2029,4145,5546,4735,4409,3209,1869,760,5020,2706,2425,2036,4930.61,24839.25,33,41,17,266,1,5,11,18,5,0
11230610,98418,1903,2123,4092,4595,4536,5115,4146,2498,957,4658,3211,2465,2068,3851.855,25486.46,16,34,1,196,5,4,6,16,5,0
11230650,97830,2667,2686,5356,6571,6532,6223,5369,2837,907,7722,3943,3113,2442,12915.82,36328.21,54,55,14,644,10,13,24,38,1,0
11230660,114050,3018,2903,3998,5370,5870,5067,4205,2255,735,4778,3092,2890,2444,6689.339,28034.33,38,69,20,562,1,6,22,37,16,0
11230705,88812,910,1224,2635,2566,2816,3892,3862,2494,1010,5089,2358,1522,1139,5756.013,20096.08,17,73,18,334,6,5,10,20,1,1
11230710,135466,482,815,5076,1609,1376,1239,973,703,336,4089,907,576,473,3759.537,21077.99,23,34,6,496,0,9,10,20,6,0
11230720,156739,812,895,4493,2324,1793,2067,1550,1002,413,3867,1276,944,780,2104.718,17218.37,18,23,16,192,1,3,2,12,2,1
11230730,108469,1348,2179,5661,3162,3634,3604,2947,1811,666,5716,2137,1806,1613,3498.884,21292.59,17,22,0,149,8,3,5,3,2,0
11230740,141471,771,1476,6770,2514,2639,2703,2222,1526,674,6452,1713,1090,958,5685.433,23460.95,31,35,3,390,1,13,4,8,7,1
11230750,86038,1370,1924,3092,2678,3345,3494,2726,1810,682,2999,1930,1667,1548,985.8893,16394.42,13,21,5,101,1,1,3,6,2,1
11260520,89245,1389,1701,3520,3551,3914,5077,3614,2048,731,5696,2796,1893,1508,2624.875,23308.06,22,37,10,290,5,2,8,26,4,0
11260540,71150,1150,1268,2575,2870,3074,3396,2873,1802,497,3919,2142,1598,1117,2398.398,17776.54,14,33,2,142,0,0,5,10,0,1
11260550,71432,527,653,1272,1452,1463,1821,1403,794,258,1918,1088,791,569,1143.29,9962.279,7,19,5,95,7,3,6,6,3,0
11260565,95040,1811,2140,5516,5699,5354,6619,4888,2811,948,8595,4046,2668,1920,2918.551,31250.09,30,65,7,437,0,5,8,37,2,1
11260570,116040,1279,1331,3165,3579,3281,4062,3474,1901,654,4454,2569,1798,1379,1077.806,20811.94,18,32,3,234,1,4,7,23,4,0
11260575,95767,1273,1626,3977,3871,3740,4805,3973,2298,816,5830,2994,2098,1478,3643.236,21268.51,20,42,10,443,1,14,19,51,4,1
11260580,96036,1953,2052,3702,3771,3680,4548,3241,1620,643,3244,2436,2219,1993,2906.259,19857.16,14,44,0,161,2,6,5,8,1,0
11260590,109255,836,878,3990,4156,2660,3209,2439,1342,446,6777,2258,1315,829,7809.272,23926.62,36,35,45,522,2,16,19,70,2,2
11260600,79493,1349,1405,3015,3362,2907,3500,3019,1508,558,3343,2255,1768,1344,1946.489,17381.84,18,26,0,107,0,0,0,6,3,1
11260610,103687,1154,1290,3963,3888,3753,5263,4119,2279,850,7372,3143,1896,1205,4471.419,28128.56,20,48,10,403,7,6,13,44,2,1
11260620,119657,2560,3227,4996,5194,6011,5649,4586,2552,968,5009,3364,3051,2616,3150.981,26381.55,22,45,4,279,0,4,6,17,7,1
11260630,84731,1177,1277,2856,3206,2984,3243,2935,1524,512,3998,2169,1627,1103,1910.103,18803.32,17,38,3,240,3,2,13,28,3,0
11260655,84079,1554,1956,4303,4191,4250,5913,4959,2595,971,6986,3260,2342,1764,5382.066,32758.23,31,52,27,518,6,8,13,48,2,2
11260660,68510,909,1265,2483,2333,2547,3424,2707,1465,541,3771,2032,1417,965,1736.801,13329.07,12,22,0,132,2,2,4,4,0,0
11260680,99522,3611,3859,5098,5445,6154,6740,5429,2838,1206,3597,3508,3142,3334,7100.374,34979.39,20,35,3,287,3,8,9,16,8,0
11260690,128149,1456,1805,2685,3040,3323,3646,3193,1629,735,2887,2317,1965,1518,4535.157,19218.66,10,17,0,143,0,1,3,1,1,1
11290525,139800,859,1299,2855,2665,2726,2830,2058,1417,670,3887,1779,1222,930,2857.766,21318.5,17,27,0,193,0,2,1,2,2,0
11290555,116038,1238,2054,4627,3518,3861,3770,2683,1874,803,5852,2324,1639,1517,6704.199,25941.99,32,64,9,559,2,5,13,20,9,2
11290575,171469,594,1061,4959,2632,2104,1916,1486,1098,450,6046,1489,934,662,6221.796,24714.49,37,53,25,667,0,7,15,28,9,0
11290580,82975,876,1419,2158,2049,2300,2792,2154,1276,548,1782,1603,1342,1162,1005.476,14677.49,7,10,1,37,1,1,1,1,2,0
11290590,115874,2160,2880,3021,3144,4650,4053,2654,1475,668,1694,1862,2209,2233,821.1067,15570.16,5,6,1,11,0,0,1,0,0,0
11290600,134392,512,1026,6180,2325,1827,2171,1510,1034,448,6217,1449,881,682,9863.283,26383.95,47,30,1,494,2,16,12,25,1,1
11290610,90104,1041,1039,2920,2813,2546,2651,1891,1087,446,3825,1613,1283,964,3648.516,17106.18,17,27,5,202,7,3,2,4,1,1
11290620,99725,1511,1863,2537,2795,3369,2900,2186,1414,595,2249,1655,1707,1456,1065.841,15898.53,15,21,2,137,3,1,3,4,6,1
11290630,91397,1565,1950,3329,3198,3701,3789,3297,1993,797,3087,2388,2023,1699,1542.255,21263.26,16,26,3,146,5,5,6,8,0,0
11290640,80501,712,1155,4140,2081,2077,2400,2171,1501,673,4216,1614,1043,817,3340.153,16588.18,15,27,1,171,0,3,7,3,3,0
11290650,107430,1824,2269,3485,3502,4324,4225,3528,2172,830,3778,2614,2185,1831,2392.454,19440.35,18,34,4,185,2,6,9,7,4,1
11290660,164501,4173,4886,3507,5008,8051,4895,3234,2089,796,2554,2480,3187,3704,2160.383,35590.33,7,25,2,178,0,4,6,4,4,1
11290685,140956,1515,1428,2217,2612,3018,2757,2082,1148,439,2405,1519,1481,1338,1544.246,18269.53,8,18,2,127,3,1,2,3,3,0
11290705,96620,2852,3870,6949,5537,6683,6417,4653,2938,1420,6612,3648,3179,2954,3805.612,38922.13,27,41,11,340,8,9,9,23,4,1
11290715,97281,2197,2664,3107,3692,4737,4331,3508,2145,804,3289,2512,2273,2126,3135.592,22525.01,13,48,8,233,2,4,5,8,5,0
11290725,105170,1212,1552,3828,2978,2977,3094,2631,1618,684,4421,1941,1469,1286,5509.612,26930.96,24,34,5,331,5,6,8,19,3,2
11290760,61785,1008,1648,3064,2509,3004,3909,2971,1665,681,3522,2186,1638,1319,923.448,17090.94,12,29,3,155,6,3,2,9,0,0
11290770,79768,622,976,1979,1764,2071,2563,2193,1444,549,2724,1638,1153,793,2018.179,14842.06,8,35,3,187,2,2,3,6,1,1
11290780,95326,1810,1503,2411,2975,2842,2853,2137,1160,387,2453,1607,1585,1409,1594.758,9428.585,8,24,3,95,6,2,0,1,1,0
11290810,94920,2114,2384,5708,5240,5373,6167,5212,3226,1166,6783,3963,3008,2172,4922.451,29178.1,23,53,11,391,2,4,11,19,4,0
11305534,84721,1393,2059,3236,3137,3875,4494,3749,2255,814,4625,2761,2017,1531,1417.946,24274.68,13,41,6,155,6,10,6,10,2,3
11305535,109104,886,1411,3966,3068,3215,3935,3315,2079,800,5981,2476,1655,1128,2997.623,23924.02,32,37,29,387,2,6,10,26,3,1
11305545,119842,1643,2160,4483,4359,4836,5351,4520,2801,969,5912,3228,2433,1889,3278.347,35377.08,28,59,30,528,3,6,10,44,5,1
11305555,90665,1203,1739,3849,3468,4132,5257,4560,2869,1061,6385,3280,2110,1584,3345.79,28576.72,23,51,20,433,5,1,12,21,4,0
11305575,127057,3140,4080,3459,4003,6749,4960,3269,1995,770,2623,2535,2775,3061,1316.555,24361.79,9,19,1,142,0,3,4,6,3,0
11305590,95557,770,1160,3509,2989,3030,3217,2567,1757,598,5640,2219,1413,899,4668.442,20065.68,30,39,40,378,6,8,5,35,1,0
11305600,70717,762,1151,2182,1949,2560,2888,2663,1972,667,2881,2103,1435,919,2023.495,12904.3,7,16,1,67,1,1,3,4,1,0
11305606,97154,1030,1398,2052,1846,2765,2848,2671,2510,708,2392,2194,1504,1161,1503.667,16636.25,11,21,0,95,3,5,3,3,5,0
11305610,99017,1101,1388,3161,2899,3097,3752,3267,2008,803,4810,2373,1653,1167,2893.086,18535.41,23,36,33,262,3,4,8,14,1,1
11305620,80314,1130,1482,3118,2580,3205,3844,3224,2164,924,3591,2537,1787,1302,2012.38,21520.23,17,25,3,231,1,7,7,18,1,1
11305630,121017,899,1178,4417,3586,3389,4141,3361,2174,800,7165,2633,1752,1086,4894.44,28837.62,35,68,38,764,3,11,24,127,3,1
11305645,80774,1156,1441,2710,2693,3110,3626,3236,2171,904,3674,2492,1715,1248,2360.134,19445.72,17,39,9,375,0,3,6,18,1,3
11305660,65162,1721,2230,4217,4103,4632,5579,4935,3231,1304,5800,3725,2704,1793,3897.557,30318.04,27,49,13,248,2,1,6,11,3,0
11320511,100710,1633,2268,3442,3556,4267,4264,3453,1992,852,3692,2671,2232,1875,1458.283,23440.63,15,34,0,194,2,1,6,14,6,1
11320512,90065,1958,2372,4229,4394,4723,5253,4039,2285,916,3860,3171,2650,2108,3721.867,27041.99,22,34,0,180,4,4,6,11,2,0
11320513,79993,849,1114,1902,1787,2215,2689,2084,1370,514,2681,1663,1177,886,1003.293,14038.3,14,19,0,174,1,2,3,14,0,0
11320514,173094,1865,2724,3863,3506,4535,4980,3398,1739,875,2912,2437,2368,2338,3175.472,30750.31,18,25,6,223,2,9,7,16,5,0
11320515,132260,1603,2056,3760,3654,3683,4508,3569,1762,786,2912,2431,2255,2013,5305.694,22647.24,19,30,2,281,3,6,12,16,8,1
