코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11170520,-5971,46.33333,19.33333,333.3333,434,209.3333,92.66667,74.33333,5.666667,18,35.33333,-5,-21,-17.3333,0,-25688.3,20,2,0,0,0,-1,0,0,0,1
11170530,4196,12.33333,14.66667,119.6667,108.3333,58.33333,118,46,15.66667,3.333333,28.33333,9.333333,-7.66667,2.333333,0,-37478.9,33,-1,-3,0,1,-1,0,0,0,3
11170555,-10045,16.66667,-24,395.6667,176.3333,34.33333,104.6667,75.33333,-0.66667,16,174.6667,45.33333,23.66667,-44.3333,0,5113.7,27,0,0,0,0,1,0,0,0,0
11170560,-424,71.66667,23.66667,70,212.6667,97.66667,128.3333,94,5.333333,-13,34.33333,25.33333,12,13.33333,0,-30295.8,19,-1,0,0,0,0,0,1,1,0
11170570,15955,-33,-32.3333,26.66667,4.666667,13.66667,10.66667,19.33333,-6.33333,14.33333,40.66667,11.66667,3,-20,0,-22127.7,15,3,0,0,1,0,0,0,0,0
11170580,-2756,15,-6.33333,41,25.33333,12.33333,28,18.66667,3.333333,7.333333,40,-8.66667,27.66667,-5.66667,0,-21177.8,9,3,0,0,0,0,0,0,0,0
11170590,-18304,-16.6667,-20,28.66667,40.33333,-15.6667,21.33333,16,9.333333,1.333333,25,13.33333,17.66667,-26,0,-16940.7,8,-1,0,0,0,0,0,0,0,1
11170625,3956,221,164,140.6667,397.6667,413.3333,258.3333,130.3333,47.66667,10.33333,144,17.33333,0.666667,7.333333,0,27380.06,47,-1,-2,0,0,0,-1,-2,0,4
11170630,24655,107,61.33333,15,102,187,186.3333,123,-2.66667,38.33333,22.66667,30.66667,30.66667,-10.6667,0,10354.67,16,1,0,0,0,0,0,-1,0,0
11170640,-3323,1,-9.33333,-9.33333,8.666667,5.333333,5.666667,21.33333,4,-2,28.33333,-15.3333,31.66667,-29.6667,0,-12658.1,6,0,0,0,0,0,0,0,0,0
11170650,-930,103.3333,103.6667,753,709.3333,388.3333,179,59.66667,11.33333,5.666667,69.66667,32,0,-11.3333,0,-1569.52,26,3,-1,0,0,0,0,0,0,1
11170660,-10408,140.6667,100.6667,292.6667,439.6667,341.6667,161,47.66667,8,6.666667,58.66667,11.33333,-6.66667,0,0,-10821.2,13,1,0,0,0,0,1,0,0,0
11170685,-9848,283.3333,232,340.3333,771.6667,619.3333,441.6667,207.6667,24.33333,20.66667,9.666667,48.66667,13,11.33333,0,20947.91,26,3,0,0,1,1,-1,0,0,2
11170690,-10446,83,83.66667,50.33333,134.6667,178.6667,128.3333,76.33333,25.33333,-4,38.33333,6.333333,-2,-1.33333,0,-3993.86,9,-1,0,0,0,0,0,0,0,1
11170700,12497,101,7.333333,510,517,308.3333,171.3333,64,6.666667,12,112.6667,5.333333,0,-29.3333,0,3604.888,10,0,0,0,0,0,0,0,0,0
11200520,3223,20.33333,-18.3333,95.33333,44.33333,7.666667,80.66667,65.66667,29.33333,7,8,27.33333,-7,16.33333,0,324.3649,10,1,0,0,0,0,0,0,0,1
11200535,-7117,-11.6667,3,143,78.33333,32.33333,126.3333,105.3333,37,13.66667,88.66667,21,52.33333,-19,0,9144.679,28,-1,0,0,0,0,0,0,0,0
11200540,10415,-17.3333,-32,295,80.33333,49,34.33333,70.66667,27.33333,20.66667,79,42.66667,-24.6667,-12.3333,0,6876.608,19,4,0,0,0,0,0,0,0,1
11200550,1022,-8.66667,120.3333,1513.667,153.3333,-0.66667,34.33333,8,-0.33333,21.33333,274.6667,24,0,-2.33333,0,1803.49,34,-2,0,0,0,0,0,-1,0,2
11200560,1408,-19,-51,-74.6667,-103.667,-178,-172.667,-176,-124.333,-25,-240,-105.333,-86.3333,-94.6667,0,-504.233,17,-1,0,0,0,0,0,0,-1,1
11200570,-37759,-71.6667,-19.6667,-8.66667,-9.66667,-45.3333,34.33333,35.66667,40.66667,29.66667,35,50.33333,17.66667,-35.3333,0,2369.986,8,1,0,0,0,0,0,0,0,1
11200580,47516,-39.6667,-29,7,9.333333,-70,12.33333,5.666667,19.66667,7.666667,-3,20,4.333333,-18,0,1351.706,4,-4,0,0,0,0,0,0,0,1
11200590,7076,-0.33333,-41,-13,-0.66667,23,-2.66667,77.33333,28.33333,16.33333,35.33333,28.66667,32.33333,-32,0,-18391,9,0,0,0,0,0,2,0,-1,1
11200615,-9921,-32,-27.6667,54.66667,-30.6667,-1.66667,48,77.33333,-6.66667,2,45.33333,37.33333,-35.3333,13,0,-12516.1,15,2,0,0,0,0,-1,0,0,0
11200620,-1658,-33,4.333333,-12,-19.6667,15.66667,15.33333,60.66667,4,19.33333,42,33.33333,-10.6667,-17,0,-15270.5,7,0,0,0,0,0,0,0,-1,1
11200645,7068,25,-12.3333,1.333333,0,66.66667,33,53,43.66667,5.666667,22.66667,14.33333,29.66667,3,0,-582.264,13,0,0,0,0,0,0,0,0,1
11200650,6071,-12.3333,-9.66667,46.66667,108,-18.3333,71,60.33333,1.666667,8.333333,40.66667,-10.3333,-0.66667,-5.66667,0,-11923.6,23,0,0,0,0,0,0,0,1,0
11200660,325,-28.3333,-18.6667,61.66667,23.33333,-57.3333,14.33333,15.66667,8,-2.66667,-25,13.66667,-20.6667,-29.3333,0,-16486,30,6,0,0,1,0,0,0,0,2
11200670,12304,27,-29.3333,46,121,75,103,140,17.66667,12.33333,36,23.66667,-11.3333,-28,0,-23445.2,22,-3,0,0,0,0,0,1,-1,0
11200690,-5573,-7.33333,-2,71.33333,38.66667,42.66667,40,45,20.33333,3.666667,67.66667,6,-16.3333,-1.33333,0,4646.962,56,-2,0,0,1,0,0,-1,0,1
11200720,-9906,0,-8.33333,132.6667,89,42,81.66667,68.33333,9.333333,16.33333,68.66667,27.33333,-10.6667,-23,0,-17219.8,8,1,0,0,0,0,0,0,0,0
11200790,17423,28.66667,98,364.6667,135.3333,54,175.3333,80.66667,-4,9,171.3333,-7,-21.6667,-29.6667,0,-15052.2,15,1,1,0,0,1,0,-2,1,3
11215710,-7973,-15,135,2277.667,370.3333,99.66667,152,77.66667,7.666667,-0.66667,314.3333,11,5,-14.6667,0,-2083.01,60,-2,-2,0,2,-1,1,-3,1,1
11215730,28,52,147,1319.333,335.3333,70.66667,76.66667,100.3333,-7,16,227,28.66667,-12.3333,-26.3333,0,-17693,30,1,-1,0,0,0,0,-1,0,0
11215740,-4567,7,6.666667,87,69,10.66667,137,44.33333,9.666667,14.33333,120.3333,3.666667,-24,-8.33333,0,-5154.58,15,0,0,0,0,0,0,0,0,0
11215750,2465,-30,-33,101,41.33333,-25.6667,70.33333,67.33333,28.33333,15,71,68.66667,-32.3333,-35,0,-5372.27,27,0,0,0,0,0,1,-1,0,0
11215760,-4937,-14.6667,-27,36.66667,34,-16.6667,21.66667,56.66667,37,15.33333,89.66667,38.33333,-18.6667,-29.6667,0,-20055.8,17,0,0,0,0,0,0,0,0,1
11215770,-5735,-37,-24.3333,70.33333,65.66667,16.66667,-8.66667,129.3333,21,15.33333,49.66667,30.66667,30.66667,-44.6667,0,-907.707,20,-1,0,0,0,0,0,-1,1,0
11215780,-2080,22.66667,-0.33333,153.3333,93.66667,52,58,65,-6.33333,-4,81,22.66667,18.33333,-12.3333,0,-31407.1,21,0,0,0,0,0,0,0,0,3
11215810,-5539,-70,-38.6667,49,21.66667,-99,38.33333,85,16.66667,11,64.33333,34.66667,7.333333,-12.3333,0,21864.04,20,1,0,0,0,0,0,-1,-1,1
11215820,4569,10.66667,-25.6667,210.3333,101,132.6667,294.3333,121,30.66667,18,156.3333,7.666667,-37,-15.3333,0,-2970.45,22,1,0,0,0,0,0,0,0,0
11215830,-10861,0.666667,-53.6667,53.66667,15.33333,4.666667,80.66667,103.3333,24.66667,3.666667,50.66667,93,-36.6667,-26,0,-218.226,20,3,0,0,1,0,-1,-1,-1,1
11215840,-11020,-31.3333,-56.3333,36,49.66667,-16,29.66667,104,11,19.33333,53,58.66667,-11,5.333333,0,10968.74,28,1,1,0,0,0,2,0,-1,1
11215847,4370,154,67,938.3333,490.3333,547,1231.667,503.3333,44,22.33333,43.66667,31.33333,-22.3333,-29,0,-9538.04,30,1,1,0,0,0,0,0,1,0
11215850,1107,16.33333,-10.6667,190,82.66667,47.66667,189.3333,104,14,12.33333,164.3333,24.66667,-30.3333,-5,0,-1022.99,28,0,0,0,0,0,0,0,0,0
11215860,-32864,27,29.33333,77,20.66667,37,18,28,27.33333,11,54,24.33333,1.333333,-29,0,-15145,18,1,0,0,0,0,0,0,1,0
11215870,16467,-37,-68.3333,52.66667,13.33333,-20,50,97,7.666667,19.66667,91.66667,46.66667,-15.3333,-30,0,8652.326,32,4,0,0,0,-1,0,0,0,1
11230536,3703,21.66667,-14,709.6667,267,121,250,154,2,41.66667,398,35.66667,11.33333,-55.3333,0,6391.098,51,1,-1,0,0,0,0,-2,0,2
11230545,7395,30,89.33333,1612.333,207.6667,48.33333,93.66667,114.6667,19,30.66667,159.6667,62.66667,-17.3333,14.33333,0,-13187.9,30,3,1,0,0,0,0,0,0,1
11230560,3973,-23.3333,-29,159,80.33333,-7,66.66667,109.3333,25.66667,41.66667,128,32.66667,-4.66667,-35.6667,0,16348.46,29,-3,-1,0,0,0,0,1,1,0
11230570,22075,-13.6667,-13,182,86.33333,-17.6667,-10.3333,78.33333,6.666667,-1,20.33333,-1.33333,7,16,0,-5723.09,16,1,0,0,0,0,-1,-1,0,0
11230600,-20616,0,1.333333,107.6667,13,47.66667,47.33333,100,39.33333,23.66667,102,59.33333,-7.33333,-22.3333,0,-1250.14,33,2,0,0,0,0,0,0,0,0
11230610,16004,-38,-75,20.66667,84.66667,-58.3333,-23.3333,48,17.66667,-1,46.66667,36,-27,-29.3333,0,13254.73,16,2,-1,0,1,0,1,0,-1,0
11230650,-561,8.666667,-11.6667,143,137,99.33333,99.66667,187,26,47,224,78,70.33333,-59.6667,0,16574.54,54,0,-1,0,1,-1,2,-1,0,0
11230660,17826,49.33333,-38.6667,104.6667,170.6667,77,57.66667,108.6667,23.33333,23.66667,125,66.33333,76,-33.3333,0,-8642.95,38,-2,-2,0,0,0,0,-1,0,0
11230705,158,-13.3333,-22.6667,143.3333,69.66667,34,122.3333,118.3333,12.66667,30,89.33333,30.33333,-29,-9,0,1635.101,17,1,-1,0,0,0,0,0,0,1
11230710,959,-30.6667,79.66667,2155.667,126,11.66667,42,12.33333,1.666667,15.33333,204,19.66667,1.666667,-9.66667,0,6100.969,23,2,0,0,0,-1,0,-2,0,0
