지역,행정동코드,남자 인구수,여자 인구수
종로구,11110,"75,247","78,533"
중구,11140,"62,260","63,772"
용산구,11170,"111,078","118,599"
성동구,11200,"151,571","156,495"
광진구,11215,"173,216","182,532"
동대문구,11230,"174,128","174,775"
중랑구,11260,"201,803","203,748"
성북구,11290,"214,430","225,842"
강북구,11305,"157,769","164,616"
도봉구,11320,"167,465","174,463"
노원구,11350,"266,826","282,539"
은평구,11380,"234,905","249,737"
서대문구,11410,"150,131","161,149"
마포구,11440,"178,430","196,261"
양천구,11470,"230,322","236,829"
강서구,11500,"291,966","308,291"
구로구,11530,"202,016","205,219"
금천구,11545,"118,530","114,733"
영등포구,11560,"183,888","185,115"
동작구,11590,"192,296","202,492"
관악구,11620,"253,600","250,448"
서초구,11650,"210,596","229,248"
강남구,11680,"261,815","285,137"
송파구,11710,"323,741","342,698"
강동구,11740,"214,740","218,009"
