CD,총생활인구수
11110515.0,15945.452451666668
11110530.0,23268.646834305557
11110540.0,5678.600936527778
11110550.0,15477.2113075
11110560.0,19178.77182111111
11110570.0,7209.172781527777
11110580.0,6747.457337083334
11110600.0,7154.75672375
11110615.0,56049.781511111105
11110630.0,17333.76180361111
11110640.0,22542.111273055554
11110650.0,28384.123083888888
11110670.0,9531.827630555556
11110680.0,10239.254828472222
11110690.0,4748.232119583334
11110700.0,7847.423746944444
11110710.0,14737.632474444445
11140520.0,23588.538015555554
11140540.0,24198.276024722225
11140550.0,28573.786496666668
11140570.0,10186.390173194444
11140580.0,9518.819820694445
11140590.0,21326.594565555555
11140605.0,16096.079490694445
11140615.0,24000.842855416668
11140625.0,15695.299155416666
11140635.0,17935.72225875
11140645.0,11937.342172083334
11140650.0,11817.422165555556
11140665.0,10746.22992986111
11140670.0,14171.94503638889
11140680.0,8689.520533333332
11170510.0,14875.877301944443
11170520.0,11672.232878333332
11170530.0,14095.48595027778
11170555.0,24147.98200013889
11170560.0,20878.245270555555
11170570.0,13980.259417777777
11170580.0,10705.098631805555
11170590.0,9885.750259166667
11170625.0,41383.56427027778
11170630.0,29076.354982361114
11170640.0,8184.256690138889
11170650.0,10556.691863055556
11170660.0,12996.548742083334
11170685.0,35829.85622361111
11170690.0,16668.23255888889
11170700.0,11450.922288194446
11200520.0,16968.297710277777
11200535.0,27771.381484999998
11200540.0,24860.887755694446
11200550.0,23352.643255416668
11200560.0,20969.57508277778
11200570.0,19711.27528222222
11200580.0,13344.406991388889
11200590.0,15709.253701666668
11200615.0,22555.113890833334
11200620.0,12018.157900833334
11200645.0,28450.725800138887
11200650.0,19211.648859027777
11200660.0,21059.756663472224
11200670.0,20410.838958472224
11200690.0,29714.51202513889
11200720.0,11007.479923194445
11200790.0,18157.931766111113
11215710.0,36256.267767777776
11215730.0,18870.92964263889
11215740.0,17097.93380763889
11215750.0,19090.29685763889
11215760.0,16764.41833722222
11215770.0,27149.319867638893
11215780.0,15929.714995416667
11215810.0,40131.43752736111
11215820.0,26487.39889458333
