CD,남자 인구수,여자 인구수
11410565,"8,873","9,276"
11410585,"8,414","9,992"
11410615,"18,198","19,359"
11410620,"10,886","12,252"
11410640,"8,064","8,579"
11410655,"7,097","7,691"
11410660,"11,721","12,272"
11410685,"14,250","14,876"
11410690,"8,135","8,761"
11410700,"10,862","11,550"
11410710,"9,415","10,017"
11410720,"16,785","17,466"
11650,"210,596","229,248"
11650510,"10,244","10,941"
11650520,"8,383","9,241"
11650530,"14,838","15,394"
11650531,"15,157","16,148"
11650540,"16,491","18,155"
11650550,"5,929","6,624"
11650560,"13,556","14,691"
11650570,"11,361","12,418"
11650580,"9,054","9,993"
11650581,"9,397","10,431"
11650590,"9,915","11,392"
11650600,"8,122","9,164"
11650610,"12,401","13,708"
11650620,"10,643","11,450"
11650621,"11,734","13,743"
11650651,"22,385","24,317"
11650652,"11,845","11,844"
11650660,"9,141","9,594"
11200,"151,571","156,495"
11200520,"8,770","9,128"
11200535,"13,098","14,241"
11200540,"11,682","11,965"
11200550,"5,914","5,542"
11200560,"6,858","7,148"
11200570,"11,890","13,264"
11200580,"7,851","8,652"
11200590,"7,621","8,192"
11200615,"11,685","12,667"
11200620,"7,308","7,922"
11200645,"12,809","14,486"
11200650,"8,716","8,656"
11200660,"7,825","7,819"
11200670,"9,292","8,576"
11200690,"6,033","5,639"
11200720,"6,036","5,313"
11200790,"8,183","7,285"
11290,"214,430","225,842"
11290525,"8,280","9,165"
11290555,"12,846","13,667"
11290575,"6,791","8,932"
11290580,"7,717","8,716"
11290590,"12,006","13,094"
11290600,"7,756","7,512"
11290610,"8,239","8,719"
11290620,"8,808","9,406"
11290630,"11,810","12,276"
11290640,"7,998","8,021"
11290650,"13,187","13,849"
11290660,"18,051","19,621"
11290685,"5,751","6,043"
11290705,"20,345","20,662"
11290715,"13,549","14,256"
11290725,"9,933","10,338"
11290760,"10,430","10,589"
11290770,"8,448","8,401"
11290780,"5,935","5,852"
11290810,"16,550","16,723"
11710,"323,741","342,698"
11710510,"7,778","7,969"
11710520,"12,005","13,033"
11710531,"6,767","6,507"
11710532,"8,691","8,843"
11710540,"11,005","10,537"
11710550,"10,391","10,051"
11710561,"8,047","8,485"
11710562,"12,075","12,898"
11710566,"9,470","9,852"
11710570,"19,414","20,166"
11710580,"12,356","13,659"
11710590,"10,241","10,853"
11710600,"16,473","17,563"
11710610,"15,782","17,268"
11710620,"13,879","13,994"
11710631,432,448
11710632,"16,888","17,480"
11710641,"10,595","10,818"
11710642,"14,031","15,749"
11710646,"16,913","17,938"
11710647,"14,004","14,736"
11710650,"13,807","15,300"
11710670,"17,612","19,327"
11710680,"17,398","18,986"
11710690,"14,603","15,636"
11710710,"8,250","9,051"
11710720,"4,834","5,551"
11470,"230,322","236,829"
11470510,"15,596","16,830"
11470520,"15,468","16,112"
11470530,"10,678","11,385"
11470540,"13,424","13,797"
11470550,"21,505","21,956"
11470560,"11,484","10,834"
11470570,"11,199","11,582"
11470580,"9,032","8,094"
11470590,"9,597","9,884"
11470600,"7,817","7,937"
11470610,"3,452","3,449"
11470611,"11,190","11,484"
11470620,"10,552","10,973"
11470630,"10,294","10,667"
11470640,"24,253","25,188"
11470650,"17,512","18,086"
11470670,"12,497","13,051"
11470680,"14,772","15,520"
11560,"183,888","185,115"
11560515,"11,506","11,088"
11560535,"13,648","11,005"
11560540,"15,801","17,623"
11560550,"10,295","10,514"
11560560,"16,847","18,853"
11560585,"9,694","9,516"
11560605,"15,775","16,086"
11560610,"8,710","8,710"
11560620,"11,370","11,394"
11560630,"8,842","8,675"
11560650,"8,066","8,101"
11560660,"4,798","4,720"
11560670,"4,988","5,298"
11560680,"9,234","9,378"
