이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,폐업률
신촌동,11410585,32377,18.333,282.333,4120,565.333,83.667,61.667,29.333,9.333,18,-894.667,-23.333,44.3333,66,82,2,2.4
연희동,11410615,-1931,73.667,158.667,1129,401,264.333,271.333,259,116.667,46,-818,-220,36.333,86.667,37,0,2.7
홍제1동,11410620,-14793,-26,-41.333,-10.333,-70.333,-59.333,-2.667,35,-1.333,-14.6667,-360.333,-219.333,-184,-59,14,0,0
홍제3동,11410640,-4159,-20,-37,36,-2.667,-49,42.667,28,7.333,6,-80,-26.667,16.667,84,11,1,9.1
홍제2동,11410655,-52146,-12,-6,25,4.667,-17.333,7.667,38,16.333,15.6667,-106.667,3,9,80.333,4,1,0
홍은1동,11410660,28049,22,17.667,160,72.667,50.333,100,80.333,22,25.6667,70.333,-87.667,113.667,137.667,10,0,0
홍은2동,11410685,8694,-41.333,-20.667,219.667,54,-13,30,36.667,29.333,37.3333,-94.667,-7,130.667,246.333,20,0,0
남가좌1동,11410690,49710,43.667,40,149.333,18,94.667,40.667,41,-2.6667,12.3333,-7,-42.667,16.667,19,8,1,0
남가좌2동,11410700,-25216,-3,4.333,301.667,89.667,-41.333,7.667,27.333,17.333,6.6667,-566.333,-475.667,-518.333,-422.333,21,0,0
북가좌1동,11410710,36245,-10.333,-50.667,31.667,7,-27.667,5.333,17.333,19.333,8,-117.667,-63.667,67.333,115,10,0,10
북가좌2동,11410720,18659,-46.333,-51.667,88,-24,-32.333,55.667,103,37.333,12.6667,-330.333,-80.333,106,257.667,32,0,3.1
아현동,11440555,53332,39,-1,134.667,160.667,111.333,128.667,54.667,-10.667,8.6667,-7.333,12.333,-33,91.333,22,1,4.5
공덕동,11440565,8083,-1.667,-46.333,146.667,188.333,48.667,244.667,109.333,32.667,33.333,-970.333,-57,111.333,201.667,30,1,6.7
도화동,11440585,15341,-6.333,-10.333,89.333,89,46.333,46.333,58.333,-2.333,13.3333,-88,-7.333,17.333,75,22,0,0
용강동,11440590,-35848,22.333,39.333,81.333,200,98.667,97.667,40.667,33.333,27.3333,-131,-35.333,17,63.667,29,1,3.4
대흥동,11440600,-16223,20,91.3333,1241.667,214.667,74.333,106.333,0,6,21.3333,-229.333,1,-19.3333,-42.6667,41,3,4.9
염리동,11440610,-25438,8.3333,12.6667,554.333,76.333,-2,63.333,7.667,8,7,-94,-166.333,-225,-213,9,1,0
신수동,11440630,41364,-49,18.667,253.333,47,9,60.333,50.333,-11.667,12.3333,-400,-297.333,-222,-93.667,17,0,0
서강동,11440655,7612,-41.333,47.333,488.667,-0.667,21,68.333,31.667,26.667,5,-182.333,-12,1.667,51.667,41,2,7.3
서교동,11440660,17622,3,45,912.667,233.333,64.667,87,-18,27.333,6,-524,72.667,54.667,142,132,2,6.1
합정동,11440680,-21368,-7,-20,142,66.667,16,57.667,4.667,21.333,2.3333,-223.333,20,33.333,132.3333,29,1,3.4
망원1동,11440690,5378,-24.333,-13.333,127,45,35.333,45.333,45.667,7.333,16.3333,-338.667,-158.333,14,42.333,25,0,0
망원2동,11440700,-17960,-36.333,-25,47.667,-31.667,-19.333,40.667,32.333,18,4.3333,-391,-124.333,76,140,18,0,0
연남동,11440710,-4682,0.3333,53.333,325.333,163.667,128,112,112.667,34.667,20,-240,150.333,63.333,114.3333,26,0,3.8
성산1동,11440720,9776,-24.667,9.667,133.667,78.333,42,53,42.333,23,12.3333,-269.667,-69,78.667,103.333,31,0,3.2
성산2동,11440730,20716,-9,-26.333,394.333,199.333,40,32,74.667,26.333,40.3333,-1271.67,-243.333,55.333,273,30,2,10
상암동,11440740,-14940,-47,84.333,246.333,149.333,123.667,130,49.667,15,14.6667,-425.333,-126.333,86.667,179,53,1,1.9
목1동,11470510,-12510,-18.667,-55.333,22,27.333,-21,29.333,33.333,30,9.3333,6.333,-82.333,-155.333,168,36,2,5.6
목2동,11470520,-5870,-37,-36.333,26,10.667,2.667,44.667,69,36.667,9,-564.667,-129,42.667,210.333,25,1,4
목3동,11470530,8171,-7,-54.667,27.667,81,14.333,6.333,58,62,3.6667,-366.667,-310.333,-56.667,62.667,17,1,0
목4동,11470540,-8779,-43,-73,43,-18.667,-16.333,69,27.333,49.333,-5.3333,-265.667,-33,-27,156,21,0,4.8
목5동,11470550,-17892,-58,-90.667,-13,-3,-97.333,23.333,47.667,42,4.3333,-36.333,-95.333,-159,179.667,19,0,5.3
신월1동,11470560,-5905,-19,-40.667,27.333,68.667,-21.667,63.333,49,28,16,-238.667,-72.667,77.667,181,16,0,0
신월2동,11470570,-12460,-16,6,-31.667,-10.333,4.333,-32.667,51.667,21.667,-13,-61,-53,67.333,100.333,9,0,0
신월3동,11470580,21175,-21,-40.333,-21.333,11,-15.333,33,60.667,30,8,-92.667,5.333,74.667,103.3333,11,0,0
신월4동,11470590,41309,-36,-25.667,6.667,-21.667,37.333,40.667,12.333,50.333,9.3333,-120,-42.667,36,83.667,15,0,6.7
신월5동,11470600,-11042,-18.333,-49.667,12.667,-3,-22,55.333,31,24,9.6667,-137.667,-77.667,28,128.333,16,0,6.3
신월6동,11470610,-11621,2.3333,-11.3333,-9.6667,-31.6667,-26.333,17,-8.6667,16.6667,7,52,-21.6667,14,32,6,0,0
신월7동,11470611,-17766,-31,-51.667,-13.333,-43.333,-9.667,-7,37.667,30.333,17.3333,-251.333,-143.667,181.667,238,13,1,0
신정1동,11470620,10582,-11,-53.667,-12,33,-34,46.667,29.333,11,10.6667,0.667,-36.333,-43.333,22.333,10,0,0
신정2동,11470630,2594,-36,-40.667,1,-23.333,-30.667,30.667,29,9.333,11,-22.667,-49.333,-38,76.667,12,0,8.3
신정3동,11470640,-4089,-124.333,-75.333,44.667,-112,-28.667,92,105.667,34,-6.667,-322.333,-287,114.667,382,19,1,5.3
신정4동,11470650,8721,-15,-27,137.333,32.667,153.333,245.333,62.667,43.667,18.3333,-536.667,-85.333,114.667,231.333,48,1,4.2
신정6동,11470670,29078,-7.333,-112.667,31.333,-13,-91.333,4.333,64.667,24.3333,-0.6667,-26.667,-112.333,-30.667,154.667,12,0,0
신정7동,11470680,-29977,-43.667,-48.333,22.333,-12.333,-8.333,18.667,59,8.667,14.6667,-278,-170,-20.333,44.333,11,0,9.1
염창동,11500510,14480,-41,-45.667,173.667,175,23,12,85.667,4.667,19.3333,-874.333,-397,-232,161.333,25,1,8
등촌1동,11500520,-43202,20.333,-58,58.667,103.667,-17.333,13.667,25,8,-1,-658,-233.667,49,168,31,1,0
등촌2동,11500530,-7152,15.667,-24.333,0.333,55.333,-13.333,-18.667,58.667,37.333,-2.6667,-349,-56.667,38.333,161.333,11,0,0
등촌3동,11500535,1688,9.667,-91.667,-73.333,38.667,-56.333,-12.667,81,18.667,24.333,-585.333,-73.333,230.333,289,29,0,0
화곡1동,11500540,-7783,58.333,-88,279,213.67,222,248.333,115,86.333,37.6667,-1276.67,-308.333,141.667,293,60,1,1.7
화곡2동,11500550,-6497,14.333,-29.667,1,51.667,43.333,59.333,29.333,26.667,3.6667,-175,-92,63.333,195,12,0,0
화곡3동,11500560,-21581,23.667,-26.333,-51.667,87.333,-33.333,-18.667,13.333,58.667,-0.3333,-392.667,-115,45,63,13,0,0
화곡4동,11500570,10479,2,-5,48.333,33,3.333,113.333,48.333,36,8.6667,-97.667,-89,110,176,16,0,0
화곡본동,11500590,-253,-40.667,-42.667,184.333,39,23,109.333,-24.333,78.667,16.6667,-891,-161.667,168,188,25,0,0
화곡6동,11500591,687,-69,-23.333,54.333,5,-0.333,26.333,46.333,26.333,33,-1013.33,-190.333,90,152.333,36,0,0
화곡8동,11500593,21682,-17.333,-33.667,143.667,58,45.333,146,90,42.667,7.3333,-275.333,-186.667,116,184.333,15,1,0
가양1동,11500603,16391,-44.667,-12,284,229.667,17,77.667,40.667,19.667,1.3333,-1453.33,-130,-34,199.667,87,2,5.7
가양2동,11500604,-5018,-0.6667,-3.47E+01,-34,41.667,-24.667,-57.667,54.667,26.667,7,-297.667,17.333,154.333,145,5,1,0
가양3동,11500605,-100988,-36.6667,-36.3333,-43.333,7.333,-20.667,-45,60.333,-3,20.3333,-394,-51,88.667,132,3,0,0
발산1동,11500611,-12860,-58.667,-47,-3,-29,-78.333,40,62,30,-1.3333,-367.667,-154.667,64.333,176,24,0,4.2
우장산동,11500615,-2716,-48.667,-51.333,-10.667,-16.333,-33.333,47.667,67,64.333,4.6667,-67.333,-35,104.667,295.333,30,1,3.3
공항동,11500620,10399,26.333,-21,83.667,108.333,235.333,357.333,165,45.333,6.6667,-390.333,-84.667,101.667,119.667,44,4,0
방화1동,11500630,5628,-66.667,7.667,44,-8,142.333,50,48.667,65,29,-372,-183.333,11,263,36,2,2.8
방화2동,11500640,-402,-30.667,11,19,10.333,51.333,-14,64,31.667,6.3333,-404,-25.667,86,105,27,2,3.7
방화3동,11500641,-16138,-23,-44.333,11.333,-5.667,5.333,-25,81.667,26,3,-285.333,-100.667,164,162.333,19,1,0
신도림동,11530510,-13862,-70.667,-13.667,34,56.333,33.333,49.667,73.333,14,31,-223,-81,43,128,31,2,3.2
구로1동,11530520,-26062,-41,4.667,96.333,70,48.667,83,66,12,-0.6667,-524.333,-130.667,20,178.667,11,0,9.1
구로2동,11530530,2348,538.667,156,764.667,1782,2108,3266.333,786,69.667,41,-150.667,-70.667,115.333,242,25,1,0
구로3동,11530540,15710,98,23.333,145.333,316.333,325.667,557,213,10.333,18.6667,149.333,-58,84.333,164,71,2,2.8
구로4동,11530550,-25888,275.333,71.333,239,825,1088.333,2040.667,492.333,44,16.3333,-244,3.333,152.667,160.667,18,0,0
구로5동,11530560,-9704,217.667,29.333,374,651.333,777.667,1159.667,320.667,45.667,35.6667,-532,-113.667,130.333,182,31,1,0
가리봉동,11530595,-41201,265,54.6667,316.333,1033,1458,2551.333,584.667,32.3333,21,-176.667,72,61.3333,67,17,0,5.9
고척1동,11530720,-41091,-19.667,-2.00E+01,114.333,11.333,25.667,96,55,47.333,24.3333,-213,-136.667,114.333,118,12,0,8.3
고척2동,11530730,-15091,-47.667,-41.333,34,76.333,65,191.667,69,44.667,39.3333,-172.667,-166.667,104,200.667,23,0,4.3
개봉1동,11530740,7502,31.667,-44.333,166.333,209.333,115.333,331.333,133.667,19,25,-207,-148,98.667,273,21,1,4.8
개봉2동,11530750,-23578,-35.333,-6.333,-15.667,23.667,62.333,87.667,46.667,53,25.6667,1.333,-128.333,30,212.667,11,0,0
개봉3동,11530760,-15583,-8.333,-35.667,79.667,23,81.333,116.333,57.667,16.667,22.3333,-164,-236.333,79.667,126,11,0,0
오류1동,11530770,-70097,63.667,6.00E+00,338,471.333,137,163,112.667,73.333,39,-964.333,-170,1,80.667,27,0,0
오류2동,11530780,5715,-76.667,12,57.667,-71.333,138,145.667,123.333,72.667,29.6667,-47.333,-47,310.667,615,25,2,4
수궁동,11530790,-8178,-31.667,-16,70.333,12,38.667,135,75.333,50.333,21,-267.333,-171.333,57,255.667,23,1,0
가산동,11545510,-31171,155,25.6667,482.667,681.667,843,1311.667,280.667,32,18.3333,-1477.67,-146.667,49.667,88.3333,104,1,3.8
독산1동,11545610,7081,109.667,-25,284.667,495.333,421,787.667,195.333,42.333,20.6667,-2049.33,-710.667,-354.667,-128.667,33,1,3
독산2동,11545620,-6945,129.667,-26.667,64.333,290,342.333,619.667,178.333,22.667,0.6667,-167,-55.667,86.333,206.667,14,0,7.1
독산3동,11545630,6636,307.333,36.667,262.333,804,1065.667,1888.333,448.333,48.667,26,-479.333,-130,127.333,164.667,17,0,5.9
독산4동,11545640,-20616,164.3333,-10,117.333,368,432.667,725.667,159.667,50.333,4.3333,-182,-91,140.667,141.6667,13,0,15.4
시흥1동,11545670,-6014,108.333,-21.667,88,302.333,424.333,899.333,237.667,21,12,-768,-224.333,136.667,245.333,39,1,5.1
시흥2동,11545680,-13468,-31.333,-45.667,22.333,3,-20,19,23.667,39,25,-132,-4.333,60.333,183,3,0,0
시흥3동,11545690,13957,2.3333,-39.6667,15.333,-9.667,15.333,39.333,22.333,-5.6667,4,-65.667,-91.667,75.3333,80,9,0,0
시흥4동,11545700,-32400,63,-13.667,77.333,163,71.667,260.667,90,36.333,15.6667,-146,-88.667,90,175.667,11,0,9.1
시흥5동,11545710,-6220,21.333,-54.667,59.667,86,83,171.333,59,29,5.6667,-135.667,-150.333,117,174,12,0,0
영등포본동,11560515,29779,158.667,80.667,106.333,461,618.667,1171.333,290,54,28,-340.667,-45.667,130.667,113,23,1,13
영등포동,11560535,2283,54.333,-4,459.333,444,155.667,165.333,55.667,44.667,13.6667,-1777.33,-232.333,-73.333,52.667,72,1,1.4
여의동,11560540,-10259,74.333,-13.333,45.667,216.667,74.333,46.333,43.667,27.333,14.333,-740.667,-194.333,8.667,39.333,96,4,4.2
당산1동,11560550,6544,29.667,-6.333,120.667,109.333,71,122.667,62,6.333,7,-506.667,-127,29.333,65,33,1,6.1
당산2동,11560560,534,-12,26.333,235.333,242.333,59.333,147,68.667,20.333,26.3333,-680.667,-110,-25,134.667,40,1,7.5
도림동,11560585,-14680,177.667,28,203.333,522.333,564.333,1160,319,44,19.6667,-244.667,12.333,54.333,105.667,13,0,0
문래동,11560605,15481,-3,54,132.333,72.667,95.333,63.667,41,24.333,14.6667,-193.333,-92.667,31.333,76.667,40,1,2.5
양평1동,11560610,-20171,-0.333,10.333,156.667,144.667,101.333,113.667,1.667,31.667,6.3333,-646.333,-144,31.667,69.3333,20,1,5
양평2동,11560620,3962,0.333,-48,126,155.333,33.667,12.333,38,31.333,2,-309.333,-148,-21,121,39,1,7.7
신길1동,11560630,-32399,79.6667,5.333,128.667,327.667,383.667,691,158,20.667,4.3333,-869.333,-18.667,55,99.3333,18,1,5.6
신길3동,11560650,19939,83.667,19.667,121.667,266.667,257.333,526.667,147.333,27.667,20.3333,-248.333,-229.667,-183,6,10,0,10
신길4동,11560660,29170,66.3333,4.6667,55.333,183.333,208.333,385.667,105.667,23.6667,1.3333,-127,7,29,105.3333,6,0,16.7
신길5동,11560670,-7255,109,-13,44.667,266.333,394.333,639.333,78,-13,-2.3333,110,43.6667,72.3333,43.6667,7,0,0
신길6동,11560680,30662,63,-1.53E+01,157.333,200,239.667,520,128.333,37.333,28.6667,-460.333,-62.667,63.333,127,12,1,0
신길7동,11560690,-20649,38.667,-25.333,41.667,13,15.667,63.333,35,22.6667,6.3333,-167.667,-202.667,-219.333,-64.667,13,1,0
대림1동,11560700,-18014,264.3333,69.333,208,692,789.333,1181.667,273.667,29.333,2.6667,-165.333,-37.333,93.3333,56.3333,17,0,0
대림2동,11560710,-48076,526,165.3333,569,1654.667,1969.667,3442.333,789,43.333,42,-550.333,-16,79,117.3333,19,0,0
대림3동,11560720,-26648,257.667,86,275.667,804.667,994.333,1769.333,440,56.333,20,-144.667,-56.333,84.333,291.333,29,1,0
노량진1동,11590510,-29302,-9.333,-30,142,77.667,-7,43,64.667,6,24.6667,-795.333,-127.667,68,155.333,42,2,0
노량진2동,11590520,-6767,38.6667,5.6667,83.667,190,145.333,386.667,92.333,4,1.6667,-308,-12.667,118.3333,120,22,0,4.5
상도1동,11590530,-2409,-46,50.333,1551.667,75.333,56.333,-7,54.333,24.333,36.667,-690.333,-73.333,88.333,236.667,47,2,2.1
상도2동,11590540,-30201,8.333,-8.667,157,-12.333,17.667,89,80.667,22.667,31,-559.333,-283.333,-173,-23,22,1,9.1
상도3동,11590550,-9653,5.667,-31.333,93.667,28.333,34.667,143.667,60.667,28.667,1,-662.667,-92,72,123,12,0,0
상도4동,11590560,-17049,-17.333,-46,126.333,49,40.333,88,52.667,45,6.3333,-802.333,-117.333,78,197,14,0,0
흑석동,11590605,9668,-9,15.667,1704.333,29.667,-81.333,-117,-62.333,-45.333,-17,-377,-443.667,-363.333,-197,27,1,0
사당1동,11590620,-11077,-0.667,1,250,103.333,103,245.333,67,29.333,7.3333,-987.667,-88,112,148.333,30,0,10
사당2동,11590630,36123,-31.667,-20.667,30.333,56.333,32.333,159.333,62.333,37,14.3333,-196.667,-106,-6.333,116.333,23,2,0
사당3동,11590640,1607,180.333,53,266.333,276.333,243.667,251,95.667,74.667,19.6667,-146.333,-131,-64,126.333,13,0,7.7
사당4동,11590650,36345,-21,-27.3333,130.667,32.667,15.667,19.667,50.667,22.667,0.6667,-396.333,-99.333,38,88.6667,10,1,0
사당5동,11590651,2542,7,-18,85.667,-17.667,12.333,17,17.333,18.6667,14.3333,-141,-43.333,12.667,42.3333,6,0,0
대방동,11590660,6397,-54.333,-89,173.667,102.333,27,91.667,58.333,39.333,39.6667,-664,-95.333,15.667,250.333,36,2,8.3
신대방1동,11590670,-16479,101,55.667,174.667,434.667,636,1101.333,316.667,16,24.3333,-222,-38.667,46.333,134,9,1,0
신대방2동,11590680,-22497,2.667,-4.333,150.333,98,52,163.667,43,0.333,18,-530.333,-103,66,120.333,31,0,0
보라매동,11620525,1355,17.333,7.333,401.333,299.667,142.667,184,88,20.667,30,-754,-139.667,96.333,185.667,16,0,6.3
청림동,11620545,-4508,-23.333,-4.10E+01,78,-10.667,-6.667,18.333,32,10.667,8,-53.333,-85,37,109.667,7,0,0
성현동,11620565,-11224,-49.333,-20.667,68.667,6,-51.667,56.667,14.333,30.333,26.3333,-5,48,177.333,268,11,0,0
행운동,11620575,9468,-9.333,0.333,272,25,81.333,122,2.333,62.333,14,-868.67,-69.667,122.667,174.667,35,0,2.9
낙성대동,11620585,-28515,48.3333,2.6667,467,226.333,75.333,33.333,20.333,4.6667,15,-523.667,56.333,68.3333,97,23,0,0
청룡동,11620595,19604,26.333,-5.667,580.667,272.667,127,405.333,155.333,-10,16.6667,-2812.67,-442.333,-274.667,-123,43,1,7
은천동,11620605,19420,-8.667,-0.333,157.333,103.667,109.333,230.333,46.667,63.333,29,-884.333,-85,120,267,24,0,0
중앙동,11620615,-8745,2.3333,-36.6667,166,96,44,132.333,58,5.667,26.3333,-816.667,-29,54.6667,67,20,1,5
인헌동,11620625,19287,-20.333,-63.333,150,51.667,-0.667,88.333,34.333,2.333,27.6667,-625.333,-64.667,136.667,170,21,1,0
남현동,11620630,-9414,-24.333,-19.667,49,55,51.333,63,21,38.667,1.6667,-433.667,-71,55.333,107,22,0,0
서원동,11620645,-9654,31.3333,31.667,306,184.667,77.667,240.667,60,18,19.3333,-996.333,-160.667,88.333,156.6667,27,0,0
신원동,11620655,4180,41.6667,-10.333,301,228.667,215,464.333,94.667,18.667,8,-721.333,29,98,120.6667,10,0,10
서림동,11620665,-11383,-34.333,0.333,365.667,42.333,26,99.333,3,23,17.3333,-191,-99.333,140.667,102.333,22,0,4.5
신사동,11620685,-12895,199,21,361,595.667,610.333,1159,238.333,34.333,17.3333,-973.667,-18.333,156.667,85.667,27,0,3.7
신림동,11620695,-681,18.6667,19,391.667,217.333,159.667,215.667,65,12.6667,14.6667,-1499,59.667,70.3333,59,44,1,4.5
난향동,11620715,25921,-45.667,28,-19,2.333,-2,53.333,12,27.333,7,-129.333,-75.667,68.667,126.667,4,0,0
조원동,11620725,-11873,104.3333,-0.667,201.667,367.667,426.333,896.333,146,26,2,-518.667,-43,95,101.3333,23,0,8.7
대학동,11620735,-5549,14.6667,45.333,787.333,249.667,24.333,57.667,10.333,21.667,15.6667,-396,-45.667,67.667,96.6667,43,0,4.7
삼성동,11620745,25558,-3,-41.333,-0.333,2.667,-40.667,18,64.667,10,14,-250.333,-111.333,177,209.667,7,0,0
미성동,11620765,-8848,51,-11,149.333,103,138,226.333,78.667,40.333,31,-339.667,-121,76,243.667,21,0,9.5
난곡동,11620775,-18715,-8.333,-80.333,72,38.667,40,147.667,66.333,59.667,-7.6667,-406.667,-173,168,192.333,21,0,9.5
서초1동,11650510,-33325,-23.333,-12,63,105.667,51.667,53.333,35.667,11,3.6667,-219.333,-53,-3.667,52.333,35,1,8.6
서초2동,11650520,52966,50.333,66,224.333,270,161.333,134.333,87,65.6667,19.6667,-554,-106.667,-94.333,20,44,1,4.5
서초3동,11650530,-2741,5,-47.333,119,116,47.333,42,6,55.333,18.6667,-863.667,-184.333,0.667,97.333,86,0,3.5
서초4동,11650531,-72014,5.667,-19.667,112.667,69,-6,113,3.667,28.667,5.6667,-205,-86.333,-62.333,45.667,37,0,2.7
잠원동,11650540,-932,-27.667,-64.667,57.333,11.333,-30.667,70,51.333,49.333,-1.6667,-127.333,-21.333,-34,19,37,1,2.7
반포본동,11650550,34981,-44,-97.667,30.667,-8,-129,62.667,18.667,7.6667,20.6667,-26,3.6667,8,97,7,1,0
반포1동,11650560,27821,-24.667,29.667,77.667,-16,52.333,35,-2,8.333,12.6667,-275,-292.333,-413,-448.667,28,2,7.1
반포2동,11650570,-147527,-61.333,-8.70E+01,6.333,-78.667,-95.667,17.333,-45,28,-8.3333,478.6667,566,604.667,753.333,9,1,0
반포3동,11650580,-53078,-9.333,64.333,44.333,58.333,82.667,75,91.667,26,2,-3.667,-121.333,-190.333,-48.667,8,0,0
반포4동,11650581,42209,94.667,4.53E+01,3,107.333,130.667,4.667,26.667,42.333,3.3333,-22.667,14.333,-54.667,103.667,42,1,0
방배본동,11650590,5080,-27,-13.667,6.333,-40,47,8,26,19.333,17,-87,-84,1.333,40.333,24,0,12.5
방배1동,11650600,-10430,-28,10.667,38,-7,71,44.333,1,43.667,21.3333,-142,-68,14.667,30,17,0,5.9
방배2동,11650610,21750,-32,-93.333,-121,-89,-94,-98.667,-29,19.667,-4.3333,635.333,393.667,454.667,470.667,27,1,0
방배3동,11650620,-95264,-19,-29,1.333,-26.667,-30,-19.667,41.333,17.667,-1,63.333,-83.667,-55.333,33.333,17,0,0
방배4동,11650621,-10632,-53.667,-59.333,-24.333,-83,-28.333,41,-46.333,8,14.6667,-17,40,154.333,225,25,0,0
양재1동,11650651,17281,-102.333,-14,65,14.333,34.333,125.667,39,76.333,4,-188.333,-113.333,-3,280.333,50,1,0
양재2동,11650652,-9410,6,12.667,78.333,-1,67,78.667,53,64,8.3333,-67.667,57.333,61.333,83,53,1,0
내곡동,11650660,34061,-24.667,-5,-23.333,-42,79,-1.667,23,24.667,8.3333,-189.667,-114,23.667,110.667,12,1,0
신사동,11680510,20063,-16.667,-27.333,19,10.667,-3.333,29.333,-11.333,40,14.3333,27.667,15.333,-5,96,50,1,6
논현1동,11680521,10511,3,25.667,126.667,72.667,133.667,53,25.333,11.667,8,-449.667,-80,120,86,83,2,3.6
논현2동,11680531,-5314,-16,-33.667,124.667,32.333,54.333,41.667,6.667,29,4.3333,-449.333,56,65,80,78,2,2.6
압구정동,11680545,-27824,0,6.333,69.667,-31.667,51.667,46.333,18,35.333,2.3333,-31.667,-120.333,34.667,127.667,56,0,5.4
청담동,11680565,-25768,-17,-29,77.667,37.333,10,37,-12,9,10.3333,-468,-101.667,17.667,132.333,60,1,0
삼성1동,11680580,-44439,34.333,6.667,21.333,131.333,60,37.667,30.333,19.6667,3.6667,-192,-51.333,-37.333,117.667,57,3,3.5
삼성2동,11680590,20385,44.333,-21,127.667,108.667,77,122.667,91.333,98.333,25,-382,-120,1.333,-20.667,55,4,5.5
대치1동,11680600,-58494,-25,1,16,-13,14.667,30.333,23,12.3333,18,-2.3333,-7.6667,-25,38.667,23,0,8.7
대치2동,11680610,-11849,-43,-194.333,22.333,9.333,-149.333,65.667,6,73,18.3333,-3.333,76.333,33.333,391,50,2,2
대치4동,11680630,-18632,-9,-46.667,122,63.667,53.333,96,23.667,23,-4.6667,-176.667,-28.333,30.667,93,66,0,6.1
역삼1동,11680640,-9236,-27.333,7.333,348.333,257,55,52.667,26.667,43.333,9.6667,-1097.67,-125,113,57.667,191,2,3.1
역삼2동,11680650,-30873,-85,-58.667,88,-1.667,-28.333,25.667,-48.333,-18.333,5.6667,-688,-58,-23.333,20.667,56,0,5.4
도곡1동,11680655,12905,-13.667,-20,57.667,25.333,-1,66,56.667,29.667,2,-65,-78.333,-50.333,51.333,28,1,3.6
도곡2동,11680656,-3934,-46.333,-46.333,0,-11,-39.333,6,17.333,47,23.3333,135,-30.333,-33.333,86,24,2,4.2
개포1동,11680660,-85571,-264,-545,-1161.67,-956.333,-813.333,-1309,-818.667,-256.333,-101,790,548,467.3333,531,2,0,0
개포2동,11680670,-57534,-11.3333,-49.667,-31,-44.667,-76.667,-31,-4.333,17.6667,16,-503.667,-820.667,-927,-681,12,3,8.3
개포4동,11680690,616,33,-27.667,77.667,44,15,121,105,31,21,0.333,-94.333,-17.667,126.667,29,0,3.4
세곡동,11680700,37730,-87,23.667,81.333,61.333,107.333,18,104.333,53.667,11,-630,-374,-15.333,222.333,22,0,0
일원본동,11680720,-41214,-58.667,-1.57E+01,-14.667,-10.333,-71,4.667,83.667,41,0.6667,63.667,-52.333,-26,111,11,1,0
일원1동,11680730,-33286,11.3333,-12,27.667,34.333,32.667,43.333,67.667,41.667,8.3333,-178.667,-52.333,100.667,131.6667,12,0,8.3
일원2동,11680740,-9689,-57.667,-76,-5.333,-54,-90.333,-47.333,1,38.333,5.3333,-249.333,-236.667,-167,-182.667,7,1,0
수서동,11680750,-97765,-19,-1.97E+01,22.667,-14.333,0.333,-20.667,28,29.333,10,-308,-28,164.667,125.3333,19,1,0
풍납1동,11710510,10752,48,-29.667,43.333,125.667,116.333,287,108.667,16.333,8,-6.667,36.333,158,103.667,9,0,0
풍납2동,11710520,-21642,-19.667,-49.333,68.333,6.333,-2.667,-23,27.333,53.667,13.6667,-361.333,-183.333,-43,85,18,0,0
거여1동,11710531,-7398,-18.6667,-37.333,27,10,3.667,43.333,6,5.6667,14,-203.333,-159,19.667,64,14,1,7.1
거여2동,11710532,7670,-61.667,-25,-3,-45,-48.333,10.333,-7.667,14.333,8.3333,-118,-50.333,23.667,172,12,0,0
마천1동,11710540,-6473,-41.333,-38.333,-10,10,-40,19.333,62,37.667,-7,24.333,-44.667,56.333,162.333,11,1,9.1
마천2동,11710550,-9392,-38.333,-53.333,-19,0,6.333,26,45,45,32,-230,-126.333,17,136.333,9,0,11.1
방이1동,11710561,-32308,-14.333,-45,76.333,-11.333,-31.667,14,26,12.6667,16.3333,-182.333,-21.667,-13.333,41.333,24,1,0
방이2동,11710562,-11330,-20.333,-35.333,134.667,55.667,55.667,23.333,48,41,5.3333,-1297,-271,104.667,101.333,38,0,2.6
오륜동,11710566,-9455,-38.667,-52.333,7.667,-29.333,-24.333,-12,45.333,23,-4,-19.6667,-41.333,-23.667,90.333,13,1,0
오금동,11710570,-13248,274.667,52.333,321,259.667,155.667,247.333,275.667,96.667,30.3333,-398,-394.667,-173,95,36,1,2.8
송파1동,11710580,-19410,-21,-55.333,143.667,127.333,26,139.333,48.333,16.667,8.6667,-495,-108.333,123.667,164.333,26,0,3.8
송파2동,11710590,37458,11.333,-25.667,-29,64,15.667,8,47.667,31.3333,0,-240.667,-88,-23.667,132,12,0,8.3
석촌동,11710600,-24516,-13,-8.333,157,221.667,86,239.667,91.667,48.333,9.3333,-913.333,-125,170,189.333,47,1,4.3
삼전동,11710610,-23943,-27,-63,93.667,74,31,53.333,63,47.667,-9,-441,-109,159.333,234.333,36,0,2.8
가락본동,11710620,-21628,-1.333,-76.667,79,98.667,-14.667,124.333,71.333,63.333,-1.6667,-486.333,-196,93.333,204.333,44,0,2.3
가락1동,11710631,-84192,4,2.33E+00,0.3333,0.6667,6.3333,-7.3333,6,5,-1,-1487.33,-2431.33,-2488.33,-2499.67,5,2,0
가락2동,11710632,-11310,-37.667,-47.667,47.333,59,-21,29,89.667,36.333,-4.6667,-258,-113.333,-41,231,19,2,0
