이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,폐업률
이태원1동,11170650,-28349,101,9.03E+01,440,517.667,280,145.333,51.3333,2.3333,15,81.667,4,3,-2.3333,25,1,0
이태원2동,11170660,98097,128.3333,89,290,461.333,312.333,137,62.333,2.3333,9.3333,-44.333,-24.667,17.3333,43,15,0,13.3
한남동,11170685,-5392,340.333,228.667,555,948,653.333,417.667,164.333,32.667,15,-252.333,-47.333,-32,-9.6667,25,2,0
서빙고동,11170690,5101,76.3333,91.667,70.667,124.333,204,125.667,40.333,9,5.3333,9.333,-31.667,12,90.667,8,1,0
보광동,11170700,-6922,80.3333,-13,228,366.333,197,128.333,26.333,-10,15,-79.333,-8.667,94,110.6667,11,0,9.1
왕십리2동,11200520,25509,19.667,-1.667,116.667,126.667,25.667,100.333,28.667,6,16.3333,-14,-71.667,42,102.333,10,1,0
왕십리도선동,11200535,16406,49.667,-19,164.667,70,95.333,130,50,24,12,-274.333,-100,-34.667,134,35,0,0
마장동,11200540,15441,-9.333,3.333,438,145,59.333,150,77.667,0.667,21,-480,-76.333,37.333,171.667,14,1,7.1
사근동,11200550,50189,3.3333,132.3333,1412,212.333,24,16,11,-5,7,-535.333,-65,32,68.6667,34,2,2.9
행당1동,11200560,18286,11,-18.667,243.333,103.333,19.333,77.333,36,15.6667,6,-289,-227.333,-215.333,-105.667,18,1,11.1
행당2동,11200570,-32940,-43,-44.667,80.667,-56.333,-55,63.667,24.667,-1,2.3333,-72,-168.667,38.667,186.667,8,1,0
응봉동,11200580,9433,-33.333,-19.667,21,7.667,8.667,8.667,10,-10,21.3333,24,-29,-42.667,90,4,1,0
금호1가동,11200590,31781,311.667,116.333,255.667,712.333,383,258.333,171.333,86,32.6667,-148.667,-83.333,-81.667,96,11,1,9.1
금호2.3가동,11200615,-14194,-54.667,0.333,9.333,65.333,-28.667,0.333,12,10.333,2,-171.667,-74.667,-15.333,133,13,0,0
금호4가동,11200620,21773,77,37.6667,89.667,213,166.667,131,116.333,22,7.6667,-4,-40.667,-39.667,85,8,1,0
옥수동,11200645,22403,-20.667,26,45,-17,78.667,64.667,37.333,48,8,-147.333,-83.667,-44.333,167,17,1,0
성수1가1동,11200650,-20522,34.667,-49.333,-4,143.667,32,84.333,32.333,7.3333,11.6667,-75.333,-67.333,44.333,106.333,21,0,0
성수1가2동,11200660,-4306,-5,0.333,98,37,4.667,67,31,-16.6667,6.6667,156,106.667,99.333,171.6667,29,2,0
성수2가1동,11200670,17321,-2,-21,62.667,112.667,57.333,208.333,103,13.667,12.6667,-109,-60.333,47.667,166,26,0,0
성수2가3동,11200690,-3027,3,1.3333,127,81.333,27.667,54,43.667,4.6667,16,-154.333,-8,34.6667,60.6667,53,1,0
송정동,11200720,3721,10.6667,-22.6667,96.667,100.667,42,130,52.667,24.3333,6.3333,-159.333,-30.667,24.3333,83,6,0,0
용답동,11200790,-2835,46.3333,-17,237.333,139.333,121.667,287.333,87.333,14.667,15.3333,352.333,313,254.3333,289.3333,18,3,5.6
화양동,11215710,-18002,-2.3333,1.69E+02,2089.667,250.333,116,161.667,42.667,-17,12.6667,-1293.67,-62,96,66.3333,63,1,3.2
군자동,11215730,-2988,55.667,67,1194.667,168.667,68,149,20.667,38,23.3333,-596,-47.333,36.667,142.667,28,0,0
중곡1동,11215740,1030,45.3333,-3.3333,89.667,134.667,52.333,130,55,23.667,13.3333,-460.667,-49.333,72,91.6667,15,0,0
중곡2동,11215750,-898,1,-39.333,126.333,16.333,-32.333,82.667,64,29.667,21.3333,-419,-169.333,84.667,166,26,0,15.4
중곡3동,11215760,-7861,-28.667,-20,58.333,17.667,-13,79,26.667,29.667,11.6667,-349.333,0.333,94.333,134.3333,20,1,10
중곡4동,11215770,-24641,-7.333,-78.667,36,26.667,-43,79.667,66,57.667,12.6667,-259.333,-215.333,74.667,250.333,25,0,8
능동,11215780,-13945,-3,-4.3333,143,33.333,-8,76.667,61.333,0,3,-316,-44.333,50.3333,29.6667,20,3,10
광장동,11215810,-37053,-18.333,-70,68.333,42.667,-53,45.667,24.333,12,14,-79.667,-154.333,-65.667,200.667,28,1,7.1
자양1동,11215820,-17764,32.333,23.333,166.333,205.333,159,344,121.667,19.667,17.6667,-394.667,-32.333,4,152.667,27,0,0
자양2동,11215830,5043,-25.667,-13.333,60.667,48.667,-2,137.333,87.667,31.667,13.3333,-220.333,-75,102.333,154,21,1,4.8
자양3동,11215840,-14135,-15.333,-5.17E+01,8,61.667,-5.667,50,62.333,19,21,-182,-135.333,56,164.333,28,1,7.1
자양4동,11215847,-40496,178.6667,-0.667,989.333,511.667,596.333,1280.333,277,-28.333,-17.3333,183.667,49.333,92.667,185,33,0,3
구의1동,11215850,3226,32.667,-23.333,195.333,116,85,256,81.333,27,11,-691.667,-42.333,99.667,144,28,0,3.6
구의2동,11215860,-52446,57.333,-14,103.333,86.667,9.667,73.333,75.333,7.333,29.3333,-426,-261.667,-173.667,-95,16,0,0
구의3동,11215870,8316,-21.333,-37.667,95.667,52.667,72.333,27,49.333,43.333,9.3333,-158.333,-107.333,38.667,168,31,1,6.5
용신동,11230536,21381,42.333,-63.667,409.667,194,108.667,247.333,6,-46,19,-1446,-148.333,46.333,161.667,61,2,1.6
제기동,11230545,-5456,18,139.333,1619.333,210.333,61.333,129.333,110,46,14.3333,-439.333,-83.333,42.667,164.333,27,1,3.7
전농1동,11230560,33751,13.667,-31.333,159.333,97.667,-27.333,85,53.333,8.333,21.6667,-734,-268.333,-173.667,76.333,30,0,0
전농2동,11230570,33170,-37,-12.333,217,18,-37,21.667,61,12,39,-229.667,-78.333,42,109,15,0,0
답십리1동,11230600,-27671,300.333,60.667,212,473,264.333,194.333,129.667,50,23.3333,-680,-457.667,-319.333,-179.333,32,0,9.4
답십리2동,11230610,11608,-48.333,-72.667,71,-3.667,-59.333,50,39.333,-8.333,20,-648.333,-388,-109,71.667,16,0,0
장안1동,11230650,7506,-33.333,-14.333,141.333,57.667,131.333,59,57.333,50,28.3333,-668,-261,54.333,153.333,54,0,5.6
장안2동,11230660,-982,-52,14,15.667,47.667,25,36.667,42.333,12.333,-1.6667,-505,-424.667,-187,-52.333,34,0,2.9
청량리동,11230705,34827,-18.667,-12.333,155.333,74,100.333,153,67,6.667,35.3333,-210.667,-29.667,83,158,17,1,0
회기동,11230710,38348,2,256.3333,1878.667,109,26.667,13,6,20,5.3333,-205,-27.3333,34.6667,55.3333,25,0,8
휘경1동,11230720,-20172,14.6667,65.3333,1183.667,110.667,53.667,60.667,12.333,27.667,6,-237,-123.333,-115.667,-100,17,1,0
휘경2동,11230730,-1888,-35.333,7.667,278,22,3.333,10,57.333,26,17.3333,-622.333,-70.667,34,164.667,16,0,6.3
이문1동,11230740,-2447,27,183.667,2511,260,40.667,104.667,32.333,-17.333,36,1720.667,845.667,672,508.6667,36,1,0
이문2동,11230750,-23800,-18,21.333,217,93.333,-14.333,69.333,53.333,22,18.6667,-126.333,5,73.667,165.667,14,1,0
면목2동,11260520,12049,-32.667,-40,66.333,2,-65,28.333,50,19.667,23.3333,-336.333,-87.333,130.333,156.667,21,0,4.8
면목4동,11260540,5070,17,-58.667,77.333,42,34,51.333,35.667,32.333,1.3333,6,-23.667,73.333,176.667,13,1,0
면목5동,11260550,2260,-30,-29,-46,-12.667,-36.333,34.667,14.333,9.3333,6.3333,-17.667,19,28,64,6,0,0
면목본동,11260565,-8527,29.667,-53.333,203,173.333,20,210,84.667,20,7.6667,-469,-116,124.667,197.333,29,1,0
면목7동,11260570,-51185,-23,-25.333,26,39.667,6.667,64.333,19.667,20,10,-202,-193.667,-1,71,17,0,5.9
면목3.8동,11260575,1101,-3,-27.667,116,41.333,-19,54.333,63.333,37.333,12,-184,-96.667,93,157.667,20,1,0
상봉1동,11260580,-16080,-4.333,-50,19.667,55.667,-20.667,-30.667,56,16,12.6667,-233.333,-122,-2.667,133.333,15,0,0
상봉2동,11260590,4842,18.3333,-7.667,143.333,168.667,68.333,95.333,29,14.667,2.3333,-1224,-239.667,31,118,35,2,2.9
중화1동,11260600,-22984,-48.333,-19.333,26.333,-24.667,-8.333,40.667,47,8.333,-0.3333,-280.333,-169.667,-10.333,151.333,18,1,0
중화2동,11260610,-14292,-10,21,149.667,103.667,77.333,156.667,94,19.667,39,-237.333,-20,205,243,15,1,6.7
묵1동,11260620,-19865,-44,-1,38.333,14.667,15.333,38.667,13.333,57,18.6667,-259.667,-200.333,33.333,188,23,1,0
묵2동,11260630,32333,-0.333,-39,11.333,84,0.667,46.667,44,26.333,10.6667,-233,-48.333,78.667,135.667,13,0,15.4
망우본동,11260655,7418,-2.667,-61,4.667,16,-18,82,37.333,49.333,33,-414,-120.333,179.333,208,31,2,0
망우3동,11260660,438,11.667,-27,65.333,12.667,-54.333,-0.333,57,32.667,0.3333,-191.333,-38.333,83.667,137.6667,11,0,0
신내1동,11260680,-7701,-61,-35.333,-13.333,-14,-22.333,-9.333,96.333,35.667,29.6667,-396.333,-324.333,-10.333,294.333,20,0,15
신내2동,11260690,-12155,-62,-88.667,11,-15.667,-32.333,-50,52.667,46.667,6,-293.667,-103.667,56.333,220,9,1,0
성북동,11290525,5410,11.6667,26.333,138.667,120.333,63.333,103.667,35.333,5.667,18.3333,-226.333,-68.333,4.667,110.3333,18,0,5.6
삼선동,11290555,1924,-29.333,12.333,346.333,42,-20,52,49,-10.333,25,-27,52,196.333,222,36,2,5.6
동선동,11290575,-1045,-6.6667,-20,617.667,93,-9,15.333,10.333,14.667,27.6667,-390,-42.667,35.6667,85,41,0,4.9
돈암1동,11290580,45469,-11.333,-32.667,28.333,1.333,-29.333,-6,17.333,19.667,15.6667,-21,-89.333,79.333,120.333,7,0,0
돈암2동,11290590,11872,-52,-21.667,-12,-2.667,-19.667,42.667,22.667,25,24,-140.333,-114,-31,115.667,4,0,0
안암동,11290600,26312,37.3333,97.667,1505,239.333,50.667,66.667,15.667,10.6667,-10.6667,-619.333,-65,23.6667,81,49,1,6.1
보문동,11290610,2896,22,-19.333,134.667,33.333,47.667,67,42,3.667,-2.3333,-168,-9.667,49,147.333,19,1,0
정릉1동,11290620,29186,-19.667,2.37E+01,338.667,89,-1.667,9,18,21.667,3.6667,-202.333,-164,-95,-7.667,11,1,18.2
정릉2동,11290630,19237,-49.333,-8.333,110.333,2,-28,50.667,4.333,23.333,13.6667,-168.333,-129.667,65,141.667,15,0,0
정릉3동,11290640,12098,6,86,1071,63.333,-6.333,5,33,0.333,20.3333,-374.667,-69.333,108,86.3333,13,0,0
정릉4동,11290650,-31462,-35.333,-7.667,169.667,18,-1.667,27.667,45.333,40.333,15.6667,-142.333,-112.333,154.667,154.667,15,1,0
길음1동,11290660,-45862,-17.333,5.43E+01,39.333,-1,86,76,-14.333,-3.333,23,20,-47.667,-12,143.333,6,1,16.7
길음2동,11290685,-81782,-9,-32,60.667,-13,-50,-34.333,-18,-13.3333,-1,-469.667,-503.333,-555.333,-397.667,7,0,14.3
종암동,11290705,-14080,-3.333,86,1256,211.333,-36,64.333,37.333,45.333,38,-409.333,-177.667,112,195,28,1,10.7
월곡1동,11290715,18816,-62,14,77,-10.667,18,54.667,11.667,24.333,12.6667,-157.333,-124.667,-24.333,187,16,0,0
월곡2동,11290725,4188,44.667,15.667,332.667,194,25,38.667,56.667,29,9.3333,-582,-141.667,48.333,113.667,25,2,8
장위1동,11290760,2003,-16.333,-32.667,71,42,-41.333,25.333,64.667,9,29.6667,-244.333,-38.667,34,148.667,11,0,0
장위2동,11290770,-2374,-49.6667,-105,-47.333,-100.667,-172.667,-103.667,-101.667,-43.333,-10,219.333,176,265.667,253.6667,11,1,9.1
장위3동,11290780,-2641,9.3333,-35.667,76.667,22,-54.667,-1,-5.667,-23,-5.3333,-664.333,-528,-650.333,-510.667,5,0,0
석관동,11290810,-12449,4,-7,353.667,78.667,30,36,87.333,33.667,4.6667,-899.667,-553.333,-249.667,17,24,0,8.3
삼양동,11305534,1333,-102.333,-64.333,24.667,-58,-130.333,-25.667,16.333,3.333,-0.6667,156.333,117.667,288,283,14,3,0
미아동,11305535,9554,-23.333,-22.333,156.333,17.333,9.333,45,69.333,8,37.6667,-482.667,-32.667,65.333,128,32,1,0
송중동,11305545,4638,-21.667,-10,177,30.667,-23.667,97.667,7,36.333,32,-445.333,-335.667,-141,3.667,25,1,8
송천동,11305555,1379,-25.333,-19.667,71.667,51,-19,87.667,48,15,44.3333,-255.333,-162,117.333,198.333,27,0,3.7
삼각산동,11305575,-5717,-62.333,-10.667,31.333,-14,-36.333,98.333,16.333,23.667,18,-49,-109,-10,251,8,0,0
번1동,11305590,-2529,-1.3333,-37.667,133,39.667,43,62.333,12.333,47,15.3333,-350.667,-50,19,134.3333,33,0,6.1
번2동,11305600,-6797,-26.6667,-18.333,48.667,-37.333,-10.333,42.667,-3,19,28,-344.667,-30.667,50,148.6667,7,0,0
번3동,11305606,-22199,-42.667,-17.333,16.333,-52,-11.667,16.667,8.333,30.333,32.3333,-243.667,-63.333,140,117,8,0,12.5
수유1동,11305610,-7748,-7.667,-55.333,73.333,-1.333,14,29.667,49.333,29.333,5.6667,-296.333,-114.333,101.667,94,19,1,5.3
수유2동,11305620,-3959,-25.333,-23.667,39.333,26,43.333,14,63.333,34.333,11,-310.667,-135.667,105.333,209,18,1,0
수유3동,11305630,-5319,-5.667,-22.667,222,35.667,8.667,91.333,21.333,23.667,13.6667,-713.667,-35.667,65,128.333,33,1,3
우이동,11305645,-15052,-13.333,-4,25,37.333,1.667,24.333,46,-1.667,17,-195,-187,123.333,153.333,15,3,0
인수동,11305660,-3413,-34.333,-17.333,111,40.333,-36,53.333,0.667,64.333,27,-428,-205.333,49.333,235.333,28,0,0
창1동,11320511,17041,-46.333,-62.333,67,-44.333,-53.333,54,40.333,37.667,5,-267.667,-145,76.667,231,15,1,0
창2동,11320512,-9441,-14,-66.333,48.333,19,-65,63,57.667,17.667,19.6667,-267.333,-157,58.667,250,19,0,0
창3동,11320513,-17937,3.667,-26.333,-4,19.667,-37,11,23,16.667,12,-177.333,-22.667,60.667,107.6667,11,0,9.1
창4동,11320514,52700,-47,-82.667,34,10.667,-103.667,36.333,31.667,35.333,31,-231.667,-164,-0.667,251,17,0,5.9
창5동,11320515,10911,-37.667,-7.667,-27.667,0,14.333,-18,55.333,33.667,10.3333,-439.333,-117.333,87,133.333,18,1,0
도봉1동,11320521,-36030,-11.667,-43.333,8.667,-10.333,-38,-16.333,8.333,59.333,24.3333,-300,0,33.667,157.333,23,0,0
도봉2동,11320522,-1938,-58,-9.667,-25.667,-71,2.667,-31.667,63.667,67.667,20.6667,-313.667,-97.333,27.667,199,13,2,7.7
쌍문1동,11320660,27625,10,10.667,159.667,-1.333,22.667,-1.333,83.333,22.667,17.6667,-226.667,-140.667,14.333,109,18,0,5.6
쌍문2동,11320670,2321,-25,-40.667,71,-1.667,-32.667,28,30,25,30,-214,-101.333,91.333,123.667,14,0,28.6
쌍문3동,11320680,-519,-2.667,-23.667,62.333,-5,36,27.333,9.667,41,24,-286.333,-128.333,37,96.333,16,0,0
쌍문4동,11320681,49130,-29.333,-72.333,-18,6.667,-88,-49.667,52.333,2.667,1.3333,-34,-112.667,-23,120.333,10,0,0
방학1동,11320690,-21720,-26.667,-43.667,95,64.333,-24.333,14.333,72.667,66,19.6667,-342,-91,99.333,146,24,1,0
방학2동,11320700,19933,-28.333,-68.667,-37.667,37.667,-55.667,20,62,24.333,14.6667,-278,-49.667,101.333,207,12,0,8.3
방학3동,11320710,-21157,2.333,-45.667,-26.667,31.333,-16,-21.667,85.667,18.667,20.3333,-89,-224.667,111.333,213.333,9,0,0
월계1동,11350560,-49411,-39.667,-9.667,324,1.667,75.667,38.667,27.667,23.667,7.6667,-170.667,-72.667,-13.333,158.333,36,2,0
