지역,행정동코드,2018년2분기주거인구,2018년2분기직장인구,면적,직장인구,주거인구
종로구,11110,64.09329628,130.0923169,2391,311050.7297,153247.0714
중구,11140,120.122686,508.0957036,996,506063.3208,119642.1953
용산구,11170,105.608136,81.65027458,2187,178569.1505,230964.9934
성동구,11200,183.7341995,113.9962223,1686,192197.6308,309775.8604
광진구,11215,198.7435092,45.17185175,1706,77063.17909,339056.4267
동대문구,11230,236.5285892,63.48954284,1422,90282.12992,336343.6538
중랑구,11260,219.4898885,29.07266356,1850,53784.42759,406056.2937
성북구,11290,177.0590911,27.14292139,2457,66690.15786,435034.1868
강북구,11305,135.8295018,15.36911712,2360,36271.1164,320557.6242
도봉구,11320,162.4256537,19.00863647,2066,39271.84295,335571.4005
노원구,11350,152.5491481,19.28915219,3544,68360.75536,540634.1809
은평구,11380,154.294837,16.50773736,2971,49044.4877,458409.9607
서대문구,11410,177.4311395,42.84850769,1763,75541.91906,312811.0989
마포구,11440,151.0358968,89.54659496,2385,213568.629,360220.6139
양천구,11470,256.7378595,39.76701234,1741,69234.36848,446980.6134
강서구,11500,138.5658503,45.14950017,4144,187099.5287,574216.8836
구로구,11530,199.973347,85.56773259,2012,172162.278,402346.3742
금천구,11545,181.3810276,145.3565457,1302,189254.2225,236158.0979
영등포구,11560,169.1656343,224.5805935,2455,551345.357,415301.6322
동작구,11590,224.4027176,41.1396505,1635,67263.32857,366898.4433
관악구,11620,168.7227585,23.07609318,2957,68236.00753,498913.1969
서초구,11650,91.11129145,102.9406615,4698,483615.2277,428040.8472
강남구,11680,141.254335,211.3094288,3950,834672.2438,557954.6233
송파구,11710,196.7894173,91.57891524,3387,310177.7859,666525.7564
강동구,11740,168.4407437,36.5853223,2459,89963.30754,414195.7888
