지역,남성,여성
종로구,4571,6522
중구,4869,5385
용산구,9021,7138
성동구,3624,4508
광진구,6646,8999
동대문구,6518,10710
중랑구,2032,2932
성북구,4763,7761
강북구,1428,2357
도봉구,930,1384
노원구,1937,2610
은평구,1845,2651
서대문구,4557,9463
마포구,4505,7471
양천구,1820,2262
강서구,3191,3341
구로구,18894,14208
금천구,11039,8458
영등포구,19031,15045
동작구,5764,7105
관악구,8463,9373
서초구,2112,2119
강남구,2524,2491
송파구,3291,3558
강동구,1997,2306
