지역,남성,여성
종로구,4275,5514
중구,4413,4982
용산구,8885,6683
성동구,3697,4305
광진구,6405,8366
동대문구,5998,9626
중랑구,1908,2837
성북구,4568,6989
강북구,1450,2228
도봉구,817,1351
노원구,1570,2242
은평구,1897,2506
서대문구,4014,7967
마포구,4197,6619
양천구,1765,2110
강서구,3255,3469
구로구,18864,14206
금천구,11082,8407
영등포구,19808,15690
동작구,5688,6799
관악구,8635,9277
서초구,2083,2062
강남구,2517,2419
송파구,3310,3412
강동구,2074,2227
