NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
중화2동,11260610,dong,중랑구,중화2동,14541.66667,13530,7296.333333,3129,1922,1258,311.6666667,1327,1710,3925.333333,4235.333333,4280.666667,5682.333333,3888,2253.333333,661,28790.75637,4234.685059,13,7.7,1,103485
묵1동,11260620,dong,중랑구,묵1동,17697,18439.66667,4727.666667,3327.333333,3041.666667,2678,642.6666667,2901,3362,4972.666667,5790.333333,6090.666667,5669.333333,4163.666667,2303,771.3333333,34133.94034,3080.058731,22,0,1,125195
묵2동,11260630,dong,중랑구,묵2동,10054.33333,10210.66667,3891,2144.333333,1629.333333,1140.333333,300.3333333,1358.333333,1483,3039.666667,3370,3187.333333,3374.333333,2597,1396.666667,400.3333333,20021.70072,1853.652099,15,6.7,0,78054
망우본동,11260655,dong,중랑구,망우본동,16134.66667,15814,6750,3236.333333,2378.666667,1819,437.3333333,1876.666667,2350,4553.333333,4650,4795,6069,4455.666667,2293.666667,765,30765.63422,5204.099852,31,9.7,2,80079
망우3동,11260660,dong,중랑구,망우3동,9245.666667,9163.666667,3735.333333,2005.333333,1410.333333,999.3333333,226.3333333,1044.333333,1526,2545.666667,2602.333333,2910.333333,3503.333333,2401,1325.333333,469.6666667,19021.90914,1680.510858,11,0,0,66780
신내1동,11260680,dong,중랑구,신내1동,20240.33333,20993,3543.333333,3467.333333,3153.333333,3352.666667,1070,4298,3965.333333,5417.333333,5855,6428.333333,6912.333333,4576.666667,2599.333333,983.3333333,45532.16688,6706.14697,20,0,0,100616
신내2동,11260690,dong,중랑구,신내2동,11035.33333,11757.66667,2839.666667,2284.666667,1959.666667,1556,322.6666667,1761,2230.666667,2796,3478.666667,3716.333333,3838,2814.333333,1444.333333,626,24862.77318,4332.892085,9,0,1,133999
성북구,11290,gu,성북구,계,215767,227016.3333,75586,41174.33333,35425.33333,31372.33333,7493.666667,33111.33333,41582,63701,64034.33333,76334.66667,68641.33333,49920,32045,11504,442243.3697,64540.81775,363,4.1,11,105488
성북동,11290525,dong,성북구,성북동,8275.333333,9167,3798.333333,1768.333333,1213.333333,933.6666667,288.3333333,995.3333333,1459.666667,2733.333333,2645.666667,2924.666667,2713.333333,1854.666667,1371.333333,624.6666667,12455.75726,2841.915423,18,5.6,0,133678
삼선동,11290555,dong,성북구,삼선동,12884.66667,13708,5966,2373,1703.666667,1543,397.6666667,1594.333333,2385.666667,4534.666667,4007,4557,3956,2770,1949.333333,700,28581.30636,7071.317167,37,2.7,2,108223
동선동,11290575,dong,성북구,동선동,6844.333333,8953.666667,5831,1473.666667,937.3333333,658,186.6666667,754.6666667,1172,3985.333333,2789,2295,1900.666667,1418.666667,1041.333333,363.3333333,15811.10417,6139.758686,41,7.3,0,158931
돈암1동,11290580,dong,성북구,돈암1동,7784.333333,8757,1772,1573.333333,1331.666667,1199.666667,289,1050.333333,1689.666667,2264.666667,2266.666667,2738.333333,2808,2042.666667,1173.333333,450.3333333,17496.54932,1023.525308,7,0,0,83577
돈암2동,11290590,dong,성북구,돈암2동,12039.33333,13147.33333,1642.333333,1833,2180,2247.333333,558.3333333,2499,3036.666667,3020,3391.666667,4924.666667,3907.333333,2363.333333,1374,583,21844.45007,768.9913503,4,0,0, 
안암동,11290600,dong,성북구,안암동,7761.666667,7541.333333,6023.333333,1437,889.3333333,697,139,570.6666667,1142.333333,4349,2247.666667,2030.333333,2112.333333,1403.333333,999.3333333,396.6666667,15636.88763,8154.715446,50,4,1,105593
보문동,11290610,dong,성북구,보문동,8255,8713.333333,3815,1604.666667,1260,1000.666667,220.6666667,1135,1177.333333,2895.333333,3032.666667,2807.333333,2632,1738,1064.333333,423.3333333,17131.05891,3529.64229,18,5.6,1,93921
정릉1동,11290620,dong,성북구,정릉1동,8847,9404,2201.333333,1650,1676,1471.666667,345,1513.666667,1882.333333,2247.333333,2647,3379.666667,2739,1975,1316.333333,478.3333333,19491.38714,1055.663964,13,0,1,78144
정릉2동,11290630,dong,성북구,정릉2동,11885,12296,3061.333333,2340.666667,1992,1715.333333,409.3333333,1856.333333,2210.333333,3085.666667,3425,4044,3862.333333,3079.666667,1847.666667,669.3333333,24760.41725,1475.985943,15,6.7,0,95985
정릉3동,11290640,dong,성북구,정릉3동,8018.333333,8046,4037.666667,1533.333333,1061,836.6666667,218.6666667,859,1239,2763,2170.666667,2307.333333,2488,2090,1513.666667,544.6666667,18381.91975,3336.655947,12,16.7,0,89100
정릉4동,11290650,dong,성북구,정릉4동,13179.33333,13886.66667,3688.333333,2599.333333,2226.333333,1847.333333,457.6666667,2139.333333,2573.666667,3265.333333,3934,4795.666667,4175.333333,3288.666667,2075.666667,693.3333333,22902.3342,2365.487438,15,0,1,123175
길음1동,11290660,dong,성북구,길음1동,17991,19616.33333,2535,2427.666667,3205,3698.666667,734.3333333,4803.333333,4805.666667,3447.666667,5811,8288,4491,3138.333333,2026.333333,676,35259.70141,2146.268993,5,0,1,157076
길음2동,11290685,dong,성북구,길음2동,5886.333333,6180,2374.666667,1476.333333,1443.333333,1321.666667,301.3333333,916,1117,1525.333333,1654,2115,1987.333333,1514,869.3333333,312,11354.5908,1572.995518,8,0,0,167971
종암동,11290705,dong,성북구,종암동,20403.66667,20705.66667,6447.333333,3598.666667,3183,2980,734,3325.333333,4115,5873,5910.666667,7130,6319.666667,4255.666667,2822.666667,1136,40402.38794,3643.462768,28,0,1,97690
월곡1동,11290715,dong,성북구,월곡1동,13574,14327,3234.333333,2467.666667,2270.333333,2161,529,2622,2843,3063,4030.666667,5108,4202.333333,3250.333333,2029.666667,648.3333333,26427.73157,3062.458832,15,0,0,92364
월곡2동,11290725,dong,성북구,월곡2동,9874.333333,10277.33333,4188,1902.666667,1501.666667,1301.333333,332.3333333,1434.333333,1694.333333,3187.333333,2927,3203,3134.333333,2426.333333,1477,576.6666667,20923.02974,5345.008525,27,3.7,2,97146
장위1동,11290760,dong,성북구,장위1동,10487.33333,10602.66667,3430.333333,2139.666667,1654,1331.333333,335.3333333,1171.333333,1918.666667,2986,2653,3492.333333,3936.666667,2732.333333,1624,491.3333333,20608.65587,895.0492501,9,0,0,57937
장위2동,11290770,dong,성북구,장위2동,8971,8907.666667,2551.666667,1570,1119.333333,802.3333333,216.6666667,881.6666667,1478,2333.333333,2160.666667,2846.666667,3285.666667,2564.666667,1687.333333,551,18962.04179,2098.709515,12,8.3,1,78088
장위3동,11290780,dong,성북구,장위3동,6074,5927,2386.333333,1566,1562.333333,1419.666667,289.3333333,884.6666667,1161.666667,1401.333333,1528,2097.666667,2113,1523.666667,943,305.3333333,11989.09199,1613.369924,5,0,0,96175
석관동,11290810,dong,성북구,석관동,16731,16852.33333,6601.666667,3839.333333,3015.666667,2206,511,2105,2480,4740.333333,4802.333333,5250,5877,4490.666667,2839.333333,880.3333333,32877.13253,4652.286397,24,8.3,0,92037
강북구,11305,gu,강북구,계,158606.3333,165446.3333,60178.66667,34022.66667,25088.66667,19129,4769,20174,26559.33333,44052.33333,45200.66667,52827.33333,54593.66667,42220.66667,28057.33333,8948.666667,324551.8007,35748.87783,266,2.6,11,94772
삼양동,11305534,dong,강북구,삼양동,14270.66667,14398.66667,4626.666667,2733.333333,2036,1559,409.6666667,1885.333333,2568.333333,3602.333333,3942,4624.333333,5098.666667,3709.666667,2347.666667,750.6666667,27835.37669,1452.090831,13,0,3,82587
미아동,11305535,dong,강북구,미아동,11044.66667,11837.33333,5767.666667,2433.666667,1644.666667,1173,295.3333333,1096.333333,1670.333333,3667.666667,3348.666667,3507.666667,3988,3016.666667,1916,602.3333333,25548.25181,2886.311299,32,0,1,90833
송중동,11305545,dong,강북구,송중동,14346.66667,15404.66667,5822.333333,3156.666667,2431,1912.333333,472,1637.666667,2270,4172,4277.333333,4794.666667,5035.333333,4102,2567.666667,755,27694.68189,3184.334579,27,0,1,119878
송천동,11305555,dong,강북구,송천동,14712.33333,14727.66667,6304.333333,3214,2135.666667,1616.666667,377.6666667,1523.333333,2125.666667,3941.333333,3955,4548,5485.333333,4187,2693,853.6666667,28734.42989,3269.198245,27,0,0,87131
삼각산동,11305575,dong,강북구,삼각산동,16249.33333,17433.33333,2573,2496,2763,3068,662.3333333,3731.333333,4363.666667,3406.666667,4717,7141.333333,4703.666667,3030.666667,1835.333333,644,34250.99792,1299.083639,7,28.6,0,126021
번1동,11305590,dong,강북구,번1동,9739.333333,9892.666667,5491.666667,2159,1432,913.6666667,208,919.3333333,1345.666667,3253,3079.333333,3225,3207.666667,2409.666667,1619,492.6666667,20548.17611,4528.846573,34,5.9,0,97625
번2동,11305600,dong,강북구,번2동,8606.333333,9072,2827.666667,2081.666667,1482,947.3333333,238,966.6666667,1412.333333,2271.333333,2302.333333,2832.333333,2980.333333,2513,1843,496,17182.9681,2006.27417,7,0,0,80947
번3동,11305606,dong,강북구,번3동,9130,10037,2312.666667,2151.333333,1518,1195,305,1225.666667,1714.333333,2208.666667,2303,3151.666667,2936.333333,2681.666667,2312.666667,539.6666667,20146.07052,1579.361913,8,0,0,100392
수유1동,11305610,dong,강북구,수유1동,10984.66667,11196.66667,4748.333333,2360.333333,1658.333333,1213,303.6666667,1263.666667,1697.333333,3255.666667,3151.333333,3404,3863.333333,2913.666667,1871.666667,643.3333333,21144.64484,2916.963834,20,5,1,96258
수유2동,11305620,dong,강북구,수유2동,10908.66667,11536.33333,3514.666667,2524.666667,1786.666667,1316,380.3333333,1346.333333,1766.666667,3084.666667,2959,3504.666667,3924,2986.666667,2017.666667,768,21272.08873,2021.981354,18,5.6,1,77366
수유3동,11305630,dong,강북구,수유3동,11939.33333,11918.33333,6912.666667,2584.666667,1780,1120.666667,259.3333333,1108.666667,1383.666667,4017,3853.333333,3629.333333,4072.666667,3059.666667,1989.333333,661.3333333,23365.01702,4701.800067,32,0,1,106824
우이동,11305645,dong,강북구,우이동,10621.33333,11172.66667,3602,2463,1732.666667,1238.666667,348.3333333,1403.333333,1685,2830,2841.666667,3406.333333,3666.666667,3014,2112.666667,694,20896.62137,2261.955791,14,0,3,83913
인수동,11305660,dong,강북구,인수동,16053,16819,5675,3664.333333,2688.666667,1855.666667,509.3333333,2066.333333,2556.333333,4342,4470.666667,5058,5631.666667,4596.333333,2931.666667,1048,38330.93064,3982.137475,27,3.7,0,66576
도봉구,11320,gu,도봉구,계,168299,175082,45364,33751.66667,28399.66667,23704,5652.666667,23289.66667,31276.33333,46759.66667,46703.33333,55459,59929.66667,43665.33333,25441.66667,9394.333333,341778.1175,38782.80484,218,2.3,5,100935
창1동,11320511,dong,도봉구,창1동,12961,14113.66667,3635.666667,2615,2270.333333,1925,380.3333333,2027.333333,2633.333333,3538,4021.333333,4759.333333,4338,3065.666667,1856.333333,723,21941.93948,1378.638738,13,0,1,90213
창2동,11320512,dong,도봉구,창2동,15486.33333,16016,3781.333333,3112,2682.333333,2119,514,2354,2798.333333,4513.666667,4815,5209,5331,3573.333333,2119.333333,708.3333333,52156.80973,3677.734241,18,0,0,89858
창3동,11320513,dong,도봉구,창3동,7611.666667,7644.666667,2616.333333,1644.666667,1198.333333,897.3333333,225.6666667,1013.333333,1303.333333,1995,2018.333333,2529,2671,1961,1274.333333,420,16452.52008,976.9178323,11,9.1,0,92028
창4동,11320514,dong,도봉구,창4동,13880.33333,14811.66667,2846.666667,2370,2349.666667,2391,515.6666667,2201,3234.666667,3895,3746.333333,5146.666667,4985.666667,2981.333333,1604.666667,780,23978.42457,3116.49747,17,0,0,165312
창5동,11320515,dong,도봉구,창5동,12719.33333,13594,2893.333333,2351.333333,2275,2048.666667,427.6666667,1952.666667,2348.666667,3791.666667,3912,4022.666667,4654,3198.666667,1664.333333,672.6666667,26401.25883,5154.69401,17,5.9,1,128163
도봉1동,11320521,dong,도봉구,도봉1동,11686.33333,11451,4217,2679,1796.333333,1196.666667,325.3333333,1178.666667,1536.333333,2936.333333,2927.333333,3363,4191.333333,3632.666667,2471.666667,786.6666667,23821.02509,3255.509489,23,4.3,0,105544
도봉2동,11320522,dong,도봉구,도봉2동,14381.66667,14814.33333,4106.666667,3118.333333,2497.333333,1830,453.6666667,2029,2085.666667,3591.666667,4188,4177.333333,4929.666667,4537.333333,2564.333333,948.3333333,19772.53781,3755.334908,14,0,2,90561
쌍문1동,11320660,dong,도봉구,쌍문1동,10785.33333,11324,3155.666667,2331.666667,1880.666667,1438,403,1357,2064.333333,3016.333333,2800.333333,3609.333333,3810.333333,2832.666667,1923.333333,588.3333333,25303.3704,2534.761812,18,0,0,60959
쌍문2동,11320670,dong,도봉구,쌍문2동,9926,10489.33333,3067,2222.333333,1700.666667,1242.333333,304.3333333,1276,1794.666667,2759,3004.666667,3213.666667,3464,2621,1565,611,20335.19719,3002.424989,15,6.7,0,92455
쌍문3동,11320680,dong,도봉구,쌍문3동,8382,8877.666667,3181.333333,1926.333333,1389,1045.666667,255,1027.666667,1234.666667,2524.666667,2653,2661,2868.666667,2248.333333,1521,447,17438.25602,2042.121985,16,0,0,108548
쌍문4동,11320681,dong,도봉구,쌍문4동,9775.333333,10638,1536,1588.666667,1756,1823.666667,380.6666667,1424.333333,2358.333333,2910,2528.333333,3448,3709.666667,2348.666667,1104.333333,504.6666667,17715.71065,1118.826593,10,0,0,95068
방학1동,11320690,dong,도봉구,방학1동,15063.66667,15324.66667,4695,2990,2352.666667,2021,539.6666667,1912.666667,2671.666667,4234,3811.666667,4857.333333,5611.666667,4130.333333,2302,737.3333333,20212.1647,3356.661883,24,4.2,1,109778
방학2동,11320700,dong,도봉구,방학2동,11148.33333,10854.33333,3826,2366.666667,1741.666667,1204,328,1250.333333,1951.666667,3036.666667,2705.333333,3563.666667,4009,2958,1802.666667,617.3333333,14867.5793,866.9005406,13,0,0,81573
방학3동,11320710,dong,도봉구,방학3동,14491.66667,15128.66667,1806,2435.666667,2509.666667,2521.666667,599.6666667,2285.666667,3260.666667,4017.666667,3571.666667,4899,5355.666667,3576.333333,1668.333333,849.6666667,42564.98222,2584.866142,9,0,0,79830
노원구,11350,gu,노원구,계,268440,283961.6667,69724.33333,48924.66667,44376,42664.66667,9066,40585,63408,76543.33333,73978.33333,97658,89770,60154,34312.66667,13799.33333,555088.614,66930.70185,351,4.8,13,136970
월계1동,11350560,dong,노원구,월계1동,12214.33333,11479.33333,4434.666667,2198.666667,1779.333333,1583.666667,406,1650.666667,1969.666667,3871,3394.333333,3661.333333,3719.333333,2975.333333,1756.333333,601.3333333,25671.74269,2690.317934,35,2.9,2,152772
월계2동,11350570,dong,노원구,월계2동,13091.66667,13977.33333,4082,3094.333333,2324.333333,1867,427.6666667,1921,2485.333333,3207,3583.666667,4463,4505,3781,2134.333333,841.6666667,26151.23839,2133.800748,18,0,0,72705
월계3동,11350580,dong,노원구,월계3동,15930,17043,3858.666667,3520.666667,2810.666667,2158,476,3005,2590.333333,3937.666667,5568.333333,5227,5016,4234,2381.666667,885.6666667,30940.15157,1723.196702,9,0,1,155292
공릉1동,11350595,dong,노원구,공릉1동,19357.33333,20076.33333,8249,3676.333333,2930,2506.333333,552,2645.333333,3275.666667,6805,6315,5966,6254.666667,4748,2423.666667,853.3333333,46114.86428,10287.77688,47,0,2,112986
공릉2동,11350600,dong,노원구,공릉2동,20323.66667,20995.33333,5505.666667,3130.333333,3273,3422.333333,717.6666667,3573.666667,5077,6399.333333,5869.333333,7320.666667,6241,3939.666667,1989,788,38594.06641,6249.085828,41,4.9,1,134548
하계1동,11350611,dong,노원구,하계1동,14344.66667,15182,4524,2384,2165.333333,2321.333333,493.6666667,1401.666667,4182.333333,5197,2987.333333,5063.666667,5166.333333,2975.666667,1648.666667,782.6666667,30020.67374,8050.153929,21,4.8,0,104567
하계2동,11350612,dong,노원구,하계2동,11601.33333,12605.33333,1676.333333,1766.666667,1994,2275,443.6666667,1782.666667,3413.333333,3393,2809,4644.666667,4117.333333,2113,1262,593.6666667,24266.47881,590.5339423,4,0,1,189839
중계본동,11350619,dong,노원구,중계본동,13331.66667,13883.66667,2010,1406.333333,1913.666667,2709.666667,666.3333333,1750.666667,5085,3748.333333,2063,5962.666667,4823.666667,2043.333333,1108.666667,538,26686.92802,2203.766692,14,14.3,0,100159
중계1동,11350621,dong,노원구,중계1동,13972,14628.66667,1421,1352,2353.666667,3308,561.6666667,2062.333333,6261,3317,2023.333333,7298.333333,4426,1699.666667,999.3333333,446.6666667,29619.20424,1511.173596,14,7.1,0,221446
중계4동,11350624,dong,노원구,중계4동,10730,11236.66667,2574.666667,1961,1657.333333,1758.666667,383.3333333,1446.666667,2743.666667,2799,2382.333333,4070.333333,3612.333333,2552,1653.333333,613.6666667,23751.01264,2335.043569,12,0,0,130290
중계2.3동,11350625,dong,노원구,중계2.3동,17986.66667,20440,4905.333333,4029.666667,3091.333333,2669,543.3333333,2750.333333,4083,4670,5138.666667,6874,5875,4481,3088.333333,1303.666667,38857.53061,2762.500589,9,22.2,1,244997
상계1동,11350630,dong,노원구,상계1동,20221.33333,21119,4388.333333,3663.333333,3353,3130.333333,795.3333333,2920.333333,3995.666667,5869,5603.666667,6624,7332.666667,5033,2703,1030.666667,45962.27678,6719.466693,27,3.7,1,136347
상계2동,11350640,dong,노원구,상계2동,10757.33333,10999,3224,1715.666667,1622.333333,1706.333333,359,1196.333333,2311,3550.666667,2606.333333,3603.666667,4066.666667,2493,1330,510.6666667,21191.20653,4350.120948,25,4,1,163324
상계3.4동,11350665,dong,노원구,상계3.4동,13723.33333,13678,4612.333333,2920,2102.666667,1704.333333,456,1523.666667,2460.333333,3300.333333,3137.666667,4412,4899.666667,3911.666667,2712.333333,895.3333333,32710.34404,3285.984019,15,6.7,1,86856
상계5동,11350670,dong,노원구,상계5동,13115,13635.66667,3896,2617.333333,2138,1708,410.6666667,1469.333333,2637.666667,3748.666667,3165,4453.666667,4783,3357.333333,2193.333333,793,20593.23823,1535.713381,12,16.7,1,88974
상계6.7동,11350695,dong,노원구,상계6.7동,16793.66667,19038.33333,4242.666667,3312.666667,3031,2764.666667,510.3333333,3245.333333,3775,4807.333333,5613.666667,6524.666667,5617,3440.666667,1811.666667,863,27798.70618,6872.660025,30,10,0,172108
상계8동,11350700,dong,노원구,상계8동,12004,12872.33333,2299.666667,2287,2291.333333,1947,344,3113.666667,2658,2606,5587.666667,4353,2912,2017,1070.666667,492.3333333,25070.77647,1185.881481,6,0,1,182386
상계9동,11350710,dong,노원구,상계9동,10935.66667,11797,2062.333333,2143.666667,2050,1787.333333,323.6666667,1848.666667,2655.333333,2856,3292.666667,4137.666667,3580.333333,2501.333333,1235,557.3333333,22097.32341,1251.763757,7,0,0,184377
상계10동,11350720,dong,노원구,상계10동,8006.333333,9274.666667,1757.666667,1745,1495,1337.666667,195.6666667,1277.666667,1748.666667,2461,2837.333333,2997.666667,2822,1857.333333,811.3333333,408.6666667,17433.42611,996.7083706,5,0,0,148789
은평구,11380,gu,은평구,계,235920,250308,77633.33333,48535.33333,39053,32153,8115.666667,34937.33333,44581.66667,65304.33333,72797.33333,82764.66667,77775.33333,57216.66667,36232.66667,12527,464548.7537,48403.12128,359,5.6,11,107123
녹번동,11380510,dong,은평구,녹번동,15795,16885,6680.333333,4211.666667,3203,2338.666667,574.3333333,2215.333333,2464.333333,4304.666667,5181.333333,5368.333333,5328.666667,4038.333333,2710.333333,915.3333333,29742.13477,6745.223659,25,16,2,106287
불광1동,11380520,dong,은평구,불광1동,20052.66667,21872.66667,6651.333333,4373,3479,2600.333333,595.6666667,3150,3269.666667,5621,6372.333333,6897.666667,6985,4901,3321.333333,1229.333333,33104.83223,2811.989373,15,0,1,115758
불광2동,11380530,dong,은평구,불광2동,14584.66667,15314,6020.333333,3311.333333,2325.666667,1639.333333,427.3333333,1569.333333,2354,4292,4393.333333,4693.666667,5167.666667,3917.333333,2559.333333,835.6666667,32081.18429,2816.413108,25,12,1,121774
갈현1동,11380551,dong,은평구,갈현1동,12371.33333,12871,4673.333333,2663.666667,1991,1441.666667,353.3333333,1358,2201.666667,3882.666667,3565.333333,4047,4345.666667,3162.666667,1969.666667,611,26640.46143,2294.220377,21,4.8,0,108005
갈현2동,11380552,dong,은평구,갈현2동,14633.33333,15903.33333,4331,3073.666667,2565.333333,2038.666667,461.6666667,2021.666667,3098.333333,4380,4625.333333,5231.333333,4901.333333,3370.333333,2072.333333,724.6666667,28728.02677,3174.513408,34,2.9,0,108852
구산동,11380560,dong,은평구,구산동,16834.66667,16768,4177,3200.333333,2734.333333,2331,612.6666667,2295.333333,3226,4454.666667,4585.333333,5646.666667,5612,4228,2524,886,35375.79868,4382.007364,23,4.3,1,103007
대조동,11380570,dong,은평구,대조동,15562,17299,6906.666667,3030.666667,2068.333333,1430.666667,351.6666667,1946.666667,2476.666667,5186,5428,5291.333333,5121,3850.666667,2606.666667,829.3333333,32264.98781,3433.02919,35,5.7,1,127126
응암1동,11380580,dong,은평구,응암1동,12528.66667,13529.33333,4848.666667,2534.333333,1949.333333,1635.666667,379,1884,2845.333333,3346.333333,4154.333333,4622.333333,3765,2837.333333,1834,667,28500.6099,4117.476816,26,3.8,0,116429
응암2동,11380590,dong,은평구,응암2동,10583.66667,10995.66667,2846.333333,2404.333333,2320.666667,1926,447,2393,2003.666667,2297,3703,4058.333333,3010.666667,2177.333333,1392,462,21031.65794,1419.003427,3,0,0,87781
응암3동,11380600,dong,은평구,응암3동,12934,13394,5913.666667,2910.666667,1928.666667,1428.333333,319.6666667,1334.333333,2119,3582,3684.333333,4173.666667,4496,3418.666667,2487.666667,908.6666667,20843.78861,1999.172651,28,0,0,103424
역촌동,11380625,dong,은평구,역촌동,23966.33333,26060.33333,7513,4917,4024.666667,3203.333333,798,3733.333333,4454,6731.333333,8105.333333,8568.666667,7890.666667,5680.333333,3538.666667,1145.666667,51182.17781,4158.991223,43,7,0,91025
신사1동,11380631,dong,은평구,신사1동,13577.33333,14321,3794,2910.666667,2462.333333,1967,470.3333333,1928.333333,2409.666667,3887.666667,4403.666667,4576.333333,4552,3318.333333,2071.333333,666.3333333,28719.19543,2070.678982,22,4.5,1,84368
신사2동,11380632,dong,은평구,신사2동,11068.33333,11014.66667,3215.666667,2175.333333,1800.333333,1494.333333,373.6666667,1473,2130.333333,2982.333333,3173.666667,3661,3668.333333,2802.333333,1532.333333,559,21052.1607,1723.652201,12,0,1,82622
증산동,11380640,dong,은평구,증산동,8279.666667,8457.333333,2479.666667,1727,1249.333333,1089,285.6666667,1061.666667,1434.333333,2211.666667,2301.666667,2710.666667,2861.666667,2228.666667,1384.666667,464.6666667,15487.60336,2054.789215,16,0,1,102552
수색동,11380650,dong,은평구,수색동,6669.333333,6533.333333,1392.666667,909.6666667,726,574.3333333,159.6666667,679.3333333,991.6666667,1754,1805,1948,2421,1951,1143,442,15313.38927,1432.838195,1,0,1,92054
진관동,11380690,dong,은평구,진관동,26479,29089.33333,6189.666667,4182,4225,5014.666667,1506,5894,7103,6391,7315.333333,11269.66667,7648.666667,5334.333333,3085.333333,1180.333333,49699.85938,4034.840656,30,10,1,116545
서대문구,11410,gu,서대문구,계,150946.3333,161584,59501.66667,30077.66667,24418.33333,20763,4977.666667,21638.66667,26712.33333,48229,46053.33333,51009,49604.33333,34704,23941,9099.666667,320210.2588,74021.13907,297,4.4,7,126994
천연동,11410520,dong,서대문구,천연동,9143.333333,9922.333333,3301.333333,1758.666667,1498,1248.666667,280.6666667,1582.666667,1748.333333,2344.333333,2773.666667,3325,3025,2002,1513,633.6666667,21020.69806,1571.515446,10,0,0,127557
북아현동,11410555,dong,서대문구,북아현동,8290.333333,9085.666667,2842,1681.333333,1507.333333,1184.666667,238,1475,1241.333333,2723.333333,3116,2825.666667,2843.333333,1599.333333,1075.333333,397.3333333,16227.14519,1229.842597,8,0,0,104061
충현동,11410565,dong,서대문구,충현동,8948.666667,9335.666667,4545,1752.333333,1217.333333,1042,254.6666667,882.6666667,1432.333333,2858.333333,2629,2895.333333,3203,2195.666667,1429.666667,606.3333333,18696.1082,24679.7672,28,3.6,2,110312
신촌동,11410585,dong,서대문구,신촌동,8394.333333,9848.666667,9391.666667,1503.333333,804.6666667,603,152,1019.666667,1003.666667,6004,3181.666667,2115.333333,1996.333333,1390.666667,1029.666667,409,19097.97875,20886.18294,84,4.8,2,185528
연희동,11410615,dong,서대문구,연희동,18330.33333,19406.33333,10193,3728,2583.666667,2126.333333,560,2002.333333,3012.333333,7159,6054,5852.666667,5531.666667,3867,2931.333333,1150,38799.63315,8804.16824,37,5.4,0,107496
홍제1동,11410620,dong,서대문구,홍제1동,11144,12466.66667,3496.333333,2465.333333,2070,1731,433.6666667,1615,2098.333333,3020.333333,3426.333333,4016.333333,3782.666667,2864,1948.333333,736.6666667,20329.96536,1417.046892,14,0,0,134221
홍제3동,11410640,dong,서대문구,홍제3동,8159,8645,2662,1662.666667,1348.333333,1072,270.3333333,930,1459,2217,2092.666667,2717,2823.333333,2221,1609.666667,634,12945.948,1160.134739,12,8.3,1,108688
홍제2동,11410655,dong,서대문구,홍제2동,7119.666667,7706.666667,1738.666667,1416,1262,1088.666667,256.3333333,1021,1285,1954,2008.333333,2393.333333,2690.333333,1745,1211.666667,440.3333333,22479.61792,1734.124942,4,0,1,173398
홍은1동,11410660,dong,서대문구,홍은1동,11593.33333,12141,3154.666667,2243.666667,1839.333333,1691.333333,420,1486,2227.333333,3140,2953.333333,3860.666667,4140,3008.666667,2009,791.3333333,23815.72967,1435.128083,10,10,0,73979
홍은2동,11410685,dong,서대문구,홍은2동,14398,15026.66667,4781.666667,2807,2195.333333,1804.666667,427.6666667,1777.333333,2749.666667,4294.333333,3963,4916,4916,3457.333333,2336.666667,871.6666667,29623.47024,3495.400647,20,10,0,98888
남가좌1동,11410690,dong,서대문구,남가좌1동,8139,8716.666667,1433,1204.666667,1474.333333,1470,334,2399.333333,1392,1858.666667,2901,3111.333333,2232.333333,1593,980.6666667,337.6666667,18352.0675,1395.026456,8,12.5,1,152798
남가좌2동,11410700,dong,서대문구,남가좌2동,10947.66667,11633.66667,4768.333333,2660.666667,2237.333333,1938.333333,417.3333333,1489,1976.666667,3405.333333,3078.333333,3678.333333,3658.333333,2599.666667,1837.666667,707.3333333,22690.36049,1534.864221,20,5,0,109731
북가좌1동,11410710,dong,서대문구,북가좌1동,9506.666667,10073.66667,1606.666667,1660.666667,1636.666667,1592,384.6666667,1768.333333,2067.666667,2364.333333,2902,3575.666667,3010.666667,2033.666667,1314.666667,467,17787.58672,1615.542903,10,0,0,98085
북가좌2동,11410720,dong,서대문구,북가좌2동,16832,17575.33333,5587.333333,3533.333333,2744,2170.333333,548.3333333,2190.333333,3018.666667,4886,4974,5726.333333,5751.333333,4127,2713.666667,917.3333333,37097.42719,2707.309363,32,0,0,93057
마포구,11440,gu,마포구,계,178783.6667,195987.6667,79296,36115.33333,28584,24419.66667,5628.666667,28643.66667,31495.66667,58234,67569.66667,64769.33333,53375.66667,36088.33333,23778,9249.333333,363248.4769,212266.677,557,4.8,15,143138
아현동,11440555,dong,마포구,아현동,11974.33333,13268,3221.333333,2257.666667,2383,1909.666667,341.3333333,2667,1788,3310.333333,5298.333333,4022.666667,3886.333333,2283.333333,1306.666667,557.3333333,23818.38752,19246.92613,23,8.7,1,153369
공덕동,11440565,dong,마포구,공덕동,19063.66667,20883,8829.333333,3986,3087.666667,2499.333333,523.3333333,2586.666667,2887.333333,6404.333333,6859.666667,6502.333333,6591.333333,4171.666667,2706.333333,1052.666667,41657.5461,12283.75162,32,3.1,1,95283
