NM,CD,GUBUN,,자치구,행정동,,,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
광희동,11140590,dong,중구광희동,중구,광희동,2620,2317,1931.666667,515.3333333,282.6666667,182.3333333,48.33333333,156,219.3333333,721.6666667,718.6666667,631.3333333,904,851.3333333,501.6666667,187.6666667,4900.326944,39270.12411,48,0,1,182133
을지로동,11140605,dong,중구을지로동,중구,을지로동,1078.666667,671.3333333,1075.333333,155.3333333,64,38.33333333,11.33333333,48,37.66666667,213,231.3333333,196.3333333,362.6666667,370.3333333,188.3333333,75.33333333,1672.513492,28785.66305,29,3.4,2,187634
신당동,11140615,dong,중구신당동,중구,신당동,3864.666667,3840.666667,2776.666667,824,431,326,67.33333333,269.6666667,372,1368.333333,1284.333333,1193,1387.666667,923,629,228,7440.64534,14702.96116,36,2.8,1,288216
다산동,11140625,dong,중구다산동,중구,다산동,7107.333333,7510,3163.333333,1624.666667,1049,872,187.3333333,660,1003.333333,2371.333333,2389.333333,2239.333333,2372,1864,1231.333333,410,14015.59165,7501.78799,17,0,1,123624
약수동,11140635,dong,중구약수동,중구,약수동,8356.333333,9370,2876.666667,2032.333333,1543,1034.333333,239.6666667,1304.333333,1095.333333,2121,2747,2649.666667,2896,2497.666667,1553.666667,736,16734.2043,2892.843471,12,8.3,2,149303
청구동,11140645,dong,중구청구동,중구,청구동,6934,7660,2477.666667,1512.666667,1156.666667,915,230,915.3333333,1027.666667,2075.333333,2370.666667,2160,2451.666667,1785,1166.666667,553.6666667,14454.58602,2840.278864,7,0,0,113554
신당5동,11140650,dong,중구신당5동,중구,신당5동,4672.333333,4708.666667,2626,1150.333333,759.6666667,580.3333333,145,591.6666667,619,1330.333333,1391,1538.666667,1696,1161.333333,724.6666667,285,11316.73148,2515.666936,7,0,0,143454
동화동,11140665,dong,중구동화동,중구,동화동,5311.333333,5714,1160,951,876.3333333,854,232.3333333,827.3333333,922.3333333,1586,1535.666667,1705,1989,1291.333333,730,361,8947.39872,2205.733088,13,0,0,108339
황학동,11140670,dong,중구황학동,중구,황학동,6096.666667,6400.666667,3752,1485,886,581,141.3333333,772.6666667,560.3333333,2099.333333,2768.333333,1830.666667,1828.666667,1444.666667,830.3333333,309.6666667,12459.06242,3241.652273,13,0,0,152311
중림동,11140680,dong,중구중림동,중구,중림동,6359.333333,6363.666667,2499.666667,1279,1029,792.3333333,174.3333333,1072,838.3333333,1563,2519.666667,1980.666667,2012.333333,1382.666667,890.3333333,378.6666667,7807.767404,7517.351141,13,7.7,0,152902
용산구,11170,gu,용산구계,용산구,계,110653.3333,118551.3333,52515,22844,17053,13544.66667,3541,14542.33333,17086.66667,32651,38230.33333,37012,36324.33333,26738,17013,7851.666667,231485.8961,181987.8311,296,3,13,134626
후암동,11170510,dong,용산구후암동,용산구,후암동,8817.333333,9336.333333,4076.333333,1750.666667,1383.666667,981.3333333,293.3333333,1126.666667,1459,2602.666667,2960.666667,2924,2909.666667,2121.666667,1320,565.3333333,18028.92449,3312.647758,17,11.8,0,111138
용산2가동,11170520,dong,용산구용산2가동,용산구,용산2가동,5147.333333,5518,2808.666667,1201,765,496.3333333,134.6666667,482,691,1635,1864.666667,1536.666667,1620,1439,904.3333333,403.3333333,9961.086225,3405.245911,19,0,1,92842
남영동,11170530,dong,용산구남영동,용산구,남영동,4814.333333,3026.333333,4188.666667,599.6666667,308.6666667,241.6666667,69.33333333,258.3333333,292.3333333,975.6666667,1060.666667,1209.333333,1704.666667,1309,678,262.3333333,12654.36234,52774.47968,31,6.5,3,108323
청파동,11170555,dong,용산구청파동,용산구,청파동,9549.666667,10528.33333,6395.333333,1985.666667,1191.333333,932.3333333,255.6666667,801.6666667,1408.666667,3999,3108.666667,3058.666667,3164.333333,2255.666667,1547.333333,609.6666667,21274.47342,8594.740433,28,0,0,103724
원효로1동,11170560,dong,용산구원효로1동,용산구,원효로1동,7522.333333,8038,3756.666667,1667.666667,1248,940.6666667,227.6666667,1371.333333,906,2362,3567.666667,2525,2095,1497.333333,818.3333333,329.3333333,14152.93555,17151.52369,22,4.5,0,106763
원효로2동,11170570,dong,용산구원효로2동,용산구,원효로2동,6982,7880.666667,2103.333333,1292.333333,1186,1055,264.6666667,1076.666667,1461.333333,1945.666667,2209.333333,2524,2346.333333,1689,1044.666667,486.6666667,11580.95475,4110.02144,16,0,0,81935
효창동,11170580,dong,용산구효창동,용산구,효창동,4279.333333,4710.666667,1479,1006.666667,821.3333333,713.6666667,190.3333333,687,766.6666667,1333.666667,1598.333333,1417.333333,1353.333333,884.3333333,597,294.6666667,8537.871545,1755.62496,10,20,0,104362
용문동,11170590,dong,용산구용문동,용산구,용문동,6053,6563.333333,1960,1299.666667,1019.333333,835,218.3333333,890.3333333,998.3333333,1782.666667,2130,2003.666667,1986.666667,1480.666667,923,348.3333333,12639.89713,1034.692551,7,0,1,136015
한강로동,11170625,dong,용산구한강로동,용산구,한강로동,8623.333333,9169.333333,5575,1839.666667,1226.333333,917.6666667,196.6666667,933.3333333,892.6666667,2705.333333,3479.333333,2590.666667,2964.333333,2155.333333,1301.333333,598.6666667,13481.42101,61474.07111,46,4.3,4,148130
