NM,CD,GUBUN,,자치구,행정동,,,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
면목본동,11260565,dong,중랑구면목본동,중랑구,면목본동,17800.66667,17938.66667,8440,3973,2728.333333,1935.666667,460,1986,2346,5369.666667,5853.666667,5494,6551,4570.333333,2621,828.3333333,42818.62602,2970.196128,29,6.9,1,88108
면목7동,11260570,dong,중랑구면목7동,중랑구,면목7동,10899,11020.33333,4349,2477.666667,1792,1373,307,1243,1368,3141.666667,3267.333333,3225.666667,4066.333333,3159.666667,1762.666667,602,15890.76768,1103.847027,17,0,0,101222
면목3.8동,11260575,dong,중랑구면목3.8동,중랑구,면목3.8동,13301.66667,13213.66667,5592,2926.666667,2097,1507.333333,336.3333333,1323.333333,1826,3875.666667,3919.333333,3937.333333,4902.333333,3733,2210.333333,680.6666667,27222.97854,3772.339021,20,5,1,90902
상봉1동,11260580,dong,중랑구상봉1동,중랑구,상봉1동,12399.33333,12982,3175.333333,2378,2208.666667,2023.666667,391,1968.333333,2272.666667,3787,3836.333333,3820.333333,4559,2955,1555.333333,555.6666667,24598.476,2846.020412,16,6.3,0,78233
상봉2동,11260590,dong,중랑구상봉2동,중랑구,상봉2동,9323.666667,9657.666667,6585,2259.666667,1296,845,168.3333333,881,965,3456.333333,3814.333333,2708.333333,3146,2271.333333,1253,417.3333333,19283.78385,7634.88424,36,0,2,110519
중화1동,11260600,dong,중랑구중화1동,중랑구,중화1동,10275.33333,10571,3250.333333,2240.666667,1772.333333,1353.666667,335.6666667,1460.666667,1519.666667,3106.333333,3449.333333,2901.666667,3669.333333,2781,1388,496.3333333,22808.27797,2071.345508,18,0,1,48656
중화2동,11260610,dong,중랑구중화2동,중랑구,중화2동,14434,13615.33333,7296.333333,3129,1922,1258,311.6666667,1235,1605.333333,4030.666667,4217,4071,5648.333333,4057,2312.333333,754.6666667,28568.30785,3191.830088,13,23.1,1,97083
묵1동,11260620,dong,중랑구묵1동,중랑구,묵1동,17611,18434.66667,4727.666667,3327.333333,3041.666667,2678,642.6666667,2750,3307.666667,4937.333333,5613.666667,6061,5693,4270,2453.666667,837.6666667,36928.2831,3348.550692,23,4.3,1,96999
묵2동,11260630,dong,중랑구묵2동,중랑구,묵2동,9919.333333,10169.33333,3891,2144.333333,1629.333333,1140.333333,300.3333333,1283.666667,1384.666667,2956.333333,3404,3026.666667,3330,2742,1457.666667,435.6666667,20363.48707,2007.609915,15,0,0,90136
망우본동,11260655,dong,중랑구망우본동,중랑구,망우본동,15902.66667,15463.33333,6750,3236.333333,2378.666667,1819,437.3333333,1736.666667,2186,4348,4448,4560.333333,6052.666667,4607,2419,856,29136.7772,5456.998873,28,3.6,2,111890
망우3동,11260660,dong,중랑구망우3동,중랑구,망우3동,9063.333333,8940,3735.333333,2005.333333,1410.333333,999.3333333,226.3333333,976.6666667,1396.333333,2493,2464,2680.333333,3471.666667,2533.666667,1413.333333,489.6666667,18513.25269,1758.293334,11,0,0,69143
신내1동,11260680,dong,중랑구신내1동,중랑구,신내1동,20096.33333,20967,3543.333333,3467.333333,3153.333333,3352.666667,1070,4033.333333,3897.333333,5372.333333,5692.333333,6274.666667,6881,4874,2733.666667,1100,43341.42078,7268.563449,21,0,0,82810
신내2동,11260690,dong,중랑구신내2동,중랑구,신내2동,10679.33333,11563,2839.666667,2284.666667,1959.666667,1556,322.6666667,1655,2038,2754,3302.666667,3533,3733,2937.666667,1539.666667,655.3333333,23570.17445,4615.220089,9,0,1,111366
성북구,11290,gu,성북구계,성북구,계,212012,224411,75586,41174.33333,35425.33333,31372.33333,7493.666667,31082.33333,39987.66667,63938.33333,61661.66667,73068.66667,68683.66667,51005.33333,32521.66667,12388.66667,432611.5835,68750.06633,358,3.6,11,110578
성북동,11290525,dong,성북구성북동,성북구,성북동,8210.333333,9081.666667,3798.333333,1768.333333,1213.333333,933.6666667,288.3333333,943.6666667,1368.666667,2731,2666,2760.333333,2753.333333,1915,1383.333333,645,12250.63213,3020.933717,15,0,0,119698
삼선동,11290555,dong,성북구삼선동,성북구,삼선동,12692,13667.66667,5966,2373,1703.666667,1543,397.6666667,1466.333333,2305.333333,4602.666667,3896,4337,4061.666667,2834.666667,1947.333333,772,28470.38986,6844.016461,37,0,2,117923
동선동,11290575,dong,성북구동선동,성북구,동선동,6660,8932,5831,1473.666667,937.3333333,658,186.6666667,666,1104.333333,4079,2707.333333,2175,1873.666667,1430.333333,1071.666667,399.3333333,15823.10956,6329.844094,42,4.8,0,157419
돈암1동,11290580,dong,성북구돈암1동,성북구,돈암1동,7575.666667,8617.333333,1772,1573.333333,1331.666667,1199.666667,289,990,1547,2253,2205.666667,2500,2830.666667,2079.666667,1234,489.6666667,16810.65995,1043.698524,7,0,0,109654
돈암2동,11290590,dong,성북구돈암2동,성북구,돈암2동,11975.66667,13107,1642.333333,1833,2180,2247.333333,558.3333333,2326.333333,3028,3011.666667,3263.666667,4849.333333,3989.333333,2463.666667,1409.666667,640.3333333,21839.8176,885.9614201,6,0,0, 
안암동,11290600,dong,성북구안암동,성북구,안암동,7766,7497.333333,6023.333333,1437,889.3333333,697,139,533,1062.666667,4517.666667,2229.666667,1900,2114.666667,1418,1019.333333,408,15442.82552,10251.40758,51,0,1,139452
보문동,11290610,dong,성북구보문동,성북구,보문동,8055.333333,8578,3815,1604.666667,1260,1000.666667,220.6666667,1114,1101.333333,2899,2871.333333,2653.333333,2627,1787.333333,1056.333333,444.6666667,17091.43425,3582.475162,19,15.8,1,93357
정릉1동,11290620,dong,성북구정릉1동,성북구,정릉1동,8885.666667,9523,2201.333333,1650,1676,1471.666667,345,1510,1851.333333,2265.333333,2749.333333,3282,2749.333333,2060,1348.666667,517,19046.3614,1101.924436,13,0,1,89997
정릉2동,11290630,dong,성북구정릉2동,성북구,정릉2동,11734,12229.66667,3061.333333,2340.666667,1992,1715.333333,409.3333333,1751,2167.333333,3120.666667,3280,3911.333333,3826.333333,3185,1916,697.6666667,24689.12813,1639.64969,15,6.7,0,159362
정릉3동,11290640,dong,성북구정릉3동,성북구,정릉3동,7955.333333,7937.333333,4037.666667,1533.333333,1061,836.6666667,218.6666667,777.3333333,1190.666667,2893,2077.666667,2162.666667,2459,2121.666667,1519.333333,582.6666667,18135.92589,3471.894273,14,0,0,87277
정릉4동,11290650,dong,성북구정릉4동,성북구,정릉4동,13001.66667,13750.33333,3688.333333,2599.333333,2226.333333,1847.333333,457.6666667,1996.333333,2446.333333,3275.333333,3809.666667,4589.333333,4202,3408.333333,2151.666667,738,22574.51994,2460.713687,14,0,1,122021
길음1동,11290660,dong,성북구길음1동,성북구,길음1동,17916.33333,19574.33333,2535,2427.666667,3205,3698.666667,734.3333333,4543.333333,4901.333333,3488,5504.333333,8271,4687.666667,3140.666667,2080.666667,739.6666667,35331.27732,2257.161238,6,0,1,136638
길음2동,11290685,dong,성북구길음2동,성북구,길음2동,6030.333333,6357.666667,2374.666667,1476.333333,1443.333333,1321.666667,301.3333333,966.6666667,1130.666667,1537.666667,1720.666667,2155,2034,1557,882,336.6666667,10394.91294,1600.37577,5,20,0,146497
종암동,11290705,dong,성북구종암동,성북구,종암동,20245.66667,20558.66667,6447.333333,3598.666667,3183,2980,734,3172.333333,4019.666667,5830,5658.333333,6922,6442,4388,2865.333333,1258.333333,39904.22011,3939.433068,26,3.8,1,88239
월곡1동,11290715,dong,성북구월곡1동,성북구,월곡1동,13413.66667,14218.33333,3234.333333,2467.666667,2270.333333,2161,529,2407.333333,2809,3108.666667,3817.333333,4976.333333,4238.333333,3381.333333,2067,723.6666667,26276.47852,3258.589167,15,6.7,0,112008
월곡2동,11290725,dong,성북구월곡2동,성북구,월곡2동,9802.666667,10277.33333,4188,1902.666667,1501.666667,1301.333333,332.3333333,1310.666667,1589.333333,3340.333333,2869.333333,3104.666667,3110.666667,2508.333333,1537.333333,607.6666667,20683.79255,5964.571487,24,8.3,2,97052
장위1동,11290760,dong,성북구장위1동,성북구,장위1동,10359,10614.66667,3430.333333,2139.666667,1654,1331.333333,335.3333333,1092.666667,1819,3026,2576,3265.666667,4029.333333,2847.666667,1648.333333,587.6666667,20440.2221,1027.250179,11,0,0,59070
장위2동,11290770,dong,성북구장위2동,성북구,장위2동,7267.666667,7275,2551.666667,1570,1119.333333,802.3333333,216.6666667,647,1096.333333,1861.333333,1670.333333,2206,2727,2245.666667,1468.333333,525.6666667,14924.70215,1798.192383,9,11.1,1,83657
장위3동,11290780,dong,성북구장위3동,성북구,장위3동,5756.333333,5697.333333,2386.333333,1566,1562.333333,1419.666667,289.3333333,857.3333333,1073,1354.333333,1421.333333,1914.666667,2040.333333,1513.333333,932.6666667,302.3333333,11442.48578,1627.084059,4,0,0,116440
석관동,11290810,dong,성북구석관동,성북구,석관동,16708.66667,16916.33333,6601.666667,3839.333333,3015.666667,2206,511,2011,2376.333333,4743.666667,4667.666667,5133,5887.333333,4719.666667,2982.666667,972.6666667,31983.73749,5014.130895,25,4,0,90548
강북구,11305,gu,강북구계,강북구,계,155523.6667,162614.6667,60178.66667,34022.66667,25088.66667,19129,4769,18514.33333,25021,43728.33333,42930.66667,50349,54226.66667,43057.66667,28983.33333,9786,319302.4543,37464.37662,273,2.6,11,97756
삼양동,11305534,dong,강북구삼양동,강북구,삼양동,13048,13164,4626.666667,2733.333333,2036,1559,409.6666667,1577.666667,2330.666667,3301,3480,4113.666667,4695.666667,3598,2230.666667,743.6666667,25442.41446,1483.38998,14,0,3,99233
미아동,11305535,dong,강북구미아동,강북구,미아동,10912,11734,5767.666667,2433.666667,1644.666667,1173,295.3333333,998.3333333,1570,3702,3152,3338,3958.666667,3126.666667,2005.333333,707,25356.79576,3348.254681,32,6.3,1,102056
송중동,11305545,dong,강북구송중동,강북구,송중동,13905.33333,14936,5822.333333,3156.666667,2431,1912.333333,472,1504.666667,2120,4029.666667,3990.333333,4526,4933.666667,4128.666667,2630.333333,846,27051.48539,3424.486091,25,4,1,116979
송천동,11305555,dong,강북구송천동,강북구,송천동,14412,14505.33333,6304.333333,3214,2135.666667,1616.666667,377.6666667,1378,1965,3900.666667,3761,4296.666667,5434,4345.333333,2740.666667,947,28375.71003,3473.765514,26,0,0,93946
삼각산동,11305575,dong,강북구삼각산동,강북구,삼각산동,16021.66667,17248.66667,2573,2496,2763,3068,662.3333333,3478.333333,4271.666667,3434.333333,4468.333333,6932.666667,4846.333333,3127.666667,1889.333333,700.6666667,34041.33569,1356.637978,8,0,0,141235
번1동,11305590,dong,강북구번1동,강북구,번1동,9746.333333,9755,5491.666667,2159,1432,913.6666667,208,825.6666667,1244.666667,3308.666667,3037.333333,3088,3235.666667,2437,1725.666667,516.6666667,20866.79379,4668.441609,34,0,0,99093
번2동,11305600,dong,강북구번2동,강북구,번2동,8441,8932,2827.666667,2081.666667,1482,947.3333333,238,888.6666667,1309,2223.666667,2147.333333,2728.333333,2955.333333,2572.333333,1920.333333,559.3333333,16775.39881,2023.495408,7,0,0,105134
번3동,11305606,dong,강북구번3동,강북구,번3동,8929.333333,9863.333333,2312.666667,2151.333333,1518,1195,305,1133.333333,1628.666667,2155.333333,2112.666667,3032.333333,2933.666667,2655.666667,2411.333333,631.3333333,19374.80181,1567.08708,8,12.5,0,101969
수유1동,11305610,dong,강북구수유1동,강북구,수유1동,10864.66667,11066.33333,4748.333333,2360.333333,1658.333333,1213,303.6666667,1188.333333,1580.666667,3230.666667,2998.333333,3251.666667,3863.666667,3055.666667,1923.666667,706.3333333,21177.11923,2938.9318,18,5.6,1,94195
수유2동,11305620,dong,강북구수유2동,강북구,수유2동,10694.66667,11403.33333,3514.666667,2524.666667,1786.666667,1316,380.3333333,1257.333333,1650.666667,3095,2791.666667,3369.666667,3849.333333,3077.666667,2076.666667,834,21494.83312,2066.146189,19,0,1,78514
수유3동,11305630,dong,강북구수유3동,강북구,수유3동,12048.66667,12097.33333,6912.666667,2584.666667,1780,1120.666667,259.3333333,1054.666667,1303.666667,4251.666667,3784,3542.666667,4138,3183.333333,2099.333333,688.3333333,23778.10019,5013.598424,34,2.9,1,116328
우이동,11305645,dong,강북구우이동,강북구,우이동,10541.33333,11075,3602,2463,1732.666667,1238.666667,348.3333333,1314,1597.666667,2767.333333,2826.666667,3234.666667,3712.666667,3053.333333,2185,763.6666667,20850.41972,2390.935398,18,0,3,76616
인수동,11305660,dong,강북구인수동,강북구,인수동,15958.66667,16834.33333,5675,3664.333333,2688.666667,1855.666667,509.3333333,1915.333333,2448.666667,4328.333333,4381,4894.666667,5670,4696.333333,3145,1142,37130.8031,4086.148528,30,3.3,0,60199
도봉구,11320,gu,도봉구계,도봉구,계,165575.3333,172767,45364,33751.66667,28399.66667,23704,5652.666667,21856.33333,29341.66667,45832.33333,45099,52773.33333,59526.33333,45607,26522.66667,10157,335534.698,40155.68261,220,4.1,5,103151
창1동,11320511,dong,도봉구창1동,도봉구,창1동,12732.33333,13770,3635.666667,2615,2270.333333,1925,380.3333333,1833.333333,2498.666667,3520.666667,3786.666667,4500.666667,4352,3200,1943.333333,742,21180.54223,1424.832295,13,7.7,1,100679
창2동,11320512,dong,도봉구창2동,도봉구,창2동,15219.66667,15763,3781.333333,3112,2682.333333,2119,514,2249.333333,2601.333333,4374,4651,4985.333333,5307.666667,3728,2210.666667,794.3333333,50563.12489,3762.730765,20,0,0,99387
창3동,11320513,dong,도봉구창3동,도봉구,창3동,7496,7510.333333,2616.333333,1644.666667,1198.333333,897.3333333,225.6666667,928,1253,1949.333333,1929,2386.333333,2714.666667,2013,1319,437.3333333,15864.8924,992.7426352,10,0,0,69342
창4동,11320514,dong,도봉구창4동,도봉구,창4동,13672.66667,14622.66667,2846.666667,2370,2349.666667,2391,515.6666667,2084,3009,3827.333333,3712.666667,4849,5031.666667,3142,1684.333333,814.3333333,23661.95721,3233.615313,19,0,0,218785
창5동,11320515,dong,도봉구창5동,도봉구,창5동,12493,13338,2893.333333,2351.333333,2275,2048.666667,427.6666667,1763.333333,2256,3664.333333,3753,3827,4643,3365.666667,1699.333333,749,26893.56106,5466.002778,18,5.6,1,136384
도봉1동,11320521,dong,도봉구도봉1동,도봉구,도봉1동,11429,11159.66667,4217,2679,1796.333333,1196.666667,325.3333333,1105.333333,1382.333333,2834.666667,2739.666667,3222.666667,4050.666667,3691.333333,2578.333333,864,23153.80377,3412.622764,22,4.5,0,82388
도봉2동,11320522,dong,도봉구도봉2동,도봉구,도봉2동,14140.33333,14648.33333,4106.666667,3118.333333,2497.333333,1830,453.6666667,1915.333333,1971.333333,3517,4008,4039.333333,4827.666667,4630,2699,1015.666667,19660.20167,3549.959646,14,0,2,109508
쌍문1동,11320660,dong,도봉구쌍문1동,도봉구,쌍문1동,10743,11411.33333,3155.666667,2331.666667,1880.666667,1438,403,1313.666667,1944.666667,3072,2684.666667,3528,3793,3040.666667,1985.666667,673.6666667,22899.2447,2619.043169,18,5.6,0,103592
쌍문2동,11320670,dong,도봉구쌍문2동,도봉구,쌍문2동,9814.666667,10465.66667,3067,2222.333333,1700.666667,1242.333333,304.3333333,1248,1659,2743.333333,3005,3013.333333,3487.333333,2746.333333,1588.666667,677,20390.26,3125.56546,14,14.3,0,107875
쌍문3동,11320680,dong,도봉구쌍문3동,도봉구,쌍문3동,8345.666667,8926,3181.333333,1926.333333,1389,1045.666667,255,957.6666667,1185,2575.333333,2578,2593.333333,2895.666667,2311,1583.333333,518.3333333,17019.3338,2262.972228,16,0,0,79202
쌍문4동,11320681,dong,도봉구쌍문4동,도봉구,쌍문4동,9547,10492,1536,1588.666667,1756,1823.666667,380.6666667,1358,2208.666667,2814,2505,3258,3633.666667,2497,1142,519,18882.35034,1174.289792,10,0,0, 
방학1동,11320690,dong,도봉구방학1동,도봉구,방학1동,14980.66667,15226.66667,4695,2990,2352.666667,2021,539.6666667,1791,2524.666667,4236.333333,3734.333333,4649.666667,5588.333333,4276.333333,2459.333333,802.3333333,20089.63462,3561.982559,25,0,1,104668
방학2동,11320700,dong,도봉구방학2동,도봉구,방학2동,10749.33333,10549,3826,2366.666667,1741.666667,1204,328,1139.333333,1743,2902.333333,2550.333333,3258.666667,3980.666667,3081.666667,1875,651.3333333,14421.70636,906.5187683,12,8.3,0,90956
방학3동,11320710,dong,도봉구방학3동,도봉구,방학3동,14212,14884.33333,1806,2435.666667,2509.666667,2521.666667,599.6666667,2170,3105,3801.666667,3461.666667,4662,5220.333333,3884,1754.666667,898.6666667,41420.41828,2738.422546,9,22.2,0,93208
노원구,11350,gu,노원구계,노원구,계,262935,278971,69724.33333,48924.66667,44376,42664.66667,9066,37715.33333,59903.33333,75841,70653.66667,92969,89562.66667,62705,35485,14712.33333,543009.6085,70499.33994,349,2.9,13,132841
월계1동,11350560,dong,노원구월계1동,노원구,월계1동,12207.33333,11402.33333,4434.666667,2198.666667,1779.333333,1583.666667,406,1498.333333,1903.333333,3965.333333,3156,3667.333333,3735.333333,3073.666667,1852,652.6666667,24507.87327,2559.94172,36,8.3,2,117477
월계2동,11350570,dong,노원구월계2동,노원구,월계2동,12745,13656.33333,4082,3094.333333,2324.333333,1867,427.6666667,1811,2333.666667,3078.333333,3328.666667,4270.666667,4390.333333,3931.333333,2226.666667,877.6666667,27013.52773,2137.698101,19,0,0,132462
월계3동,11350580,dong,노원구월계3동,노원구,월계3동,15535.33333,16672.33333,3858.666667,3520.666667,2810.666667,2158,476,2725,2445.333333,3828.666667,5263.666667,4996,4971.666667,4398.333333,2511.666667,928.3333333,30307.62487,1865.592597,8,0,1,265519
공릉1동,11350595,dong,노원구공릉1동,노원구,공릉1동,19119,19841.33333,8249,3676.333333,2930,2506.333333,552,2494.333333,3099,6801,6118,5754,6114.333333,5009,2497,920.6666667,44604.30679,11570.12898,44,4.5,2,114139
공릉2동,11350600,dong,노원구공릉2동,노원구,공릉2동,20049.33333,20833.33333,5505.666667,3130.333333,3273,3422.333333,717.6666667,3310.666667,4926,6543.666667,5634.333333,7069,6232,4140,2046.666667,851.3333333,38603.52899,6254.763374,38,5.3,1,116374
하계1동,11350611,dong,노원구하계1동,노원구,하계1동,14136.66667,15061,4524,2384,2165.333333,2321.333333,493.6666667,1332.333333,3920,5292.666667,2967,4725.666667,5154.666667,3131.333333,1708.333333,840,29521.10371,8338.489277,21,4.8,0,99506
하계2동,11350612,dong,노원구하계2동,노원구,하계2동,11362.33333,12377.33333,1676.333333,1766.666667,1994,2275,443.6666667,1699.333333,3237.333333,3324,2718.333333,4441.666667,4095.333333,2201.666667,1322.666667,619.3333333,23720.60709,675.8884281,4,0,1, 
중계본동,11350619,dong,노원구중계본동,노원구,중계본동,13084,13532.33333,2010,1406.333333,1913.666667,2709.666667,666.3333333,1708.333333,4820.666667,3651,2041,5648,4777.666667,2177.333333,1140.333333,556,25477.34886,2415.396015,13,7.7,0,167169
중계1동,11350621,dong,노원구중계1동,노원구,중계1동,13806,14457.66667,1421,1352,2353.666667,3308,561.6666667,2067,6081.666667,3199,2110.333333,6973.666667,4512.333333,1782.666667,1002.666667,466.6666667,28551.90006,1587.841949,13,0,0,114483
중계4동,11350624,dong,노원구중계4동,노원구,중계4동,10555.66667,11116.33333,2574.666667,1961,1657.333333,1758.666667,383.3333333,1343.333333,2631,2733,2239.333333,3902.666667,3678,2603,1760.333333,681,23428.78546,2466.362182,14,0,0,135637
중계2.3동,11350625,dong,노원구중계2.3동,노원구,중계2.3동,17469,20003.33333,4905.333333,4029.666667,3091.333333,2669,543.3333333,2556.333333,3790.666667,4596.333333,4804,6513,5831,4599,3219.666667,1372.666667,37298.69099,2921.344373,9,0,1,232363
상계1동,11350630,dong,노원구상계1동,노원구,상계1동,19842.66667,20796.66667,4388.333333,3663.333333,3353,3130.333333,795.3333333,2677.666667,3770.666667,5739.333333,5414.333333,6279,7287.666667,5318.333333,2758.333333,1154.666667,45827.32514,7053.471983,26,0,1,113008
상계2동,11350640,dong,노원구상계2동,노원구,상계2동,10582.33333,10815.66667,3224,1715.666667,1622.333333,1706.333333,359,1149,2120.666667,3543,2538,3416,4000.333333,2634.333333,1376,529.3333333,20747.17814,4600.250479,30,0,1,170832
상계3.4동,11350665,dong,노원구상계3.4동,노원구,상계3.4동,13131.66667,13177.33333,4612.333333,2920,2102.666667,1704.333333,456,1379,2232.666667,3193,2846,4072.333333,4777.666667,3960,2692,994.6666667,30767.87118,3054.41155,16,0,1,75056
상계5동,11350670,dong,노원구상계5동,노원구,상계5동,12723.66667,13293,3896,2617.333333,2138,1708,410.6666667,1312.666667,2431.666667,3697.333333,2984.333333,4144,4770,3452,2222.333333,843.3333333,20834.79025,2083.850643,13,0,1,82472
상계6.7동,11350695,dong,노원구상계6.7동,노원구,상계6.7동,16415,18758.66667,4242.666667,3312.666667,3031,2764.666667,510.3333333,2970,3545.666667,4786,5360.333333,6190.666667,5728,3653.333333,1893.666667,905.6666667,27098.20417,7258.903673,28,3.6,0,173690
상계8동,11350700,dong,노원구상계8동,노원구,상계8동,11732.33333,12574.66667,2299.666667,2287,2291.333333,1947,344,2882.666667,2489,2647.333333,5341.666667,4190.666667,2984,2072.333333,1119.333333,502,24599.02801,1156.835397,5,0,1,125007
상계9동,11350710,dong,노원구상계9동,노원구,상계9동,10645.66667,11531.66667,2062.333333,2143.666667,2050,1787.333333,323.6666667,1653.333333,2493,2779,3100.333333,3897.666667,3647,2637.333333,1295,583,21705.6613,1302.300803,7,0,0,124765
상계10동,11350720,dong,노원구상계10동,노원구,상계10동,7792,9069.666667,1757.666667,1745,1495,1337.666667,195.6666667,1145,1631.333333,2443,2688,2817,2875.333333,1930,840.3333333,433.3333333,16917.13117,1079.435165,5,0,0, 
은평구,11380,gu,은평구계,은평구,계,233969.3333,249983,77633.33333,48535.33333,39053,32153,8115.666667,33205.33333,42593.66667,65512.66667,71768.33333,80002.66667,78220.33333,59333.33333,37435.66667,13637.33333,461925.0687,50993.40169,358,5.3,11,104096
녹번동,11380510,dong,은평구녹번동,은평구,녹번동,17549.66667,18877.33333,6680.333333,4211.666667,3203,2338.666667,574.3333333,2603.666667,2578.666667,4807,6090.333333,5749.333333,5856.666667,4534.666667,2962.666667,1063,30270.2208,6928.269077,28,7.1,2,103680
불광1동,11380520,dong,은평구불광1동,은평구,불광1동,19580,21478,6651.333333,4373,3479,2600.333333,595.6666667,2885,3043.666667,5541.333333,6018,6562.333333,6904.333333,5117,3430.666667,1370,32013.58078,3037.033445,14,7.1,1,137065
불광2동,11380530,dong,은평구불광2동,은평구,불광2동,14330,15165.66667,6020.333333,3311.333333,2325.666667,1639.333333,427.3333333,1448.333333,2156.333333,4328.333333,4291.333333,4459,5094.333333,4080.666667,2592,919.3333333,31975.9125,2893.402922,24,4.2,1,107318
갈현1동,11380551,dong,은평구갈현1동,은평구,갈현1동,12108.33333,12738.66667,4673.333333,2663.666667,1991,1441.666667,353.3333333,1269.666667,2007.333333,3861.333333,3556.666667,3788.666667,4291.666667,3296.666667,2025,644,26160.72204,2507.437884,20,5,0,121583
갈현2동,11380552,dong,은평구갈현2동,은평구,갈현2동,14442.33333,15800,4331,3073.666667,2565.333333,2038.666667,461.6666667,1913.333333,2856.333333,4384.666667,4545.333333,5034.333333,4906.333333,3499.666667,2187.333333,804.3333333,28290.68288,3117.017767,32,3.1,0,98501
구산동,11380560,dong,은평구구산동,은평구,구산동,16892.33333,16931,4177,3200.333333,2734.333333,2331,612.6666667,2200.333333,3110.333333,4545.666667,4564.666667,5495.333333,5767.666667,4340.333333,2656.333333,986.3333333,35125.2485,4485.791749,23,0,1,74058
대조동,11380570,dong,은평구대조동,은평구,대조동,15135.33333,16919.33333,6906.666667,3030.666667,2068.333333,1430.666667,351.6666667,1692.666667,2307.333333,5128.333333,5219.333333,5008,5079.333333,3914,2665,912.6666667,31639.91,3502.591139,33,6.1,1,115740
응암1동,11380580,dong,은평구응암1동,은평구,응암1동,12388.66667,13367.66667,4848.666667,2534.333333,1949.333333,1635.666667,379,1837,2670,3300.333333,3975.666667,4487.333333,3847,2902.666667,1921,692,27457.65781,4175.004306,26,7.7,0,95557
응암2동,11380590,dong,은평구응암2동,은평구,응암2동,10294.66667,10720.66667,2846.333333,2404.333333,2320.666667,1926,447,2324,1922.666667,2197.333333,3592.333333,3969.666667,2896.666667,2169.333333,1359.666667,498.3333333,17914.91827,1355.65506,4,0,0,112397
응암3동,11380600,dong,은평구응암3동,은평구,응암3동,12756,13291.33333,5913.666667,2910.666667,1928.666667,1428.333333,319.6666667,1232.666667,1948.333333,3583,3494.666667,3994.333333,4437.666667,3670,2557.666667,1003.333333,22776.11963,2111.250551,30,3.3,0,99456
역촌동,11380625,dong,은평구역촌동,은평구,역촌동,23406.33333,25653,7513,4917,4024.666667,3203.333333,798,3452.666667,4139,6656.666667,7809.666667,8149.666667,7925.333333,5759,3697,1283,49961.88109,4367.806604,39,5.1,0,97984
신사1동,11380631,dong,은평구신사1동,은평구,신사1동,13906,14753.66667,3794,2910.666667,2462.333333,1967,470.3333333,1906.666667,2382.333333,4006.333333,4510.666667,4548.333333,4700,3578.333333,2174,741.3333333,29133.33123,2213.484429,21,4.8,1,88155
신사2동,11380632,dong,은평구신사2동,은평구,신사2동,11057,11016.66667,3215.666667,2175.333333,1800.333333,1494.333333,373.6666667,1387,1970.666667,3049.333333,3150,3532.666667,3765.666667,2925,1578.333333,616,20727.60775,1756.964088,13,7.7,1,79536
증산동,11380640,dong,은평구증산동,은평구,증산동,8028,8214,2479.666667,1727,1249.333333,1089,285.6666667,945,1357.666667,2136.666667,2198.666667,2518.666667,2816.333333,2280,1431.333333,472.3333333,14770.43138,2061.76051,17,5.9,1,75610
수색동,11380650,dong,은평구수색동,은평구,수색동,5309,5279.666667,1392.666667,909.6666667,726,574.3333333,159.6666667,533.3333333,748.3333333,1422.333333,1453.666667,1462.666667,1968.333333,1632.333333,948.6666667,361.6666667,12024.1487,1590.57173,1,0,1,93747
진관동,11380690,dong,은평구진관동,은평구,진관동,26785.66667,29776.33333,6189.666667,4182,4225,5014.666667,1506,5574,7394.666667,6564,7297.333333,11242.33333,7963,5633.666667,3249,1269.666667,54097.58419,5102.833875,33,9.1,1,141107
서대문구,11410,gu,서대문구계,서대문구,계,150009,161417.6667,59501.66667,30077.66667,24418.33333,20763,4977.666667,21108.33333,25548.66667,48684,45577.33333,49347.66667,49530,35916.66667,24170,9888.333333,314012.0363,76979.17327,307,1.6,7,130409
천연동,11410520,dong,서대문구천연동,서대문구,천연동,8901.333333,9763,3301.333333,1758.666667,1498,1248.666667,280.6666667,1465.666667,1628,2368.333333,2611.666667,3176.333333,3026.333333,2058.666667,1510.333333,696.6666667,20795.71615,1875.968581,12,0,0,126880
북아현동,11410555,dong,서대문구북아현동,서대문구,북아현동,8202.333333,9092,2842,1681.333333,1507.333333,1184.666667,238,1485.666667,1168.333333,2623.666667,3098.666667,2808.666667,2837.666667,1698.333333,1061,429.6666667,17254.67171,1349.438312,8,0,0,121181
충현동,11410565,dong,서대문구충현동,서대문구,충현동,8736.333333,9152,4545,1752.333333,1217.333333,1042,254.6666667,839.6666667,1299.333333,2852.666667,2596,2702,3137,2264,1407.666667,623.3333333,17769.11782,24851.79617,28,3.6,2,120569
신촌동,11410585,dong,서대문구신촌동,서대문구,신촌동,8515,10157.66667,9391.666667,1503.333333,804.6666667,603,152,952,1021.333333,6510.666667,3239,2033,1993.333333,1380,1008.333333,433.6666667,19526.39173,21777.65995,84,1.2,2,224727
