NM,CD,GUBUN,종로구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
면목5동,11260550,dong,중랑구,면목5동,4906.666667,4700,1913.666667,1074,786,584,128.3333333,521,662,1276.333333,1421.333333,1457,1806.666667,1387.333333,781.6666667,261.6666667,10514.58857,1168.167437,7,0,0,70552
면목본동,11260565,dong,중랑구,면목본동,17523.66667,17733.33333,8440,3973,2728.333333,1935.666667,460,1806.333333,2156.333333,5305.333333,5600.666667,5275.333333,6542,4740,2777.333333,919.3333333,42441.49639,2118.651828,30,0,1,97154
면목7동,11260570,dong,중랑구,면목7동,11147.66667,11144.33333,4349,2477.666667,1792,1373,307,1276,1332.666667,3050.666667,3449.333333,3231.666667,3979.666667,3387.333333,1847.333333,644.6666667,15449.51822,1019.937292,18,0,0,139059
면목3.8동,11260575,dong,중랑구,면목3.8동,13012.33333,13072.66667,5592,2926.666667,2097,1507.333333,336.3333333,1268,1631.666667,3841,3792.666667,3726.333333,4778.666667,3893.333333,2263.333333,773.6666667,27545.21228,3630.640143,21,0,1,86897
상봉1동,11260580,dong,중랑구,상봉1동,12342.33333,12888.33333,3175.333333,2378,2208.666667,2023.666667,391,1966.333333,2111.333333,3730.666667,3718.333333,3715.333333,4542.666667,3137,1597,626.6666667,23247.28819,2311.291081,15,9.5,0,108716
상봉2동,11260590,dong,중랑구,상봉2동,9591,10054.66667,6585,2259.666667,1296,845,168.3333333,842.3333333,886.6666667,3817,4055,2668.333333,3128.333333,2391,1339,439.6666667,19675.89846,5497.859607,34,0,2,98433
중화1동,11260600,dong,중랑구,중화1동,10169.66667,10494.66667,3250.333333,2240.666667,1772.333333,1353.666667,335.6666667,1372.333333,1448.666667,3022.333333,3329.333333,2905.333333,3529.333333,2958.333333,1472,552,22076.21047,2091.62143,20,0,1,85220
중화2동,11260610,dong,중랑구,중화2동,13610,12805.33333,7296.333333,3129,1922,1258,311.6666667,1153,1329.333333,3855.333333,3862.333333,3727,5248.666667,4030,2269.333333,827.3333333,27486.67745,1563.262051,18,5,1,103485
묵1동,11260620,dong,중랑구,묵1동,17384.66667,18377,4727.666667,3327.333333,3041.666667,2678,642.6666667,2659.333333,3222,4894,5244.666667,6021.666667,5641,4463,2534.666667,944.6666667,36322.40312,2638.313465,23,0,1,125195
묵2동,11260630,dong,중랑구,묵2동,9667.666667,9953.333333,3891,2144.333333,1629.333333,1140.333333,300.3333333,1187.333333,1306.666667,2774.666667,3189.666667,2974,3243.333333,2879.666667,1495.666667,499,20171.55299,2116.406771,17,8.7,0,78054
망우본동,11260655,dong,중랑구,망우본동,15511.66667,15186.33333,6750,3236.333333,2378.666667,1819,437.3333333,1572.333333,2010,4254,4175.666667,4309.666667,5889,4834,2536,953,28822.99508,3209.007576,31,0,2,80079
망우3동,11260660,dong,중랑구,망우3동,8819.333333,8686.666667,3735.333333,2005.333333,1410.333333,999.3333333,226.3333333,887.3333333,1275.666667,2393,2276.333333,2550,3430.333333,2628.666667,1442.333333,527,17981.0568,1101.236105,11,3.2,0,66780
신내1동,11260680,dong,중랑구,신내1동,19828,20759.33333,3543.333333,3467.333333,3153.333333,3352.666667,1070,3682.666667,3864.666667,5132,5470.333333,6147.666667,6768.333333,5313,2808.333333,1172.666667,43511.75263,4537.897534,21,0,0,100616
신내2동,11260690,dong,중랑구,신내2동,10358,11339.66667,2839.666667,2284.666667,1959.666667,1556,322.6666667,1496,1853,2698,3084.333333,3351,3676.666667,3122.333333,1600.333333,713.6666667,23055.03119,3977.875155,10,0,1,133999
성북구,11290,gu,성북구,계,214083.6667,228399,75586,41174.33333,35425.33333,31372.33333,7493.666667,30623.66667,38920.66667,66522.66667,61610.33333,72234.33333,69947.33333,53363.33333,33399.33333,13556,419276.3342,110056.5474,352,0,11,105488
성북동,11290525,dong,성북구,성북동,8022.333333,9026.333333,3798.333333,1768.333333,1213.333333,933.6666667,288.3333333,859,1256,2778.666667,2559.333333,2653.333333,2750.666667,1996.333333,1397,659,11997.95527,20220.67578,17,4.5,0,133678
삼선동,11290555,dong,성북구,삼선동,11821,12892.33333,5966,2373,1703.666667,1543,397.6666667,1289.666667,2062,4425.666667,3581.333333,3965,3856.666667,2714,1895,787,27442.45952,6630.775592,32,0,2,108223
동선동,11290575,dong,성북구,동선동,6559.333333,8949.666667,5831,1473.666667,937.3333333,658,186.6666667,619.6666667,1040,4309.333333,2516,2105.666667,1872.666667,1438.333333,1095.666667,425.6666667,15599.00887,13459.04735,36,6.3,0,158931
돈암1동,11290580,dong,성북구,돈암1동,7359,8379.666667,1772,1573.333333,1331.666667,1199.666667,289,896.6666667,1464.333333,2151,2054,2352,2804,2138,1261.666667,539,16586.63107,2470.688165,6,8.3,0,83577
돈암2동,11290590,dong,성북구,돈암2동,11880,12980.33333,1642.333333,1833,2180,2247.333333,558.3333333,2188.333333,2948.666667,2982.666667,3143.666667,4692.666667,4027.333333,2621.333333,1456,683,21676.52275,910.2819297,5,0,0, 
안암동,11290600,dong,성북구,안암동,7812.333333,7603,6023.333333,1437,889.3333333,697,139,504.6666667,973,4870.333333,2142.333333,1781.666667,2127.666667,1471.666667,1035.333333,442,6453.335001,4826.90976,46,20,1,105593
보문동,11290610,dong,성북구,보문동,7855.666667,8386.666667,3815,1604.666667,1260,1000.666667,220.6666667,1014.666667,1046.333333,2867.333333,2750,2515.333333,2594.333333,1842,1070,455.3333333,15248.37982,7063.348646,17,13,1,93921
정릉1동,11290620,dong,성북구,정릉1동,9176.666667,9734.333333,2201.333333,1650,1676,1471.666667,345,1503.333333,1867.666667,2353,2763,3353.333333,2871.333333,2149.333333,1398.666667,566.6666667,18720.68768,1397.066245,15,0,1,78144
정릉2동,11290630,dong,성북구,정릉2동,11463.33333,12066.33333,3061.333333,2340.666667,1992,1715.333333,409.3333333,1596.666667,1984.666667,3194.333333,3131.333333,3716.666667,3803.666667,3272.666667,1940.333333,764.6666667,24225.24683,1774.195348,16,6.7,0,95985
정릉3동,11290640,dong,성북구,정릉3동,7747.333333,7826.333333,4037.666667,1533.333333,1061,836.6666667,218.6666667,722,1063,2984,1953.333333,2043.666667,2395,2143.666667,1496.333333,648.3333333,18110.27725,2838.839004,15,0,0,89100
정릉4동,11290650,dong,성북구,정릉4동,12704,13512.33333,3688.333333,2599.333333,2226.333333,1847.333333,457.6666667,1852.666667,2287.666667,3289,3524.333333,4389,4213,3521.333333,2189.666667,807,22145.58047,2019.976269,16,13.3,1,123175
길음1동,11290660,dong,성북구,길음1동,17530.66667,19293.33333,2535,2427.666667,3205,3698.666667,734.3333333,4270.666667,4883.333333,3493,5083.333333,8083,4816,3201.333333,2059.333333,791.6666667,34713.30508,6019.432672,6,0,1,157076
길음2동,11290685,dong,성북구,길음2동,8169,8723.666667,2374.666667,1476.333333,1443.333333,1321.666667,301.3333333,1468.333333,1433.666667,2135.666667,2591.666667,2952.333333,2684.666667,2037.333333,1089.333333,424.6666667,17027.77915,551.7120919,8,0,0,167971
종암동,11290705,dong,성북구,종암동,19744,20366.66667,6447.333333,3598.666667,3183,2980,734,2897.666667,3834.666667,5806.666667,5342,6693.333333,6394,4586.666667,2890.666667,1400,39362.09629,21629.27509,27,0,1,97690
월곡1동,11290715,dong,성북구,월곡1동,13176.33333,14039.66667,3234.333333,2467.666667,2270.333333,2161,529,2242,2696.333333,3074,3676.666667,4765,4288.666667,3449.333333,2128.666667,776,26027.99136,2420.879939,16,3.7,0,92364
월곡2동,11290725,dong,성북구,월곡2동,9703.333333,10367.66667,4188,1902.666667,1501.666667,1301.333333,332.3333333,1216.333333,1545,3537.666667,2814,2970.666667,3052.666667,2551,1604.333333,676,20365.83202,4932.988931,24,0,2,97146
장위1동,11290760,dong,성북구,장위1동,9968,10377.66667,3430.333333,2139.666667,1654,1331.333333,335.3333333,1020.333333,1657.333333,2996.666667,2450,3014.333333,3913,2897.333333,1647.666667,653.6666667,19954.50609,1296.548367,11,0,0,57937
장위2동,11290770,dong,성북구,장위2동,6839.666667,6933,2551.666667,1570,1119.333333,802.3333333,216.6666667,596,958,1802,1594.666667,2030.666667,2557.666667,2146.666667,1438.666667,541.3333333,13470.23851,1714.715401,8,0,1,78088
장위3동,11290780,dong,성북구,장위3동,8869,8936.333333,2386.333333,1566,1562.333333,1419.666667,289.3333333,1784.333333,1522.333333,2277.333333,2879,2835.666667,2850.333333,2080.666667,1123.666667,388,11113.34657,1170.599308,7,0,0,96175
석관동,11290810,dong,성북구,석관동,17682.66667,18003.66667,6601.666667,3839.333333,3015.666667,2206,511,2080.666667,2396.666667,5194.333333,5060.333333,5321,6074,5104.333333,3181.333333,1127,31889.13125,3639.902062,24,0,0,92037
강북구,11305,gu,강북구,계,152887.3333,160439,60178.66667,34022.66667,25088.66667,19129,4769,17176.33333,23323.33333,43376,40477,48777,53503.66667,44547.33333,29688.66667,10793,313677.6553,28204.87705,270,0,11,94772
삼양동,11305534,dong,강북구,삼양동,12557.33333,12657.33333,4626.666667,2733.333333,2036,1559,409.6666667,1442,2087.666667,3229.666667,3162,3938.333333,4478,3661.666667,2253.333333,808.3333333,24284.34594,1030.975005,12,2.6,3,82587
미아동,11305535,dong,강북구,미아동,10696.33333,11561.66667,5767.666667,2433.666667,1644.666667,1173,295.3333333,900.3333333,1427.333333,3734.666667,2961,3187.666667,3886.666667,3225,2053.333333,781.3333333,24923.79341,2061.491911,34,8.3,1,90833
송중동,11305545,dong,강북구,송중동,14794.66667,15908,5822.333333,3156.666667,2431,1912.333333,472,1621.333333,2177.333333,4296.666667,4310.666667,4817,5230.333333,4394.666667,2773,935.6666667,28127.5131,2093.413759,27,0,1,119878
송천동,11305555,dong,강북구,송천동,13975.33333,14082.66667,6304.333333,3214,2135.666667,1616.666667,377.6666667,1238.333333,1780,3774.666667,3481.333333,4085,5218.666667,4474,2811.666667,1041,27314.09317,1842.07493,24,3.7,0,87131
삼각산동,11305575,dong,강북구,삼각산동,15707.33333,16921.33333,2573,2496,2763,3068,662.3333333,3192.333333,4148,3464.333333,4015.666667,6804.666667,4958.666667,3217.333333,1955,752,33386.65509,1331.971833,9,4.2,0,126021
번1동,11305590,dong,강북구,번1동,9576.666667,9639.333333,5491.666667,2159,1432,913.6666667,208,770,1163,3298.333333,2885.666667,3007,3139.666667,2544.333333,1748.666667,569.6666667,20518.339,2722.635999,31,11.1,0,97625
번2동,11305600,dong,강북구,번2동,8241.333333,8678,2827.666667,2081.666667,1482,947.3333333,238,791.6666667,1178,2169,1954,2596.333333,2897.666667,2644,1974,639.6666667,16218.57879,1318.381405,7,0,0,80947
번3동,11305606,dong,강북구,번3동,8519.333333,9524.333333,2312.666667,2151.333333,1518,1195,305,1050.333333,1460,2082.333333,1895,2824,2830.666667,2638.666667,2487,682,18667.97598,1291.926228,10,0,0,100392
수유1동,11305610,dong,강북구,수유1동,10631,10858.66667,4748.333333,2360.333333,1658.333333,1213,303.6666667,1114.333333,1425.333333,3155.666667,2868.333333,3090.666667,3771,3164,1978.666667,778,20772.14455,1833.847597,20,10,1,96258
수유2동,11305620,dong,강북구,수유2동,10482,11302.33333,3514.666667,2524.666667,1786.666667,1316,380.3333333,1146.333333,1516.333333,3098.666667,2603.666667,3208,3860.666667,3189.666667,2148.333333,894.6666667,21216.40264,2144.874807,18,0,1,77366
수유3동,11305630,dong,강북구,수유3동,11826.33333,11837,6912.666667,2584.666667,1780,1120.666667,259.3333333,931.6666667,1213,4165,3557,3391.333333,4052.666667,3331,2145.666667,767.3333333,23262.73921,3349.349868,33,5.6,1,106824
우이동,11305645,dong,강북구,우이동,10303,10878,3602,2463,1732.666667,1238.666667,348.3333333,1203,1461.666667,2719,2665.333333,3091.666667,3655.333333,3174.666667,2173,868.6666667,20450.00542,2736.48524,17,0,3,83913
인수동,11305660,dong,강북구,인수동,15576.66667,16590.33333,5675,3664.333333,2688.666667,1855.666667,509.3333333,1774.666667,2285.666667,4188,4117.333333,4735.333333,5523.666667,4888.333333,3187,1274.666667,36904.49333,4910.236105,28,0,0,66576
도봉구,11320,gu,도봉구,계,162302.3333,169722.3333,45364,33751.66667,28399.66667,23704,5652.666667,20287,27191.66667,44796.66667,42870,50680.66667,58327,47857,27205.66667,11046.66667,330489.5706,36095.57517,227,3.6,5,100935
창1동,11320511,dong,도봉구,창1동,12425,13555.33333,3635.666667,2615,2270.333333,1925,380.3333333,1675,2335,3445.666667,3565,4355.333333,4289.333333,3389.333333,1974.333333,831,20843.64784,1425.628736,15,1.8,1,90213
창2동,11320512,dong,도봉구,창2동,14782,15392,3781.333333,3112,2682.333333,2119,514,2009.666667,2387.333333,4208.333333,4414.333333,4737.333333,5248.666667,3944.666667,2242.666667,889,49495.76469,4030.796728,21,0,0,89858
창3동,11320513,dong,도봉구,창3동,7297,7288.333333,2616.333333,1644.666667,1198.333333,897.3333333,225.6666667,864,1133.333333,1909.333333,1804.666667,2253.666667,2678.333333,2044,1334,491,15505.14188,817.6148164,12,4.8,0,92028
창4동,11320514,dong,도봉구,창4동,13322.33333,14326.33333,2846.666667,2370,2349.666667,2391,515.6666667,1898.666667,2797,3842.666667,3470,4615.333333,4993.666667,3309.666667,1709.333333,866.3333333,23137.00348,2282.551985,18,0,0,165312
창5동,11320515,dong,도봉구,창5동,12304.66667,13309.66667,2893.333333,2351.333333,2275,2048.666667,427.6666667,1652.333333,2118,3708.333333,3683,3708,4531.666667,3548,1742,785,26234.74484,7332.821134,20,5.6,1,128163
도봉1동,11320521,dong,도봉구,도봉1동,11167.66667,10871,4217,2679,1796.333333,1196.666667,325.3333333,956.3333333,1290.666667,2741.666667,2508.333333,3082.333333,3930.666667,3815.333333,2622,961.6666667,22516.16873,2205.70715,20,0,0,105544
도봉2동,11320522,dong,도봉구,도봉2동,13951,14477.66667,4106.666667,3118.333333,2497.333333,1830,453.6666667,1775.666667,1834.666667,3484.333333,3830.666667,3980.333333,4615.333333,4828.666667,2782.666667,1102,19667.78264,1466.572341,14,0,2,90561
쌍문1동,11320660,dong,도봉구,쌍문1동,10657.66667,11395.66667,3155.666667,2331.666667,1880.666667,1438,403,1266,1744,3131,2651.666667,3380,3752,3186,2039.333333,777,23267.97563,1863.671507,18,0,0,60959
쌍문2동,11320670,dong,도봉구,쌍문2동,9554.666667,10170,3067,2222.333333,1700.666667,1242.333333,304.3333333,1140.333333,1499.333333,2630,2736.333333,2912.666667,3397.333333,2927.666667,1640.666667,720,19915.71867,1470.677662,13,5.6,0,92455
쌍문3동,11320680,dong,도봉구,쌍문3동,8261.333333,8785.666667,3181.333333,1926.333333,1389,1045.666667,255,891,1091.666667,2576,2470.666667,2525.333333,2859.333333,2380.333333,1604.333333,568,16881.67379,2002.507591,14,0,0,108548
쌍문4동,11320681,dong,도봉구,쌍문4동,9403.666667,10315.33333,1536,1588.666667,1756,1823.666667,380.6666667,1320,2125.333333,2673.333333,2463,3139.333333,3541.333333,2663.333333,1150,538,18907.21316,1305.297692,10,0,0,95068
방학1동,11320690,dong,도봉구,방학1동,14717.33333,14891.66667,4695,2990,2352.666667,2021,539.6666667,1676.333333,2357.333333,4048,3515.666667,4456.333333,5540.666667,4425,2566,864.6666667,19686.94116,4359.42157,25,0,1,109778
방학2동,11320700,dong,도봉구,방학2동,10555.66667,10312.33333,3826,2366.666667,1741.666667,1204,328,1072,1553,2818.333333,2417.666667,3094.666667,3896.333333,3240.666667,1933.333333,716.6666667,14077.22923,682.9108054,16,4,0,81573
방학3동,11320710,dong,도봉구,방학3동,13902.33333,14631.33333,1806,2435.666667,2509.666667,2521.666667,599.6666667,2089.666667,2925,3579.666667,3339,4440,5052.333333,4154.333333,1865,936.3333333,40811.87994,4272.564772,11,0,0,79830
노원구,11350,gu,노원구,계,257245.6667,274600.6667,69724.33333,48924.66667,44376,42664.66667,9066,35548,56187.33333,74148.33333,67029.33333,89546.33333,88757,65544.33333,36774,15744,532445.6003,56663.49721,351,0,13,136970
월계1동,11350560,dong,노원구,월계1동,11906.33333,11165,4434.666667,2198.666667,1779.333333,1583.666667,406,1341.333333,1827.333333,3886.666667,2914,3544.333333,3685.666667,3102.666667,1949,699.6666667,24536.42281,2801.661124,33,4.6,2,152772
월계2동,11350570,dong,노원구,월계2동,13321,14299.33333,4082,3094.333333,2324.333333,1867,427.6666667,1847.666667,2302,3244,3391,4431.333333,4605.666667,4283.666667,2408.666667,948,25206.1303,1235.46089,18,9.1,0,72705
월계3동,11350580,dong,노원구,월계3동,15001.66667,16257.66667,3858.666667,3520.666667,2810.666667,2158,476,2461,2276,3686.333333,4898,4798.333333,4900.333333,4494.333333,2552,1041,29811.30295,1378.557362,10,0,1,155292
공릉1동,11350595,dong,노원구,공릉1동,18725,19476,8249,3676.333333,2930,2506.333333,552,2320.333333,2891,6678.666667,5661.666667,5624.666667,5967.333333,5229.333333,2660.666667,1006.333333,44575.34672,7299.097185,44,10,2,112986
공릉2동,11350600,dong,노원구,공릉2동,19568.66667,20567.33333,5505.666667,3130.333333,3273,3422.333333,717.6666667,3086,4694.666667,6527.333333,5346.666667,6858.333333,6128.333333,4243,2202.333333,896.6666667,38358.44824,6697.611976,39,6.8,1,134548
하계1동,11350611,dong,노원구,하계1동,13686,14719.66667,4524,2384,2165.333333,2321.333333,493.6666667,1249.666667,3539.666667,5105,2800.666667,4489.333333,5040.666667,3358.666667,1790.333333,902,30432.58138,4891.139182,20,5.1,0,104567
하계2동,11350612,dong,노원구,하계2동,11087,12088,1676.333333,1766.666667,1994,2275,443.6666667,1608.333333,2965.333333,3247.333333,2614.333333,4243.333333,4017.666667,2374.666667,1346.333333,663.3333333,23154.8855,1403.386545,5,5,1,189839
중계본동,11350619,dong,노원구,중계본동,12584,13129.66667,2010,1406.333333,1913.666667,2709.666667,666.3333333,1690.333333,4616,3400.333333,1988.333333,5343.333333,4662,2230.333333,1120.666667,565.6666667,24334.55051,1691.153441,13,0,0,100159
중계1동,11350621,dong,노원구,중계1동,13659.33333,14228.33333,1421,1352,2353.666667,3308,561.6666667,2045.333333,5922,3067.666667,2057.666667,6818.333333,4482.666667,1959,987.3333333,480.6666667,28322.90379,2188.074452,12,0,0,221446
중계4동,11350624,dong,노원구,중계4동,10223.66667,10875,2574.666667,1961,1657.333333,1758.666667,383.3333333,1260.333333,2483,2636.666667,2083,3693,3652.333333,2591,1847,738,23455.26988,2277.660646,12,0,0,130290
중계2.3동,11350625,dong,노원구,중계2.3동,16869.33333,19512,4905.333333,4029.666667,3091.333333,2669,543.3333333,2322.666667,3452.666667,4475.666667,4470.666667,6213.666667,5743.333333,4735.666667,3273.666667,1469.333333,36228.22201,2195.201361,10,0,1,244997
상계1동,11350630,dong,노원구,상계1동,19373.33333,20468,4388.333333,3663.333333,3353,3130.333333,795.3333333,2555.333333,3529.333333,5532.333333,5087,5964.333333,7191,5680.333333,2851.666667,1198.333333,44925.3984,6262.880337,26,0,1,136347
상계2동,11350640,dong,노원구,상계2동,10339.33333,10578.66667,3224,1715.666667,1622.333333,1706.333333,359,1049.666667,2020,3351.333333,2443,3229.333333,4001.666667,2765,1406.666667,556.3333333,20422.39754,2408.223855,30,3.8,1,163324
상계3.4동,11350665,dong,노원구,상계3.4동,13338.66667,13468.33333,4612.333333,2920,2102.666667,1704.333333,456,1421,2171,3214.666667,2923.666667,4056,4825.333333,4155,2759.333333,1118,29259.23028,2485.739918,17,0,1,86856
상계5동,11350670,dong,노원구,상계5동,12249.33333,12891,3896,2617.333333,2138,1708,410.6666667,1213,2205.333333,3509,2770.333333,3907.666667,4629.333333,3583.333333,2263.333333,894.3333333,19776.60662,1542.216704,15,11.8,1,88974
상계6.7동,11350695,dong,노원구,상계6.7동,15968,18385,4242.666667,3312.666667,3031,2764.666667,510.3333333,2779,3248,4726.666667,5081.333333,5904.666667,5668,3835.666667,1972,964.6666667,26733.63351,4912.02844,28,0,0,172108
상계8동,11350700,dong,노원구,상계8동,11388.66667,12270,2299.666667,2287,2291.333333,1947,344,2698.666667,2249,2684.333333,5010.666667,4041,3022.666667,2196.333333,1152,524.3333333,23960.01417,1181.875124,5,7.1,1,182386
상계9동,11350710,dong,노원구,상계9동,10363.66667,11336.33333,2062.333333,2143.666667,2050,1787.333333,323.6666667,1549.666667,2315.666667,2759,2923,3728,3638.333333,2707.333333,1355.666667,624.6666667,21279.98387,2552.120828,9,0,0,184377
상계10동,11350720,dong,노원구,상계10동,7592.666667,8885.333333,1757.666667,1745,1495,1337.666667,195.6666667,1048.666667,1479.333333,2415.333333,2564.333333,2657.333333,2894.666667,2019,875.3333333,452.6666667,16514.46099,1060.497706,5,0,0,148789
은평구,11380,gu,은평구,계,230695,248132,77633.33333,48535.33333,39053,32153,8115.666667,31173.33333,40173.66667,66044.33333,69028.66667,77982.33333,77120.33333,61677.33333,38331,14862.33333,454055.9228,46677.54022,370,20,11,107123
녹번동,11380510,dong,은평구,녹번동,18201.33333,19777.33333,6680.333333,4211.666667,3203,2338.666667,574.3333333,2685.666667,2518.333333,5101.333333,6234.333333,5900,6037,4944.666667,3144.333333,1214,34705.41128,4758.265645,29,3.8,2,106287
불광1동,11380520,dong,은평구,불광1동,19176.66667,21246.33333,6651.333333,4373,3479,2600.333333,595.6666667,2610.333333,2862.333333,5445,5663.333333,6360,6840.666667,5406.666667,3524,1491.333333,31463.70895,3182.462869,16,3.4,1,115758
불광2동,11380530,dong,은평구,불광2동,14179.66667,14927.66667,6020.333333,3311.333333,2325.666667,1639.333333,427.3333333,1299,1989,4324,4090.333333,4235.666667,5068,4227,2718.666667,1015.333333,31704.09132,2954.68053,28,12.5,1,121774
갈현1동,11380551,dong,은평구,갈현1동,11801.66667,12365.33333,4673.333333,2663.666667,1991,1441.666667,353.3333333,1132.333333,1822.666667,3839,3319,3618.333333,4125.666667,3394.333333,2116,676.6666667,25672.45395,2779.290206,21,7.1,0,108005
갈현2동,11380552,dong,은평구,갈현2동,14155.66667,15534,4331,3073.666667,2565.333333,2038.666667,461.6666667,1786.666667,2597.666667,4436.666667,4196,4869,4909.666667,3644.666667,2252.666667,869.6666667,28109.71299,3690.089071,32,0,0,108852
구산동,11380560,dong,은평구,구산동,16691.33333,16822,4177,3200.333333,2734.333333,2331,612.6666667,2064.666667,2963,4533.333333,4314.666667,5337.333333,5751.333333,4540.666667,2750.333333,1079.333333,35216.45296,4430.230412,23,0,1,103007
대조동,11380570,dong,은평구,대조동,12910.33333,14573,6906.666667,3030.666667,2068.333333,1430.666667,351.6666667,1326,1820.666667,4607,4320.666667,4267,4249,3473.666667,2363,924,27093.88961,2563.994689,36,13,1,127126
응암1동,11380580,dong,은평구,응암1동,12096.66667,13207.66667,4848.666667,2534.333333,1949.333333,1635.666667,379,1640.666667,2442.666667,3391,3728.666667,4440.666667,3838,2988.666667,1952.666667,752.3333333,26998.50322,3084.112647,23,2.8,0,116429
응암2동,11380590,dong,은평구,응암2동,12435.66667,13037,2846.333333,2404.333333,2320.666667,1926,447,2915.666667,2151.666667,2614.666667,4691.666667,4783.666667,3350.666667,2630.666667,1604.333333,629,18207.7285,1247.258965,5,8.7,0,87781
응암3동,11380600,dong,은평구,응암3동,12568,13064.33333,5913.666667,2910.666667,1928.666667,1428.333333,319.6666667,1101.333333,1766.666667,3611.333333,3421.333333,3815.333333,4354.666667,3728,2609,1076,22382.49664,1623.779205,35,20,0,103424
역촌동,11380625,dong,은평구,역촌동,22691.66667,25110,7513,4917,4024.666667,3203.333333,798,3099.666667,3776.333333,6630.333333,7139.333333,7903.333333,7787.666667,6072,3808.333333,1391,49054.29815,4885.261305,43,2.9,0,91025
신사1동,11380631,dong,은평구,신사1동,13657,14542.33333,3794,2910.666667,2462.333333,1967,470.3333333,1768,2247.333333,4004,4260,4404.333333,4594.333333,3735,2250.333333,828.6666667,28828.3396,2524.596295,20,2.3,1,84368
신사2동,11380632,dong,은평구,신사2동,10809.66667,10796,3215.666667,2175.333333,1800.333333,1494.333333,373.6666667,1276.666667,1832.333333,3015.333333,2973,3408,3609.666667,3073,1653,662,20734.27013,1825.491398,11,0,1,82622
증산동,11380640,dong,은평구,증산동,7824,8115.666667,2479.666667,1727,1249.333333,1089,285.6666667,831,1318.333333,2122,2138.666667,2393.333333,2727.666667,2373.666667,1443,508.6666667,14565.64959,2527.965866,13,0,1,102552
수색동,11380650,dong,은평구,수색동,4387.666667,4385.666667,1392.666667,909.6666667,726,574.3333333,159.6666667,465.3333333,570.3333333,1195,1187.666667,1176.333333,1608.333333,1404.333333,780.3333333,333.3333333,9096.702534,1889.493324,1,0,1,92054
진관동,11380690,dong,은평구,진관동,27108,30627.66667,6189.666667,4182,4225,5014.666667,1506,5170.333333,7494.333333,7174.333333,7350,11070,8268,6040.333333,3361,1411,52169.98667,3229.130044,34,0,1,116545
서대문구,11410,gu,서대문구,계,149532.3333,161908.3333,59501.66667,30077.66667,24418.33333,20763,4977.666667,20566.66667,24620,49169,45133.33333,48295,49614.33333,37166.33333,24290.33333,10738,314292.1532,67396.1203,318,0,7,126994
천연동,11410520,dong,서대문구,천연동,8710.333333,9595,3301.333333,1758.666667,1498,1248.666667,280.6666667,1347.333333,1586.666667,2312,2511.333333,2994.333333,3053.666667,2128.333333,1475.333333,764.3333333,20253.96866,2040.507591,12,4.7,0,127557
북아현동,11410555,dong,서대문구,북아현동,8155.333333,8898.666667,2842,1681.333333,1507.333333,1184.666667,238,1499.666667,1146.333333,2460.666667,3032.666667,2769,2831.666667,1734.666667,1037,444,16932.75991,1838.78411,8,8.3,0,104061
충현동,11410565,dong,서대문구,충현동,8570.333333,9113.666667,4545,1752.333333,1217.333333,1042,254.6666667,787.3333333,1219.666667,2904.333333,2548,2585.666667,3041.666667,2370,1394,669,17632.47766,13933.36335,30,0,2,110312
신촌동,11410585,dong,서대문구,신촌동,8405,10333,9391.666667,1503.333333,804.6666667,603,152,818,989.6666667,6747.333333,3192.666667,1989.666667,2014.666667,1380.333333,1020.333333,474.6666667,19634.54501,5298.460566,83,0,2,185528
연희동,11410615,dong,서대문구,연희동,18363.66667,19579.66667,10193,3728,2583.666667,2126.333333,560,1852.666667,2686.666667,7664,5920.333333,5542.666667,5539.666667,4211.666667,2962.333333,1344.666667,38980.63228,15277.97259,39,6,0,107496
홍제1동,11410620,dong,서대문구,홍제1동,11591,13052.66667,3496.333333,2465.333333,2070,1731,433.6666667,1688.666667,1982.333333,3199.333333,3563,3895.333333,4121.333333,3196.666667,1995.333333,863.6666667,20388.49377,2041.899449,17,5.1,0,134221
홍제3동,11410640,dong,서대문구,홍제3동,7859,8267.333333,2662,1662.666667,1348.333333,1072,270.3333333,828.3333333,1219.333333,2183.333333,2015.333333,2333.333333,2772,2280.333333,1599,782.3333333,12070.29074,889.732964,13,5.9,1,108688
홍제2동,11410655,dong,서대문구,홍제2동,6844,7548.333333,1738.666667,1416,1262,1088.666667,256.3333333,885.6666667,1156.666667,1877.666667,1941.666667,2180.333333,2611.666667,1867.666667,1249.333333,538.6666667,21501.66076,1100.015736,5,0,1,173398
홍은1동,11410660,dong,서대문구,홍은1동,11122.66667,11821,3154.666667,2243.666667,1839.333333,1691.333333,420,1451,1891,2948,2895.333333,3482,4039.333333,3181.333333,1990.666667,909,22824.39209,7790.988821,12,20,0,73979
홍은2동,11410685,dong,서대문구,홍은2동,13373.66667,14111.66667,4781.666667,2807,2195.333333,1804.666667,427.6666667,1447.666667,2348.666667,4157.666667,3609.666667,4252,4666.666667,3591.666667,2229.666667,1015,27527.03385,5864.192863,23,16.7,0,98888
