행정동코드,1층 임대시세
11110,212040
11140,226352
11170,128975
11200,126897
11215,107936
11230,118968
11260,89913
11290,105655
11305,91179
11320,97093
11350,128814
11380,99553
11410,134330
11440,149627
11470,113300
11500,124556
11530,108803
11545,100783
11560,112828
11590,127102
11620,123668
11650,142847
11680,159885
11710,129378
11740,107111
