행정동코드,1층 임대시세
11110,207758
11140,252706
11170,137149
11200,121610
11215,118571
11230,114777
11260,95238
11290,111096
11305,99833
11320,100812
11350,136712
11380,110909
11410,130370
11440,146291
11470,118804
11500,129933
11530,125076
11545,123501
11560,124311
11590,139489
11620,124519
11650,138477
11680,171681
11710,148293
11740,125177
