임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
-27893,17,18,164.6667,88,60,92.667,57.667,9.6667,2,-16.667,-5.6667,25.3333,5.3333,457.6009,-3319.64,32,0,-1,0,0,0,-1,-1,0,3,0
-29472,6,-13,332.333,149.333,0,161.333,49,25,18,-499.333,-19.667,79.667,116.6667,-51.3902,-2107.78,28,-4,0,0,0,0,1,0,0,0,3.6
13648,73.667,43.3333,113.667,263.333,195.333,142.333,47.667,37,16.6667,-518.667,-141.667,-63,6.3333,-159.19,1006.038,21,0,0,0,0,0,0,0,0,0,0
9621,-18,-35.667,55.333,15.667,-9.667,21.333,40.667,-5,14.6667,-151.333,7.667,7,106,-62.0381,32330.34,16,-1,0,0,0,0,0,0,0,0,0
-8496,-11,-48.6667,-7,-24.667,-42.333,-47,-58.3333,-42.3333,-11.3333,-152,-171.667,-168.333,-60.6667,23.37094,6509.126,10,0,0,0,0,0,0,0,0,0,10
1318,-18.3333,11.333,53.333,42,-3.333,57,24.667,18.3333,7,-114,-69.667,27.667,80,45.49163,9110.188,7,1,0,0,0,0,0,0,0,1,14.3
-14672,227.6667,128.6667,203,491.667,401,268,143.333,32.667,11,-361,-86.667,-24.333,-22.6667,6018.507,-19346.5,46,-1,1,0,0,-1,-1,0,0,4,6.5
-56289,173,126.333,34,267.667,232.667,218.667,124.333,23,32.333,-1.333,-90.333,-62.333,14.333,97.39381,17283.35,11,0,0,0,0,0,0,0,0,0,0
27368,20.3333,4.3333,-18.333,46.333,11.333,-4.333,21.667,5.6667,-2.3333,-38.667,-53.333,31.6667,59.3333,50.18848,6371.173,5,-1,0,0,0,-1,0,0,0,0,0
-28349,101,9.03E+01,440,517.667,280,145.333,51.3333,2.3333,15,81.667,4,3,-2.3333,-188.895,1357.666,25,2,0,0,0,0,0,0,0,1,0
98097,128.3333,89,290,461.333,312.333,137,62.333,2.3333,9.3333,-44.333,-24.667,17.3333,43,-6.84855,6295.613,15,0,0,0,0,0,0,0,0,0,13.3
-5392,340.333,228.667,555,948,653.333,417.667,164.333,32.667,15,-252.333,-47.333,-32,-9.6667,-3.76382,-14339.8,25,1,0,0,0,1,0,0,0,2,0
5101,76.3333,91.667,70.667,124.333,204,125.667,40.333,9,5.3333,9.333,-31.667,12,90.667,-39.4883,14319.11,8,-1,0,0,0,0,0,0,0,1,0
-6922,80.3333,-13,228,366.333,197,128.333,26.333,-10,15,-79.333,-8.667,94,110.6667,21.52733,3233.933,11,1,0,0,0,0,0,0,0,0,9.1
25509,19.667,-1.667,116.667,126.667,25.667,100.333,28.667,6,16.3333,-14,-71.667,42,102.333,53.21165,37795.21,10,0,0,0,0,0,0,0,1,1,0
16406,49.667,-19,164.667,70,95.333,130,50,24,12,-274.333,-100,-34.667,134,340.56,3330.959,35,2,2,0,0,0,0,0,0,0,0
15441,-9.333,3.333,438,145,59.333,150,77.667,0.667,21,-480,-76.333,37.333,171.667,191.9669,-12391.1,14,4,0,0,-1,0,0,0,0,1,7.1
