자치구,행정동,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세
종로구,계,9086,13394,28272,22811,25576,27022,18602,12578,5080,920
종로구,사직동,698,772,1161,1505,1667,1546,1107,783,392,74
종로구,삼청동,168,235,377,457,442,517,414,289,133,27
종로구,부암동,580,1020,1628,1368,1735,1709,1209,845,373,65
종로구,평창동,1230,2008,2707,2372,3034,3345,2214,1417,657,145
종로구,무악동,718,987,929,954,1592,1312,894,601,241,38
종로구,교남동,970,846,1459,1935,1901,1562,1072,708,246,36
종로구,가회동,235,398,533,639,837,758,555,448,166,32
종로구,종로1.2.3.4가동,314,355,1106,1179,1219,1632,1370,867,323,86
종로구,종로5·6가동,145,339,1081,680,777,1069,752,544,182,41
종로구,이화동,347,582,2092,1477,1161,1196,885,608,259,49
종로구,창신1동,215,350,844,751,983,1408,947,553,165,37
종로구,창신2동,385,715,1623,1205,1622,2207,1347,782,277,39
종로구,창신3동,467,627,1112,1100,1135,1361,880,533,214,37
종로구,숭인1동,391,476,955,1046,1131,1236,838,508,202,34
종로구,숭인2동,352,482,1995,1620,1469,1822,1263,762,267,39
종로구,청운효자동,994,1390,1777,1977,2389,2030,1306,1062,450,76
종로구,혜화동,877,1812,6893,2546,2482,2312,1549,1268,533,65
중구,계,8210,8481,21156,22364,20815,22797,16510,10154,4067,702
중구,소공동,272,162,281,714,562,389,273,116,37,11
중구,회현동,264,220,594,723,860,1211,1108,598,239,77
중구,명동,155,126,382,529,583,616,540,309,129,22
중구,필동,230,334,1235,771,574,722,570,344,173,36
중구,장충동,255,450,1636,800,757,673,537,383,145,26
중구,광희동,198,303,1046,903,804,1146,899,491,185,33
중구,을지로동,51,51,221,218,207,386,380,196,77,13
중구,신당5동,618,667,1354,1476,1643,1736,1158,740,249,34
중구,황학동,863,605,2265,2827,1992,2103,1463,834,294,33
중구,중림동,1073,856,1581,2521,2035,2015,1339,848,347,54
중구,신당동,364,467,1885,1546,1535,1839,1013,613,228,44
중구,다산동,733,1072,2582,2511,2392,2450,1820,1223,394,62
중구,약수동,1351,1145,2263,2832,2794,2963,2425,1539,699,112
중구,청구동,933,1088,2159,2410,2295,2510,1738,1191,527,80
중구,동화동,850,935,1672,1583,1782,2038,1247,729,344,65
용산구,계,16486,18622,35102,42623,41085,38125,26902,17082,7551,1339
용산구,후암동,1241,1569,2612,3161,3122,3004,2123,1308,554,139
용산구,용산2가동,598,785,1931,2373,1884,1809,1481,905,383,58
용산구,남영동,283,337,1147,1190,1355,1828,1348,656,253,56
용산구,원효로2동,1146,1534,1939,2313,2632,2369,1649,1027,474,53
용산구,효창동,644,799,1406,1525,1482,1404,885,642,267,53
용산구,용문동,953,1046,1781,2217,2126,1984,1432,907,315,61
용산구,이촌1동,3138,3183,2889,4135,5620,4261,2681,1856,1093,188
용산구,이촌2동,659,603,1065,1607,1377,1485,1254,781,340,50
용산구,이태원1동,420,437,1507,1703,1303,1318,1019,665,339,58
용산구,이태원2동,647,661,1633,2171,1785,1554,1188,894,377,64
용산구,서빙고동,1060,1710,1873,1762,2876,2293,1287,879,564,66
용산구,보광동,710,1022,2611,2761,2673,2735,1982,1231,505,96
용산구,청파동,881,1518,4243,3376,3242,3310,2277,1554,582,95
용산구,원효로1동,1424,960,2370,3579,2573,2147,1471,839,317,67
용산구,한강로동,1153,1027,2724,3760,2946,3057,2199,1309,594,124
용산구,한남동,1529,1431,3371,4990,4089,3567,2626,1629,594,111
성동구,계,23700,23932,49540,54687,51194,50685,33752,20078,7298,975
성동구,왕십리2동,1339,1430,2810,3304,2959,2943,1928,1112,389,56
성동구,마장동,1454,1975,4721,3637,3516,3996,2759,1627,604,78
성동구,사근동,525,948,5223,1854,1330,1285,914,740,241,30
성동구,행당1동,863,1118,2511,2224,2256,2419,1627,993,367,47
성동구,행당2동,2264,2474,3120,4092,4693,3817,2503,1603,566,87
성동구,응봉동,1428,1903,1815,2455,3326,2345,1631,1157,443,49
성동구,금호1가동,1364,1289,1918,2906,2657,2466,1781,1067,413,43
성동구,금호4가동,1538,1030,1711,2987,2755,2274,1633,1034,351,56
성동구,성수1가1동,1223,1422,2714,3120,2914,3190,1792,920,350,38
성동구,성수1가2동,1076,1139,2639,3028,2579,2592,1714,948,319,44
성동구,성수2가1동,1059,1236,2683,2939,2928,3655,2387,1216,414,71
성동구,성수2가3동,726,683,2077,2236,1710,2049,1445,785,280,28
성동구,송정동,694,761,1825,1952,1870,2294,1437,731,264,24
성동구,용답동,729,1076,2684,2473,2750,3184,1982,1227,413,42
성동구,왕십리도선동,2591,1796,4608,5114,4354,4462,2640,1537,602,86
성동구,금호2.3가동,1988,1788,3131,4692,4049,3707,2735,1746,612,91
성동구,옥수동,2839,1864,3350,5674,4548,4007,2844,1635,670,105
광진구,계,24198,30542,66086,62962,59112,59588,38513,21023,7263,1048
광진구,화양동,597,1041,10291,4612,2417,2315,1712,1032,350,56
광진구,군자동,1205,1338,5278,3987,2988,3179,2151,1327,417,52
광진구,중곡1동,969,953,2644,3276,2452,2750,1900,1128,290,49
광진구,중곡2동,1495,1687,3855,4162,3401,3904,2493,1349,403,59
광진구,중곡3동,990,1260,2787,3090,2755,3279,2105,1210,359,50
광진구,중곡4동,1960,2575,4737,4928,5009,5665,3803,2070,620,91
광진구,능동,729,634,2343,2883,1649,1497,1146,704,227,50
광진구,구의1동,1193,1555,4630,4647,3629,3639,2250,1387,458,60
광진구,구의2동,1890,2408,3550,4105,4311,4272,3108,1652,568,68
광진구,구의3동,2196,2875,4920,5104,5050,5020,3065,1588,625,98
광진구,광장동,3632,5866,4276,4302,8177,5239,2644,1468,709,106
광진구,자양1동,1325,1812,4397,4438,3928,4103,2633,1433,473,68
광진구,자양2동,2086,2302,4052,4743,4495,4621,3193,1575,511,70
광진구,자양3동,2771,3017,4232,4831,5094,4869,3133,1501,722,98
광진구,자양4동,1160,1219,4094,3854,3757,5236,3177,1599,531,73
동대문구,계,23493,28328,63190,54565,56010,57093,43274,27286,9655,1376
동대문구,회기동,592,1040,4628,1765,1429,1240,930,719,266,52
동대문구,휘경1동,608,945,3908,2115,1937,2062,1553,1029,386,50
동대문구,휘경2동,1626,2404,5138,3433,3864,3617,2780,1622,558,76
동대문구,청량리동,1105,1454,2866,2914,3220,4216,3557,2419,913,124
동대문구,용신동,1667,1755,5576,5427,4757,5363,3805,2595,951,140
동대문구,제기동,1342,1764,5650,3855,3627,4183,3681,2480,946,135
동대문구,전농1동,1935,2246,4458,4314,4506,5041,3785,2492,842,120
동대문구,전농2동,1518,2022,2688,2672,3462,3330,2416,1551,613,64
동대문구,답십리1동,2452,1996,3726,4852,4310,4037,2691,1654,596,93
동대문구,답십리2동,1981,2430,3916,4125,4788,5109,3756,2326,839,95
동대문구,장안1동,2913,2956,5368,6951,6592,6327,4862,2540,757,135
동대문구,장안2동,2844,2920,3643,4995,5688,4735,3703,1966,595,112
동대문구,이문1동,1318,2263,8442,4086,4132,4221,3101,2212,823,104
동대문구,이문2동,1592,2133,3183,3061,3698,3612,2654,1681,570,76
중랑구,계,27384,31583,59037,63935,64018,73167,51598,28631,9460,1316
중랑구,면목2동,1706,2035,3656,4069,4325,5043,3281,1860,609,80
중랑구,면목4동,1361,1551,3069,3266,3404,3492,2737,1670,401,64
중랑구,면목5동,641,768,1403,1597,1636,1920,1288,745,230,24
중랑구,면목7동,1294,1488,3252,3429,3405,4154,3089,1697,581,62
중랑구,상봉1동,2053,2372,3871,3890,4019,4591,2846,1519,552,76
중랑구,상봉2동,919,1021,3278,3806,2792,3201,2240,1249,376,46
중랑구,중화1동,1548,1522,3202,3520,2945,3726,2668,1365,454,68
중랑구,중화2동,1317,1731,4075,4339,4358,5839,3982,2273,700,103
중랑구,묵1동,2857,3361,5011,5805,6106,5708,4177,2360,790,96
중랑구,묵2동,1358,1444,3051,3454,3188,3421,2641,1423,411,53
중랑구,망우3동,1056,1499,2611,2615,2856,3503,2458,1358,470,65
중랑구,신내1동,4237,3930,5404,5841,6406,6903,4673,2635,1013,192
중랑구,신내2동,1699,2142,2807,3463,3684,3788,2867,1491,632,90
중랑구,면목본동,2029,2504,5688,6102,5837,6675,4493,2512,765,86
중랑구,면목3.8동,1435,1926,4101,4073,4280,5052,3665,2131,678,89
중랑구,망우본동,1874,2289,4558,4666,4777,6151,4493,2343,798,122
성북구,계,32885,41676,70369,65156,76185,69231,50331,32258,11756,1655
성북구,돈암1동,1039,1657,2293,2268,2709,2802,2060,1193,466,49
성북구,돈암2동,2447,3015,3008,3389,4905,3950,2386,1399,607,84
성북구,안암동,608,1240,5854,2487,2081,2179,1419,1010,386,42
성북구,보문동,1157,1158,3030,3066,2855,2699,1780,1068,421,57
성북구,정릉1동,1494,1906,2586,2736,3378,2748,1993,1338,482,64
성북구,정릉2동,1807,2202,3196,3427,4016,3913,3084,1871,683,86
성북구,정릉3동,865,1325,3834,2234,2301,2493,2123,1514,565,85
성북구,정릉4동,2104,2566,3435,3952,4794,4203,3334,2116,709,113
