자치구,행정동,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세
동대문구,용신동,1553,1634,5951,5433,4598,5220,3894,2575,1029,153
동대문구,제기동,1194,1680,5957,3761,3469,4170,3773,2536,1040,136
동대문구,전농1동,2052,2164,4823,4609,4594,5196,4051,2507,973,135
동대문구,전농2동,1431,1920,2720,2610,3310,3336,2562,1591,676,65
동대문구,답십리1동,2896,2120,4231,5835,4708,4490,3003,1803,688,106
동대문구,답십리2동,2024,2367,4061,4500,4749,5276,4003,2437,906,104
동대문구,장안1동,2792,2812,5374,6693,6512,6326,5042,2729,826,133
동대문구,장안2동,2821,2871,3765,5032,5639,4886,3908,2109,653,119
동대문구,이문1동,911,1798,7134,2852,2898,2928,2303,1605,653,101
동대문구,이문2동,1469,2000,2998,2777,3521,3495,2667,1727,638,78
중랑구,계,25869,29713,58045,62100,61207,72855,53967,29902,10361,1439
중랑구,면목2동,1548,1906,3580,3810,4164,5125,3438,1924,668,88
중랑구,면목4동,1271,1417,2791,3136,3218,3477,2767,1754,457,72
중랑구,면목5동,592,719,1327,1527,1540,1880,1363,774,248,30
중랑구,면목7동,1263,1343,3128,3272,3258,4069,3233,1779,621,75
중랑구,상봉1동,1995,2233,3804,3875,3794,4620,3034,1568,585,74
중랑구,상봉2동,894,963,3635,3928,2748,3217,2341,1272,426,58
중랑구,중화1동,1443,1491,3147,3481,2962,3650,2831,1401,505,67
중랑구,중화2동,1272,1527,4168,4260,4036,5792,4122,2345,783,103
중랑구,묵1동,2728,3274,4942,5550,6069,5737,4333,2490,873,104
중랑구,묵2동,1273,1370,2892,3449,3006,3365,2781,1472,459,62
중랑구,망우3동,999,1352,2578,2481,2657,3504,2565,1440,504,77
중랑구,신내1동,3956,3888,5298,5636,6254,6857,5028,2754,1117,203
중랑구,신내2동,1633,1984,2730,3270,3515,3752,3000,1572,674,93
중랑구,면목본동,1955,2313,5579,5995,5546,6739,4637,2665,856,97
중랑구,면목3.8동,1351,1799,4048,3968,3908,4950,3794,2237,704,98
중랑구,망우본동,1696,2134,4398,4462,4532,6121,4700,2455,881,138
성북구,계,31409,40645,72163,63834,73899,70345,52200,32823,12817,1803
성북구,돈암1동,945,1528,2252,2162,2465,2843,2087,1266,506,61
성북구,돈암2동,2298,3015,3036,3245,4814,4026,2498,1402,662,97
성북구,안암동,559,1153,6166,2433,1924,2181,1457,1029,426,51
성북구,보문동,1101,1114,3031,2887,2643,2691,1812,1060,444,68
성북구,정릉1동,1585,1987,2750,2870,3425,2828,2130,1365,533,66
성북구,정릉2동,1685,2153,3325,3221,3884,3834,3246,1918,721,89
성북구,정릉3동,782,1282,4066,2173,2162,2479,2128,1512,611,105
