자치구,행정동,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세
종로구,계,8185,11918,28260,21719,23751,26807,20050,12677,5831,1055
종로구,사직동,608,704,1279,1496,1558,1588,1203,781,460,91
종로구,삼청동,139,237,350,426,428,453,447,299,156,30
종로구,부암동,588,941,1526,1366,1693,1733,1287,809,390,77
종로구,평창동,1208,1665,2523,2287,2834,3363,2465,1413,757,156
종로구,무악동,730,1025,949,984,1582,1411,990,652,302,49
종로구,교남동,907,872,1307,1840,1877,1628,1138,737,316,49
종로구,가회동,218,348,498,602,795,724,603,448,170,37
종로구,종로1.2.3.4가동,275,295,1096,1208,1244,1583,1469,862,364,91
종로구,종로5·6가동,126,273,1365,761,671,1017,798,540,201,39
종로구,이화동,279,505,2061,1364,1070,1155,924,612,305,48
종로구,창신1동,171,275,930,642,761,1363,1051,560,209,45
종로구,창신2동,286,571,1650,1091,1310,2113,1428,836,308,48
종로구,창신3동,412,558,1039,1019,1015,1308,997,550,235,45
종로구,숭인1동,329,399,906,925,1023,1216,894,535,223,35
종로구,숭인2동,304,392,2072,1606,1326,1778,1373,761,307,50
종로구,청운효자동,882,1227,1675,1776,2238,2036,1390,1032,505,75
종로구,혜화동,723,1631,7034,2326,2326,2338,1593,1250,623,90
중구,계,7639,7628,21809,22296,19779,22495,17865,10726,4731,864
중구,소공동,275,208,267,661,696,448,304,120,49,11
중구,회현동,240,251,564,676,805,1117,1143,598,291,86
중구,명동,136,192,479,554,569,642,589,349,146,28
중구,필동,209,222,1303,721,520,649,621,356,177,50
중구,장충동,217,378,1723,762,670,659,530,380,174,32
중구,광희동,198,256,1311,1076,801,1081,929,547,210,39
중구,을지로동,58,45,273,318,212,365,410,203,78,21
중구,신당5동,634,600,1763,1856,1642,1951,1327,840,330,47
중구,황학동,845,570,2386,3087,1968,2001,1573,895,339,49
중구,중림동,1085,779,1551,2414,2111,2060,1445,933,417,70
중구,신당동,329,363,1856,1538,1284,1744,1117,664,248,55
중구,다산동,619,906,2639,2396,2188,2429,1945,1249,494,78
중구,약수동,1192,1037,2092,2546,2569,2935,2624,1648,780,147
중구,청구동,811,939,2077,2277,2058,2416,1913,1173,591,91
중구,동화동,791,882,1525,1414,1686,1998,1395,771,407,60
용산구,계,15265,17019,36195,42354,39125,38792,28862,17384,8411,1590
용산구,후암동,1065,1347,2666,2975,2894,3037,2265,1354,589,133
용산구,용산2가동,487,650,1923,2255,1683,1622,1512,935,451,86
용산구,남영동,245,290,1077,1158,1232,1808,1373,706,281,65
용산구,원효로2동,970,1308,1917,2131,2413,2363,1716,1048,539,73
용산구,효창동,797,801,1630,1898,1598,1586,1032,644,331,57
용산구,용문동,808,884,1868,2080,1905,2024,1531,956,373,67
용산구,이촌1동,3001,3075,3050,3944,5305,4614,3013,1884,1180,229
용산구,이촌2동,575,523,1019,1539,1257,1423,1327,779,370,60
용산구,이태원1동,364,412,1731,1806,1304,1311,1103,652,372,76
용산구,이태원2동,602,608,1639,2148,1736,1458,1236,881,422,82
용산구,서빙고동,914,1630,1870,1684,2715,2364,1438,833,601,88
용산구,보광동,593,851,2747,2698,2450,2703,2029,1268,564,98
용산구,청파동,751,1250,4474,3334,2882,3212,2403,1560,661,102
용산구,원효로1동,1470,912,2513,3879,2765,2288,1660,849,361,77
용산구,한강로동,1148,1067,2937,4004,2982,3285,2351,1371,614,139
용산구,한남동,1475,1411,3134,4821,4004,3694,2873,1664,702,158
성동구,계,21393,21149,48504,51211,46923,49097,36246,20625,8309,1150
성동구,왕십리2동,1260,1264,2654,3064,2752,2867,2098,1187,439,63
성동구,마장동,1271,1752,4751,3375,3217,3890,2959,1739,698,85
성동구,사근동,445,947,5805,1787,1169,1319,946,759,286,36
성동구,행당1동,1032,1058,2501,2431,2252,2411,1692,983,390,69
성동구,행당2동,1896,2217,3063,3803,4237,3958,2708,1741,698,98
성동구,응봉동,1212,1733,1787,2306,3006,2451,1690,1196,494,69
성동구,금호1가동,1352,1111,1866,2866,2636,2404,2044,1102,481,53
성동구,금호4가동,1412,990,1590,2831,2660,2179,1794,1068,433,50
성동구,성수1가1동,1080,1192,2641,3051,2513,3109,2089,929,380,45
성동구,성수1가2동,824,979,2302,2637,2201,2197,1717,892,353,47
성동구,성수2가1동,929,964,2493,2784,2552,3404,2635,1252,470,70
성동구,성수2가3동,616,560,2127,2082,1568,1929,1500,843,340,40
성동구,송정동,587,645,1826,1768,1696,2130,1608,757,297,43
성동구,용답동,523,791,2356,1847,1944,2503,1680,1036,415,37
성동구,왕십리도선동,2463,1673,4596,4954,4130,4563,2989,1631,685,106
성동구,금호2.3가동,1784,1559,3060,4307,3855,3774,2974,1767,715,107
성동구,옥수동,2707,1714,3086,5318,4535,4009,3123,1743,735,132
광진구,계,21340,27305,67609,59631,55182,57924,42519,22348,8598,1257
광진구,화양동,455,922,11394,4660,2311,2266,1727,1044,396,65
광진구,군자동,1022,1253,5580,4026,2727,3069,2382,1368,508,62
광진구,중곡1동,845,793,2797,3076,2304,2707,2084,1152,377,57
광진구,중곡2동,1287,1454,4012,4088,3118,3717,2764,1483,488,80
광진구,중곡3동,807,1044,2731,2819,2457,3068,2371,1301,453,61
광진구,중곡4동,1656,2087,4602,4678,4399,5477,4272,2282,737,102
광진구,능동,627,566,2516,2802,1666,1518,1261,744,293,49
광진구,구의1동,977,1266,4938,4475,3344,3473,2462,1438,557,62
광진구,구의2동,1936,2476,3818,4092,4558,4584,3424,1911,703,94
광진구,구의3동,1973,2603,4847,4801,4706,4937,3435,1673,709,118
광진구,광장동,3458,5617,4161,4098,7839,5364,2962,1481,803,140
광진구,자양1동,1137,1560,4475,4029,3627,3991,2868,1535,562,77
광진구,자양2동,1780,1987,3983,4213,4249,4456,3574,1672,588,93
광진구,자양3동,2442,2669,4073,4485,4711,4745,3532,1602,820,118
광진구,자양4동,938,1008,3682,3289,3166,4552,3401,1662,604,79
동대문구,계,21886,25147,65016,53080,52664,55230,46115,28170,11179,1591
동대문구,회기동,482,815,5076,1609,1376,1239,973,703,336,59
동대문구,휘경1동,812,895,4493,2324,1793,2067,1550,1002,413,63
동대문구,휘경2동,1348,2179,5661,3162,3634,3604,2947,1811,666,108
동대문구,청량리동,910,1224,2635,2566,2816,3892,3862,2494,1010,148
동대문구,용신동,1397,1508,6457,5529,4448,5017,4124,2591,1120,164
동대문구,제기동,1115,1536,5792,3594,3276,4004,3919,2601,1124,151
동대문구,전농1동,1971,2039,4850,4559,4516,5072,4193,2551,1082,140
동대문구,전농2동,1314,1810,2599,2463,3148,3324,2670,1622,713,79
동대문구,답십리2동,1903,2123,4092,4595,4536,5115,4146,2498,957,122
동대문구,장안1동,2667,2686,5356,6571,6532,6223,5369,2837,907,147
동대문구,장안2동,3018,2903,3998,5370,5870,5067,4205,2255,735,114
동대문구,이문1동,771,1476,6770,2514,2639,2703,2222,1526,674,97
동대문구,이문2동,1370,1924,3092,2678,3345,3494,2726,1810,682,97
