지역,1인세대,2인세대,3인세대,4인세대,5인세대
종로구,36390,13987,10916,9116,2546
중구,30425,12963,9226,7133,1778
용산구,51507,22654,16920,13783,3585
성동구,55571,29586,24935,20648,4622
광진구,72629,33104,27031,24147,5342
동대문구,74224,32907,26139,22265,5513
중랑구,73677,41039,32438,26181,6343
성북구,73240,40021,35080,31823,7684
강북구,58739,33271,25261,19897,5014
도봉구,44181,33044,28751,24747,5962
노원구,68669,48244,44528,44119,9468
은평구,75336,47777,39482,33351,8531
서대문구,58356,29414,24416,21028,5172
마포구,77236,35628,28521,24943,5795
양천구,49734,37201,38449,40245,8947
강서구,101063,57832,47939,41713,10019
구로구,64538,39355,32640,28736,7148
금천구,48816,23522,17798,14748,3690
영등포구,79442,34534,28325,24147,5576
동작구,76209,37297,31039,27498,6454
관악구,148296,49133,33337,27183,6662
서초구,57802,34293,34106,35237,8591
강남구,90342,43268,41077,43077,9885
송파구,94289,57966,55523,54770,12103
강동구,62524,38257,34433,32260,7689
