지역,1인세대,2인세대,3인세대,4인세대,5인세대
종로구,35775,13792,10877,9649,2631
중구,29298,12583,9323,7407,1834
용산구,50177,22039,17054,14308,3662
성동구,53571,28958,24842,21743,4909
광진구,69240,32155,27275,25203,5652
동대문구,71395,32053,26330,23082,5962
중랑구,70619,39937,32822,27785,6681
성북구,69919,38423,34984,32779,7958
강북구,56220,32679,26062,21213,5418
도봉구,41897,32200,29175,26049,6321
노원구,66145,47105,45114,46634,10089
은평구,71730,45944,39547,34658,8907
서대문구,55942,28682,24323,21739,5301
마포구,73510,35075,28694,25680,6052
양천구,47672,36099,38459,41850,9527
강서구,94180,56202,48806,43863,10574
구로구,61659,37733,32818,30040,7357
금천구,45252,22512,18047,15441,3836
영등포구,74245,33751,28410,25130,5927
동작구,70744,35811,30873,28177,6752
관악구,138902,48098,34454,28885,7057
서초구,56709,34368,34542,36849,8910
강남구,87621,42154,41293,44619,10280
송파구,88247,54441,54376,55211,12419
강동구,60501,37596,35039,33947,8194
