지역,행정동코드,구평균총생활인구수
종로구,11110,327129.94187125
중구,11140,295561.24042666674
용산구,11170,301951.4059681945
성동구,11200,348201.7616848611
광진구,11215,393078.4126866667
동대문구,11230,379025.7639786111
중랑구,11260,364152.35581597226
성북구,11290,442707.30252958334
강북구,11305,309459.89110680553
도봉구,11320,299595.4289258333
노원구,11350,529824.3880718056
은평구,11380,450872.7540104167
서대문구,11410,389617.04863638885
마포구,11440,472519.9193305556
양천구,11470,402618.42784097226
강서구,11500,550112.3354372223
구로구,11530,403732.04461777775
금천구,11545,224922.162875
영등포구,11560,485335.0910469444
동작구,11590,413966.75858458335
관악구,11620,507725.3242256945
서초구,11650,611531.2318862501
강남구,11680,815268.1662056944
송파구,11710,754160.4765891667
강동구,11740,486125.36786166666
