지역,행정동코드,구평균총생활인구수
종로구,11110,297878.5838166667
중구,11140,283560.4029983333
용산구,11170,290558.8489454166
성동구,11200,333640.7590106944
광진구,11215,374767.60112513887
동대문구,11230,358814.15469180554
중랑구,11260,344597.39263861114
성북구,11290,418334.59112291667
강북구,11305,288379.11062930553
도봉구,11320,278092.8013463889
노원구,11350,503524.29178555554
은평구,11380,427550.75686916674
서대문구,11410,367870.16058680555
마포구,11440,461004.11741805554
양천구,11470,381332.4080666667
강서구,11500,525174.6635205555
구로구,11530,380883.58084722224
금천구,11545,215355.23057680554
영등포구,11560,452252.4076852778
동작구,11590,393344.0723248611
관악구,11620,479840.7169868055
서초구,11650,573488.8706002777
강남구,11680,784684.0706705556
송파구,11710,736120.96772125
강동구,11740,461754.01034638885
