CD,편의점 수
11560720.0,30.0
11590.0,341.0
11590510.0,40.0
11590520.0,18.0
11590530.0,50.0
11590540.0,16.0
11590550.0,12.0
11590560.0,14.0
11590605.0,29.0
11590620.0,27.0
11590630.0,27.0
11590640.0,13.0
11590650.0,9.0
11590651.0,9.0
11590660.0,36.0
11590670.0,11.0
11590680.0,30.0
11620.0,459.0
11620525.0,17.0
11620545.0,7.0
11620565.0,9.0
11620575.0,31.0
11620585.0,28.0
11620595.0,43.0
11620605.0,24.0
11620615.0,20.0
11620625.0,22.0
11620630.0,19.0
11620645.0,27.0
11620655.0,10.0
11620665.0,22.0
11620685.0,24.0
11620695.0,37.0
11620715.0,3.0
11620725.0,24.0
11620735.0,42.0
11620745.0,9.0
11620765.0,22.0
11620775.0,19.0
11650.0,518.0
11650510.0,34.0
11650520.0,42.0
11650530.0,77.0
11650531.0,35.0
11650540.0,28.0
11650550.0,7.0
11650560.0,27.0
11650570.0,7.0
11650580.0,10.0
11650581.0,45.0
11650590.0,21.0
11650600.0,21.0
11650610.0,25.0
11650620.0,18.0
11650621.0,22.0
11650651.0,43.0
11650652.0,43.0
11650660.0,13.0
11680.0,951.0
11680510.0,42.0
11680521.0,79.0
11680531.0,74.0
11680545.0,55.0
11680565.0,54.0
11680580.0,58.0
11680590.0,52.0
11680600.0,21.0
11680610.0,47.0
11680630.0,61.0
11680640.0,192.0
11680650.0,54.0
11680655.0,26.0
11680656.0,24.0
11680660.0,2.0
11680670.0,10.0
11680690.0,27.0
11680700.0,22.0
11680720.0,12.0
11680730.0,12.0
11680740.0,8.0
11680750.0,19.0
11710.0,644.0
11710510.0,8.0
11710520.0,21.0
11710531.0,12.0
11710532.0,11.0
11710540.0,14.0
11710550.0,11.0
11710561.0,20.0
11710562.0,42.0
11710566.0,16.0
11710570.0,43.0
11710580.0,27.0
11710590.0,16.0
11710600.0,45.0
11710610.0,37.0
11710620.0,41.0
11710631.0,11.0
11710632.0,20.0
11710641.0,13.0
11710642.0,71.0
11710646.0,20.0
11710647.0,15.0
11710650.0,55.0
11710670.0,23.0
11710680.0,20.0
11710690.0,6.0
11710710.0,24.0
11710720.0,2.0
11740.0,399.0
11740515.0,23.0
11740520.0,15.0
11740530.0,17.0
11740540.0,17.0
11740550.0,8.0
11740560.0,8.0
11740570.0,32.0
11740580.0,11.0
11740590.0,7.0
11740600.0,25.0
11740610.0,49.0
11740620.0,27.0
11740640.0,21.0
11740650.0,25.0
11740660.0,31.0
11740685.0,58.0
11740690.0,5.0
11740700.0,20.0
