NM,CD,GUBUN,2018년2분기길단위생존인구,2018년2분기건물단위생존인구,2018년2분기주거인구,2018년2분기직장인구,2019년2분기길단위생존인구,2019년2분기건물단위생존인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기길단위생존인구,2020년2분기건물단위생존인구,2020년2분기주거인구,2020년2분기직장인구
신당5동,11140650,dong,119998.7112,195704.938,289.0449049,60.38013062,95482.9605,161905.4635,290.1726021,34.60419439,103292.457,179501.968,285.6618133,28.61128922
동화동,11140665,dong,85460.58313,138288.3045,346.9484834,81.98782605,80503.77368,141393.068,344.13072,45.99317071,88395.84425,165248.0462,339.9192241,45.90227512
황학동,11140670,dong,163147.6927,203444.1448,375.9604997,98.23188707,162511.4894,195512.7076,377.547346,58.22505142,167837.2506,213656.724,382.7045964,52.3048942
중림동,11140680,dong,36379.86693,72584.13478,154.4989909,155.1552989,42718.16086,88789.41785,162.6618209,108.1882619,44463.26316,89451.31754,260.1440596,89.1758413
용산구,11170,gu,27452.28835,60540.5473,105.608136,81.65027458,26610.33489,58683.47477,105.8463174,88.46563865,26881.26343,57553.33182,106.2368786,82.69724128
후암동,11170510,dong,39273.96278,77428.9504,211.4005198,38.28885109,37662.13457,76469.3992,209.6386569,25.95581064,40634.24762,81444.77711,206.944043,26.76189171
용산2가동,11170520,dong,16565.94608,21463.04696,51.29565237,15.14643097,16020.64037,20807.66094,50.8218685,9.270534013,16763.94866,22229.60519,50.63137807,8.777212656
남영동,11170530,dong,32445.73318,108490.2132,104.7765668,442.8443896,26700.55045,90865.36938,106.3391793,296.842028,22630.93674,72577.45041,105.6190188,269.1226406
청파동,11170555,dong,82850.8683,161192.5253,233.0939199,94.03279565,82763.20885,157161.1454,233.7854222,69.5305621,79353.71037,146748.6178,228.6106796,71.44371862
원효로1동,11170560,dong,71115.30068,140612.5644,237.419692,276.95853,81263.83435,162327.1581,239.8802635,85.72970368,85371.22387,175536.3688,269.4071211,78.00860012
원효로2동,11170570,dong,34167.22097,68401.6865,163.1011166,57.39612721,31286.80916,66502.32544,163.1120388,60.85846257,34699.12087,72685.83075,159.2237379,51.21416565
효창동,11170580,dong,77003.99431,105320.7122,186.6063272,38.66828139,74234.538,100678.1815,194.0425351,37.18103979,78650.49823,106669.23,186.8400365,35.05640895
용문동,11170590,dong,101153.2957,173041.2574,444.8915253,36.57305624,96667.32346,160837.8379,451.4248973,97.30921862,97737.82857,162404.2965,436.5260436,93.47215885
한강로동,11170625,dong,14961.79765,58487.14029,46.69903387,208.8297673,14793.17383,58061.39848,46.48765867,149.5286035,13240.98321,50641.3418,51.44455599,139.3230516
이촌1동,11170630,dong,27836.09682,52830.06762,129.9968092,9.689000349,25663.54025,48924.88016,129.3110687,56.59458461,28285.3315,52145.74724,132.0680255,50.68881935
이촌2동,11170640,dong,12819.51289,18178.45354,76.16425015,4.130600868,10913.55123,15271.69741,75.12320441,18.46177095,12982.05036,17796.88131,74.82096532,24.39741082
이태원1동,11170650,dong,48005.91678,132108.8451,119.1123446,98.64179823,42899.63736,115284.139,118.9570032,222.6560275,29296.37243,84171.46326,116.5233211,224.9343683
이태원2동,11170660,dong,36466.26121,67798.56977,107.4266966,30.03351467,36406.36483,67971.83277,108.0637712,34.84570282,36512.73353,69334.42114,105.6292363,14.28867213
한남동,11170685,dong,15602.35245,44201.3259,64.00984344,49.62669782,15787.27325,45178.81026,64.4474962,139.2736152,16765.35841,46999.68867,64.70070959,131.0957606
서빙고동,11170690,dong,5958.231523,23397.8371,61.07955127,20.85421295,5672.946436,21070.02271,60.82478776,63.18589957,6371.539822,21671.44574,60.48813598,67.148382
보광동,11170700,dong,39253.68559,61651.18091,168.4454506,11.09494035,37750.39978,60014.97132,169.6694876,28.08547147,37693.48767,59040.15908,159.8098139,11.89224881
성동구,11200,gu,39451.77686,93217.01365,183.7341995,113.9962223,38921.78019,90978.485,186.4406585,51.28682432,40032.97882,92493.51179,181.8201695,48.71867799
왕십리2동,11200520,dong,82960.77393,133133.0496,470.6764888,31.82316082,106782.8498,178154.8088,466.4714708,32.60186786,125223.5668,213841.3387,457.7759089,32.99122138
왕십리도선동,11200535,dong,65006.99762,169063.5982,375.6455059,115.9684815,58825.36004,142668.4317,373.9343587,67.76421226,67012.82387,185733.4782,378.3583003,82.76109602
마장동,11200540,dong,49173.1479,114966.9701,212.2716641,106.4636255,44471.46304,106668.0225,216.029747,37.90400545,42259.32803,101050.4296,215.5865333,70.94189376
사근동,11200550,dong,22294.96722,91482.95458,95.98924718,66.48660758,23078.38488,87414.31123,98.70281374,24.46436648,23963.60778,79293.51086,98.73662765,22.40171775
행당1동,11200560,dong,88127.21807,229161.7481,244.8046648,106.214133,95636.62424,243654.7956,313.4303238,168.2523079,77330.0963,176756.8183,285.8135633,41.96806518
행당2동,11200570,dong,78788.50911,193820.4656,550.0473538,21.36934407,71704.56062,177763.5575,547.2695578,6.911681398,81712.39094,212955.8755,537.66757,5.861805742
