NM,CD,GUBUN,면적(km),2018년2분기주거인구,2018년2분기직장인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기주거인구,2020년2분기직장인구
화곡3동,11500560,dong,0.51,26417912.47,2888909.146,26373323.3,6620319.01,26359242.51,6257738.614
화곡4동,11500570,dong,0.82,15863297.64,1363174.607,15866133.15,1930277.928,15350778.01,1921062.499
화곡본동,11500590,dong,1.11,21553031.13,1410595.303,21621518.3,1840742.763,21260458.77,1792080.83
화곡6동,11500591,dong,1.12,14225298.27,5794907.135,14315935.07,7465547.873,14422944.96,6288439.085
화곡8동,11500593,dong,0.53,28387240.66,1904997.814,28141916.2,2887362.308,27771796.24,2172721.471
가양1동,11500603,dong,4.7,3956625.525,2721952.753,3974749.349,603205.9461,4051852.401,548424.8935
가양2동,11500604,dong,1,9736382.775,1346088.45,9617431.771,1888043.809,9151338.023,1729037.869
가양3동,11500605,dong,0.99,14330404.99,4990309.559,14359281.05,3354874.075,14081895.8,2814104.075
발산1동,11500611,dong,2.96,7723295.581,1488395.377,7656656.967,660001.596,7651669.05,644439.2851
우장산동,11500615,dong,1.36,21724423.1,2212125.106,21884203.59,3239489.806,21277514.68,2993857.113
공항동,11500620,dong,10.87,1663992.348,2325728.936,1665108.979,1777782.329,1656229.107,1803464.833
방화1동,11500630,dong,1.04,19597935.31,4398626.208,19443163.86,4469563.124,19400171.79,4035343.213
방화2동,11500640,dong,6.41,2624375.056,428950.9279,2600018.907,373497.1958,2586209.84,365885.8992
방화3동,11500641,dong,2.38,7693335.37,1019576.396,7616636.12,1618076.982,7503589.432,1543533.934
구로구,11530,gu,20.12,12098387.49,5176847.822,12112830.11,4450043.642,11958755.46,4215795.907
신도림동,11530510,dong,1.47,15979667.14,4281346.521,16181608.75,6175355.946,17023032.12,5985862.792
구로1동,11530520,dong,1.02,13021266.83,1425453.076,12986323.35,3216607.763,12744128.87,2873197.682
구로2동,11530530,dong,1.76,8720934.223,9141014.533,8714909.167,4943223.942,8500350.218,4683142.346
구로3동,11530540,dong,1.02,14620827.96,46319003.17,14581593.92,32689566.66,14209163.35,30681018.12
구로4동,11530550,dong,0.46,24691675.26,3000185.799,24273515.23,2607879.75,23586698.63,2426901.888
구로5동,11530560,dong,1.03,17181619.3,11301787.36,17192306.83,9171592.818,16833993.15,8095526.762
가리봉동,11530595,dong,0.4,14479219.53,2257012.01,14215828.71,1494488.287,13623563.14,1414452.4
고척1동,11530720,dong,1.16,12972943.25,3441487.022,13070831.5,4150351.958,13208864.94,4271337.439
고척2동,11530730,dong,1.02,17376377.95,1189214.699,17299404.19,1915393.469,16947950.38,1876608.243
개봉1동,11530740,dong,1.31,17202922.56,1593093.382,17169776.27,2589553.613,16814489.51,2507723.718
개봉2동,11530750,dong,0.8,23794119.71,1042335.055,23681969.74,5788551.289,23241432.91,5719648.69
개봉3동,11530760,dong,0.81,16424964.11,3577729.359,16388590.28,1516788.474,16297655.72,1496419.132
오류1동,11530770,dong,0.59,18848231.58,2512812.354,18916677.27,3224647.519,19291417.42,3675533.494
오류2동,11530780,dong,4.6,6087028.922,636311.9317,6213646.305,661691.4948,5988595.478,639256.5218
수궁동,11530790,dong,2.67,5655225.163,942161.8645,5644631.477,988368.3674,5490459.535,831942.4502
금천구,11545,gu,13.02,10973552.17,8794071.015,11043428.81,6797609.227,11138001.58,6050264.191
가산동,11545510,dong,2.52,5335843.563,36449876.76,5451166.546,26051677.56,5654328.999,22755003.01
독산1동,11545610,dong,2.09,11186440.68,5331869.355,11477483.61,4192131.634,12736607.69,3974390.697
독산2동,11545620,dong,0.6,20725899.97,1681958.032,20468385,2469710.528,19696853.91,1813757.034
독산3동,11545630,dong,0.92,15729849.81,2971159.657,15899120.35,2622770.105,15567965.62,2577836.47
독산4동,11545640,dong,0.59,16654201.7,1778914.73,16537207.3,1907908.547,16028231.71,1764915.4
시흥1동,11545670,dong,1.71,14456335.06,4171383.456,14312828.02,3177776.077,14466435.26,2778818.095
시흥2동,11545680,dong,1.26,11866201.91,706223.0655,11899289.96,1836903.772,11679047.62,1775897.68
시흥3동,11545690,dong,1.07,5192644.404,4023593.52,5168051.982,3894711.011,5163953.245,3667914.228
시흥4동,11545700,dong,0.87,16460399.78,646619.0021,16292168.07,1173468.104,15932166.06,1115313.932
시흥5동,11545710,dong,1.39,8034850.265,846541.4971,8371256.571,810292.7231,8171888.313,737353.116
영등포구,11560,gu,24.55,10234520.88,13587125.91,10214908.75,11066293.98,10235588.58,11175059.77
영등포본동,11560515,dong,1.02,16899545.51,1865375.907,15895498.5,3060909.024,15734850.98,4093643.09
영등포동,11560535,dong,1.26,10637347.34,10562074.88,10881874.06,5971325.052,11395728.24,6275460.595
여의동,11560540,dong,8.4,2938760.002,25711307.1,2983253.85,18291032.86,3091104.05,19658248.49
당산1동,11560550,dong,0.75,16843131.53,14844422.98,16898245.96,12787357.98,16875551.78,7357776.24
당산2동,11560560,dong,1.55,13881858.54,11832611.05,13871554.84,6019342.528,14057021.45,5509309.357
도림동,11560585,dong,0.89,20938412.43,2323873.295,20849809.15,2453974.31,20915981.22,1815806.402
문래동,11560605,dong,1.49,11082952.01,14321497.29,11090956.15,27090191.12,11039451.24,28413658.52
양평1동,11560610,dong,0.88,12014799.22,13509952.58,12149077.76,10308139.74,12273615.9,8920130.914
양평2동,11560620,dong,3,5238443.305,8163291.753,5318846.662,3721594,5216579.233,3473331.002
신길1동,11560630,dong,0.66,13685511.33,2996109.511,13873462.09,3239573.147,13716439.94,2803400.508
신길3동,11560650,dong,0.52,18701196.27,1879010.846,18516258.93,1689331.518,18179578.12,1579080.408
신길4동,11560660,dong,0.35,19142057.59,2274283.821,18969916.78,2825134.399,18084910.52,2527432.064
신길5동,11560670,dong,0.47,12900286.32,1580518.754,12420789.46,1762606.168,11507924.57,1704338.195
신길6동,11560680,dong,0.68,16308030.27,2506793.589,16594418.68,2448620.942,17398991.13,2357334.635
신길7동,11560690,dong,0.64,16073877.44,2768957.229,15931595.02,3057558.457,15760048.84,2717493.374
대림1동,11560700,dong,0.49,16565988.46,3323495.501,16402939.8,2970427.738,15788749,2972879.597
대림2동,11560710,dong,0.55,13555487.86,2339985.553,13313275.14,3974394.903,13318540.63,4850573.112
대림3동,11560720,dong,0.95,15645658.17,5183907.775,15457140.66,7273796.111,15409849.32,3923885.203
동작구,11590,gu,16.35,13576364.41,2488948.855,13574981.39,3060342.859,13716879.07,2686858.772
노량진1동,11590510,dong,1.58,10306404.52,1383557.118,10415683.61,2137872.975,10334771.95,1893526.215
노량진2동,11590520,dong,0.64,14254445.32,5167553.608,14208576.58,4142826.263,13699140.69,4579067.333
상도1동,11590530,dong,1.51,18919564.25,1979883.693,18894430.59,2108795.039,18553099.29,2508906.669
상도2동,11590540,dong,0.98,20329390.61,2190464.408,20085657.36,1135593.177,21820787.31,1354247.763
상도3동,11590550,dong,0.6,23562378.19,1285071.173,23544111.36,1374578.618,23398890.1,1252190.887
상도4동,11590560,dong,0.75,18810997.37,1161874.507,18907447.65,1492104.919,18821856.01,1616021.166
흑석동,11590605,dong,1.68,8617120.324,1738796.587,8596584.507,448854.1889,9609293.438,424211.2139
사당1동,11590620,dong,0.79,22187860.42,5082178.524,22012215.73,4460223.532,22397098.37,3758604.552
사당2동,11590630,dong,2.75,5522987.546,775488.6533,5579451.332,527916.6647,5493768.523,527916.6647
사당3동,11590640,dong,0.92,16453716.97,1744876.836,16417337.3,9785457.931,17396219.94,2422616.641
사당4동,11590650,dong,0.38,20437492.32,1433865.391,20589016.25,2115723.101,20565165.26,1962796.166
사당5동,11590651,dong,0.57,11634756.67,884384.7717,11722001.28,1733871.702,11641185.22,1430811.5
대방동,11590660,dong,1.55,15272119.19,3713514.746,15209410.16,4301839.465,15115916.69,4283596.838
신대방1동,11590670,dong,0.62,21599357.88,2686351.191,21447566.69,7176546.615,21119274.1,6550849.177
신대방2동,11590680,dong,1.03,12663245.37,11195445.35,12701638.53,12356690.76,12494315.47,13020006.43
관악구,11620,gu,29.57,10207726.89,1396103.637,10239294.16,1532325.252,10177156.91,1490540.854
보라매동,11620525,dong,0.76,19572231.25,4278881.482,19568240.5,1540429.259,19012728.18,1457421.672
청림동,11620545,dong,0.3,34821810.1,1338158.355,34653550.54,5105192.897,32161329.59,6092975.473
성현동,11620565,dong,0.68,28795608.27,1468959.569,28687762.8,5427061.994,32821548.97,6379407.006
행운동,11620575,dong,0.72,24465037.22,3171378.558,24501866.14,3123910.182,23931427.2,3484015.102
낙성대동,11620585,dong,2.27,4245118.104,3229121.733,4202225.073,2481594.392,4094217.321,2672804.29
청룡동,11620595,dong,1.18,14414476.77,3933353.791,14523623.25,3572252.328,14714884.62,3399352.051
은천동,11620605,dong,0.78,28912400.89,2916893.012,28857488.88,5877223.879,28162483.18,3806139.687
중앙동,11620615,dong,0.39,23914980.68,3173164.804,24015516.59,2104970.711,23812873.89,2230640.605
인헌동,11620625,dong,1.08,23180834.39,2109053.556,23023976.73,2874587.143,22349659.29,2928293.842
남현동,11620630,dong,3.27,2702852.583,616233.7537,2699267.328,668865.3077,2694965.021,532625.59
서원동,11620645,dong,0.65,21607882.49,3943339.713,21560814.7,2418343.214,21538222.16,2741228.275
신원동,11620655,dong,0.55,20675869.36,1075330.305,20676971.13,967356.565,20143713.07,1113892.354
서림동,11620665,dong,0.99,15016875.91,986784.5313,14971881.98,1075539.667,15673910.45,1114370.039
신사동,11620685,dong,0.64,22889347.26,2070737.581,22945957.35,4420552.985,22631125.79,4200071.573
신림동,11620695,dong,0.54,24885672.87,3122328.46,25400499.54,2662321.29,25766360.17,2319103.505
난향동,11620715,dong,0.8,12774430.26,1057809.234,12752905.07,1488312.992,12503059.14,1010915.075
조원동,11620725,dong,0.67,16482073.16,3597167.502,16364330.82,2979715.555,16114012.47,3016799.756
대학동,11620735,dong,8.3,1769200.693,170435.4626,1780468.537,215282.9727,1798153.828,229610.297
삼성동,11620745,dong,2.66,6073478.767,264013.5477,6475918.512,440256.0131,5863855.276,419013.5438
미성동,11620765,dong,1.38,14262786.84,1410163.801,14266804.4,1854327.455,14206094.59,1646753.486
난곡동,11620775,dong,0.96,17926537.27,698436.517,17795965.36,994686.9269,17292154.9,912155.6275
서초구,11650,gu,46.98,5512233.133,6227910.021,5494408.766,7025122.29,5370741.91,7319256.06
서초1동,11650510,dong,1.42,9191279.705,17304834.41,9336055.262,13906326.59,9344365.644,20726086.42
서초2동,11650520,dong,1.24,8612362.26,28520763.01,8798325.526,34573424.55,9047260.478,33383850.01
서초3동,11650530,dong,2.93,5889344.455,15116736.81,6294610.327,14148135.39,6058005.402,13635957.66
서초4동,11650531,dong,0.88,20396484.93,18070431.71,21493718.63,24382438.23,21316900.21,25692128.19
잠원동,11650540,dong,1.76,11159834.25,6646076.341,11217677.66,6566870.309,11043818.78,5357745.845
반포본동,11650550,dong,1.01,5074852.608,609355.5535,5088240.58,8654309.366,4902431.763,9910750.207
반포1동,11650560,dong,1,16982101.83,5056234.128,17880033.86,4785342.847,18436933.13,4433426.049
반포2동,11650570,dong,1.35,11262267,1018071.619,8714442.99,5033611.542,7779567.587,4742184.333
반포3동,11650580,dong,1.28,8687795.251,3792150.263,8903746.02,4146437.358,8403361.156,3942357.034
반포4동,11650581,dong,1.43,8262322.521,13867097.93,8368282.596,12936529.18,8372555.179,40398561.45
방배본동,11650590,dong,0.67,19349000.48,6956223.535,19665941.93,22374600.47,19526707.54,26012098.98
방배1동,11650600,dong,0.7,15004759.73,9648105.15,15253336.51,13886164.22,15176312.72,16632762.6
방배2동,11650610,dong,1.93,8286389.99,4272197.61,7589362.29,5690431.056,6611105.707,5346211.992
방배3동,11650620,dong,2.4,5505778.537,2472069.228,5482199.186,4464022.728,5553940.617,4467283.702
방배4동,11650621,dong,0.98,16073686.6,7838457.501,15361906.24,13079518.8,15062109.17,13840737.16
양재1동,11650651,dong,5.76,4932056.582,3894693.392,4906315.823,4079645.514,4813839.762,3537500.635
양재2동,11650652,dong,7.58,1905314.972,9727464.743,1909822.117,8483734.238,1836339.56,3493117.691
내곡동,11650660,dong,12.68,851128.1806,298218.2157,855944.0695,262443.0375,835442.1405,651796.2261
강남구,11680,gu,39.5,8545887.268,12784220.44,8562757.293,19545730.45,8596228.313,17743612.76
신사동,11680510,dong,1.89,6142669.459,11106333.7,6131523.768,11157882.52,6032605.755,9732278.867
논현1동,11680521,dong,1.25,11272863.53,20357907.91,11385727.21,22456014.89,11152282.67,20053079.49
논현2동,11680531,dong,1.47,9102423.622,27189666.32,9058478.866,23764486.55,9020811.929,23174371.27
압구정동,11680545,dong,2.53,6697143.332,8339390.585,6709382.791,14967896.96,6606427.351,10677127.03
청담동,11680565,dong,2.33,7454465.053,11418019.07,7614549.711,20982506.45,7536410.131,14491847.43
삼성1동,11680580,dong,1.94,4592151.948,29110851.06,4747317.684,40265194.42,4608171.083,40882402.27
삼성2동,11680590,dong,1.24,14353356.77,28396897.47,14622930.69,24488075.61,14655415.32,30140400.75
대치1동,11680600,dong,0.79,19217560.3,2894380.348,19450205.52,20772329.88,19221361.69,15245865.28
대치2동,11680610,dong,2,12099852,18855309.16,12008682.04,28456275.45,11402165.01,27344179.56
대치4동,11680630,dong,0.73,17560967.96,22989823,17757354.12,30396868.18,17364581.81,28071420.11
역삼1동,11680640,dong,2.35,9064812.913,48231767,9194266.3,46944667.13,9236819.29,43789849.74
역삼2동,11680650,dong,1.15,19481805.82,26040308.43,19534389.74,33969748.95,19499512.65,27477244.53
도곡1동,11680655,dong,1.02,13384932.2,8224048.763,12890377.11,36715390.77,12869672.05,24188239.53
도곡2동,11680656,dong,1.02,17735009.28,17640040.33,19985360.52,118318926.2,20248442.21,113595253.1
개포1동,11680660,dong,1.27,8196377.884,895303.3567,5492437.4,9058729.106,4303051.759,9497054.709
개포2동,11680670,dong,2,3564201.168,670089.2057,3519562.565,2948953.676,5508403.652,3211683.74
개포4동,11680690,dong,1.49,7212966.931,3698699.093,7230790.116,3974571.056,7051008.389,3413140.615
세곡동,11680700,dong,6.36,4582382.418,506599.1672,4587206.194,169345.3456,4604243.363,157439.8546
일원본동,11680720,dong,2.58,6316589.814,2048795.368,6348344.237,9845141.29,6193636.686,9343167.369
일원1동,11680730,dong,0.92,10842140.63,2324546.782,10936603.27,1662670.062,10380677.89,1607141.35
일원2동,11680740,dong,1.24,9013761.712,7733532.841,8951749.721,4056859.253,10469015.08,3245487.403
수서동,11680750,dong,1.43,6077919.528,6930883.594,5963775.022,7677043.64,5841188.964,6620014.157
송파구,11710,gu,33.87,11905759.75,5540524.372,11960257.18,6993398.552,12182214.3,7208520.949
풍납1동,11710510,dong,0.77,9006172.181,805532.361,8868865.525,1017785.561,8416325.683,982886.7873
풍납2동,11710520,dong,1.59,7461645.078,4144954.887,7434409.485,1690422.575,7388108.974,7140567.682
거여1동,11710531,dong,0.51,13443735.89,3691595.078,14602230.69,5367338.334,15515091.54,4528876.24
거여2동,11710532,dong,0.53,20423432.4,2731743.803,20113842.67,3518172.871,19691567.04,3498008.023
마천1동,11710540,dong,0.58,22647462.67,1253863.651,22333397.4,1255062.373,21720850.24,1131593.964
마천2동,11710550,dong,0.89,14586340.68,2089948.418,14802831.93,1739038.711,14570184.61,1676999.426
방이1동,11710561,dong,0.5,17181073.53,6599228.825,17137411.34,10142104.03,17032414.16,9490289.841
방이2동,11710562,dong,0.8,19760180.28,11303637.25,19861551.09,16347627,20236939.87,19728501.9
오륜동,11710566,dong,3.17,3707109.961,854763.0769,3701156.769,5193487.453,3632407.01,4817092.119
오금동,11710570,dong,1.65,14118721.36,4612509.173,14566628.09,9706911.61,14598468.11,9821392.566
송파1동,11710580,dong,0.76,22940036.35,6004165.93,23083350.76,12456852.87,22602097.44,7661128.177
송파2동,11710590,dong,0.53,20055816.21,4961636.185,20019669.32,12911098.15,19637273.28,13503716.89
석촌동,11710600,dong,0.95,21803407.22,5735140.954,21825201.66,6906271.226,21475849.71,5685782.973
삼전동,11710610,dong,0.95,20146407.28,4760448.27,20090323.11,4379441.718,19698953.18,4731796.578
가락본동,11710620,dong,1.13,16211239.86,14469028.97,16701845.5,17182414.69,16256699.1,16504068.25
가락1동,11710631,dong,1.34,392244.4057,4835749.497,390015.7443,2590596.007,12211281.52,2635614.967
가락2동,11710632,dong,0.96,21946428.32,4675185.775,21875827.7,5841067.515,21818181.33,6587879.539
문정1동,11710641,dong,0.56,21392008.55,6510306.609,21760422.02,32528507.2,20855406.32,35014297.04
문정2동,11710642,dong,2.2,7384207.323,11739425.06,7520529.589,10271046.73,7702714.927,10503656.11
장지동,11710646,dong,1.37,16240043.84,3785919.363,16108834.74,3425444.554,15320179.36,3160691.683
위례동,11710647,dong,2.55,6686879.561,530178.2996,6641277.777,338558.6882,6571262.918,292726.5937
잠실본동,11710650,dong,0.94,15470575.92,7558765.88,15389636.68,5281284.959,15418923.9,5017167.461
잠실2동,11710670,dong,2.18,7737631.643,707213.0348,7737002.824,1629901.766,7682505.084,1633465.079
잠실3동,11710680,dong,1.49,14608445.79,2078946.722,14588768.68,8017417.674,14411674.71,8766754.085
잠실4동,11710690,dong,1.56,21805026.42,746174.1237,21680904.61,6955151.069,16015321.4,6965254.007
잠실6동,11710710,dong,2.79,6964411.587,36840534.24,7097223.104,25407101.43,7444344.105,20133449.41
잠실7동,11710720,dong,0.6,9099092.159,593341.116,9197683.582,6285651.426,9132254.732,12664516.57
강동구,11740,gu,24.59,10190664.99,2213411.999,10148902.5,1963454.352,9920621.465,1780663.327
강일동,11740515,dong,2.8,5367508.345,2177685.958,5308028.266,264897.6203,5198006.371,220531.3317
상일동,11740520,dong,2.65,3588455.334,1239703.167,3733887.864,1033813.695,3578379.177,1212833.415
명일1동,11740530,dong,0.61,21373753.73,3231931.954,21376633.39,2472663.117,20770946.12,4050713.646
명일2동,11740540,dong,0.97,11822169.81,1622624.997,11889177,1325691.192,11644797.85,1888026.008
고덕1동,11740550,dong,1.73,8591563.884,503276.8356,8561418.047,621321.5914,8547773.089,694306.2522
고덕2동,11740560,dong,2.01,1961395.69,383134.1651,1922956.656,516791.4608,1739303.492,498702.5035
암사1동,11740570,dong,1.02,30708605.22,1996821.36,30607002.49,3514307.268,29763863.72,3228344.751
암사2동,11740580,dong,1.18,3815389.689,662510.8596,3802191.23,627573.7636,3701261.842,682696.7372
암사3동,11740590,dong,2.51,6205188.78,392417.8183,6183861.725,1054540.86,6121521.097,1047322.471
천호1동,11740600,dong,0.71,26294605.05,2433296.842,26193405.93,2859778.874,25362127.39,2213730.881
천호2동,11740610,dong,1.57,11798595.78,2521794.324,11624211.1,1662114.275,11541155.03,1263048.017
천호3동,11740620,dong,0.79,29409087.72,4508947.229,29685319.17,4106286.768,29069110.54,2935490.386
성내1동,11740640,dong,0.58,18861083.14,17743770.48,19187272.28,13174365.96,18791251.1,15686481.78
성내2동,11740650,dong,0.67,24373102.88,3627295.752,24189074.53,8376195.906,23625366.61,2231585.958
성내3동,11740660,dong,0.71,22356726.84,5552663.43,22459449.23,4391617.716,22284161.49,4373711.979
길동,11740685,dong,2.17,18558529.56,3960689.627,18013473.55,3679983.88,17491619.51,3601249.341
둔촌1동,11740690,dong,0.92,88329.92855,217116.3129,209699.296,1014782.767,180705.5026,1024222.606
둔촌2동,11740700,dong,0.98,10814368.21,2566688.086,10782066.09,3258713.405,10506928.07,1885303.464
