name,code,type,parent,male,female,onehouse,convnum,rent
휘경1동,11230720,dong,동대문구,"6,748","6,762",3912,16,143601
휘경2동,11230730,dong,동대문구,"12,146","12,383",5355,17,111380
이문1동,11230740,dong,동대문구,"9,887","9,854",6397,33,113825
이문2동,11230750,dong,동대문구,"10,177","10,704",2724,12,197056
중랑구,11260,gu,중랑구,"198,906","201,755",73677,302,93253
면목2동,11260520,dong,중랑구,"13,008","12,899",5379,21,74210
면목4동,11260540,dong,중랑구,"9,972","10,094",3942,11,67706
면목5동,11260550,dong,중랑구,"5,054","4,814",1888,6,72565
면목본동,11260565,dong,중랑구,"17,718","17,858",8270,30,93715
면목7동,11260570,dong,중랑구,"10,838","10,911",4244,17,126737
면목3.8동,11260575,dong,중랑구,"13,196","13,218",5529,21,93461
상봉1동,11260580,dong,중랑구,"12,424","13,007",3029,17,114677
상봉2동,11260590,dong,중랑구,"9,393","9,767",6002,37,91664
중화1동,11260600,dong,중랑구,"10,227","10,548",3173,20,61484
중화2동,11260610,dong,중랑구,"14,338","13,505",7290,15,114209
묵1동,11260620,dong,중랑구,"17,531","18,415",4638,22,100885
묵2동,11260630,dong,중랑구,"9,822","10,083",3852,14,74118
망우본동,11260655,dong,중랑구,"15,805","15,368",6634,29,102718
망우3동,11260660,dong,중랑구,"8,984","8,859",3681,11,66933
신내1동,11260680,dong,중랑구,"19,969","20,887",3394,22,90579
신내2동,11260690,dong,중랑구,"10,627","11,522",2732,9,168207
성북구,11290,gu,성북구,"213,648","226,749",73240,357,109228
성북동,11290525,dong,성북구,"8,112","9,077",3692,15,123956
삼선동,11290555,dong,성북구,"12,520","13,579",6178,36,124730
동선동,11290575,dong,성북구,"6,590","8,937",5686,42,140172
돈암1동,11290580,dong,성북구,"7,484","8,530",1789,7,103208
돈암2동,11290590,dong,성북구,"11,918","13,081",1562,5, 
안암동,11290600,dong,성북구,"7,789","7,571",5838,49,125533
보문동,11290610,dong,성북구,"7,997","8,512",3764,18,94935
정릉1동,11290620,dong,성북구,"9,199","9,760",2181,14,82374
정릉2동,11290630,dong,성북구,"11,656","12,143",3007,14,146211
정릉3동,11290640,dong,성북구,"7,945","7,932",3969,15,98705
정릉4동,11290650,dong,성북구,"12,926","13,703",3603,15,137973
길음1동,11290660,dong,성북구,"17,694","19,415",2547,6,139858
길음2동,11290685,dong,성북구,"7,866","8,262",2301,5,147536
종암동,11290705,dong,성북구,"20,080","20,527",6296,27,92412
월곡1동,11290715,dong,성북구,"13,322","14,163",3127,16,101653
월곡2동,11290725,dong,성북구,"9,780","10,288",3929,23,97317
장위1동,11290760,dong,성북구,"10,259","10,552",3342,11,53492
장위2동,11290770,dong,성북구,"7,043","7,064",2472,9,84513
장위3동,11290780,dong,성북구,"5,846","5,775",1673,3,114259
석관동,11290810,dong,성북구,"17,622","17,878",6284,27,90949
강북구,11305,gu,강북구,"154,101","161,486",58739,273,97288
삼양동,11305534,dong,강북구,"12,860","12,994",4593,13,93911
미아동,11305535,dong,강북구,"10,814","11,717",5614,34,94767
송중동,11305545,dong,강북구,"13,765","14,748",5580,26,116732
송천동,11305555,dong,강북구,"14,187","14,348",6203,26,90423
삼각산동,11305575,dong,강북구,"15,904","17,164",2538,8,153338
번1동,11305590,dong,강북구,"9,683","9,748",5459,33,92235
번2동,11305600,dong,강북구,"8,402","8,859",2655,7,92725
번3동,11305606,dong,강북구,"8,807","9,788",2197,8,99483
수유1동,11305610,dong,강북구,"10,787","10,973",4638,18,96451
수유2동,11305620,dong,강북구,"10,613","11,388",3393,19,79360
수유3동,11305630,dong,강북구,"11,984","11,998",6742,35,120010
우이동,11305645,dong,강북구,"10,417","10,944",3544,19,82934
인수동,11305660,dong,강북구,"15,878","16,817",5583,27,60844
도봉구,11320,gu,도봉구,"164,731","171,967",44181,220,103940
창1동,11320511,dong,도봉구,"12,672","13,745",3579,13,81261
창2동,11320512,dong,도봉구,"15,096","15,638",3721,20,101554
창3동,11320513,dong,도봉구,"7,448","7,439",2559,10,80754
창4동,11320514,dong,도봉구,"13,571","14,529",2757,20,215119
창5동,11320515,dong,도봉구,"12,503","13,366",2708,19,140496
도봉1동,11320521,dong,도봉구,"11,307","11,088",4033,20,98691
도봉2동,11320522,dong,도봉구,"14,133","14,601",4035,14,105854
쌍문1동,11320660,dong,도봉구,"10,774","11,447",3080,17,95225
쌍문2동,11320670,dong,도봉구,"9,721","10,369",2965,12,101101
쌍문3동,11320680,dong,도봉구,"8,304","8,904",3102,16,72936
쌍문4동,11320681,dong,도봉구,"9,491","10,403",1488,10,118387
방학1동,11320690,dong,도봉구,"14,918","15,158",4646,27,118707
방학2동,11320700,dong,도봉구,"10,691","10,492",3713,12,74361
방학3동,11320710,dong,도봉구,"14,102","14,788",1795,10,94694
노원구,11350,gu,노원구,"260,946","277,404",68669,355,133134
월계1동,11350560,dong,노원구,"12,124","11,365",4328,37,133370
월계2동,11350570,dong,노원구,"12,666","13,590",3865,19,131897
월계3동,11350580,dong,노원구,"15,399","16,595",3669,8,148960
공릉1동,11350595,dong,노원구,"19,036","19,748",8132,45,113500
공릉2동,11350600,dong,노원구,"19,924","20,818",5430,37,140378
하계1동,11350611,dong,노원구,"14,149","15,068",4816,21,107662
하계2동,11350612,dong,노원구,"11,256","12,283",1588,5, 
중계본동,11350619,dong,노원구,"12,928","13,403",2117,12,112986
중계1동,11350621,dong,노원구,"13,729","14,368",1407,14,171461
중계4동,11350624,dong,노원구,"10,448","11,016",2489,14,103525
중계2.3동,11350625,dong,노원구,"17,293","19,832",4830,9,245656
상계1동,11350630,dong,노원구,"19,703","20,705",4335,26,117979
상계2동,11350640,dong,노원구,"10,513","10,767",3117,32,185410
상계3.4동,11350665,dong,노원구,"12,997","13,068",4535,16,75983
상계5동,11350670,dong,노원구,"12,580","13,199",3875,13,88078
상계6.7동,11350695,dong,노원구,"16,271","18,607",4178,28,184853
상계8동,11350700,dong,노원구,"11,653","12,496",2237,5, 
상계9동,11350710,dong,노원구,"10,548","11,485",2026,9,132678
상계10동,11350720,dong,노원구,"7,729","8,991",1695,5, 
은평구,11380,gu,은평구,"233,566","250,164",75336,359,106182
녹번동,11380510,dong,은평구,"18,103","19,466",6534,28,107256
불광1동,11380520,dong,은평구,"19,464","21,462",6448,15,133751
불광2동,11380530,dong,은평구,"14,315","15,104",5815,24,116847
갈현1동,11380551,dong,은평구,"11,943","12,634",4505,20,127468
갈현2동,11380552,dong,은평구,"14,282","15,698",4186,33,93562
구산동,11380560,dong,은평구,"16,836","16,942",3928,22,65642
대조동,11380570,dong,은평구,"14,915","16,694",7365,34,123953
응암1동,11380580,dong,은평구,"12,265","13,285",4658,25,104676
응암2동,11380590,dong,은평구,"10,863","11,321",2547,4,117947
응암3동,11380600,dong,은평구,"12,713","13,242",5774,33,101563
역촌동,11380625,dong,은평구,"23,223","25,534",7340,39,97973
신사1동,11380631,dong,은평구,"13,863","14,688",3665,20,90614
신사2동,11380632,dong,은평구,"11,027","10,958",3143,12,76533
증산동,11380640,dong,은평구,"8,020","8,256",2464,15,78440
수색동,11380650,dong,은평구,"4,608","4,624",1421,1,97136
진관동,11380690,dong,은평구,"27,126","30,256",5543,34,130484
서대문구,11410,gu,서대문구,"149,775","161,440",58356,311,123256
천연동,11410520,dong,서대문구,"8,854","9,693",3314,12,129935
북아현동,11410555,dong,서대문구,"8,196","9,019",2872,9,105222
충현동,11410565,dong,서대문구,"8,697","9,165",4453,28,118171
신촌동,11410585,dong,서대문구,"8,494","10,263",9163,84,190797
연희동,11410615,dong,서대문구,"18,396","19,559",9904,39,110370
