code,profitscore,stablescore,profit2018,profit2019,expectedprofit2020,survive2018,survive2019,expectedsurvive2020
11215870,0.5314,-0.79776,73109885,60640613,54401264,93.5,93.3,97.83809
11215,0,0,6.39E+07,49288421.87,52304856.53,94.75333333,96.12666667,98.43249533
11230536,0.535962,-1.35974,62042207,54372889,54436893,98.4,96.3,97.19407
11230545,-0.01065,0.753424,68994146,65668922,50167875,96.3,100,99.61575
11230560,-1.0467,0.219279,57522388,35902517,42076483,100,93.1,99.00362
11230570,-0.40093,1.088726,74310994,56197918,47119837,100,100,100
11230600,-0.3679,-0.07064,58958345,38097529,47377787,90.6,100,98.67138
11230610,-0.80505,0.450436,60871899,32777471,43963690,100,94.1,99.26852
11230650,0.113947,-1.35006,66197618,54965091,51140995,94.4,100,97.20516
11230660,-0.48898,-0.42128,67883641,56865764,46432176,97.1,100,98.26954
11230705,-1.5379,0.785796,56329957,21632254,38240209,100,87.5,99.65284
11230710,1.121045,0.851351,61175789,55311784,59006343,92,100,99.72797
11230720,0.832203,0.657852,64325948,40104654,56750510,100,93.7,99.50622
11230730,0.404571,0.575299,87485639,58560745,53410740,93.7,100,99.41162
11230740,1.330762,0.275026,92601967,74197673,60644210,100,93.9,99.06751
11230750,-0.3341,0.545552,55881939,41790215,47641770,100,91.7,99.37753
11230,0,0,66755891.21,49031816.14,49886394.14,97.32142857,96.45,98.99798071
11260520,-1.08618,-0.59702,39050107,19660466,41768126,95.2,95.2,98.06814
11260540,-0.51277,0.179832,57410857,41296743,46246424,100,100,98.95841
11260550,-0.79087,0.909094,29137686,33883656,44074416,100,83.3,99.79414
11260565,-0.52757,-1.36194,73360264,61806498,46130790,100,100,97.19155
11260570,-0.64616,0.354119,75762724,74791589,45204654,94.1,100,99.15815
11260575,-0.75434,-0.10415,59249315,44745322,44359765,100,100,98.63298
11260580,-1.31049,0.241764,37499442,24446068,40016255,100,100,99.02939
11260590,0.130525,-1.4821,79346012,64119884,51270470,97.1,100,97.05385
11260600,-1.1389,0.2556,21751974,11536094,41356380,100,100,99.04524
11260610,-0.99014,-0.29842,95204660,46066636,42518160,93.3,100,98.41034
11260620,0.009235,0.187109,50932611,27959874,50323200,100,95.5,98.96675
11260630,-0.66802,0.696334,41653836,32780086,45033920,84.6,92.9,99.55032
11260655,-1.55404,-0.98486,67943131,62864446,38114160,100,100,97.62368
11260660,-1.34834,0.46293,37268307,41509426,39720657,100,100,99.28284
11260680,-2.84281,0.316748,43758370,29027705,28048960,85,100,99.11532
11260690,-1.09913,0.864876,73737065,51781286,41666975,100,100,99.74347
11260,0,0,55191647.56,41767236.19,42865832,96.83125,97.93125,98.72653563
11290525,0.449147,0.703107,33522341,44527758,53758880,94.4,100,99.55808
11290555,0.325584,-0.96417,53740643,38182336,52793860,94.4,97.2,97.64739
11290575,1.073461,-0.21479,56742466,39791672,58634710,95.1,95.2,98.50618
11290580,-0.90771,1.03761,26051017,11124681,43161964,100,100,99.94142
11290590,0.036363,0.945626,43410743,20057909,50535073,100,80,99.83601
11290600,1.218963,-0.88125,60155861,51375222,59771070,93.9,93.9,97.74241
11290610,0.055247,0.218244,45184213,25901116,50682554,100,94.4,99.00243
11290620,0.109512,0.726287,1.35E+08,1.11E+08,51106358,81.8,100,99.58465
11290630,-0.72448,0.867584,51955946,40940917,44592943,100,92.9,99.74657
11290640,-0.34933,1.088726,89724124,62812309,47522864,100,93.3,100
11290650,-0.34868,0.386543,73582733,65854507,47527947,100,93.3,99.1953
11290660,0.602508,0.264125,1.89E+08,33422962,54956613,83.3,100,99.05501
11290685,-0.20531,1.007395,70482544,1.12E+08,48647604,85.7,100,99.9068
11290705,0.101527,-0.00733,62165481,65717992,51043997,89.3,100,98.74393
11290715,-0.79714,0.847155,45799094,26840574,44025493,100,100,99.72316
11290725,-0.23284,-0.04841,56801081,38112252,48432655,92,95.7,98.69685
11290760,-1.12938,0.588311,70864825,61299368,41430745,100,100,99.42653
11290770,-0.58833,0.816344,52152471,36981070,45656290,90.9,100,99.68785
11290780,-0.83719,0.936349,76146306,61744823,43712726,100,66.7,99.82538
11290810,-0.18233,0.646047,65595667,48700169,48827095,91.7,92.6,99.49269
11290,0,0,67903877.8,49819381.85,49341072.05,94.625,94.76,99.265932
11305534,-0.88621,-0.37381,33872968,24351191,43329840,100,92.3,98.32394
11305535,-0.36379,-0.41431,48664661,20119900,47409925,100,97.1,98.27753
11305545,0.267287,-0.06014,67839638,41825233,52338567,92,96.2,98.68341
11305555,-1.21064,0.023326,46934575,47183262,40796113,96.3,96.2,98.77906
11305575,-0.09909,0.276641,83953971,65892797,49477215,100,100,99.06936
11305590,0.144618,-0.326,70418436,66693066,51380530,93.9,93.9,98.37873
11305600,-0.56127,1.088726,49983180,51679925,45867596,100,100,100
11305606,-0.45945,0.912949,81271045,56057730,46662817,87.5,100,99.79856
11305610,-0.8591,0.155922,64579913,47471404,43541594,94.7,100,98.93101
11305620,-0.88156,0.518491,50180127,40700592,43366180,100,94.7,99.34651
11305630,0.307667,-0.6009,74710866,54233706,52653933,97,97.1,98.06369
11305645,-0.92703,-0.02892,84864169,39903200,43011080,100,89.5,98.71919
11305660,-1.64469,0.421593,37846162,29923208,37406178,100,85.2,99.23547
11305,0,0,61163054.69,45079631.85,45941659.08,97.03076923,95.55384615,98.89280462
11320511,-0.45084,0.344528,82524399,58686748,46730090,100,100,99.14715
11320512,-1.09087,0.288132,63040542,46864923,41731480,100,100,99.08252
11320513,-1.10965,0.553482,31772557,34056963,41584773,90.9,100,99.38661
11320514,-0.32358,0.120548,59789489,37873417,47723985,94.1,100,98.89047
11320515,-0.67243,0.190652,89857658,69214906,44999423,100,100,98.97081
11320521,-1.25984,0.819974,61962294,68911497,40411863,100,90,99.69201
11320522,-1.08729,1.088726,31337536,15328720,41759458,92.3,92.9,100
11320660,-0.81252,0.790742,58834495,43898218,43905396,94.4,94.1,99.65851
11320670,-1.18568,0.889993,57167541,50070186,40991000,71.4,83.3,99.77225
11320680,-0.19325,0.751907,45824107,36744046,48741775,100,100,99.61401
11320681,-1.06585,0.539801,75750321,72693518,41926904,100,100,99.37094
11320690,-0.69152,-0.29018,98309480,83781119,44850330,100,100,98.41978
11320700,-0.98246,0.582033,88851541,71740883,42578177,91.7,100,99.41933
11320710,-2.43059,1.012916,73209271,55593235,31268420,100,100,99.91312
11320,0,0,65587945.07,53247027.07,42800219.57,95.34285714,97.16428571,99.38125071
11350560,0.145321,-0.72514,48718168,34273160,51386023,100,97.3,97.92132
11350570,-1.78454,0.591469,37449910,29725094,36313972,100,100,99.43015
11350580,-0.85386,1.088726,52182379,11530139,43582470,100,100,100
11350595,-0.63734,-1.30889,46035129,32965257,45273514,97.9,95.6,97.25235
11350600,-0.08926,-1.38573,66374872,49612349,49553933,92.7,97.3,97.16429
11350611,-0.83757,-0.27202,56591822,50329286,43709726,100,100,98.4406
11350612,0.117691,0.248165,28263165,0,51170235,100,100,99.03672
