name,code,type,parent,male,female,onehouse,convnum,rent
종로구,11110,gu,종로구,73062,76900,37503,347,207758
청운효자동,11110515,dong,종로구,5851,6699,2043,12,160242
사직동,11110530,dong,종로구,4250,5234,2373,30,200198
삼청동,11110540,dong,종로구,1297,1392,729,8,183892
부암동,11110550,dong,종로구,4766,5274,1686,12,104196
평창동,11110560,dong,종로구,8625,9818,2428,14,82299
무악동,11110570,dong,종로구,4018,4597,764,4,162791
교남동,11110580,dong,종로구,4885,5616,1658,16,223640
가회동,11110600,dong,종로구,2004,2327,956,9,150658
종로1.2.3.4가동,11110615,dong,종로구,4327,2876,4149,117,249923
종로5.6가동,11110630,dong,종로구,2888,2433,2353,26,255336
이화동,11110640,dong,종로구,3640,4085,2725,19,162176
혜화동,11110650,dong,종로구,8141,8700,5634,33,164646
창신1동,11110670,dong,종로구,2801,2372,1766,7,197134
창신2동,11110680,dong,종로구,4295,4044,1983,4,90776
창신3동,11110690,dong,종로구,3408,3559,944,3,98319
숭인1동,11110700,dong,종로구,2990,3153,1397,8,100845
숭인2동,11110710,dong,종로구,4876,4721,3915,25,120870
중구,11140,gu,중구,61651,64339,31643,450,252706
소공동,11140520,dong,중구,1029,1066,631,52,221939
회현동,11140540,dong,중구,2762,2428,2025,60,378616
명동,11140550,dong,중구,1269,1695,1109,91,257799
필동,11140570,dong,중구,2072,1947,1480,31,159193
장충동,11140580,dong,중구,2366,2320,1791,16,114518
광희동,11140590,dong,중구,2671,2393,2003,55,203825
을지로동,11140605,dong,중구,1109,728,1081,34,186177
신당동,11140615,dong,중구,3800,3817,2840,32,367247
다산동,11140625,dong,중구,7009,7403,3193,17,121953
약수동,11140635,dong,중구,8147,9144,2914,12,167356
청구동,11140645,dong,중구,6693,7424,2478,6,103145
신당5동,11140650,dong,중구,5176,5471,2643,7,129345
동화동,11140665,dong,중구,5192,5584,1155,10,118512
황학동,11140670,dong,중구,6054,6619,3787,13,143028
중림동,11140680,dong,중구,6302,6300,2513,14,136658
용산구,11170,gu,용산구,110403,118959,53405,303,137149
후암동,11170510,dong,용산구,8672,9146,4104,19,110670
용산2가동,11170520,dong,용산구,4898,5275,2844,20,104591
남영동,11170530,dong,용산구,4722,2991,4217,33,120790
청파동,11170555,dong,용산구,9329,10592,6570,27,133706
원효로1동,11170560,dong,용산구,7770,8356,3791,19,100664
원효로2동,11170570,dong,용산구,6759,7607,2144,15,107100
효창동,11170580,dong,용산구,4859,5395,1519,9,135502
용문동,11170590,dong,용산구,5891,6474,1985,8,101189
한강로동,11170625,dong,용산구,8929,9570,5719,47,142638
이촌1동,11170630,dong,용산구,13229,15105,2213,16,301294
이촌2동,11170640,dong,용산구,4124,4646,1318,6,70071
