code,name,parent,parentname,male2018,male2019,male2020,female2018,female2019,female2020,onehouse2018,onehouse2019,onehouse2020,convnum2018,convnum2019,convnum2020,rent2018,rent2019,rent2020
11440700,망원2동,11440,마포구,9396,9212,9006,10207,10067,10054,2799,2996,3231,18,17,18,105055,109939,114986
11440710,연남동,11440,마포구,7826,7513,7379,8794,8555,8347,4704,4825,5144,26,26,25,124463,130961,134783
11440720,성산1동,11440,마포구,9563,9448,9208,10572,10531,10355,4030,4137,4376,31,28,28,112213,105097,109252
11440730,성산2동,11440,마포구,19323,19203,18620,21773,22261,22130,6940,7855,8317,30,32,36,141841,118071,123196
11440740,상암동,11440,마포구,15877,15636,15150,17149,17041,16532,3888,4252,4355,53,53,51,179654,192119,182696
11470,양천구,11,서울특별시,230322,226881,224271,236829,234170,232709,47672,49734,52468,316,316,318,113300,121681,118804
11470510,목1동,11470,양천구,15596,15406,15171,16830,16555,16493,1582,1584,1606,36,37,35,152416,200270,167303
11470520,목2동,11470,양천구,15468,15298,14935,16112,15988,15785,4160,4446,4806,25,28,27,106250,101236,123602
11470530,목3동,11470,양천구,10678,11057,10822,11385,11897,11754,3263,3497,3731,17,17,17,130152,119871,129992
11470540,목4동,11470,양천구,13424,13267,12769,13797,13701,13354,2715,2879,3017,21,20,19,102755,93014,109560
11470550,목5동,11470,양천구,21505,21181,20986,21956,21690,21429,1612,1648,1670,19,19,19,188222,179597,225344
11470560,신월1동,11470,양천구,11484,11142,10788,10834,10574,10251,4129,4298,4445,16,16,14,92224,102844,83042
11470570,신월2동,11470,양천구,11199,11007,10539,11582,11432,10922,2342,2408,2443,9,9,9,76263,96441,85564
11470580,신월3동,11470,양천구,9032,8848,8462,8094,7903,7566,3811,3917,4020,11,11,12,87821,76592,83498
11470590,신월4동,11470,양천구,9597,9381,9088,9884,9640,9422,1404,1466,1583,15,17,16,127282,78040,84868
11470600,신월5동,11470,양천구,7817,7676,7555,7937,7773,7662,2030,2140,2227,16,19,19,70434,79424,82168
11470610,신월6동,11470,양천구,3452,3312,6590,3449,3353,6745,695,659,1115,6,5,10,80162,98771,86665
11470611,신월7동,11470,양천구,11190,10749,10189,11484,11066,10566,2803,2921,3133,13,13,16,77072,85517,89006
11470620,신정1동,11470,양천구,10552,10451,10269,10973,10903,10764,1399,1376,1410,10,10,10,122610,119243,110205
11470630,신정2동,11470,양천구,10294,10092,9913,10667,10518,10291,1546,1527,1576,12,11,13,110392,153387,104776
11470640,신정3동,11470,양천구,24253,23618,22816,25188,24664,23975,4228,4404,4637,19,19,19,132155,130896,142228
11470650,신정4동,11470,양천구,17512,17236,16594,18086,17817,17272,6273,6646,6991,48,43,42,109967,111366,106319
11470670,신정6동,11470,양천구,12497,12297,12216,13051,12957,12916,983,1027,1057,12,11,12,215697,161151,204418
11470680,신정7동,11470,양천구,14772,14863,14569,15520,15739,15542,2697,2891,3001,11,11,9,136951,171447,138659
11500,강서구,11,서울특별시,291966,288905,282647,308291,306697,302273,94180,101063,107620,548,558,572,124556,133785,129933
11500510,염창동,11500,강서구,20162,20535,20474,20946,21371,21587,3033,3424,3931,25,27,30,120022,112480,103649
11500520,등촌1동,11500,강서구,11028,11098,11193,12246,12278,12636,5893,6317,6777,31,35,36,96292,89705,124093
11500530,등촌2동,11500,강서구,11001,10805,10499,11104,11029,10926,2339,2518,2769,11,10,9,83520,107480,86348
11500535,등촌3동,11500,강서구,16138,15615,15199,17515,17121,16635,5153,5561,6000,29,28,27,153408,152034,149161
11500540,화곡1동,11500,강서구,26475,26313,25742,27286,27317,27115,11175,11926,12725,60,58,59,88548,107443,103564
11500550,화곡2동,11500,강서구,9683,9469,9075,10202,10001,9567,2679,2803,2939,12,11,12,74873,95735,84558
11500560,화곡3동,11500,강서구,10840,10803,10602,11693,11698,11458,2908,3202,3381,13,16,15,111778,122846,125647
11500570,화곡4동,11500,강서구,11180,10794,10422,11512,11148,10883,3493,3542,3697,16,17,17,120581,122191,124228
11500590,화곡본동,11500,강서구,17569,17438,17092,18352,18246,17856,6224,6877,7343,25,28,28,113590,105134,107019
11500591,화곡6동,11500,강서구,12262,12302,12319,12541,12548,12822,4358,4925,5718,36,32,31,110257,104271,98422
11500593,화곡8동,11500,강서구,12909,12637,12266,13703,13633,13262,4115,4225,4594,15,15,15,152370,146460,141799
11500603,가양1동,11500,강서구,15691,15783,15725,17349,17940,18350,10749,11762,12467,87,82,86,239840,236100,206388
11500604,가양2동,11500,강서구,7648,7287,6996,8391,8034,7755,3752,3977,4158,5,6,6,158938,180154,157863
11500605,가양3동,11500,강서구,7790,7696,7402,8599,8631,8354,2846,3112,3304,3,8,7,92691,98568,143167
11500611,발산1동,11500,강서구,18562,18331,17974,20325,20125,19877,2436,2649,2875,24,34,43,107256,118303,130124
11500615,우장산동,11500,강서구,22199,21997,21071,23997,23789,22950,3749,3967,3887,30,27,24,126287,137671,141462
11500620,공항동,11500,강서구,13989,13934,13754,13727,13684,13333,5217,5543,5700,44,45,47,103373,120392,101476
11500630,방화1동,11500,강서구,22668,22318,21848,23582,23314,22937,4590,4868,5002,36,32,34,119026,121070,142739
11500640,방화2동,11500,강서구,12074,11908,11468,12271,12124,11751,5134,5412,5612,27,27,27,75611,61987,85806
11500641,방화3동,11500,강서구,12098,11842,11526,12950,12666,12219,4337,4453,4741,19,20,19,135092,147961,138970
11530,구로구,11,서울특별시,202016,200561,200251,205219,204854,205244,61659,64538,68192,357,360,369,108803,117675,125076
11530510,신도림동,11530,구로구,18260,18139,17785,19033,19005,18610,2755,2962,3051,31,31,35,121697,129209,127137
11530520,구로1동,11530,구로구,10685,10551,10527,10944,10858,10901,1666,1767,2270,11,10,13,127816,138793,162310
11530530,구로2동,11530,구로구,13398,13040,12463,13094,12699,12287,6030,6178,6282,25,28,28,113861,112997,121898
11530540,구로3동,11530,구로구,12836,12483,12195,12552,12045,11746,7805,7670,7672,71,72,68,171524,168180,172368
11530550,구로4동,11530,구로구,10869,10396,9996,11098,10828,10578,4831,4941,5195,18,19,20,126113,128100,145626
11530560,구로5동,11530,구로구,14852,14531,14353,15742,15512,15270,6490,6820,7120,31,29,31,86362,111857,101415
11530595,가리봉동,11530,구로구,5417,5182,5087,4531,4361,4266,3796,3883,4088,17,14,14,76350,94573,128673
11530720,고척1동,11530,구로구,12135,12010,11677,12101,11939,11702,2760,2885,3059,12,15,14,101807,101455,151326
11530730,고척2동,11530,구로구,14590,14167,13716,14657,14397,13957,3593,3693,3845,23,23,23,69820,79060,91993
11530740,개봉1동,11530,구로구,16913,16625,16630,16871,16625,16607,4655,4761,4949,21,21,22,93218,91282,91468
11530750,개봉2동,11530,구로구,16438,16156,15605,17030,16881,16341,3159,3117,3251,11,12,12,99193,139488,118448
11530760,개봉3동,11530,구로구,10636,10625,10356,11078,11065,10819,2464,2597,2687,11,9,9,79498,96867,93711
11530770,오류1동,11530,구로구,10797,10772,11072,11116,11224,11537,4707,5060,5892,27,23,24,97961,153515,149505
11530780,오류2동,11530,구로구,21557,23574,18973,22646,24917,20302,4345,5426,5875,25,30,34,108371,126987,107969
11530790,수궁동,11530,구로구,12633,12310,11858,12726,12498,12137,2603,2778,2956,23,24,22,73171,80094,95966
11545,금천구,11,서울특별시,118530,118912,117497,114733,115167,114516,45252,48816,52320,255,280,303,100783,110918,123501
11545510,가산동,11545,금천구,11096,11548,12173,9076,9334,10013,8664,9590,10527,104,112,124,108401,137590,166558
11545610,독산1동,11545,금천구,19279,21218,21879,17715,19792,20525,8068,9441,10498,33,42,45,101676,110389,109787
11545620,독산2동,11545,금천구,10431,10062,9683,10031,9686,9427,3888,3974,4142,14,15,15,77147,90324,94324
11545630,독산3동,11545,금천구,13034,12815,12405,12746,12527,12238,5392,5624,5978,17,19,23,90960,86576,93418
11545640,독산4동,11545,금천구,8459,8185,7906,8334,8069,7799,3215,3297,3471,13,14,15,79178,102744,107298
11545670,시흥1동,11545,금천구,17402,17342,16919,17350,17317,16939,5966,6587,6899,39,41,42,108348,111267,136440
11545680,시흥2동,11545,금천구,11451,11080,10694,11997,11659,11407,1939,2012,2137,3,4,3,154199,123494,152894
11545690,시흥3동,11545,금천구,5890,5760,5607,5837,5738,5634,1389,1429,1511,9,9,9,106961,86902,110290
11545700,시흥4동,11545,금천구,11031,10680,10399,11217,10822,10572,3018,3078,3213,11,12,11,92996,120069,99453
11545710,시흥5동,11545,금천구,10457,10222,9832,10430,10223,9962,3713,3784,3944,12,12,16,106072,137902,110252
11560,영등포구,11,서울특별시,183888,183460,185603,185115,185557,189530,74245,79442,84507,507,487,530,112828,113743,124311
11560515,영등포본동,11560,영등포구,11506,11319,11062,11088,10832,10572,4272,4483,4666,23,20,21,130543,100810,89692
11560535,영등포동,11560,영등포구,13648,14335,14695,11005,11892,12544,10924,12084,13109,72,67,68,128215,123568,136441
11560540,여의동,11560,영등포구,15801,16075,16111,17623,18011,18221,3352,3932,4195,96,97,108,187993,225105,204094
11560550,당산1동,11560,영등포구,10295,10330,10245,10514,10625,10640,4962,5273,5553,33,33,37,98777,93185,107130
11560560,당산2동,11560,영등포구,16847,16831,17590,18853,18919,19919,8178,8541,9079,40,38,42,143401,135625,158043
11560585,도림동,11560,영등포구,9694,9523,9259,9516,9339,9165,4311,4388,4643,13,11,12,79065,81208,99885
11560605,문래동,11560,영등포구,15775,15742,16043,16086,16088,16556,3461,3633,3997,40,39,45,114516,98580,106184
11560610,양평1동,11560,영등포구,8710,8931,8665,8710,8965,8889,3832,4271,4554,20,18,22,72461,91690,94279
11560620,양평2동,11560,영등포구,11370,11350,11136,11394,11329,11275,3829,4158,4157,39,37,38,110113,105773,114266
11560630,신길1동,11560,영등포구,8842,8869,8935,8675,8624,8654,5439,5918,6489,18,16,17,87032,88591,129279
11560650,신길3동,11560,영등포구,8066,8590,8404,8101,8679,8608,2740,2934,3026,10,10,11,111927,123715,89922
11560660,신길4동,11560,영등포구,4798,4557,4449,4720,4514,4419,1838,1875,1976,6,5,5,103159,70967,52660
11560670,신길5동,11560,영등포구,4988,4539,5411,5298,4815,5770,1931,1795,1955,7,7,9,77926,76080,99342
11560680,신길6동,11560,영등포구,9234,9058,8771,9378,9303,9150,3322,3630,3888,12,13,15,134704,96695,102609
11560690,신길7동,11560,영등포구,8597,8486,10133,8589,8499,10202,1914,1920,2242,13,13,16,101418,106559,117875
11560700,대림1동,11560,영등포구,6830,6532,7008,6715,6519,7080,2899,2998,3101,17,15,14,85886,112057,108577
11560710,대림2동,11560,영등포구,6300,6253,6062,6585,6611,6319,3167,3615,3798,19,19,20,118731,126878,149784
11560720,대림3동,11560,영등포구,12587,12140,11624,12265,11993,11547,3874,3994,4079,29,29,30,80087,97682,95373
11590,동작구,11,서울특별시,192296,193449,190754,202492,205436,203364,70744,76209,80504,344,340,341,127102,130395,139489
11590510,노량진1동,11590,동작구,16078,16019,16082,16305,16247,16230,6149,6588,7361,42,43,40,163272,141025,173989
11590520,노량진2동,11590,동작구,6873,6688,6509,6516,6355,6100,3890,4096,4287,22,19,18,115939,164676,149362
11590530,상도1동,11590,동작구,22740,22491,22070,23692,23713,23422,9107,9694,10065,47,48,50,116809,148106,117707
11590540,상도2동,11590,동작구,13077,13943,13622,13970,15082,14674,4655,5123,5211,22,19,16,108435,146064,132651
11590550,상도3동,11590,동작구,12430,12339,12090,13413,13381,13167,4585,5028,5390,12,12,12,172873,134293,157731
11590560,상도4동,11590,동작구,14746,14643,14160,15057,15189,15011,4766,5374,5874,14,14,14,80353,88902,112427
11590605,흑석동,11590,동작구,14413,16023,15899,15044,16830,16713,5127,5509,5599,27,28,29,138201,117570,135996
11590620,사당1동,11590,동작구,11182,11261,11011,12127,12320,12172,6671,7407,7749,30,28,27,107548,117786,120344
11590630,사당2동,11590,동작구,13601,13562,13254,14561,14513,14289,3975,4150,4198,23,27,27,180474,152933,182644
11590640,사당3동,11590,동작구,12569,12757,12211,13163,13488,12993,3334,3467,3547,13,13,13,130842,135543,125161
11590650,사당4동,11590,동작구,7142,7098,6949,7643,7738,7587,2776,3060,3321,10,9,9,151939,102743,175360
11590651,사당5동,11590,동작구,6391,6284,7172,6699,6676,7584,2171,2249,2536,6,6,9,92915,69552,86960
11590660,대방동,11590,동작구,19206,18906,18601,20991,20831,20519,6368,6844,7137,36,36,36,115822,120680,112480
11590670,신대방1동,11590,동작구,11844,11543,11454,12639,12423,12308,3449,3515,3879,9,10,11,115816,121534,118103
11590680,신대방2동,11590,동작구,10004,9892,9670,10672,10650,10595,3721,4105,4350,31,28,30,110308,148477,160773
11620,관악구,11,서울특별시,253600,251875,250520,250448,250214,248796,138902,148296,157514,471,475,459,123668,129783,124519
11620525,보라매동,11620,관악구,12469,12345,12134,12904,12916,12620,5178,5732,6082,16,21,17,100775,110564,103544
11620545,청림동,11620,관악구,8104,7984,7743,8387,8263,8061,1947,1966,2021,7,7,7,75945,0,75670
11620565,성현동,11620,관악구,16107,15778,14730,16997,16713,15705,3791,3920,3960,11,10,9,120950,84944,111480
11620575,행운동,11620,관악구,14592,14662,14359,15289,15352,15230,9856,10475,10989,35,36,31,115005,116881,113750
11620585,낙성대동,11620,관악구,8577,8516,8676,8624,8480,8509,7147,7493,7929,23,26,28,122840,158253,137546
11620595,청룡동,11620,관악구,13785,14214,16786,14630,15348,18189,12209,14014,15581,43,42,43,163423,145424,130694
11620605,은천동,11620,관악구,17458,17204,16760,17833,17841,17489,5990,6604,7100,24,24,24,144398,125185,138511
11620615,중앙동,11620,관악구,7309,7406,7452,7934,8031,8174,5486,5926,6508,20,19,20,117149,146400,115033
11620625,인헌동,11620,관악구,13352,13155,12917,13859,13739,13521,7209,7568,7916,21,22,22,148282,120228,139326
11620630,남현동,11620,관악구,9051,9066,8947,9832,9829,9566,4355,4625,4879,22,20,19,117371,212269,158590
11620645,서원동,11620,관악구,11817,11913,11904,11262,11420,11227,7870,8566,9155,27,28,27,162127,173563,155004
11620655,신원동,11620,관악구,9376,9351,9263,9400,9401,9255,5558,5945,6526,10,10,10,138271,164874,125867
11620665,서림동,11620,관악구,13556,13298,13158,10832,10802,10794,8972,9098,9503,22,25,22,81403,103531,97431
11620685,신사동,11620,관악구,11566,11614,11505,11499,11493,11485,7384,8038,8579,27,25,24,106746,99350,132995
11620695,신림동,11620,관악구,10499,10953,11420,10352,10815,10542,12308,13469,14197,44,39,37,157066,197512,161686
11620715,난향동,11620,관악구,8248,8130,7867,8388,8290,8097,1809,1905,1944,4,4,3,130053,78648,105507
11620725,조원동,11620,관악구,9050,8843,8923,8782,8655,8722,6023,6278,6742,23,22,24,85133,96721,102115
11620735,대학동,11620,관악구,14391,14304,14385,9495,9470,9439,11348,11667,12172,43,43,42,114378,125414,115241
11620745,삼성동,11620,관악구,13295,12830,12281,13088,12671,12273,4447,4625,4765,7,9,9,96875,78878,74483
11620765,미성동,11620,관악구,16202,15827,15399,16674,16450,16057,5202,5405,5620,21,21,22,90335,100013,105343
11620775,난곡동,11620,관악구,14796,14482,13911,14387,14235,13841,4813,4977,5346,21,22,19,132216,109023,128676
11650,서초구,11,서울특별시,210596,206478,204280,229248,224882,222957,56709,57802,59312,558,526,518,142847,136653,138477
11650510,서초1동,11650,서초구,10244,10292,10177,10941,11013,10933,3678,3827,3927,35,34,34,125777,132931,128043
11650520,서초2동,11650,서초구,8383,8721,8906,9241,9519,9889,3243,3640,3873,44,40,42,193137,159087,191125
11650530,서초3동,11650,서초구,14838,14985,15038,15394,15599,15892,4975,5587,6034,86,81,77,136069,121117,142860
11650531,서초4동,11650,서초구,15157,15298,15425,16148,16301,16264,2135,2380,2370,37,35,35,126006,139766,174247
11650540,잠원동,11650,서초구,16491,16353,15234,18155,18005,16708,4573,4692,4660,37,32,28,135606,155668,132407
11650550,반포본동,11650,서초구,5929,5776,5687,6624,6490,6324,731,740,762,7,8,7,154215,143968,117101
11650560,반포1동,11650,서초구,13556,15814,15730,14691,17058,16820,6080,6316,6406,28,29,27,189338,172872,155522
11650570,반포2동,11650,서초구,11361,7732,7723,12418,8512,8430,1159,738,686,9,7,7,303013,0,295833
11650580,반포3동,11650,서초구,9054,9545,10482,9993,10661,11703,1291,1288,1394,8,9,10,0,227111,224457
11650581,반포4동,11650,서초구,9397,9349,9204,10431,10468,10269,1846,1904,1901,42,40,45,265483,224702,182582
11650590,방배본동,11650,서초구,9915,9935,9836,11392,11421,11380,2067,2086,2200,24,20,21,118396,129364,122414
11650600,방배1동,11650,서초구,8122,8223,8139,9164,9243,9259,2791,2881,2991,17,18,21,135583,121183,133015
11650610,방배2동,11650,서초구,12401,10005,9584,13708,11175,10819,3728,3133,3073,27,25,25,142822,138448,124352
11650620,방배3동,11650,서초구,10643,10838,10502,11450,11593,11290,2307,2272,2256,17,18,18,88406,134998,114923
11650621,방배4동,11650,서초구,11734,11027,10877,13743,12958,12897,3402,3402,3447,25,25,22,118764,115970,121448
11650651,양재1동,11650,서초구,22385,21922,21498,24317,23915,23441,5826,5908,6105,50,46,43,146052,120974,136925
11650652,양재2동,11650,서초구,11845,11635,11337,11844,11492,11223,4927,4936,5054,53,46,43,87157,91743,93580
11650660,내곡동,11650,서초구,9141,9028,8901,9594,9459,9416,1950,2072,2173,12,13,13,135860,87352,154196
11680,강남구,11,서울특별시,261815,259645,258407,285137,282853,281741,87621,90342,93397,991,976,951,159885,164009,171681
11680510,신사동,11680,강남구,8169,8068,7851,9458,9307,9064,2926,2943,2918,50,44,42,190766,189594,173290
11680521,논현1동,11680,강남구,10871,10751,10818,12639,12430,12335,9104,9268,9612,83,80,79,158358,164930,159334
11680531,논현2동,11680,강남구,10382,10196,10097,11759,11607,11625,5824,6126,6315,78,77,74,141326,139437,140442
11680545,압구정동,11680,강남구,12907,12748,12698,15072,14963,14876,2935,3036,3010,56,57,55,179640,197817,203676
11680565,청담동,11680,강남구,13999,14047,12723,15798,15860,14478,4302,4663,4772,60,55,54,159986,168623,167299
11680580,삼성1동,11680,강남구,7395,7340,7074,7408,7405,7206,1890,1974,2111,57,55,58,159989,173572,181339
11680590,삼성2동,11680,강남구,14144,14337,14365,15604,15742,15864,5544,5621,5908,55,51,52,183569,155942,172438
11680600,대치1동,11680,강남구,12688,12656,12610,12650,12578,12515,566,573,579,23,23,21,220376,279105,278364
11680610,대치2동,11680,강남구,20825,19679,19377,20097,19151,18753,2450,2427,2490,50,49,47,171168,157488,177188
11680630,대치4동,11680,강남구,9864,9751,9698,10992,10810,10842,5144,5285,5405,66,61,61,172127,178629,201765
11680640,역삼1동,11680,강남구,17093,17430,17569,18369,18611,18670,15817,16463,17134,191,200,192,160658,157738,169188
11680650,역삼2동,11680,강남구,17162,17239,17420,19167,19403,19730,5802,6216,6522,56,54,54,166016,152412,193215
11680655,도곡1동,11680,강남구,10725,10639,10547,12005,11899,11717,2478,2500,2639,28,29,26,181810,183753,177980
11680656,도곡2동,11680,강남구,16050,15941,15907,18543,18298,18343,2284,2223,2199,24,25,24,164714,180024,191104
11680660,개포1동,11680,강남구,6361,3402,3283,6749,3649,3502,1631,880,834,2,2,2,86971,132795,0
11680670,개포2동,11680,강남구,6798,8788,10836,7163,9368,11602,1146,1458,1612,12,11,10,114487,168681,157113
11680690,개포4동,11680,강남구,9177,9031,8843,9525,9364,9184,2953,2928,2978,29,32,27,79851,86258,88367
11680700,세곡동,11680,강남구,21454,21443,21282,23492,23516,23446,5245,5738,5954,22,22,22,186887,155771,146949
11680720,일원본동,11680,강남구,12228,12011,11857,12641,12438,12196,1528,1491,1461,11,10,12,165450,142033,199699
11680730,일원1동,11680,강남구,8341,8062,7807,8676,8415,8117,2996,3116,3196,12,12,12,105486,120060,131773
11680740,일원2동,11680,강남구,7589,8683,8667,8362,9334,9237,1972,2163,2291,7,7,8,151600,218536,156133
11680750,수서동,11680,강남구,7593,7403,7078,8968,8705,8439,3084,3250,3457,19,20,19,141561,132788,184392
11710,송파구,11,서울특별시,323741,329200,324134,342698,350047,347178,88247,94289,97868,646,622,644,129378,142495,148293
11710510,풍납1동,11710,송파구,7778,7392,6999,7969,7523,7201,2526,2528,2506,9,8,8,100747,90189,87904
11710520,풍납2동,11710,송파구,12005,11748,12230,13033,12937,13491,3692,3900,4181,18,18,21,80414,107433,113474
11710531,거여1동,11710,송파구,6767,6724,6642,6507,6437,6366,1679,1801,1919,14,12,12,89375,97150,97746
11710532,거여2동,11710,송파구,8691,8424,9262,8843,8665,9590,2394,2486,2553,12,11,11,134566,136240,111590
11710540,마천1동,11710,송파구,11005,10655,10239,10537,10149,9787,3549,3548,3537,11,10,14,79070,72130,99137
11710550,마천2동,11710,송파구,10391,10284,10008,10051,9954,9688,2975,3086,3341,9,10,11,95107,97886,125973
11710561,방이1동,11710,송파구,8047,7928,7835,8485,8448,8453,1677,1798,1886,24,22,20,101832,110210,129212
11710562,방이2동,11710,송파구,12075,12362,12373,12898,13371,13842,6279,7062,7987,38,38,42,131314,135306,144311
11710566,오륜동,11710,송파구,9470,9279,9186,9852,9678,9465,646,668,657,13,16,16,328710,333684,345767
11710570,오금동,11710,송파구,19414,19961,19606,20166,20938,20813,3953,4223,4433,36,40,43,83736,103822,104174
11710580,송파1동,11710,송파구,12356,12198,11756,13659,13630,13298,5417,5801,5993,26,24,27,101590,109775,123838
11710590,송파2동,11710,송파구,10241,9993,9939,10853,10664,10710,1438,1528,1741,12,13,16,143584,129176,108827
11710600,석촌동,11710,송파구,16473,16040,15721,17563,17385,17269,7744,8257,8813,47,45,45,107916,128332,147191
11710610,삼전동,11710,송파구,15782,15479,14995,17268,17015,16671,7831,8185,8365,36,36,37,119357,143652,142871
11710620,가락본동,11710,송파구,13879,13662,13497,13994,13938,13748,4112,4425,4660,44,43,41,97354,127851,143558
11710631,가락1동,11710,송파구,432,12723,13585,448,13263,14391,133,1684,1600,5,6,11,44077,102804,169185
11710632,가락2동,11710,송파구,16888,16555,16300,17480,17226,16896,2711,2823,3020,19,19,20,99824,121732,115464
11710641,문정1동,11710,송파구,10595,10495,10294,10818,10655,10581,2590,2768,2772,20,15,13,99403,108140,102419
11710642,문정2동,11710,송파구,14031,13914,13746,15749,15842,15961,7875,8388,8530,69,64,71,233411,231907,207509
11710646,장지동,11710,송파구,16913,16583,14810,17938,17655,15840,3565,3708,3475,24,25,20,86205,119764,127557
11710647,위례동,11710,송파구,14004,13821,13814,14736,14528,14558,1065,1050,1038,16,14,15,265931,215981,206886
11710650,잠실본동,11710,송파구,13807,13738,13637,15300,15311,15198,7233,7907,8444,62,55,55,134629,167542,166724
11710670,잠실2동,11710,송파구,17612,17528,17399,19327,19177,19023,1888,1862,1819,24,23,23,372406,543268,451144
11710680,잠실3동,11710,송파구,17398,17185,16878,18986,18862,18594,2068,1966,1891,18,17,20,274458,128940,252070
11710690,잠실4동,11710,송파구,14603,11481,10562,15636,12288,11335,1757,1381,1205,8,6,6,284213,448214,336928
11710710,잠실6동,11710,송파구,8250,8255,8157,9051,9056,9059,959,952,971,30,30,24,291690,212606,199164
11710720,잠실7동,11710,송파구,4834,4793,4664,5551,5452,5350,491,504,531,2,2,2,160038,0,168896
11740,강동구,11,서울특별시,214740,209746,225103,218009,214489,232227,60501,62524,67911,417,399,399,107111,109765,125177
11740515,강일동,11740,강동구,16070,15666,15273,16951,16727,16374,2156,2202,2382,23,21,23,260066,175627,217976
11740520,상일동,11740,강동구,5548,5496,16208,5511,5530,16666,1137,1164,1983,11,11,15,80149,80301,124857
11740530,명일1동,11740,강동구,11030,10942,12923,11401,11392,13544,1992,1954,2368,18,18,17,105643,126290,115613
11740540,명일2동,11740,강동구,8948,8847,8587,9064,9079,8862,982,1127,1174,17,18,17,103153,117438,143253
11740550,고덕1동,11740,강동구,13873,13859,13400,13552,13455,12992,1524,1573,1593,9,8,8,74613,184567,134010
11740560,고덕2동,11740,강동구,4136,3835,10771,3661,3400,10462,1507,1460,2105,6,6,8,99824,81687,216979
11740570,암사1동,11740,강동구,18814,18360,17757,18909,18622,18108,6079,6116,6343,34,32,32,116120,102735,107218
11740580,암사2동,11740,강동구,7184,7095,7525,7559,7482,7994,1783,1820,1941,10,10,11,113140,116545,134084
11740590,암사3동,11740,강동구,9307,9256,8962,9623,9638,9364,1018,1039,1126,7,7,7,91580,95057,116392
11740600,천호1동,11740,강동구,14489,14133,13614,14790,14437,14044,5018,5089,5355,24,23,25,98646,90920,111019
11740610,천호2동,11740,강동구,18089,17713,17274,17963,17696,17653,8182,8529,8750,51,48,49,101158,104572,123504
11740620,천호3동,11740,강동구,13901,13717,13100,14007,14065,13680,6134,6494,6949,30,29,27,105651,112109,144388
11740640,성내1동,11740,강동구,10182,9987,9845,10771,10620,10447,2276,2359,2426,26,23,21,96383,106415,126344
11740650,성내2동,11740,강동구,12581,12307,11960,12652,12512,12366,5791,6108,6608,25,26,25,111401,117569,97042
11740660,성내3동,11740,강동구,11997,11786,11571,12097,11973,11919,3670,3742,4123,35,31,31,103780,111788,136060
11740685,길동,11740,강동구,24275,22846,22873,24949,23652,23889,7785,8106,8895,65,62,58,118674,106628,115506
11740690,둔촌1동,11740,강동구,156,130,124,175,144,136,140,115,114,3,4,5,0,0,0
11740700,둔촌2동,11740,강동구,14160,13771,13336,14374,14065,13727,3327,3527,3676,23,22,20,88007,94649,98771
