code,male,female,g10,g20,g30,g40,g50,g60,livingpop,workingpop,house1,house2,house3,house4,house5
11530790,11858,12137,2075,3174,3459,3946,4045,3532,24231,3672,2956,2623,2088,1653,455
11545,117497,114516,15628,37816,38806,37046,47228,34260,239697,130206,52320,24765,17378,13770,3348
11545510,12173,10013,772,5913,5588,3292,4177,2601,23552,94781,10527,1936,1080,702,153
11545610,21879,20525,2422,7755,9104,6645,6912,4934,43999,13730,10498,4124,3053,2592,604
11545620,9683,9427,1327,2905,2875,3031,4552,3144,19534,1799,4142,2261,1510,1074,254
11545630,12405,12238,1539,4123,4192,4290,6685,4298,23674,3920,5978,2866,1839,1380,307
11545640,7906,7799,1090,2471,2384,2693,4091,2617,15631,1721,3471,1814,1204,872,244
11545670,16919,16939,2425,5100,5266,5564,6790,4996,40889,7854,6899,3689,2652,2103,500
11545680,10694,11407,2184,2581,2606,3616,3864,3169,24323,3699,2137,2075,1837,1755,451
11545690,5607,5634,753,1513,1513,1623,2094,1910,9133,6487,1511,1291,945,749,213
11545700,10399,10572,1610,2844,2801,3216,4233,3420,22911,1604,3213,2314,1730,1419,332
11545710,9832,9962,1506,2611,2477,3076,3830,3171,18775,1694,3944,2395,1528,1124,290
11560,185603,189530,25427,60160,73224,61745,67471,49574,415345,453467,84507,36497,28444,23612,5208
11560515,11062,10572,1432,2930,3765,3683,4735,3484,26528,6902,4666,2047,1673,1459,311
11560535,14695,12544,890,6405,6748,3579,3720,2992,23733,13070,13109,2332,1300,1006,204
11560540,16111,18221,2933,3981,5500,5593,5165,4094,42918,272941,4195,3079,2949,2725,570
11560550,10245,10640,1048,3665,4346,3025,3208,2673,20920,9121,5553,2180,1521,1112,262
11560560,17590,19919,2306,7439,8116,5199,4790,3695,36014,14115,9079,3125,2783,2402,496
11560585,9259,9165,1056,2872,3818,3290,3990,2676,30769,2671,4643,2073,1388,979,234
11560605,16043,16556,2940,3828,6134,5879,4139,3523,27188,69977,3997,2848,2840,2660,548
11560610,8665,8889,1038,2819,4388,2903,2143,1787,17853,12975,4554,2029,1310,939,187
11560620,11136,11275,1656,3746,5148,3457,3106,2171,25867,17223,4157,2172,1797,1599,314
11560630,8935,8654,993,3505,3322,2857,3264,2517,14963,3058,6489,1817,1077,748,185
11560650,8404,8608,1237,2278,2776,2809,3437,2561,15625,1357,3026,1659,1488,1141,288
11560660,4449,4419,653,1322,1237,1413,1986,1577,10462,1462,1976,984,719,486,136
11560670,5411,5770,803,1512,1869,1973,2504,1845,8940,1324,1955,1141,900,716,183
11560680,8771,9150,1171,3133,3089,2734,3239,2633,19556,2650,3888,1879,1367,1099,249
11560690,10133,10202,1781,2892,3579,3357,3220,2101,16672,2875,2242,1658,1686,1807,393
11560700,7008,7080,936,2100,2060,2462,3455,2341,12788,2408,3101,1436,915,730,149
11560710,6062,6319,850,2274,3128,3345,5320,2882,12108,4410,3798,1520,842,514,142
11560720,11624,11547,1704,3459,4201,4187,6050,4022,24197,6161,4079,2518,1889,1490,357
11590,190754,203364,29069,71224,65149,61298,61333,49314,370696,72612,80504,38324,30910,26154,5940
11590510,16082,16230,2050,5770,5567,4450,4799,4180,26990,4945,7361,3200,2459,1956,480
11590520,6509,6100,627,2325,2068,1750,2571,2071,14492,4844,4287,1457,821,535,123
11590530,22070,23422,3475,11362,6622,6706,6440,5174,46306,6262,10065,3987,3653,3043,658
11590540,13622,14674,1992,4521,4961,4491,4242,3340,35346,2194,5211,2712,2261,2032,431
11590550,12090,13167,1749,4314,4393,3880,3990,3139,23206,1242,5390,2663,1998,1536,336
11590560,14160,15011,1999,4676,5057,4539,4612,3701,23333,2003,5874,3107,2386,1822,428
11590605,15899,16713,2332,6987,5002,5020,5290,4003,26684,1178,5599,3060,2774,2313,527
11590620,11011,12172,991,5389,4811,3063,3350,3107,29246,4908,7749,2647,1525,1053,205
11590630,13254,14289,1731,3815,4650,4190,4452,3906,24972,2400,4198,2962,2395,1824,439
11590640,12211,12993,1677,3477,4270,3950,3782,3443,26454,3684,3547,2423,2162,1832,434
11590650,6949,7587,770,2608,2645,2134,2188,1974,12917,1233,3321,1618,1107,868,183
11590651,7172,7584,989,2264,2601,2306,2214,1763,10968,1348,2536,1456,1255,1007,202
11590660,18601,20519,4298,6621,5642,6875,5965,4120,38727,10975,7137,3275,2877,3040,699
11590670,11454,12308,2646,3525,3441,4636,4661,3243,21643,6713,3879,1998,1762,1915,443
11590680,9670,10595,1743,3570,3419,3308,2777,2150,21271,22166,4350,1759,1475,1378,352
11620,250520,248796,30328,112950,91661,72215,73133,59888,497419,72852,157514,50306,32489,25540,6058
11620525,12134,12620,1563,4956,4471,3613,3652,3347,23884,1831,6082,2753,1848,1388,309
11620545,7743,8061,1186,1983,2686,2592,2347,1983,15948,3021,2021,1668,1412,1147,244
11620565,14730,15705,3022,3970,4077,5227,4861,3829,36890,7170,3960,2989,2482,2381,545
11620575,14359,15230,1464,7713,6307,3785,3636,3193,28480,4146,10989,2975,1753,1320,315
11620585,8676,8509,919,5751,3741,2129,1758,1384,15362,10029,7929,1469,845,639,170
11620595,16786,18189,1774,11225,6812,4189,4176,3386,28700,6630,15581,2996,1725,1367,330
11620605,16760,17489,2659,5670,5706,5458,5151,4316,36309,4907,7100,3486,2583,2224,509
11620615,7452,8174,676,4619,3140,1851,2026,1666,15350,1438,6508,1587,825,618,146
11620625,12917,13521,1686,5962,5156,3813,3583,2935,39897,5227,7916,2731,1772,1390,343
11620630,8947,9566,861,3977,3854,2405,2656,2208,14566,2879,4879,1910,1381,983,240
11620645,11904,11227,935,6713,4910,2968,3031,2601,23140,2945,9155,2599,1330,848,201
11620655,9263,9255,936,4514,3461,2557,2884,2378,18312,1013,6526,2131,1143,784,155
11620665,13158,10794,1199,6072,4847,3316,3190,2722,25648,1824,9503,2287,1345,977,259
11620685,11505,11485,1310,5974,4438,3644,4347,2877,23940,4443,8579,2341,1371,1034,220
11620695,11420,10542,541,8648,5902,2566,1945,1520,22998,2070,14197,1927,623,356,84
11620715,7867,8097,1499,1748,2024,3069,2645,2102,16533,1337,1944,1560,1291,1237,299
11620725,8923,8722,908,4213,3649,2612,3135,2401,17845,3341,6742,1833,984,751,183
11620735,14385,9439,1064,6969,5109,3634,3195,2230,24669,3150,12172,1831,1129,817,184
11620745,12281,12273,1675,3099,2893,3599,4498,4140,25782,1842,4765,2776,1872,1496,401
11620765,15399,16057,2454,4973,4579,4977,5275,4617,32404,3756,5620,3259,2543,2087,536
11620775,13911,13841,1997,4201,3899,4211,5142,4053,27439,1447,5346,3198,2232,1696,385
11650,204280,222957,45642,56849,66465,79028,63658,47389,417054,568361,59312,34979,34214,34591,8153
11650510,10177,10933,1958,2908,3799,3860,2982,2414,21932,48646,3927,1801,1566,1505,390
11650520,8906,9889,1669,2791,3949,3356,2481,1786,18543,68423,3873,1535,1442,1329,297
11650530,15038,15892,2717,5266,5163,4945,4769,3564,29339,66039,6034,2720,2284,2061,556
11650531,15425,16264,4221,3641,4052,6499,4713,3057,31006,37370,2370,1943,2606,3326,634
11650540,15234,16708,3884,4551,5024,6450,5452,3358,32127,15586,4660,2567,2870,2887,535
11650550,5687,6324,1937,1511,936,2355,2103,1246,8184,16545,762,832,977,1253,238
11650560,15730,16820,3543,4437,5863,6705,4124,2966,30474,7328,6406,2216,2357,2629,582
11650570,7723,8430,2766,1395,1659,3801,2119,1303,17359,10582,686,853,1299,1719,452
11650580,10482,11703,2885,2426,2687,4519,3308,2125,17779,8341,1394,1491,1977,2119,430
11650581,9204,10269,2259,2396,2892,3791,2909,2295,19790,95488,1901,1500,1776,1601,390
11650590,9836,11380,2844,2728,2508,4066,3462,2240,21625,28807,2200,1576,1705,1881,450
11650600,8139,9259,1373,2594,3148,2902,2486,2088,17559,19245,2991,1762,1386,1193,283
11650610,9584,10819,1666,2942,3267,3145,3282,2839,21090,17055,3073,2143,1621,1408,354
11650620,10502,11290,2055,2917,3084,3362,3630,3164,22032,17721,2256,1886,1891,1793,385
11650621,10877,12897,2652,3280,3727,4409,3544,2364,24398,22420,3447,2038,1828,1890,437
11650651,21498,23441,4280,5549,7151,7937,6367,5592,45831,33679,6105,4022,3482,3299,1040
11650652,11337,11223,1673,3494,4640,3913,3362,2568,23007,43765,5054,2251,1600,1398,374
11650660,8901,9416,1260,2023,2916,3013,2565,2420,17510,13661,2173,1843,1547,1300,326
11680,258407,281741,59493,76459,85461,100336,80573,58529,561241,1158467,93397,44204,41235,42381,9350
11680510,7851,9064,1731,2461,2568,3096,2522,1795,18846,30403,2918,1552,1290,1228,286
11680521,10818,12335,953,4972,6158,3947,2874,2326,23042,41432,9612,2513,1171,818,228
11680531,10097,11625,1328,3631,4721,3758,2955,2236,21918,56308,6315,2090,1544,1155,243
11680545,12698,14876,2871,3310,3620,5023,4030,3140,27627,44650,3010,2387,2404,2214,531
11680565,12723,14478,2319,3966,4614,4864,4076,3004,29025,55812,4772,2308,2209,1947,478
11680580,7074,7206,1438,2185,2252,2443,2455,1812,14777,131094,2111,1266,1174,1099,287
11680590,14365,15864,3490,3980,5215,6550,4087,2436,30038,61775,5908,2314,2256,2355,478
11680600,12610,12515,5577,2515,1667,6205,3762,1929,25099,19908,579,925,1965,3094,654
11680610,19377,18753,6508,5146,3466,7559,6789,4068,37693,90394,2490,2083,3229,4179,789
11680630,9698,10842,2557,3539,3461,4169,3276,1545,20952,33871,5405,1679,1365,1378,291
11680640,17569,18670,1471,7951,10569,6110,4338,3034,35879,170093,17134,3486,1638,1170,309
11680650,17420,19730,5540,4852,5525,8715,4814,2585,37065,52229,6522,2325,2812,3221,612
11680655,10547,11717,2330,3108,3414,3911,3536,2535,21698,40780,2639,1583,1863,2055,385
11680656,15907,18343,4804,4094,3794,6677,5502,3549,34138,191516,2199,2315,2997,3457,699
11680660,3283,3502,597,807,727,985,1137,1201,9033,19936,834,606,534,569,131
11680670,10836,11602,2620,3010,2930,3763,3888,2935,18210,10617,1612,1766,2063,2163,377
11680690,8843,9184,1641,2687,2887,2992,3100,2331,17365,8406,2978,1598,1466,1323,312
11680700,21282,23446,4562,5514,7230,7815,6062,4896,48402,1655,5954,3967,3269,3330,1080
11680720,11857,12196,3402,2647,3151,4627,3692,2806,26413,39844,1461,1534,2005,2579,463
11680730,7807,8117,1263,2344,2348,2253,2643,2543,15785,2444,3196,1778,1254,935,263
11680740,8667,9237,1852,2027,2678,3143,2640,2490,21457,6652,2291,1797,1542,1440,274
11680750,7078,8439,639,1713,2466,1731,2395,3333,13806,15647,3457,2332,1185,672,180
11710,324134,347178,60203,96080,114622,110971,105028,82697,682003,403558,97868,59598,55402,52580,11465
11710510,6999,7201,983,1848,2219,2206,2781,2488,10712,1251,2506,1593,1144,949,185
11710520,12230,13491,2140,3925,4440,4130,3795,3231,19417,18766,4181,2279,2223,1898,398
11710531,6642,6366,1078,1842,1726,2088,2392,1901,13079,3818,1919,1371,1045,963,207
11710532,9262,9590,1438,1894,2291,2703,2889,2390,17250,3064,2553,1797,1428,1091,258
11710540,10239,9787,1695,2508,2337,3080,3730,3295,20823,1085,3537,2144,1589,1294,374
11710550,10008,9688,1469,2516,2401,2912,3909,3263,21434,2467,3341,2166,1647,1249,315
11710561,7835,8453,1723,2526,2392,2732,2769,1905,14076,7843,1886,1219,1338,1446,319
11710562,12373,13842,1351,5184,6053,3775,3806,3153,26760,26087,7987,2825,1784,1311,277
11710566,9186,9465,2839,2248,1807,3490,3133,2390,19033,25240,657,1134,1569,2071,428
11710570,19606,20813,3409,5821,6007,6092,7164,5664,39814,26786,4433,3753,3601,3215,745
11710580,11756,13298,1453,4730,5680,3652,3745,3041,28393,9624,5993,2666,1898,1414,354
11710590,9939,10710,1949,2977,3133,3195,3448,2773,17203,11830,1741,1588,1797,1881,424
11710600,15721,17269,2013,5838,7352,5176,5095,3919,33722,8928,8813,3555,2403,1791,399
11710610,14995,16671,2127,5475,6929,5276,4738,3588,30932,7430,8365,3331,2368,1759,397
11710620,13497,13748,1962,4380,4960,4028,4931,3560,30364,30826,4660,2535,2209,1947,498
11710631,13585,14391,2275,3713,5641,4363,4067,3171,27046,5838,1600,2520,2628,2570,476
11710632,16300,16896,3640,4721,4981,5754,5399,3975,34621,10453,3020,2505,2972,3086,583
11710641,10294,10581,1642,3395,3686,2967,3562,2901,19304,32410,2772,1927,1726,1641,397
11710642,13746,15961,1527,5396,7871,4341,3556,3148,28010,38195,8530,2811,1975,1763,358
11710646,14810,15840,2905,4234,5002,4929,5104,3745,34692,7157,3475,2975,2766,2339,568
11710647,13814,14558,3565,2716,5108,5701,3249,2079,27697,1234,1038,1780,2338,2932,748
11710650,13637,15198,1881,5262,6366,4571,4353,3426,23957,7795,8444,2973,2022,1493,350
11710670,17399,19023,5973,3363,4419,8897,4787,2812,27682,5886,1819,1885,3092,4299,709
11710680,16878,18594,4000,4094,4811,6318,5307,4632,35493,21591,1891,2611,3313,3512,677
11710690,10562,11335,2324,2083,3363,4356,2943,2401,41296,17960,1205,1453,2039,2210,420
11710710,8157,9059,1748,2088,2537,2783,2703,2397,34330,92847,971,1352,1601,1520,389
11710720,4664,5350,1094,1303,1110,1456,1673,1449,9057,12560,531,850,887,936,212
11740,225103,232227,39643,61983,72779,74415,73890,61657,403220,72374,67911,43223,37911,34317,7670
11740515,15273,16374,4455,4000,3447,5513,5020,3765,24057,1021,2382,2659,2286,2739,964
11740520,16208,16666,3236,3618,5462,5668,4816,3810,15674,5312,1983,2532,2883,3185,641
11740530,12923,13544,2595,3358,4245,4312,4151,3506,20943,4084,2368,2453,2411,2237,456
11740540,8587,8862,2545,2188,1898,3120,2797,2396,18670,3027,1174,1113,1368,1842,377
11740550,13400,12992,3461,2577,3877,5466,3561,2697,24442,1985,1593,1584,2330,2763,521
11740560,10771,10462,1876,2328,3700,3563,3225,2688,5779,1657,2105,1900,1880,1850,326
11740570,17757,18108,2773,4966,5605,5763,6180,4960,50180,5443,6343,3762,3047,2402,487
11740580,7525,7994,1063,2053,2970,2469,2270,1888,7219,1332,1941,1561,1386,1190,240
11740590,8962,9364,1945,1996,2697,3274,2699,2315,25397,4345,1126,1399,1591,1717,394
11740600,13614,14044,1879,3908,4225,4201,4769,4354,29764,2598,5355,3008,2340,1658,390
11740610,17274,17653,1958,5089,6449,5230,6172,5021,29950,3278,8750,3988,2639,1837,415
11740620,13100,13680,1392,4218,4879,3949,4574,3983,37958,3833,6949,2959,2028,1413,322
11740640,9845,10447,1789,2743,3388,3440,3070,2562,18015,15038,2426,1921,1830,1562,337
11740650,11960,12366,1276,4083,4471,3660,4146,3661,26164,2471,6608,2735,1887,1174,267
11740660,11571,11919,1894,3740,3645,3706,4050,3192,26152,5133,4123,2398,1887,1628,369
11740685,22873,23889,3161,7189,7722,6962,7770,6886,62739,12917,8895,4652,3808,2954,741
11740690,124,136,9,22,26,55,33,55,275,1557,114,18,11,14,2
11740700,13336,13727,2336,3907,4073,4064,4587,3918,17019,3054,3676,2581,2299,2152,421
