code,name,parent,parentname,male,female,onehouse,convnum,rent
11,서울특별시,0,대한민국,123456,123456,123456,123456,123456
11110,종로구,11,서울특별시,74190,77836,36390,347,228660
11110515,청운효자동,11110,종로구,6029,6860,1956,12,144858
11110530,사직동,11110,종로구,4256,5191,2224,27,172166
11110540,삼청동,11110,종로구,1335,1468,743,6,188928
11110550,부암동,11110,종로구,4801,5267,1630,14,109919
11110560,평창동,11110,종로구,8747,9920,2410,14,110142
11110570,무악동,11110,종로구,4046,4609,727,4,0
11110580,교남동,11110,종로구,4926,5683,1610,15,230131
11110600,가회동,11110,종로구,2028,2336,913,9,157309
11110615,종로1.2.3.4가동,11110,종로구,4390,2974,4189,111,282442
11110630,종로5.6가동,11110,종로구,2859,2344,2105,26,284292
11110640,이화동,11110,종로구,3757,4241,2712,21,138692
11110650,혜화동,11110,종로구,8190,8781,5523,38,149872
11110670,창신1동,11110,종로구,2859,2438,1724,9,275905
11110680,창신2동,11110,종로구,4416,4236,1918,4,82466
11110690,창신3동,11110,종로구,3548,3635,891,2,0
11110700,숭인1동,11110,종로구,3100,3183,1357,8,100054
11110710,숭인2동,11110,종로구,4903,4670,3758,27,122919
11140,중구,11,서울특별시,62086,64057,30425,427,218957
11140520,소공동,11140,중구,1005,1045,633,51,185791
11140540,회현동,11140,중구,2881,2415,2172,45,369703
11140550,명동,11140,중구,1176,1633,945,86,188645
11140570,필동,11140,중구,2115,1927,1421,32,145000
11140580,장충동,11140,중구,2404,2324,1680,17,82778
11140590,광희동,11140,중구,2640,2319,1854,49,194541
11140605,을지로동,11140,중구,1100,702,1057,29,179209
11140615,신당동,11140,중구,3820,3808,2716,34,295992
11140625,다산동,11140,중구,7096,7471,3089,17,124656
11140635,약수동,11140,중구,8289,9305,2815,12,208637
11140645,청구동,11140,중구,6912,7613,2470,6,85949
11140650,신당5동,11140,중구,4856,4953,2320,9,119862
11140665,동화동,11140,중구,5277,5708,1158,13,105333
11140670,황학동,11140,중구,6129,6480,3624,13,153197
11140680,중림동,11140,중구,6386,6354,2471,14,126439
11170,용산구,11,서울특별시,110560,118562,51507,289,139753
11170510,후암동,11170,용산구,8786,9290,3989,17,108065
11170520,용산2가동,11170,용산구,5110,5461,2784,18,89716
11170530,남영동,11170,용산구,4792,3036,4185,31,106393
11170555,청파동,11170,용산구,9517,10488,6132,27,125233
11170560,원효로1동,11170,용산구,7591,8097,3520,21,103644
11170570,원효로2동,11170,용산구,6909,7790,2047,15,103263
11170580,효창동,11170,용산구,4622,5088,1402,10,112788
11170590,용문동,11170,용산구,6024,6555,1896,7,140551
11170625,한강로동,11170,용산구,8618,9203,5374,45,154658
11170630,이촌1동,11170,용산구,13186,15082,2239,13,313893
11170640,이촌2동,11170,용산구,4203,4736,1315,4,92229
11170650,이태원1동,11170,용산구,3272,3672,2162,25,226931
11170660,이태원2동,11170,용산구,4339,5042,2598,14,160846
11170685,한남동,11170,용산구,9922,10599,6088,23,147759
11170690,서빙고동,11170,용산구,6480,6953,1733,9,144110
11170700,보광동,11170,용산구,7189,7470,4043,10,86167
11200,성동구,11,서울특별시,149412,155524,55571,311,125396
11200520,왕십리2동,11200,성동구,8566,9039,2896,10,118056
11200535,왕십리도선동,11200,성동구,13072,14307,4406,32,136197
11200540,마장동,11200,성동구,11616,11907,4779,15,131807
11200550,사근동,11200,성동구,6073,5729,5241,34,139365
11200560,행당1동,11200,성동구,7904,8283,3036,18,169283
11200570,행당2동,11200,성동구,11674,13161,2353,7,191129
11200580,응봉동,11200,성동구,7665,8538,1598,3,157901
11200590,금호1가동,11200,성동구,7637,8302,2091,8,0
11200615,금호2.3가동,11200,성동구,11511,12651,3543,13,147156
11200620,금호4가동,11200,성동구,7268,7924,2163,9,100600
11200645,옥수동,11200,성동구,12687,14380,3183,11,184328
11200650,성수1가1동,11200,성동구,8558,8541,3092,23,104413
11200660,성수1가2동,11200,성동구,7427,7508,3187,29,128943
11200670,성수2가1동,11200,성동구,9085,8359,4169,23,79241
11200690,성수2가3동,11200,성동구,5849,5590,2902,53,119524
11200720,송정동,11200,성동구,5924,5226,2775,8,86989
11200790,용답동,11200,성동구,6896,6079,4157,15,124298
11215,광진구,11,서울특별시,171800,182078,72629,396,119527
11215710,화양동,11215,광진구,10485,11423,12427,63,167699
11215730,군자동,11215,광진구,9874,10088,5788,27,101971
11215740,중곡1동,11215,광진구,7920,8136,3854,16,82569
11215750,중곡2동,11215,광진구,10723,11536,4411,24,86724
11215760,중곡3동,11215,광진구,8598,8720,3950,20,98827
11215770,중곡4동,11215,광진구,14983,15419,4887,22,114231
11215780,능동,11215,광진구,5324,6219,3445,17,147636
11215810,광장동,11215,광진구,17421,18573,2186,25,143667
11215820,자양1동,11215,광진구,11205,11970,5555,24,120657
11215830,자양2동,11215,광진구,13154,13639,3926,21,93207
11215840,자양3동,11215,광진구,14160,15233,2875,27,116743
11215847,자양4동,11215,광진구,9516,9431,5065,33,149053
11215850,구의1동,11215,광진구,10746,11708,6178,29,103925
11215860,구의2동,11215,광진구,13410,14292,4045,18,142331
11215870,구의3동,11215,광진구,14281,15691,4037,30,126403
11230,동대문구,11,서울특별시,172490,174011,74224,379,113019
11230536,용신동,11230,용신동,15711,14883,9975,54,102637
11230545,제기동,11230,용신동,12918,12301,6910,27,111502
11230560,전농1동,11230,용신동,15469,15142,7208,29,119223
11230570,전농2동,11230,용신동,9497,10277,2180,16,91775
11230600,답십리1동,11230,용신동,14334,15125,4795,30,158231
11230610,답십리2동,11230,용신동,14771,15347,4299,17,91945
11230650,장안1동,11230,용신동,19328,19300,7206,56,100258
11230660,장안2동,11230,용신동,15749,15768,4446,34,101187
11230705,청량리동,11230,용신동,10840,10764,4957,16,93760
11230710,회기동,11230,용신동,4915,5401,3860,22,138870
11230720,휘경1동,11230,용신동,6748,6762,3912,16,143601
11230730,휘경2동,11230,용신동,12146,12383,5355,17,111380
11230740,이문1동,11230,용신동,9887,9854,6397,33,113825
11230750,이문2동,11230,용신동,10177,10704,2724,12,197056
11260,중랑구,11,서울특별시,198906,201755,73677,302,93253
11260520,면목2동,11260,중랑구,13008,12899,5379,21,74210
11260540,면목4동,11260,중랑구,9972,10094,3942,11,67706
11260550,면목5동,11260,중랑구,5054,4814,1888,6,72565
11260565,면목본동,11260,중랑구,17718,17858,8270,30,93715
11260570,면목7동,11260,중랑구,10838,10911,4244,17,126737
11260575,면목3.8동,11260,중랑구,13196,13218,5529,21,93461
11260580,상봉1동,11260,중랑구,12424,13007,3029,17,114677
11260590,상봉2동,11260,중랑구,9393,9767,6002,37,91664
11260600,중화1동,11260,중랑구,10227,10548,3173,20,61484
11260610,중화2동,11260,중랑구,14338,13505,7290,15,114209
11260620,묵1동,11260,중랑구,17531,18415,4638,22,100885
11260630,묵2동,11260,중랑구,9822,10083,3852,14,74118
11260655,망우본동,11260,중랑구,15805,15368,6634,29,102718
11260660,망우3동,11260,중랑구,8984,8859,3681,11,66933
11260680,신내1동,11260,중랑구,19969,20887,3394,22,90579
11260690,신내2동,11260,중랑구,10627,11522,2732,9,168207
11290,성북구,11,서울특별시,213648,226749,73240,357,109228
11290525,성북동,11290,성북구,8112,9077,3692,15,123956
11290555,삼선동,11290,성북구,12520,13579,6178,36,124730
11290575,동선동,11290,성북구,6590,8937,5686,42,140172
11290580,돈암1동,11290,성북구,7484,8530,1789,7,103208
11290590,돈암2동,11290,성북구,11918,13081,1562,5,0
11290600,안암동,11290,성북구,7789,7571,5838,49,125533
11290610,보문동,11290,성북구,7997,8512,3764,18,94935
11290620,정릉1동,11290,성북구,9199,9760,2181,14,82374
11290630,정릉2동,11290,성북구,11656,12143,3007,14,146211
11290640,정릉3동,11290,성북구,7945,7932,3969,15,98705
11290650,정릉4동,11290,성북구,12926,13703,3603,15,137973
11290660,길음1동,11290,성북구,17694,19415,2547,6,139858
11290685,길음2동,11290,성북구,7866,8262,2301,5,147536
11290705,종암동,11290,성북구,20080,20527,6296,27,92412
11290715,월곡1동,11290,성북구,13322,14163,3127,16,101653
11290725,월곡2동,11290,성북구,9780,10288,3929,23,97317
11290760,장위1동,11290,성북구,10259,10552,3342,11,53492
11290770,장위2동,11290,성북구,7043,7064,2472,9,84513
11290780,장위3동,11290,성북구,5846,5775,1673,3,114259
11290810,석관동,11290,성북구,17622,17878,6284,27,90949
11305,강북구,11,서울특별시,154101,161486,58739,273,97288
11305534,삼양동,11305,강북구,12860,12994,4593,13,93911
11305535,미아동,11305,강북구,10814,11717,5614,34,94767
11305545,송중동,11305,강북구,13765,14748,5580,26,116732
