name,code,type,parent,male,female,onehouse,convnum,rent
동대문구,11230,gu,동대문구,"174,128","174,775",71395,394,118968
용신동,11230536,dong,동대문구,"15,755","14,776",9148,61,120833
제기동,11230545,dong,동대문구,"12,944","12,351",6522,27,124386
전농1동,11230560,dong,동대문구,"14,841","14,418",6623,30,127935
전농2동,11230570,dong,동대문구,"9,637","10,363",2028,15,133717
답십리1동,11230600,dong,동대문구,"12,721","13,320",4238,32,122658
답십리2동,11230610,dong,동대문구,"14,272","14,825",3963,16,94022
장안1동,11230650,dong,동대문구,"19,396","19,380",6830,54,105897
장안2동,11230660,dong,동대문구,"15,561","15,388",4148,34,95242
청량리동,11230705,dong,동대문구,"11,103","10,990",4789,17,123481
회기동,11230710,dong,동대문구,"4,952","5,391",3680,25,172855
휘경1동,11230720,dong,동대문구,"6,560","6,471",3793,17,128554
휘경2동,11230730,dong,동대문구,"12,143","12,504",4893,16,116193
이문1동,11230740,dong,동대문구,"13,585","13,547",7985,36,124405
이문2동,11230750,dong,동대문구,"10,658","11,051",2755,14,68702
중랑구,11260,gu,중랑구,"201,803","203,748",70619,296,89913
면목2동,11260520,dong,중랑구,"13,211","13,108",5221,21,88047
면목4동,11260540,dong,중랑구,"10,291","10,441",3945,13,74020
면목5동,11260550,dong,중랑구,"5,189","4,939",1896,6,72812
면목본동,11260565,dong,중랑구,"17,938","17,987",7971,29,88627
면목7동,11260570,dong,중랑구,"11,052","11,125",4147,17,87874
면목3.8동,11260575,dong,중랑구,"13,532","13,455",5408,20,87998
상봉1동,11260580,dong,중랑구,"12,560","13,077",2942,15,92636
상봉2동,11260590,dong,중랑구,"9,200","9,432",5361,35,103275
중화1동,11260600,dong,중랑구,"10,318","10,559",2970,18,62236
중화2동,11260610,dong,중랑구,"14,544","13,578",7059,15,89193
묵1동,11260620,dong,중랑구,"17,680","18,449",4468,23,105330
묵2동,11260630,dong,중랑구,"9,997","10,236",3658,13,110387
망우본동,11260655,dong,중랑구,"16,078","15,664",6336,31,87497
망우3동,11260660,dong,중랑구,"9,166","9,051",3544,11,67218
신내1동,11260680,dong,중랑구,"20,161","20,939",3147,20,92915
신내2동,11260690,dong,중랑구,"10,886","11,708",2546,9,121844
성북구,11290,gu,성북구,"214,430","225,842",69919,361,105655
성북동,11290525,dong,성북구,"8,280","9,165",3572,18,139088
삼선동,11290555,dong,성북구,"12,846","13,667",5939,36,110147
동선동,11290575,dong,성북구,"6,791","8,932",5441,41,157886
돈암1동,11290580,dong,성북구,"7,717","8,716",1751,7,129046
돈암2동,11290590,dong,성북구,"12,006","13,094",1502,4, 
안암동,11290600,dong,성북구,"7,756","7,512",5404,49,131905
보문동,11290610,dong,성북구,"8,239","8,719",3647,19,96817
정릉1동,11290620,dong,성북구,"8,808","9,406",1999,11,107330
정릉2동,11290630,dong,성북구,"11,810","12,276",2893,15,115222
정릉3동,11290640,dong,성북구,"7,998","8,021",3663,13,101198
정릉4동,11290650,dong,성북구,"13,187","13,849",3546,15,91713
길음1동,11290660,dong,성북구,"18,051","19,621",2555,6,111214
길음2동,11290685,dong,성북구,"5,751","6,043",1905,7,86189
종암동,11290705,dong,성북구,"20,345","20,662",6038,28,83610
월곡1동,11290715,dong,성북구,"13,549","14,256",3077,16,111180
월곡2동,11290725,dong,성북구,"9,933","10,338",3606,25,101334
장위1동,11290760,dong,성북구,"10,430","10,589",3186,11,59940
장위2동,11290770,dong,성북구,"8,448","8,401",2771,11,75714
장위3동,11290780,dong,성북구,"5,935","5,852",1722,5,93534
석관동,11290810,dong,성북구,"16,550","16,723",5702,24,79588
강북구,11305,gu,강북구,"157,769","164,616",56220,267,91179
