CD,남자 인구수,여자 인구수
11410555,"8,057","8,796"
11410565,"9,098","9,815"
11410585,"8,515","10,541"
11410615,"18,106","19,402"
11410620,"11,508","12,993"
11410640,"7,743","8,163"
11410655,"6,839","7,538"
11410660,"11,089","11,802"
11410685,"13,159","14,023"
11410690,"7,720","8,273"
11410700,"14,445","15,524"
11410710,"8,972","9,618"
11410720,"15,991","16,870"
11650,"204,280","222,957"
11650510,"10,177","10,933"
11650520,"8,906","9,889"
11650530,"15,038","15,892"
11650531,"15,425","16,264"
11650540,"15,234","16,708"
11650550,"5,687","6,324"
11650560,"15,730","16,820"
11650570,"7,723","8,430"
11650580,"10,482","11,703"
11650581,"9,204","10,269"
11650590,"9,836","11,380"
11650600,"8,139","9,259"
11650610,"9,584","10,819"
11650620,"10,502","11,290"
11650621,"10,877","12,897"
11650651,"21,498","23,441"
11650652,"11,337","11,223"
11650660,"8,901","9,416"
11200,"144,701","151,482"
11200520,"8,390","8,822"
11200535,"13,011","14,287"
11200540,"11,335","11,668"
11200550,"6,108","5,790"
11200560,"6,887","7,415"
11200570,"11,399","12,862"
11200580,"7,490","8,349"
11200590,"7,568","8,233"
11200615,"11,239","12,370"
11200620,"7,095","7,743"
11200645,"12,501","14,320"
11200650,"8,344","8,344"
11200660,"6,741","6,960"
11200670,"8,809","8,025"
11200690,"5,701","5,546"
11200720,"5,727","5,123"
11200790,"6,356","5,625"
11290,"212,559","227,836"
11290525,"7,944","9,037"
11290555,"11,367","12,496"
11290575,"6,585","9,039"
11290580,"7,186","8,216"
11290590,"11,773","12,902"
11290600,"7,770","7,586"
11290610,"7,788","8,320"
11290620,"9,114","9,772"
11290630,"11,386","12,094"
11290640,"7,719","7,835"
11290650,"12,481","13,332"
11290660,"17,387","19,146"
11290685,"8,326","8,885"
11290705,"19,688","20,261"
11290715,"13,082","13,967"
11290725,"9,631","10,436"
11290760,"9,911","10,401"
11290770,"6,912","7,079"
11290780,"8,868","8,997"
11290810,"17,641","18,035"
11710,"324,134","347,178"
11710510,"6,999","7,201"
11710520,"12,230","13,491"
11710531,"6,642","6,366"
11710532,"9,262","9,590"
11710540,"10,239","9,787"
11710550,"10,008","9,688"
11710561,"7,835","8,453"
11710562,"12,373","13,842"
11710566,"9,186","9,465"
11710570,"19,606","20,813"
11710580,"11,756","13,298"
11710590,"9,939","10,710"
11710600,"15,721","17,269"
11710610,"14,995","16,671"
11710620,"13,497","13,748"
11710631,"13,585","14,391"
11710632,"16,300","16,896"
11710641,"10,294","10,581"
11710642,"13,746","15,961"
11710646,"14,810","15,840"
11710647,"13,814","14,558"
11710650,"13,637","15,198"
11710670,"17,399","19,023"
11710680,"16,878","18,594"
11710690,"10,562","11,335"
11710710,"8,157","9,059"
11710720,"4,664","5,350"
11470,"224,271","232,709"
11470510,"15,171","16,493"
11470520,"14,935","15,785"
11470530,"10,822","11,754"
11470540,"12,769","13,354"
11470550,"20,986","21,429"
11470560,"10,788","10,251"
11470570,"10,539","10,922"
11470580,"8,462","7,566"
11470590,"9,088","9,422"
11470600,"7,555","7,662"
11470610,"6,590","6,745"
11470611,"10,189","10,566"
11470620,"10,269","10,764"
