CD,남자 인구수,여자 인구수
11680,"259,645","282,853"
11680510,"8,068","9,307"
11680521,"10,751","12,430"
11680531,"10,196","11,607"
11680545,"12,748","14,963"
11680565,"14,047","15,860"
11680580,"7,340","7,405"
11680590,"14,337","15,742"
11680600,"12,656","12,578"
11680610,"19,679","19,151"
11680630,"9,751","10,810"
11680640,"17,430","18,611"
11680650,"17,239","19,403"
11680655,"10,639","11,899"
11680656,"15,941","18,298"
11680660,"3,402","3,649"
11680670,"8,788","9,368"
11680690,"9,031","9,364"
11680700,"21,443","23,516"
11680720,"12,011","12,438"
11680730,"8,062","8,415"
11680740,"8,683","9,334"
11680750,"7,403","8,705"
11740,"209,746","214,489"
11740515,"15,666","16,727"
11740520,"5,496","5,530"
11740530,"10,942","11,392"
11740540,"8,847","9,079"
11740550,"13,859","13,455"
11740560,"3,835","3,400"
11740570,"18,360","18,622"
11740580,"7,095","7,482"
11740590,"9,256","9,638"
11740600,"14,133","14,437"
11740610,"17,713","17,696"
11740620,"13,717","14,065"
11740640,"9,987","10,620"
11740650,"12,307","12,512"
11740660,"11,786","11,973"
11740685,"22,846","23,652"
11740690,130,144
11740700,"13,771","14,065"
11305,"154,101","161,486"
11305534,"12,860","12,994"
11305535,"10,814","11,717"
11305545,"13,765","14,748"
11305555,"14,187","14,348"
11305575,"15,904","17,164"
11305595,"9,683","9,748"
11305603,"8,402","8,859"
11305608,"8,807","9,788"
11305615,"10,787","10,973"
11305625,"10,613","11,388"
11305635,"11,984","11,998"
11305645,"10,417","10,944"
11305660,"15,878","16,817"
11500,"288,905","306,697"
11500510,"20,535","21,371"
11500520,"11,098","12,278"
11500530,"10,805","11,029"
11500535,"15,615","17,121"
11500540,"26,313","27,317"
11500550,"9,469","10,001"
11500560,"10,803","11,698"
11500570,"10,794","11,148"
11500590,"17,438","18,246"
11500591,"12,302","12,548"
11500593,"12,637","13,633"
11500603,"15,783","17,940"
11500604,"7,287","8,034"
11500605,"7,696","8,631"
11500611,"18,331","20,125"
11500615,"21,997","23,789"
11500620,"13,934","13,684"
11500630,"22,318","23,314"
11500640,"11,908","12,124"
11500641,"11,842","12,666"
11620,"251,875","250,214"
11620525,"12,345","12,916"
11620545,"7,984","8,263"
11620565,"15,778","16,713"
11620575,"14,662","15,352"
11620585,"8,516","8,480"
11620595,"14,214","15,348"
11620605,"17,204","17,841"
11620615,"7,406","8,031"
11620625,"13,155","13,739"
11620630,"9,066","9,829"
11620645,"11,913","11,420"
11620655,"9,351","9,401"
11620665,"13,298","10,802"
11620685,"11,614","11,493"
11620695,"10,953","10,815"
11620715,"8,130","8,290"
11620725,"8,843","8,655"
11620735,"14,304","9,470"
11620745,"12,830","12,671"
11620765,"15,827","16,450"
11620775,"14,482","14,235"
11215,"171,800","182,078"
11215710,"10,485","11,423"
11215730,"9,874","10,088"
11215740,"7,920","8,136"
11215750,"10,723","11,536"
11215760,"8,598","8,720"
11215770,"14,983","15,419"
11215780,"5,324","6,219"
11215810,"17,421","18,573"
11215820,"11,205","11,970"
11215830,"13,154","13,639"
11215840,"14,160","15,233"
11215847,"9,516","9,431"
11215850,"10,746","11,708"
11215860,"13,410","14,292"
11215870,"14,281","15,691"
11530,"200,561","204,854"
11530510,"18,139","19,005"
11530520,"10,551","10,858"
11530530,"13,040","12,699"
11530540,"12,483","12,045"
11530550,"10,396","10,828"
11530560,"14,531","15,512"
11530595,"5,182","4,361"
11530720,"12,010","11,939"
11530730,"14,167","14,397"
11530740,"16,625","16,625"
11530750,"16,156","16,881"
11530760,"10,625","11,065"
11530770,"10,772","11,224"
11530780,"23,574","24,917"
11530790,"12,310","12,498"
11545,"118,912","115,167"
11545510,"11,548","9,334"
11545610,"21,218","19,792"
11545620,"10,062","9,686"
11545630,"12,815","12,527"
11545640,"8,185","8,069"
11545670,"17,342","17,317"
11545680,"11,080","11,659"
11545690,"5,760","5,738"
11545700,"10,680","10,822"
11545710,"10,222","10,223"
11350,"260,946","277,404"
11350560,"12,124","11,365"
11350570,"12,666","13,590"
11350580,"15,399","16,595"
11350595,"19,036","19,748"
11350600,"19,924","20,818"
11350611,"14,149","15,068"
11350612,"11,256","12,283"
11350619,"12,928","13,403"
11350621,"13,729","14,368"
11350624,"10,448","11,016"
11350625,"17,293","19,832"
11350630,"19,703","20,705"
11350640,"10,513","10,767"
11350665,"12,997","13,068"
11350670,"12,580","13,199"
11350695,"16,271","18,607"
11350700,"11,653","12,496"
11350710,"10,548","11,485"
11350720,"7,729","8,991"
11320,"164,731","171,967"
11320511,"12,672","13,745"
11320512,"15,096","15,638"
11320513,"7,448","7,439"
11320514,"13,571","14,529"
11320515,"12,503","13,366"
11320521,"11,307","11,088"
11320522,"14,133","14,601"
11320660,"10,774","11,447"
11320670,"9,721","10,369"
11320680,"8,304","8,904"
11320681,"9,491","10,403"
11320690,"14,918","15,158"
11320700,"10,691","10,492"
11320710,"14,102","14,788"
11230,"172,490","174,011"
11230536,"15,711","14,883"
11230545,"12,918","12,301"
11230560,"15,469","15,142"
11230570,"9,497","10,277"
11230600,"14,334","15,125"
11230610,"14,771","15,347"
11230650,"19,328","19,300"
11230660,"15,749","15,768"
11230705,"10,840","10,764"
11230710,"4,915","5,401"
11230720,"6,748","6,762"
11230730,"12,146","12,383"
11230740,"9,887","9,854"
11230750,"10,177","10,704"
11590,"193,449","205,436"
11590510,"16,019","16,247"
11590520,"6,688","6,355"
11590530,"22,491","23,713"
11590540,"13,943","15,082"
11590550,"12,339","13,381"
11590560,"14,643","15,189"
11590605,"16,023","16,830"
11590620,"11,261","12,320"
11590630,"13,562","14,513"
11590640,"12,757","13,488"
11590650,"7,098","7,738"
11590651,"6,284","6,676"
11590660,"18,906","20,831"
11590670,"11,543","12,423"
11590680,"9,892","10,650"
11440,"177,388","197,034"
11440555,"11,729","13,179"
11440565,"18,978","20,970"
11440585,"10,654","11,754"
11440590,"10,424","11,552"
11440600,"5,696","5,938"
11440610,"6,044","6,438"
11440630,"10,336","10,776"
11440655,"12,095","13,261"
11440660,"11,347","13,125"
11440680,"8,803","10,104"
11440690,"10,270","11,482"
11440700,"9,212","10,067"
11440710,"7,513","8,555"
11440720,"9,448","10,531"
11440730,"19,203","22,261"
11440740,"15,636","17,041"
11410,"149,775","161,440"
11410520,"8,854","9,693"
11410555,"8,196","9,019"
11410565,"8,697","9,165"
11410585,"8,494","10,263"
11410615,"18,396","19,559"
11410620,"11,644","13,062"
11410640,"7,966","8,409"
11410655,"6,959","7,603"
11410660,"11,035","11,685"
11410685,"13,526","14,253"
11410690,"8,108","8,657"
11410700,"12,129","12,917"
11410710,"9,295","9,850"
11410720,"16,476","17,305"
11650,"206,478","224,882"
11650510,"10,292","11,013"
11650520,"8,721","9,519"
