이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
중림동,11140680,-26463,20,-12.3333,46,54.333,77.333,49.667,60.333,5.6667,27.3333,-28.667,-26,39,34.6667,-2324.31,6276.593,14,0,0,0,0,-1,0,0,0,0,0
후암동,11170510,-3073,0.333,-12,105.333,79.333,57,170.333,58.333,-1,6.6667,-87.333,-12.667,7.333,55.6667,-1080.45,9674.318,19,2,0,0,0,0,0,0,0,0,5.9
용산2가동,11170520,-3126,56,50,291,435.333,225.333,84,56,25.6667,4.6667,-24.667,28,6,26.6667,-1588.22,10785.95,20,-1,0,0,0,0,0,0,0,1,5.6
남영동,11170530,-1930,17.6667,29.6667,200.3333,100.333,101.667,105.333,48,19,4.6667,-3.667,-12.6667,5.3333,16.3333,-17450.3,-3310.19,33,2,-1,0,0,0,0,-1,0,3,0
청파동,11170555,21509,3.3333,-6.667,347,164.333,14.333,134.667,67.333,17.667,14.3333,-263.333,-11.667,28.667,53.6667,-2267.46,-3004.33,27,2,0,0,0,0,0,0,1,0,7.4
원효로1동,11170560,-3119,67.667,10,125,183.333,154,108,71.667,15.6667,15.6667,-236.667,-26.667,-47,2.3333,-12093.5,9539.022,19,-1,0,0,0,0,0,-2,0,0,4.8
원효로2동,11170570,21328,-14.667,-39.333,-12.667,8.667,-20,16.667,16,2.333,22.3333,-56.333,23.667,-12,33,210.9294,12711.06,15,0,0,0,0,0,0,0,0,0,6.7
효창동,11170580,8426,86,45.3333,164.333,168.667,122.667,137.667,62.6667,25,24.3333,-77,-78.667,-62.3333,-24.6667,-119.659,40899.6,9,0,0,0,0,0,0,0,0,0,0
용문동,11170590,4536,-1.3333,-12.3333,22.333,3,2.333,43.333,24.333,7,5.6667,-64,-2.667,5.667,33,1689.966,5843.952,8,0,0,0,0,0,-1,1,0,1,0
한강로동,11170625,6528,203.6667,128.3333,80.667,426.667,357.333,229.667,138.667,18.667,1.3333,-201,-5.667,6.667,-21.6667,-18110.8,-24298.9,47,4,0,0,0,0,0,0,0,4,2.2
이촌1동,11170630,12909,142,74.333,51.667,132.333,189.667,191.667,100.667,17.667,-4.333,48.667,-44.333,-22.333,-6.667,13344.29,-8329.92,16,0,0,0,0,0,0,0,0,0,0
이촌2동,11170640,-42397,-8.3333,11.6667,2,11.667,8.333,19.333,28,4.3333,5.3333,25.333,-12.333,-17.3333,33.3333,1732.015,26899.19,6,0,0,0,0,0,0,0,0,0,0
이태원1동,11170650,-3574,106,89,731.333,628.333,335.6667,161,46.333,8,16.3333,-5.333,20,-7,12.6667,6927.14,1887.606,26,3,0,0,0,0,-1,0,0,1,4
이태원2동,11170660,-30536,144.3333,70,252,473,251,140.667,87.333,11.3333,11,-17.333,-11.667,0.3333,17,402.1078,7711.653,13,-1,0,0,0,0,0,0,0,0,7.1
한남동,11170685,24971,315.333,268.667,420.333,787.333,630.333,428,176.667,23.333,3,-66.333,-32.333,-50,-53.6667,26497.25,-7967.79,26,0,2,0,0,0,0,0,0,2,0
서빙고동,11170690,12955,53.3333,69.667,99.333,167.333,145.333,117.333,64.333,9.6667,7,32.333,-17.667,-8,30.667,11818.48,-9864.48,9,0,0,0,0,0,0,0,0,1,0
보광동,11170700,-9076,104.3333,-6,293,364,175,155,46.667,0.667,12.3333,-11.333,7.333,33,30.6667,1187.192,16016.89,10,1,0,0,0,0,0,0,0,0,0
왕십리2동,11200520,8646,20.667,-21.333,56.667,53,-0.667,76.333,43.667,-1,8,-29,-52.667,50,42.333,-62.7897,4209.14,10,1,1,0,0,0,0,0,0,1,0
왕십리도선동,11200535,-10037,-28,16,139.667,105.667,55.333,72.667,70.667,19,25,-24.333,-74,20.333,46,-3491.74,13120.01,28,1,-1,0,0,0,-1,1,0,0,9.4
마장동,11200540,10436,-7,26,370,18,54,150.667,56.667,16.333,26.3333,-83,13.667,20.333,65.667,-7267.6,-11739.8,19,0,0,0,0,0,-1,0,0,1,0
사근동,11200550,1621,17.6667,129.3333,1567,170.333,11.333,6.333,18.6667,4.6667,6.6667,5.667,-20,7,30.6667,-4806.56,-8245.96,34,1,0,0,0,0,1,-2,0,2,0
행당1동,11200560,-4517,21,-42.667,233.333,46.667,22,41,47.333,-1,4.6667,29,19.667,26.667,53.333,3371.959,-9624.86,17,0,0,0,0,0,-1,0,0,1,0
행당2동,11200570,36171,-32,-20.333,13.667,-49,-3,49.333,52.667,16,25.3333,-21,-29.667,-5.333,119.667,-626.513,-748.109,8,1,0,0,0,0,0,0,0,1,0
응봉동,11200580,30766,-29.333,-15.333,25.667,-24.667,-6.333,44.333,0.333,18.333,-6.6667,-29,-14,-10.667,36,848.1276,-5677.56,4,-1,0,0,0,0,-1,0,0,1,0
금호1가동,11200590,-37844,-11.667,-32.333,-3,-16.333,7.333,0.333,25.667,20.333,0.3333,-46.667,13.667,-12.667,41,1523.89,1292.381,9,0,0,0,0,0,0,0,0,1,25
금호2.3가동,11200615,26342,-5.667,-47.333,53.667,-31.333,34.333,70.333,64.667,8.667,16,-84.667,19.333,-9.333,67,-153.417,5946.414,15,2,-2,0,0,0,-1,0,0,0,0
금호4가동,11200620,-1996,-11.667,14,12.667,-40,33.333,17,27,8,8.6667,-3,7.333,33.333,18,138.314,8486.297,7,0,0,0,0,-1,0,-1,0,1,0
옥수동,11200645,22377,12.667,-8.333,-21.667,101.333,46.333,30,72.667,51,6.6667,-63.333,-27.667,-30.333,66,4991.639,-2600.45,13,0,0,0,0,0,0,0,0,1,36.4
성수1가1동,11200650,7589,18.333,-39.667,33.333,37.333,30,59,53,23,6.6667,-15.333,-21.333,31.333,49.333,-3351.57,2971.399,23,2,0,0,0,0,1,0,0,0,0
성수1가2동,11200660,-10362,2.6667,-10.667,85.333,69.333,-19.333,17,25,-17.6667,16.3333,130,53.667,39.333,95.6667,-10024.4,4848.696,30,3,0,0,0,0,0,-1,0,2,6.9
