이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
송중동,11305545,-247,-35.667,-29,142.333,22.667,6,79.333,36.333,31.667,11,-242.333,-335.667,-240,-123.333,-1162.59,-8846.71,28,0,-1,0,0,0,-2,0,0,1,3.8
송천동,11305555,-3523,-43,-32,61.333,24,-16.667,61,0.667,28.333,25,-101.333,-62,97.333,51.333,-1375.74,-11588.9,23,0,0,0,0,0,0,0,0,0,3.8
삼각산동,11305575,12103,-61.333,-39.667,6.667,-103.333,8.333,64.667,29.333,23.667,6.3333,-35,-26,-19,116,-129.497,3647.603,9,0,0,0,0,0,0,0,0,0,0
번1동,11305590,-6858,-4.6667,-0.667,171.333,52.667,24,23.333,69,2.333,24.3333,-32.667,-38,-10,78.3333,-1627.19,2089.272,30,-1,1,0,0,0,0,0,0,0,6.1
번2동,11305600,-12409,5.3333,-54,-2.667,-20.333,-3.333,-0.333,31.667,26.667,28.6667,-172.667,3.333,23,80.6667,-862.019,7491.322,7,-1,0,0,0,0,0,0,0,0,0
번3동,11305606,-2486,-32.333,-35.667,-18.333,-40.667,-46.333,-3.667,-2.667,48.667,18.6667,-115.667,-7.333,57,56,-272.092,9160.298,11,0,0,0,0,0,0,0,0,0,0
수유1동,11305610,2256,-7.333,-29.667,35.333,20.667,-55.667,59.333,45.333,9.333,28.6667,-110.333,-49.333,42.667,44,-766.969,-7713.74,23,-1,0,0,0,1,0,0,0,1,0
수유2동,11305620,846,-26.333,-32.667,16,-9.667,-45.667,26.667,73.333,14.333,21,-121.667,-77.667,14.333,96,-18.242,-7838.42,17,-1,0,0,0,-1,1,1,0,1,5.3
수유3동,11305630,3682,-42.667,-20.667,149.333,20,-58.667,95,30.667,28.667,16.6667,-170.667,-9.667,42,53.333,-1602.68,-8469.11,35,2,1,0,0,-1,0,1,0,1,2.9
우이동,11305645,6318,-55,-43.667,0.667,-45.667,-44.667,12.333,24.667,-20,48.3333,-58,-56,22.333,51.333,608.3217,-4980.14,17,-1,1,0,0,0,0,0,0,3,10.5
인수동,11305660,645,-4.333,-18.667,38.667,17,4.333,-4,53.667,37,37,-92,-65.333,45.333,119.333,395.4706,-1878.45,27,0,1,0,0,0,0,-1,0,0,14.8
창1동,11320511,-19418,-31.333,-44.667,18.333,-13.667,1.333,-6,99,10.667,42,-56.667,-79,12.667,106,212.6497,20420.61,15,-1,0,0,0,0,0,0,1,1,0
창2동,11320512,2167,-67.333,-56.333,2,25,-24.333,69.333,52,8.333,24.6667,-60.333,-112,50.667,114,130.7639,2945.656,22,1,0,0,0,-1,0,0,0,0,0
창3동,11320513,11412,6,-36,7.667,-6,-30.333,7.333,14,3,25.6667,-57.333,27.333,2.667,50.6667,-131.873,-204.29,14,0,0,0,0,0,0,-2,0,0,0
창4동,11320514,-3666,-33,-72,8.667,-20.667,-70,-10.667,81,-3.333,22.6667,-89.667,-81,31.333,114,-603.863,-14164.8,18,0,0,0,0,1,1,-2,1,0,0
창5동,11320515,4112,-3.333,-67,92.667,93,-37,6,29.333,19.667,3,-185.333,-71.333,70,48.333,944.2688,-5993.95,19,3,0,0,0,0,-1,0,0,1,0
도봉1동,11320521,16303,-42.333,-36.333,-2.667,-9.667,-20.667,-37.667,55.667,21.667,27,-184,4,13.667,37.333,-357.076,2637.25,22,2,0,0,0,-1,0,1,0,0,10
도봉2동,11320522,-3654,-49.333,-16.333,28,-22,11.667,-17.667,54,38,28.333,-71.667,-26.333,19.667,78,-2137.83,3041.452,14,0,0,0,0,-2,0,0,0,2,7.1
쌍문1동,11320660,-8367,-2.667,-39.667,161,52.333,12,21,71.333,9.333,33.3333,-75.667,-78.667,3.333,61,-398.229,24567.07,18,1,0,0,-1,0,0,-1,0,0,5.9
쌍문2동,11320670,-6774,-24,-59,69.667,-24,-36.333,-2.333,54.667,8.333,18,-102,-28.333,23.333,80.667,-1360.55,3186.346,13,1,-1,0,0,0,0,-1,0,0,16.7
쌍문3동,11320680,-6266,-27.6667,0,41.667,17,9.667,13.333,32,8.667,19.6667,-79.333,-50.333,25,28.333,-300.079,28758.9,14,2,0,0,0,-2,1,1,0,0,0
쌍문4동,11320681,15236,-19,-16.667,-79,1,-36,-31.667,67,3,14,-48,2.333,-46,45.333,145.3518,3538.15,11,0,0,0,0,1,0,0,-2,0,0
방학1동,11320690,14039,-34,-56.667,94.667,40.667,-49.667,42.667,83.667,42.667,13.6667,-49,-32,58.333,84,685.5061,9939.794,25,0,0,0,0,0,1,-1,0,1,0
방학2동,11320700,-16595,1.667,-59,31.667,-22.333,2.333,25.333,61.333,11,30.6667,-113,-69.667,53.333,98,-223.608,14051.78,16,2,0,0,0,0,0,-1,0,0,0
방학3동,11320710,1486,-5,-83,-29.667,-29.667,-57,-19.333,51,19.333,15.3333,-11,-112.667,33.333,97.333,1765.899,-290.278,11,-1,0,0,0,0,0,-1,0,0,0
월계1동,11350560,15893,-29.333,25.667,347.667,-21,28.667,32.667,4.333,58,16.3333,-106.667,-1.667,8.667,45.333,357.8209,-16732.2,33,-2,0,0,0,-2,0,0,0,2,2.7
월계2동,11350570,-565,-43,-36.667,33.667,-88.667,-3.667,26.667,64.667,36.333,9.3333,-217,-206.333,-162.333,-54,-670.345,21302.46,18,1,0,0,0,0,0,-1,0,0,0
월계3동,11350580,-116559,-28,-35.333,-38.667,-58.667,-13,12.333,75.667,36.333,21.6667,-189.667,0.333,53.333,139,-395.2,-3412.93,10,1,0,0,0,0,0,0,0,1,0
공릉1동,11350595,-639,-18.333,-2,402,-18,14,-3.333,105,39,43.3333,-117,-13.333,51,74.667,-3449.72,-22827.7,45,4,0,0,0,0,0,-2,0,2,4.4
공릉2동,11350600,24004,-49.667,-17,386.333,4.667,-34,9,41,59.333,22.6667,-75.667,-26.333,-19,125.667,822.2979,-28168.8,38,2,0,0,0,0,0,-1,0,1,2.7
하계1동,11350611,8156,3.667,27,509.333,12,-101.667,6.333,94.667,22.667,18,292,-37,9.667,118.667,-3107.26,14117.87,20,1,0,0,0,0,0,1,0,0,0
하계2동,11350612,293,-40.333,-84.333,-4,-19.333,-46.667,-12.333,47.333,7.333,10.6667,-88.333,-7.667,23,92,1245.58,-2205.36,5,0,0,0,0,0,0,0,0,1,0
중계본동,11350619,-54183,-22.333,-116.667,-23,10,-153,29.333,40.667,6.667,20,107,19.667,34.333,66.333,-494.742,7359.279,15,-1,0,0,0,0,0,0,0,0,8.3
중계1동,11350621,56978,-61,-78.667,53,-9.333,-105.667,48.667,66.333,4.333,0.3333,-14,-24,-45.667,25,1207.527,-15011.7,13,3,0,0,0,0,0,0,0,0,0
중계4동,11350624,-32112,-27.333,-56,-9,-46.333,-39.667,1,0,14.667,29,-85.667,2,31.667,86.333,-347.608,-7278.8,12,-2,0,0,0,0,1,0,0,0,0
중계2.3동,11350625,13293,-68.333,-152.667,1.667,-55,-70,23,72,11.333,41.333,-75.333,-91.667,107.667,108,-667.933,600.5464,10,-1,0,0,0,0,0,0,0,1,0
상계1동,11350630,4971,-33.667,-77.667,-16.333,-40.333,-85,14.333,124.667,20.667,22.333,-53.333,-83.333,28,106.667,486.9505,-25948.3,25,1,0,0,0,0,0,-3,0,1,0
상계2동,11350640,14578,-25,-49.667,11,-8,-7,81.667,30.667,11,16.6667,-107,-5.667,40.667,86.667,-2242.44,-22953,31,-1,-1,0,0,2,-1,-2,1,1,15.6
상계3.4동,11350665,927,-51,-75.667,25,-34,-52.333,-9.667,57,14,26.3333,-77.333,-96,-111.667,-43.333,-285.313,9531.256,17,0,0,0,0,0,0,0,0,1,6.3
상계5동,11350670,5606,-28.667,-74.667,-13.333,-55.333,-36,29,45,-0.333,31.6667,-21,5.667,49,78,-530.485,-9704.25,17,2,0,0,0,0,0,-1,0,1,7.7
상계6.7동,11350695,11163,-69,-77.667,12,-34.333,-66.667,-13,56.667,39.333,13.3333,-64.667,-55.667,37,122.333,-2262.51,-22049.1,28,1,0,0,0,0,0,0,-1,0,0
상계8동,11350700,8127,-63.667,-74,33.667,-92.667,-4.667,44,43.667,9.667,2,-62.667,-39,16.667,115,-272.432,2171.65,5,1,0,0,0,0,0,0,1,1,0
상계9동,11350710,7913,-8.333,-57,-2,-10.333,-80.667,39,11.667,29,18,-36.333,-36.667,-5,114.667,1116.674,404.4982,9,-1,0,0,0,0,0,0,-1,0,11.1
상계10동,11350720,293,-36,-54.333,14,-23,-32,18.667,15,5.6667,9.6667,-62.667,16,5,47.333,116.6149,30457.14,5,0,0,0,0,-1,0,0,0,0,0
녹번동,11380510,3576,139.333,18.333,242,346.667,166.667,283.333,240.333,74.333,60,-146.333,-161.667,-88,85.333,-2056.52,-25068.9,31,1,0,0,0,0,2,-1,0,2,0
불광1동,11380520,-3314,-35,-55.667,43.667,4,27.667,37.667,105,20.333,24,-203.333,-104,62,138.667,480.8725,-30837.4,14,0,0,0,0,0,0,0,0,1,0
불광2동,11380530,9529,-13.333,-70.333,43.667,41.667,-31,118.667,50.333,58,25.6667,-205.333,-9.333,28.333,81.667,36.13808,835.1923,29,1,0,0,0,-1,1,0,0,1,0
갈현1동,11380551,5885,-43.667,-82.333,77.667,-6.667,-18.667,14.333,40.333,21,4,-168.333,-6.667,9,95.333,8.5287,21878.56,20,-1,0,0,0,0,-1,-1,0,0,0
갈현2동,11380552,-4939,-28.333,10.667,70.333,-54.333,-60.333,45.667,83.333,17.667,28.6667,-145,-54.667,31.667,77.333,40.52971,178.06,33,0,0,0,0,0,0,-1,-1,0,0
구산동,11380560,-8416,-37.333,0.667,62.333,-29.667,-23.333,94.333,68.667,31.667,25.6667,-249,-65.333,19.667,66,727.539,-8855.41,23,-1,0,0,0,0,1,-1,0,1,4.5
대조동,11380570,8213,-35.667,-66.333,74.667,-109.333,-2,19.667,36,13,28.3333,458.333,403.333,352.667,335.333,-580.989,9968.22,36,0,1,0,0,0,-1,-1,-1,1,2.9
응암1동,11380580,9119,-39,-77,125.667,-6.667,-14.333,56,43.333,1,15,-190.667,-62.333,34.667,46.333,-1189.97,1411.918,25,1,-1,0,0,0,0,1,0,0,4
응암2동,11380590,5550,184,56.333,178.667,348.667,251.333,166.333,121.667,45.333,32.6667,-299.333,-386.333,-340.667,-214,185.8219,11024.01,6,1,0,0,0,0,0,0,0,0,0
응암3동,11380600,2107,-40.667,-30.333,116,21.333,-8.333,83.333,64,38.333,20.667,-139.667,-48.667,47.333,52.667,-372.693,18654.28,34,0,-1,0,0,-1,0,-3,0,0,0
역촌동,11380625,-11,-94.667,-92,123.333,-78.667,-30.667,61.667,124,82,17,-173,-61,79.333,162.667,338.1791,2971.034,42,1,0,0,0,-1,0,-2,1,0,0
신사1동,11380631,2459,-18.667,-37.333,47.667,22.333,-50.333,48,65.667,32,22.6667,-129,-58.667,54.667,80,445.757,-12853.7,19,0,0,0,1,-1,0,-1,1,1,5
신사2동,11380632,-3003,-17,-42.667,43.667,30,23.333,-53.667,60,9.667,23,-72.667,-44.333,41.667,81.667,408.3086,1885.046,10,1,0,0,0,0,0,0,0,1,8.3
증산동,11380640,2830,-30,-1.667,51.333,45.333,-10.667,39.667,37,19.667,17.6667,-15.667,-60,42.667,45,834.8126,26793.41,12,-1,0,0,0,0,0,0,0,1,13.3
수색동,11380650,3389,-36.3333,-108.333,-166.333,-161.667,-212.667,-249.333,-178.333,-139.667,-31.6667,28.333,44.3333,31,38.6667,676.1584,18551.97,1,0,0,0,1,0,0,0,0,1,0
진관동,11380690,-10623,-83,71.333,322,238.667,45.67,164,187.333,57,47.333,-646.667,-83,23,25.333,-2039.88,-21029.9,39,4,0,0,0,0,0,0,0,1,2.9
천연동,11410520,3055,-20.667,-9,93.667,-1.667,-27.333,80.667,36.333,-17.333,31.3333,12.667,-60.667,26,62.333,198.1184,-864.944,14,1,0,0,0,0,0,0,0,0,0
북아현동,11410555,-15959,19.333,13.667,81.333,62.333,71.333,64.333,42.667,5,7.3333,30,-8.333,-20.333,38.333,364.7669,-2646.94,8,0,0,0,0,0,0,0,0,0,0
충현동,11410565,-2398,11.3333,5.667,166.333,125,3,41,42,-8.667,23.6667,-92,-50.333,29.667,20,-11262.5,-22494.9,32,-2,0,0,0,1,0,0,0,2,0
신촌동,11410585,-33930,-1,311.667,4439.333,571,92,85.667,37,23.667,14.3333,-228.667,7.667,25.3333,26,-16465.5,-56133.5,85,4,0,0,0,-1,-1,0,0,2,6
연희동,11410615,-2436,82.333,196.667,1403.667,508.667,341.667,293.667,327.667,76.333,69.333,-289,-84,59.333,30.667,5957.545,-13387.4,41,2,0,0,0,0,0,0,0,0,5.1
홍제1동,11410620,-16968,106.333,20,184.333,262.667,124.333,245,148.333,28.667,44,-89.333,-4.333,5,3,232.4649,4905.782,18,-1,0,0,0,0,0,1,0,0,0
홍제3동,11410640,-9696,31,-44.667,78.333,23.333,-5.333,27.667,36.333,-7,42,-22,-4.667,-28.333,68,-177.058,-5248.94,13,-1,0,0,0,0,-1,0,-1,1,0
홍제2동,11410655,56184,-42.3333,-17,42,-28.333,-36.667,-0.333,59.333,5.333,24.6667,-2.667,-6,34,10.333,-433.159,19517.24,6,2,0,0,0,0,0,-1,0,1,0
홍은1동,11410660,-5863,-26,-105.333,-12.667,-69,-162,-123,-39.333,-61.667,-8.6667,-50.667,-99.667,17.667,-24.333,724.2414,-4.18848,12,-1,0,0,0,0,0,-1,0,0,0
홍은2동,11410685,-23570,-32,49,312.667,52.667,-46.333,30.333,96,-5,50.3333,-92.667,-59,23.667,57.333,1551.725,-150.672,23,1,0,0,-1,-1,0,0,-1,0,0
남가좌1동,11410690,24074,-27.667,68.667,90.333,31.333,95,27,16.333,28.6667,11.6667,28,38.333,-10.333,21,2569.121,-2175.5,9,1,0,0,0,0,0,0,0,1,0
남가좌2동,11410700,-3393,44.667,90.667,512,94.667,70,94.333,44.667,23.667,8,-200.333,-252.667,-255.333,-190.333,2346.806,23510.44,23,1,0,0,0,-1,0,-2,0,0,0
북가좌1동,11410710,17712,-22,34,13,-0.333,34.667,39.667,40,14.333,24,-29.667,-43.667,38.333,30,1345.797,17606.37,11,1,0,0,0,0,0,0,0,0,0
북가좌2동,11410720,61,-33.667,-50.667,70.667,36.333,-34,53,99,68,24.667,-119.333,-36.333,53,112.667,182.2227,-13649.3,31,1,0,0,0,0,-1,0,0,0,3.2
아현동,11440555,-11519,59,-20.667,102.667,175,63,39.667,48.333,11,10.3333,-55.333,5.333,-13,23.333,-806.574,-12761.6,25,-4,0,0,0,0,0,0,0,1,4.3
공덕동,11440565,-1016,24.667,-43.667,258,178,18.667,213.333,81.333,8.333,58.667,-306.333,-3,46.333,83.667,-2133.99,-17787.4,28,-1,-1,0,0,-1,0,0,0,1,0
도화동,11440585,16500,-27.333,-21.333,57.667,-8.333,8,58.667,72,-10,26,25,-3.333,13.333,7,-2805.21,-16129,24,0,0,0,0,0,0,1,0,0,0
용강동,11440590,12584,7,0.333,63.333,147,77.333,96,65.333,-3.667,16,-37,-7.333,-11,40.667,-1684.82,6943.209,28,-2,0,0,0,0,-1,-1,0,1,0
대흥동,11440600,10118,21.6667,81.3333,1341.333,208.667,50.667,91,57.333,2,4.3333,-126.333,-37,-94.3333,-58.6667,-2603.68,-2491.68,40,-1,1,0,0,0,0,0,0,3,2.5
염리동,11440610,3374,33.3333,37.667,616.333,177.667,61,76.333,34.667,5.3333,10.3333,12,-10.333,19,12,11101.27,20769.32,9,-2,-1,0,0,0,0,0,-1,1,10
신수동,11440630,-2778,-34.667,-5.333,302.333,-22.333,-5.667,28.333,64,-14.333,1.6667,-313,-254.333,-267,-136.667,696.9816,-6144.03,17,0,0,0,0,0,0,0,0,0,0
서강동,11440655,379,80.667,107.333,696,172,125.667,72.333,113.333,11.667,28,-33.333,43,-13.333,58.667,-1868.3,-2060.69,34,-1,1,0,0,0,1,0,0,2,0
서교동,11440660,3301,-5.667,95.667,1082,299.333,47.333,65,39.333,5,14.6667,-194,64.667,32.667,42,-21545.3,-67360.3,125,5,0,0,0,-1,3,0,0,2,4
합정동,11440680,15339,-22.667,0.333,133.333,37.667,51,34.333,16.667,6.667,-0.3333,-115.333,-9,13.333,54.3333,-5044.03,11411.38,29,-3,1,0,0,0,0,0,0,1,10.7
망원1동,11440690,-6413,-30,-49.667,149.333,161.333,-23,94.333,30,10,8.3333,-22.667,-39.333,41,49.333,391.4017,17321.86,26,3,0,0,0,1,1,0,1,0,0
망원2동,11440700,-1206,-25.333,-24.667,12.333,-30.333,28.667,30.333,16.333,21,24.3333,-194,-116.333,56,45,-180.578,-905.52,18,2,0,0,0,0,0,0,0,0,0
연남동,11440710,4295,20.3333,12,373.333,172,100.667,81,119.333,25,15.3333,-119,45.333,13.333,58.3333,-1923.03,16487.75,25,2,2,0,0,0,0,-1,0,0,3.8
성산1동,11440720,155,-11,0,151.667,11,56.667,98.333,27.333,18.333,11,-162.667,3,6.667,52.333,1213.397,5753.22,28,0,1,0,0,1,0,-1,0,0,3.6
성산2동,11440730,-22595,-58.333,-42.333,147,26.667,-60.667,53.333,40.333,35.333,40.6667,-356.667,-79.333,40.333,112,-6890.22,-382.68,36,3,0,0,0,0,0,0,0,2,3.1
상암동,11440740,-7552,-55,33.667,152.333,-32,58.333,112.667,56,13.667,13.6667,-61.333,-89.333,53.667,80,-20030.7,-19689.3,51,-2,0,0,0,0,0,0,1,1,1.9
목1동,11470510,-4666,-49.333,-85.333,3.333,18,-80.667,45.667,52.333,40,-3.3333,8.333,-67.333,-116.333,84,8920.941,-20803.8,35,-1,-1,0,0,2,0,0,0,2,0
목2동,11470520,7845,-10,-101.333,95,-4,1,55.333,73.667,16,16,-278.667,-59,16.667,102.333,2906.99,-1509.25,27,-2,0,0,0,0,0,0,-2,1,7.1
목3동,11470530,-8892,10,-32.333,-3,6.333,16.333,29.667,72.667,7.667,4.6667,-132.667,-69.333,26.333,55.667,-60.6482,-2073.27,17,-7,0,0,0,-1,-2,-2,1,1,0
목4동,11470540,-6910,-40,-113.333,52.333,0,-62,107.333,51.333,39.667,4,-101.667,5,-3,76,1252.054,972.0918,19,1,1,0,0,0,1,-1,0,0,5
목5동,11470550,-16615,-95.333,-119.333,-8.667,-61.333,-94.333,18.667,63.667,32.667,-4,-0.333,-45.333,-52,41.667,23326.84,-18469.2,19,-1,0,0,0,0,0,0,1,0,15.8
신월1동,11470560,8800,-24,-40.667,33.667,-4.333,32.333,27.333,131,4.667,25,-69.667,-51.667,50.667,58,-155.779,-8424.47,14,0,0,0,0,-1,1,0,0,0,0
신월2동,11470570,8871,-21,-22.667,-20.333,-27.667,28.333,12,16.333,42.667,11.3333,5,-1,34.333,89.333,710.1654,20353.49,9,-1,0,0,0,0,0,0,0,0,11.1
신월3동,11470580,-4435,-6.333,-40,12.667,17,-0.667,45.667,64.333,13.333,14.6667,13.333,38.333,35.667,29.3333,-972.555,19571.01,12,2,0,0,0,0,0,0,0,0,0
신월4동,11470590,-30029,-22,-33,2,-55,13.667,10,34.667,26.333,15.3333,-58,-59.667,32,17.667,-318.487,15926.84,16,0,0,0,-1,0,0,1,0,0,0
신월5동,11470600,2363,-50.333,-2.667,8,-9.333,11,40,57.333,8.3333,8.6667,-27.667,-34.667,6,54.333,-1083.72,29966.47,19,-2,-1,0,0,0,-1,0,1,0,0
신월6동,11470610,-4454,-14.3333,-10.6667,11.3333,-29,-0.333,-2.667,16.6667,0.6667,4.6667,16,-21.6667,16,14,-126.651,3039.582,10,0,0,0,0,-1,0,0,0,0,0
신월7동,11470611,6893,-37.667,-86,8,-66,-44.667,44.667,50,24.667,11,-133.333,-42.667,26.667,103,59.33243,-3783.11,16,-2,0,0,0,0,-1,0,0,1,7.7
신정1동,11470620,-7589,-16.333,-54.333,15.667,-19.667,-4.667,65,26,19.333,15.6667,-22.333,-19.333,-32.333,6.333,10007.75,3229.85,10,-1,0,0,0,0,0,1,-1,0,0
신정2동,11470630,10421,7,-103.333,7.333,10,-84,55,45.333,-8,15.3333,-41.667,-3.333,-25,-10.333,5115.235,872.1641,13,1,0,0,0,0,0,-1,0,0,0
신정3동,11470640,-6362,-68.667,-137.667,202.667,104.333,-34,198,177,78,38.333,-146.333,-102,65.667,119,1708.436,112.1886,19,2,0,0,0,0,0,0,0,1,0
신정4동,11470650,-4974,10.333,-48,122.667,68.333,111.667,195,113.333,35.667,14.3333,-163.667,-77.333,116.667,62.333,-918.361,72008.1,42,-1,0,0,0,-1,0,-3,-1,1,9.3
신정6동,11470670,-9354,-37.333,-59.333,-23.333,-18.667,-97,56.333,13,24,4.3333,17.333,-57.333,26.333,0.667,14490.48,-13473.1,12,1,0,0,0,0,0,0,0,0,0
신정7동,11470680,12876,81.667,-18.333,72.333,115.333,117.333,129.333,111.667,28.667,24.6667,-84,-26,-13.333,46.333,4782.416,-16839,9,0,0,0,0,0,-1,0,0,0,9.1
염창동,11500510,-14841,84.333,48.667,207.667,286,136,143,145.667,44.333,26.6667,-483.333,-226,-55,108.333,1016.668,-18939.8,30,1,-2,0,0,0,0,-1,-2,1,3.7
등촌1동,11500520,-1083,-19,-46.333,22.333,174,-24,3.667,54,-2.333,14,-234,-139.667,20,71,-18945.5,576.6164,36,1,0,0,0,1,0,0,1,1,2.9
등촌2동,11500530,-156,-15,-41.333,43.667,-19.667,-19,4.667,34.667,28.667,6,-170,-40.667,27.333,55.333,2494.237,-2486.95,9,-2,0,0,0,0,-1,0,0,0,0
등촌3동,11500535,10968,-2.333,-114.333,-68,29,-47.667,-18.333,127.333,36.333,22.333,-177.333,21.667,10.333,123,-3149.76,-17612.9,27,2,0,0,0,-1,0,0,0,0,10.7
화곡1동,11500540,40,20.333,0.333,277.333,204.67,210.333,226,198,43.667,57.6667,-525.67,-89.333,41.667,146,267.1626,-25659.7,59,-2,0,0,0,0,-2,1,-1,1,3.4
화곡2동,11500550,-270,-25,-11,17.333,-25.333,9.333,74.667,53.333,43,15,-51,-32,43.333,69,-173.135,15449.77,12,0,0,0,0,0,0,0,0,0,9.1
화곡3동,11500560,11133,-19,-43.333,34.333,-37.333,-18,18.333,73.667,39,14,-98.667,-37,40,-1,3562.906,76603.29,15,-3,0,0,0,0,0,-1,0,0,0
화곡4동,11500570,-2507,-23.667,-24.667,7.333,-24.333,-9.667,40,63,31.333,16.6667,-48.667,-52,43,41,759.9888,-2755.82,17,1,0,0,0,0,-1,0,0,0,5.9
화곡본동,11500590,6217,-45.667,-47.333,169.667,30.333,5,36.667,66.667,27.333,17.3333,-238,-110.667,111,59,772.6627,-21893.7,28,-4,-3,0,-1,-1,1,0,0,0,0
화곡6동,11500591,4558,-29,-3.333,118,24.667,48,52,76.667,20,7.3333,-446.333,-73.333,-3,58.333,2915.223,-5972,31,0,0,0,-1,0,0,0,0,0,3.1
화곡8동,11500593,-23871,-10,-1,94.667,21.667,80.667,163,47.333,48.333,21,-165.333,-68.667,66,82.333,826.0109,-15807.7,15,1,0,0,0,0,-1,0,0,1,0
가양1동,11500603,-2009,-18.333,-34.333,292.333,152,76.667,13.333,165.667,23,12.6667,-440.33,-56,-47,100.667,-20660.5,-20158.1,86,4,0,0,0,-1,-2,1,0,2,9.8
가양2동,11500604,28625,2,-38,-91.333,-4.667,-28,-89.667,63,15.333,19.6667,-72.667,27.333,35.333,44,827.5812,27677.92,6,-1,0,0,0,0,0,0,0,1,0
가양3동,11500605,3485,4,-22.3333,-29.667,41.333,21.667,-22.667,58,26.333,19.6667,-128,17,53.667,52,-2783.56,4674.255,7,0,0,0,0,0,0,0,0,0,0
발산1동,11500611,2917,-90.667,-31.667,35.667,-60.333,-28.667,40.667,87.667,18.333,28,-154.667,-95.667,12.333,76,-4555.68,-15455,43,0,0,0,-1,0,0,1,0,0,2.9
우장산동,11500615,-11094,-65,-15,29,-112.333,15.667,23.667,48.667,38,18.6667,150.667,44,68.667,178.333,2165.778,-20677.8,24,1,0,0,0,-1,0,-2,0,1,3.7
공항동,11500620,-3330,-2.333,-13.667,17,25.333,230.333,331,140,19.333,10,-64.333,-23.667,62.667,39.667,-10805.1,-20488.3,47,0,0,0,0,0,-1,2,0,4,8.9
방화1동,11500630,598,-78.667,-17.333,8.333,3.667,46,2,105.333,18.667,12.3333,-94,-103.333,55,92,-261.434,-305.927,34,2,0,0,0,-3,0,0,0,2,6.3
방화2동,11500640,-1451,-10.667,-33.333,18.333,42,44,8.333,85.333,22.333,32.6667,-126,30.333,48,27,-438.923,7261.047,27,-2,-1,0,0,-1,-1,-2,0,2,3.7
방화3동,11500641,16107,-23.333,-14.333,-8,-66,-9.333,15.667,76.667,35.667,11.6667,-169.333,-13.667,60,57.333,2207.81,5746.466,19,1,0,0,1,0,0,0,0,1,0
신도림동,11530510,15539,-59.667,35,49,-5,90.667,51.667,41.333,23,18,-16,-48,72,64,4368.962,-8236.03,35,1,0,0,0,0,-1,-1,0,2,3.2
구로1동,11530520,22333,4.667,-18.333,70.667,95.667,83,84.667,80,17,14,-423.333,-48.667,7,57.667,2910.098,21285.51,13,0,0,0,0,0,0,0,0,0,0
구로2동,11530530,-1922,618,166.333,859.333,1855,1994.667,3485.333,897,46.333,54.3333,-2.667,-58.667,36.333,115,-12006.3,-13131.3,28,-5,1,0,0,-1,1,0,0,1,0
구로3동,11530540,14340,118.667,27.667,103.667,354,317.667,560,204,45,24,14.333,-51,19.333,51,-25069.6,-20582.7,68,-1,1,0,0,0,-2,1,1,2,2.8
구로4동,11530550,442,323.667,110.667,263,862.667,1043.333,2036.333,574.667,50.333,24.6667,-134,12.333,75.667,60.667,-247.856,9671.905,20,0,0,0,0,0,0,2,0,0,0
구로5동,11530560,8935,198.667,36.333,353.667,675,729.333,1197.667,407.333,42.333,33.6667,-202,-55.667,34.333,70,-3585.43,6465.331,31,3,0,0,0,0,0,-1,0,1,0
가리봉동,11530595,9952,244.6667,81,342.333,969.667,1331,2586,626,30.3333,22.3333,-89.667,47,13.3333,30,-595.549,6113.939,14,0,1,0,0,-2,0,-1,0,0,14.3
고척1동,11530720,-8746,-27.667,-36,161,39.667,-8.667,94.333,45.667,36.667,10,-88,-73.667,81.333,38,1175.677,-5945.26,14,-1,0,0,0,-1,0,1,0,0,6.7
고척2동,11530730,759,-34.333,-19.333,21,38.667,80,180.667,135.667,33,32.6667,-72.667,-23.667,8,92.667,1136.779,59111.2,23,-2,0,0,1,0,0,-2,1,0,0
개봉1동,11530740,-7159,29.667,-50,149.333,156.333,148.667,316.667,175.667,57.667,29.3333,-101,-19,74.667,116,2016.325,5476.289,22,-2,0,0,-1,0,-1,-1,0,1,4.8
개봉2동,11530750,12596,-28,-12,63.333,-43.333,91.667,156.667,112,46.333,32.3333,-40.667,-12.333,-2,101.667,6197.478,-10682.2,12,1,-1,0,0,1,0,1,0,0,0
개봉3동,11530760,7629,9.667,-29.667,37.333,62.667,48.333,175,165,40,27.6667,-31,-82.333,20.667,67,-2801.16,-6405.99,9,1,0,0,0,0,0,-2,0,0,0
오류1동,11530770,37745,20.667,-1.667,127.667,155,126,174,90,33,2,-611.333,-105,26,16.667,664.9838,20250.39,24,-1,0,0,0,0,-2,-2,0,0,4.3
오류2동,11530780,-3321,471.333,190.333,551,1105.667,488.333,480,350.667,163,69.333,1033.667,642,739.667,719,85.28998,-19112.7,34,1,0,0,0,1,0,0,0,2,13.3
수궁동,11530790,-1184,-55.333,-16,69,-25.333,24.667,59,43.333,42.333,5.6667,-92.333,-84.333,18,100.667,209.888,-1062.04,22,-1,0,0,-1,1,1,0,0,1,0
