NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
용산2가동,11170520,dong,용산구,용산2가동,5110,5461,2784,1229,771,523,137,538,741,1926,2300,1762,1704,1495,930,408,73,9961.086226,1817.024667,18,5.6,1,89716
남영동,11170530,dong,용산구,남영동,4792,3036,4185,587,314,258,66,276,322,1176,1161,1311,1810,1357,697,267,64,12654.36234,35324.20133,31,0,3,106393
청파동,11170555,dong,용산구,청파동,9517,10488,6132,1974,1220,986,266,805,1402,4346,3273,3073,3299,2323,1565,624,92,21274.47342,6327.281151,27,7.4,0,125233
원효로1동,11170560,dong,용산구,원효로1동,7591,8097,3520,1641,1201,943,220,1439,916,2487,3751,2679,2203,1569,834,345,72,14152.93555,5058.052517,21,4.8,0,103644
원효로2동,11170570,dong,용산구,원효로2동,6909,7790,2047,1316,1174,1088,286,1062,1422,1933,2218,2504,2363,1705,1047,509,71,11580.95475,4320.950842,15,6.7,0,103263
효창동,11170580,dong,용산구,효창동,4622,5088,1402,928,759,689,189,773,812,1498,1767,1540,1491,947,622,319,48,8537.871544,1635.965751,10,0,0,112788
용문동,11170590,dong,용산구,용문동,6024,6555,1896,1297,1025,868,226,889,986,1805,2133,2006,2030,1505,930,354,63,12639.89712,2724.658121,7,0,1,140551
한강로동,11170625,dong,용산구,한강로동,8618,9203,5374,1834,1233,896,194,1137,1021,2786,3906,2948,3194,2294,1320,600,135,13481.42101,43363.29502,45,2.2,4,154658
이촌1동,11170630,dong,용산구,이촌1동,13186,15082,2239,2239,2619,2421,555,3061,3139,3021,4005,5459,4457,2816,1894,1114,215,36982.96565,16186.0512,13,0,0,313893
이촌2동,11170640,dong,용산구,이촌2동,4203,4736,1315,1049,755,558,139,614,583,1016,1581,1294,1454,1291,773,358,66,9165.030938,2252.336056,4,0,0,92229
이태원1동,11170650,dong,용산구,이태원1동,3272,3672,2162,728,439,324,89,402,416,1787,1779,1301,1320,1053,648,374,64,6780.549182,12691.39357,25,4,1,226931
이태원2동,11170660,dong,용산구,이태원2동,4339,5042,2598,1015,660,449,126,638,630,1633,2134,1723,1491,1222,898,407,72,9293.484323,2996.730443,14,7.1,0,160846
한남동,11170685,dong,용산구,한남동,9922,10599,6088,2284,1380,920,262,1449,1429,3202,4858,3995,3598,2710,1630,626,134,19398.69636,41921.35818,23,0,2,147759
서빙고동,11170690,dong,용산구,서빙고동,6480,6953,1733,1107,949,1101,341,963,1655,1886,1759,2712,2325,1363,866,595,74,17030.94057,17692.05188,9,0,1,144110
보광동,11170700,dong,용산구,보광동,7189,7470,4043,1688,1030,722,189,645,936,2614,2699,2474,2748,2001,1245,530,97,12046.53362,1994.068474,10,0,0,86167
성동구,11200,gu,성동구,계,149412,155524,55571,29586,24935,20648,4622,22785,22711,49741,53464,49301,50355,35256,20277,7779,1083,314338.9502,86469.5858,311,5.5,16,125396
왕십리2동,11200520,dong,성동구,왕십리2동,8566,9039,2896,1671,1472,1204,271,1312,1381,2683,3212,2841,2905,2035,1121,415,64,19125.3303,1336.676582,10,0,1,118056
왕십리도선동,11200535,dong,성동구,왕십리도선동,13072,14307,4406,2458,2338,2005,423,2579,1722,4624,5072,4223,4517,2786,1588,658,90,26923.27383,4879.023283,32,9.4,0,136197
마장동,11200540,dong,성동구,마장동,11616,11907,4779,2300,1774,1527,377,1386,1891,4800,3482,3351,4007,2869,1671,646,84,22683.12344,3979.920572,15,0,1,131807
사근동,11200550,dong,성동구,사근동,6073,5729,5241,948,574,504,132,496,1018,5695,1860,1263,1280,945,743,255,33,10857.30951,2691.080313,34,0,2,139365
행당1동,11200560,dong,성동구,행당1동,7904,8283,3036,1535,1342,1098,238,1117,1167,2935,2737,2553,2714,1877,1091,407,57,18492.3891,9926.886166,18,0,1,169283
행당2동,11200570,dong,성동구,행당2동,11674,13161,2353,2340,2182,2085,403,2065,2387,3106,3882,4525,3919,2662,1641,620,98,22985.32143,290.2906187,7,0,1,191129
응봉동,11200580,dong,성동구,응봉동,7665,8538,1598,1387,1427,1346,322,1302,1839,1808,2368,3170,2434,1655,1171,453,62,16979.20166,1330.987921,3,0,1,157901
금호1가동,11200590,dong,성동구,금호1가동,7637,8302,2091,1652,1419,1145,250,1328,1204,1956,2952,2664,2459,1905,1066,451,47,16766.95716,2557.883431,8,25,1, 
금호2.3가동,11200615,dong,성동구,금호2.3가동,11511,12651,3543,2571,2128,1622,357,1908,1681,3088,4505,4017,3743,2869,1754,670,108,24298.02228,1101.994325,13,0,0,147156
금호4가동,11200620,dong,성동구,금호4가동,7268,7924,2163,1593,1479,986,218,1520,1024,1718,2954,2703,2236,1706,1034,388,54,13513.46092,1042.744126,9,0,1,100600
옥수동,11200645,dong,성동구,옥수동,12687,14380,3183,2797,2547,1874,435,2755,1773,3201,5547,4466,4038,3016,1701,702,123,43289.72556,8592.166255,11,36.4,1,184328
성수1가1동,11200650,dong,성동구,성수1가1동,8558,8541,3092,1661,1329,1241,254,1165,1318,2712,3039,2751,3148,1922,957,351,46,14873.36016,3846.467564,23,0,0,104413
성수1가2동,11200660,dong,성동구,성수1가2동,7427,7508,3187,1454,1155,969,221,961,1079,2538,2891,2437,2403,1733,913,358,47,13815.66294,6092.19493,29,6.9,2,128943
성수2가1동,11200670,dong,성동구,성수2가1동,9085,8359,4169,1768,1316,1053,230,976,1112,2613,2862,2744,3592,2523,1217,438,69,18463.37967,9522.930159,23,4.3,0,79241
성수2가3동,11200690,dong,성동구,성수2가3동,5849,5590,2902,1049,812,670,176,667,617,2141,2129,1624,1999,1468,795,309,29,10947.13361,23258.73802,53,7.5,1,119524
송정동,11200720,dong,성동구,송정동,5924,5226,2775,1146,818,631,168,641,691,1830,1900,1768,2230,1528,743,260,33,14444.38555,1923.695136,8,0,0,86989
용답동,11200790,dong,성동구,용답동,6896,6079,4157,1256,823,688,147,607,807,2293,2072,2201,2731,1757,1071,398,39,14626.74448,5162.896608,15,6.7,3,124298
광진구,11215,gu,광진구,계,171800,182078,72629,33104,27031,24147,5342,23086,29175,67327,61920,57153,59467,40320,21752,7915,1159,342186.6581,75899.44915,396,4.3,9,119527
화양동,11215710,dong,광진구,화양동,10485,11423,12427,1992,758,600,110,529,1184,11096,4634,2362,2296,1707,1035,392,60,22131.67125,3042.434203,63,6.3,1,167699
군자동,11215730,dong,광진구,군자동,9874,10088,5788,2021,1345,1090,235,1143,1300,5487,4005,2796,3190,2257,1369,474,54,19829.25006,2777.386817,27,0,0,101971
중곡1동,11215740,dong,광진구,중곡1동,7920,8136,3854,1809,1246,862,193,941,900,2687,3240,2408,2781,2018,1146,327,54,16599.32744,3701.882479,16,0,0,82569
중곡2동,11215750,dong,광진구,중곡2동,10723,11536,4411,2316,1787,1413,319,1422,1556,3868,4162,3278,3820,2579,1403,437,72,22558.99796,2917.546948,24,4.2,0,86724
중곡3동,11215760,dong,광진구,중곡3동,8598,8720,3950,1927,1330,978,247,942,1129,2788,2966,2568,3235,2195,1257,409,63,17491.97768,1631.759051,20,5,1,98827
중곡4동,11215770,dong,광진구,중곡4동,14983,15419,4887,3054,2592,2033,496,1804,2301,4642,4787,4642,5679,3952,2200,661,96,31257.58942,4896.789884,22,9.1,0,114231
능동,11215780,dong,광진구,능동,5324,6219,3445,1295,748,518,153,679,599,2392,2833,1637,1513,1190,735,257,49,11525.46215,2711.459474,17,0,3,147636
광장동,11215810,dong,광진구,광장동,17421,18573,2186,1904,3003,4033,697,3475,5744,4247,4233,8027,5272,2852,1452,737,122,28932.01121,10456.21743,25,4,1,143667
자양1동,11215820,dong,광진구,자양1동,11205,11970,5555,2430,1702,1364,316,1253,1691,4468,4278,3742,4087,2745,1497,508,70,21237.24674,11404.47486,24,4.2,0,120657
자양2동,11215830,dong,광진구,자양2동,13154,13639,3926,2498,2224,1996,453,1923,2136,4060,4522,4375,4549,3384,1622,559,81,28030.79968,5361.616651,21,4.8,1,93207
자양3동,11215840,dong,광진구,자양3동,14160,15233,2875,2351,2492,2620,544,2640,2838,4139,4643,4870,4836,3297,1551,758,102,32379.63389,3850.528409,27,0,1,116743
자양4동,11215847,dong,광진구,자양4동,9516,9431,5065,2015,1405,976,259,1065,1104,3957,3625,3440,4984,3227,1610,563,74,21714.05985,1419.932475,33,0,0,149053
구의1동,11215850,dong,광진구,구의1동,10746,11708,6178,2387,1595,1178,297,1095,1398,4724,4593,3461,3577,2328,1417,516,67,22801.14628,3790.741193,29,13.8,0,103925
구의2동,11215860,dong,광진구,구의2동,13410,14292,4045,2592,2321,2035,482,2065,2563,3855,4412,4647,4650,3350,1837,649,87,25647.62544,4018.301231,18,0,0,142331
구의3동,11215870,dong,광진구,구의3동,14281,15691,4037,2513,2483,2451,541,2110,2732,4917,4987,4900,4998,3239,1621,668,108,21435.1593,10125.14005,30,6.7,1,126403
동대문구,11230,gu,동대문구,계,172490,174011,74224,32907,26139,22265,5513,22838,26994,64679,54062,53991,56462,44375,27580,10380,1475,336386.7409,80428.89719,379,2.9,7,113019
용신동,11230536,dong,동대문구,용신동,15711,14883,9975,3033,1926,1515,384,1553,1634,5951,5433,4598,5220,3894,2575,1029,153,30616.66952,24282.01168,54,3.7,2,102637
제기동,11230545,dong,동대문구,제기동,12918,12301,6910,2592,1728,1310,366,1194,1680,5957,3761,3469,4170,3773,2536,1040,136,24382.72089,5258.373824,27,0,1,111502
전농1동,11230560,dong,동대문구,전농1동,15469,15142,7208,2957,2357,1829,445,2052,2164,4823,4609,4594,5196,4051,2507,973,135,32346.78954,1873.966453,29,6.9,0,119223
전농2동,11230570,dong,동대문구,전농2동,9497,10277,2180,1849,1709,1495,390,1431,1920,2720,2610,3310,3336,2562,1591,676,65,17329.06539,4131.42123,16,0,0,91775
답십리1동,11230600,dong,동대문구,답십리1동,14334,15125,4795,2622,2428,2130,512,2896,2120,4231,5835,4708,4490,3003,1803,688,106,26209.92989,7333.097896,30,0,0,158231
답십리2동,11230610,dong,동대문구,답십리2동,14771,15347,4299,3054,2493,2200,504,2024,2367,4061,4500,4749,5276,4003,2437,906,104,28184.356,2725.398647,17,5.9,0,91945
장안1동,11230650,dong,동대문구,장안1동,19328,19300,7206,3727,3117,2541,638,2792,2812,5374,6693,6512,6326,5042,2729,826,133,34570.22363,10146.30826,56,0,0,100258
장안2동,11230660,dong,동대문구,장안2동,15749,15768,4446,2809,2678,2385,544,2821,2871,3765,5032,5639,4886,3908,2109,653,119,29534.35563,6688.365055,34,0,0,101187
청량리동,11230705,dong,동대문구,청량리동,10840,10764,4957,2307,1597,1221,338,1013,1340,2803,2724,3019,4123,3684,2454,966,135,21657.96505,5464.353994,16,12.5,1,93760
회기동,11230710,dong,동대문구,회기동,4915,5401,3860,872,601,490,141,547,987,5182,1747,1396,1205,972,701,294,58,9324.164006,777.9299572,22,0,0,138870
휘경1동,11230720,dong,동대문구,휘경1동,6748,6762,3912,1260,899,769,176,647,1004,4221,2149,1912,2181,1634,1093,435,59,15884.13485,1902.364155,16,6.3,1,143601
휘경2동,11230730,dong,동대문구,휘경2동,12146,12383,5355,2106,1784,1683,422,1488,2297,5459,3340,3666,3630,2879,1713,603,93,21190.68223,4069.278767,17,0,0,111380
이문1동,11230740,dong,동대문구,이문1동,9887,9854,6397,1817,1160,1069,262,911,1798,7134,2852,2898,2928,2303,1605,653,101,26407.64576,4206.630249,33,6.1,1,113825
이문2동,11230750,dong,동대문구,이문2동,10177,10704,2724,1902,1662,1628,391,1469,2000,2998,2777,3521,3495,2667,1727,638,78,21278.61229,1664.55254,12,8.3,1,197056
중랑구,11260,gu,중랑구,계,198906,201755,73677,41039,32438,26181,6343,25869,29713,58045,62100,61207,72855,53967,29902,10361,1439,407633.339,41593.93807,302,1.3,11,93253
면목2동,11260520,dong,중랑구,면목2동,13008,12899,5379,2722,2014,1603,398,1548,1906,3580,3810,4164,5125,3438,1924,668,88,25645.57412,1690.647095,21,4.8,0,74210
면목4동,11260540,dong,중랑구,면목4동,9972,10094,3942,2148,1648,1241,283,1271,1417,2791,3136,3218,3477,2767,1754,457,72,27399.55371,2026.324947,11,0,1,67706
면목5동,11260550,dong,중랑구,면목5동,5054,4814,1888,1093,811,616,139,592,719,1327,1527,1540,1880,1363,774,248,30,10728.7526,1381.249831,6,16.7,0,72565
면목본동,11260565,dong,중랑구,면목본동,17718,17858,8270,3930,2820,2016,439,1955,2313,5579,5995,5546,6739,4637,2665,856,97,42818.62602,2336.041839,30,0,1,93715
면목7동,11260570,dong,중랑구,면목7동,10838,10911,4244,2303,1784,1352,307,1263,1343,3128,3272,3258,4069,3233,1779,621,75,15890.76768,994.6196996,17,0,0,126737
면목3.8동,11260575,dong,중랑구,면목3.8동,13196,13218,5529,2895,2139,1560,359,1351,1799,4048,3968,3908,4950,3794,2237,704,98,27222.97853,4038.942837,21,0,1,93461
상봉1동,11260580,dong,중랑구,상봉1동,12424,13007,3029,2313,2225,2081,428,1995,2233,3804,3875,3794,4620,3034,1568,585,74,24598.476,2257.540125,17,0,0,114677
상봉2동,11260590,dong,중랑구,상봉2동,9393,9767,6002,2160,1309,879,189,894,963,3635,3928,2748,3217,2341,1272,426,58,19283.78384,5735.192134,37,0,2,91664
중화1동,11260600,dong,중랑구,중화1동,10227,10548,3173,2192,1796,1392,344,1443,1491,3147,3481,2962,3650,2831,1401,505,67,22808.27798,1670.095683,20,0,1,61484
중화2동,11260610,dong,중랑구,중화2동,14338,13505,7290,3200,2080,1404,345,1272,1527,4168,4260,4036,5792,4122,2345,783,103,28568.30786,1607.13951,15,0,1,114209
묵1동,11260620,dong,중랑구,묵1동,17531,18415,4638,3281,3051,2736,661,2728,3274,4942,5550,6069,5737,4333,2490,873,104,36928.2831,3043.58435,22,4.5,1,100885
묵2동,11260630,dong,중랑구,묵2동,9822,10083,3852,2081,1670,1210,311,1273,1370,2892,3449,3006,3365,2781,1472,459,62,20363.48707,2283.707598,14,7.1,0,74118
망우본동,11260655,dong,중랑구,망우본동,15805,15368,6634,3224,2439,1891,469,1696,2134,4398,4462,4532,6121,4700,2455,881,138,29136.77721,3539.649629,29,0,2,102718
망우3동,11260660,dong,중랑구,망우3동,8984,8859,3681,1981,1467,1045,245,999,1352,2578,2481,2657,3504,2565,1440,504,77,18513.25269,1294.66884,11,0,0,66933
신내1동,11260680,dong,중랑구,신내1동,19969,20887,3394,3279,3176,3504,1083,3956,3888,5298,5636,6254,6857,5028,2754,1117,203,43341.42079,4573.249427,22,0,0,90579
신내2동,11260690,dong,중랑구,신내2동,10627,11522,2732,2237,2009,1651,343,1633,1984,2730,3270,3515,3752,3000,1572,674,93,23570.17445,3963.126677,9,0,1,168207
성북구,11290,gu,성북구,계,213648,226749,73240,40021,35080,31823,7684,31409,40645,72163,63834,73899,70345,52200,32823,12817,1803,432611.5834,94185.41471,357,4.2,11,109228
성북동,11290525,dong,성북구,성북동,8112,9077,3692,1720,1207,979,317,939,1380,2897,2757,2815,2842,1954,1387,639,113,12250.63213,21337.67534,15,0,0,123956
삼선동,11290555,dong,성북구,삼선동,12520,13579,6178,2501,1800,1668,412,1423,2289,4890,3969,4276,4129,2847,1926,805,109,28470.38986,5596.596433,36,2.8,2,124730
동선동,11290575,dong,성북구,동선동,6590,8937,5686,1464,972,676,175,653,1142,4775,2719,2168,1893,1435,1085,410,72,15823.10956,12527.62885,42,4.8,0,140172
돈암1동,11290580,dong,성북구,돈암1동,7484,8530,1789,1541,1364,1244,290,945,1528,2252,2162,2465,2843,2087,1266,506,61,16810.65995,2698.964037,7,0,0,103208
돈암2동,11290590,dong,성북구,돈암2동,11918,13081,1562,1759,2223,2283,555,2298,3015,3036,3245,4814,4026,2498,1402,662,97,21839.8176,3166.298723,5,20,0, 
안암동,11290600,dong,성북구,안암동,7789,7571,5838,1405,898,719,156,559,1153,6166,2433,1924,2181,1457,1029,426,51,15442.82552,5583.649282,49,6.1,1,125533
보문동,11290610,dong,성북구,보문동,7997,8512,3764,1566,1284,1059,228,1101,1114,3031,2887,2643,2691,1812,1060,444,68,17091.43425,7233.023448,18,5.6,1,94935
정릉1동,11290620,dong,성북구,정릉1동,9199,9760,2181,1615,1633,1509,362,1585,1987,2750,2870,3425,2828,2130,1365,533,66,19046.3614,1793.055883,14,0,1,82374
정릉2동,11290630,dong,성북구,정릉2동,11656,12143,3007,2291,1996,1799,413,1685,2153,3325,3221,3884,3834,3246,1918,721,89,24689.12814,2027.22151,14,7.1,0,146211
정릉3동,11290640,dong,성북구,정릉3동,7945,7932,3969,1501,1086,879,251,782,1282,4066,2173,2162,2479,2128,1512,611,105,18135.92589,2895.965539,15,6.7,0,98705
정릉4동,11290650,dong,성북구,정릉4동,12926,13703,3603,2568,2276,1931,484,1989,2436,3465,3794,4564,4244,3458,2144,766,118,22574.51995,1794.972655,15,6.7,1,137973
길음1동,11290660,dong,성북구,길음1동,17694,19415,2547,2439,3146,3759,754,4453,4869,3530,5458,8175,4724,3167,2043,750,114,35331.27732,2122.074322,6,0,1,139858
길음2동,11290685,dong,성북구,길음2동,7866,8262,2301,1399,1361,1260,287,1336,1409,2152,2523,2834,2597,1934,1027,387,55,10394.91294,594.1514838,5,0,0,147536
종암동,11290705,dong,성북구,종암동,20080,20527,6296,3538,3264,3062,770,3120,4111,7163,5752,6927,6524,4451,2877,1297,217,39904.22011,6371.664246,27,0,1,92412
월곡1동,11290715,dong,성북구,월곡1동,13322,14163,3127,2427,2265,2244,542,2358,2780,3186,3786,4934,4312,3418,2077,741,88,26276.47852,2512.296621,16,0,0,101653
월곡2동,11290725,dong,성북구,월곡2동,9780,10288,3929,1857,1524,1347,346,1320,1584,3653,3031,3097,3142,2530,1550,625,87,20683.79255,4967.74989,23,4.3,2,97317
장위1동,11290760,dong,성북구,장위1동,10259,10552,3342,2122,1666,1421,355,1080,1777,3067,2597,3237,4033,2876,1673,607,69,20440.2221,1274.025246,11,0,0,53492
장위2동,11290770,dong,성북구,장위2동,7043,7064,2472,1570,1148,847,231,639,1044,1891,1698,2155,2671,2228,1428,522,71,14924.70215,2228.344356,9,0,1,84513
장위3동,11290780,dong,성북구,장위3동,5846,5775,1673,1048,945,882,222,888,1102,1444,1488,1940,2099,1552,943,313,30,11442.48578,1319.495621,3,33.3,0,114259
석관동,11290810,dong,성북구,석관동,17622,17878,6284,3690,3022,2255,534,2256,2490,5424,5271,5460,6253,4992,3111,1052,123,31983.73749,3849.596313,27,7.4,0,90949
강북구,11305,gu,강북구,계,154101,161486,58739,33271,25261,19897,5014,18165,24609,44557,42866,50089,54639,43554,29232,10080,1356,319302.4542,29124.53618,273,5.1,11,97288
삼양동,11305534,dong,강북구,삼양동,12860,12994,4593,2704,2124,1635,438,1537,2278,3325,3412,4073,4643,3639,2227,753,114,25442.41446,1185.573833,13,7.7,3,93911
미아동,11305535,dong,강북구,미아동,10814,11717,5614,2435,1654,1242,307,997,1547,3906,3218,3347,4010,3190,2027,726,83,25356.79576,2132.731372,34,2.9,1,94767
송중동,11305545,dong,강북구,송중동,13765,14748,5580,2821,2191,1789,467,1469,2091,4172,4013,4532,5013,4165,2662,857,107,27051.4854,2261.892145,26,3.8,1,116732
송천동,11305555,dong,강북구,송천동,14187,14348,6203,3152,2233,1668,406,1335,1933,3962,3785,4280,5495,4346,2769,972,135,28375.71003,2098.026394,26,3.8,0,90423
삼각산동,11305575,dong,강북구,삼각산동,15904,17164,2538,2470,2744,3184,699,3417,4232,3441,4365,6941,4911,3157,1913,707,101,34041.33569,1227.140716,8,0,0,153338
번1동,11305590,dong,강북구,번1동,9683,9748,5459,2121,1422,992,215,821,1244,3480,3090,3112,3259,2506,1728,541,72,20866.79379,3041.253675,33,6.1,0,92235
번2동,11305600,dong,강북구,번2동,8402,8859,2655,2085,1505,1028,250,894,1255,2221,2127,2725,2955,2604,1947,588,69,16775.3988,1161.476796,7,0,0,92725
번3동,11305606,dong,강북구,번3동,8807,9788,2197,2144,1575,1251,345,1101,1593,2137,2072,2986,2930,2653,2460,650,84,19374.80181,1294.994936,8,0,0,99483
수유1동,11305610,dong,강북구,수유1동,10787,10973,4638,2311,1701,1257,336,1181,1551,3266,3019,3196,3923,3101,1933,735,102,21177.11923,2171.963248,18,0,1,96451
