NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
종로구,11110,gu,종로구,계,75247,78533,35775,13792,10877,9649,2631,9086,13394,28272,22811,25576,27022,18602,12578,5080,920,153247.0714,311050.7297,331,2.7,11,212040
청운효자동,11110515,dong,종로구,청운효자동,6173,6993,1923,1122,1009,1009,250,994,1390,1777,1977,2389,2030,1306,1062,450,76,13799.25256,7599.266472,11,9.1,0,149361
사직동,11110530,dong,종로구,사직동,4277,5186,2120,870,676,588,150,698,772,1161,1505,1667,1546,1107,783,392,74,9763.828588,69281.47712,26,3.8,2,148404
삼청동,11110540,dong,종로구,삼청동,1352,1500,740,251,194,152,54,168,235,377,457,442,517,414,289,133,27,3031.110236,4231.348518,7,0,0,230589
부암동,11110550,dong,종로구,부암동,4893,5253,1608,918,737,732,195,580,1020,1628,1368,1735,1709,1209,845,373,65,10275.15539,3252.692153,14,0,0,95828
평창동,11110560,dong,종로구,평창동,8946,10049,2479,1640,1471,1444,420,1230,2008,2707,2372,3034,3345,2214,1417,657,145,19781.60155,2755.503241,14,0,0,116378
무악동,11110570,dong,종로구,무악동,3840,4389,719,652,673,755,172,718,987,929,954,1592,1312,894,601,241,38,6542.782754,635.4529808,3,0,1,144527
교남동,11110580,dong,종로구,교남동,4933,5638,1582,1070,861,777,161,970,846,1459,1935,1901,1562,1072,708,246,36,10368.96194,3999.808596,16,0,0,190521
가회동,11110600,dong,종로구,가회동,2079,2400,935,429,321,273,82,235,398,533,639,837,758,555,448,166,32,4285.213921,21122.30277,8,0,0,143547
종로1.2.3.4가동,11110615,dong,종로구,종로1.2.3.4가동,4448,3072,4175,547,299,226,55,314,355,1106,1179,1219,1632,1370,867,323,86,7177.604763,145953.3303,104,3.8,3,256491
종로5.6가동,11110630,dong,종로구,종로5.6가동,2903,2389,2074,476,313,224,64,145,339,1081,680,777,1069,752,544,182,41,5294.255968,18207.19742,25,4,2,250974
이화동,11110640,dong,종로구,이화동,3859,4300,2639,765,534,403,113,347,582,2092,1477,1161,1196,885,608,259,49,8427.838466,17679.45847,18,11.1,0,195935
혜화동,11110650,dong,종로구,혜화동,8294,8814,5267,1433,1087,950,259,877,1812,6893,2546,2482,2312,1549,1268,533,65,16437.81167,4812.525241,37,0,1,170041
창신1동,11110670,dong,종로구,창신1동,2938,2472,1771,559,361,237,77,215,350,844,751,983,1408,947,553,165,37,5634.353838,3016.876856,9,0,0,188328
창신2동,11110680,dong,종로구,창신2동,4600,4413,1948,845,663,547,171,385,715,1623,1205,1622,2207,1347,782,277,39,9113.56673,639.9209916,3,0,0,85249
창신3동,11110690,dong,종로구,창신3동,3586,3714,842,665,639,502,189,467,627,1112,1100,1135,1361,880,533,214,37,7606.391343,464.829117,2,0,1,70411
숭인1동,11110700,dong,종로구,숭인1동,3209,3271,1321,654,485,387,118,391,476,955,1046,1131,1236,838,508,202,34,5442.631675,563.3993166,8,0,0,209853
숭인2동,11110710,dong,종로구,숭인2동,4917,4680,3632,896,554,443,101,352,482,1995,1620,1469,1822,1263,762,267,39,9338.618303,2680.141576,26,0,1,151064
중구,11140,gu,중구,계,62260,63772,29298,12583,9323,7407,1834,8210,8481,21156,22364,20815,22797,16510,10154,4067,702,119642.1953,506063.3208,432,4.9,14,226352
소공동,11140520,dong,중구,소공동,1010,1030,593,194,154,102,17,272,162,281,714,562,389,273,116,37,11,1836.305544,139413.3514,53,1.9,1,159542
회현동,11140540,dong,중구,회현동,2914,2409,2232,436,303,221,58,264,220,594,723,860,1211,1108,598,239,77,4152.595207,68590.78689,43,4.7,2,392834
명동,11140550,dong,중구,명동,1197,1653,940,208,136,96,28,155,126,382,529,583,616,540,309,129,22,2825.842205,149331.3674,88,9.1,2,253645
필동,11140570,dong,중구,필동,2075,1937,1386,382,243,179,52,230,334,1235,771,574,722,570,344,173,36,3172.43734,19108.09265,29,0,1,134650
장충동,11140580,dong,중구,장충동,2438,2357,1616,460,268,221,79,255,450,1636,800,757,673,537,383,145,26,6325.849667,13527.60685,18,0,1,89626
광희동,11140590,dong,중구,광희동,2661,2338,1807,518,289,212,52,198,303,1046,903,804,1146,899,491,185,33,4953.93668,38740.97616,46,4.3,1,182225
을지로동,11140605,dong,중구,을지로동,1040,599,926,133,69,36,14,51,51,221,218,207,386,380,196,77,13,1598.985643,28544.4917,31,6.5,2,191859
신당동,11140615,dong,중구,신당동,3937,3902,2632,798,509,356,89,364,467,1885,1546,1535,1839,1013,613,228,44,7527.760334,14335.02843,38,2.6,1,336315
다산동,11140625,dong,중구,다산동,7172,7571,2971,1609,1115,904,217,733,1072,2582,2511,2392,2450,1820,1223,394,62,14004.10346,7766.973707,16,6.3,1,108725
약수동,11140635,dong,중구,약수동,8504,9420,2760,1995,1565,1120,283,1351,1145,2263,2832,2794,2963,2425,1539,699,112,16858.58715,2712.865262,15,0,2,141717
청구동,11140645,dong,중구,청구동,7021,7722,2440,1513,1192,994,253,933,1088,2159,2410,2295,2510,1738,1191,527,80,14495.96365,2856.041772,7,14.3,0,125751
신당5동,11140650,dong,중구,신당5동,4654,4684,2043,921,702,585,137,618,667,1354,1476,1643,1736,1158,740,249,34,11272.75129,2354.825094,7,14.3,0,140215
동화동,11140665,dong,중구,동화동,5358,5740,1175,878,888,923,237,850,935,1672,1583,1782,2038,1247,729,344,65,9020.660568,2131.683477,13,7.7,0,130071
황학동,11140670,dong,중구,황학동,6069,6245,3356,1325,893,633,154,863,605,2265,2827,1992,2103,1463,834,294,33,12406.69649,3241.652273,14,0,0,145735
