NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
종로구,11110,gu,종로구,계,"73,062","76,900",37503,14341,10697,8837,2364,8185,11918,28260,21719,23751,26807,20050,12677,5831,1055,152009.8793,236607.9473,347,4,11,207758
청운효자동,11110515,dong,종로구,청운효자동,"5,851","6,699",2043,1135,991,915,234,882,1227,1675,1776,2238,2036,1390,1032,505,75,13459.74462,11210.10791,12,8.3,0,160242
사직동,11110530,dong,종로구,사직동,"4,250","5,234",2373,935,673,536,147,608,704,1279,1496,1558,1588,1203,781,460,91,10005.17214,50432.33405,30,3.3,2,200198
삼청동,11110540,dong,종로구,삼청동,"1,297","1,392",729,252,182,140,43,139,237,350,426,428,453,447,299,156,30,2935.81924,6271.004117,8,0,0,183892
부암동,11110550,dong,종로구,부암동,"4,766","5,274",1686,972,745,689,177,588,941,1526,1366,1693,1733,1287,809,390,77,10225.08253,4205.098401,12,8.3,0,104196
평창동,11110560,dong,종로구,평창동,"8,625","9,818",2428,1753,1470,1352,396,1208,1665,2523,2287,2834,3363,2465,1413,757,156,19769.91218,24631.62731,14,0,0,82299
무악동,11110570,dong,종로구,무악동,"4,018","4,597",764,717,736,757,188,730,1025,949,984,1582,1411,990,652,302,49,6456.996601,482.9442656,4,0,1,162791
교남동,11110580,dong,종로구,교남동,"4,885","5,616",1658,1090,918,755,138,907,872,1307,1840,1877,1628,1138,737,316,49,10409.35409,1038.373956,16,0,0,223640
가회동,11110600,dong,종로구,가회동,"2,004","2,327",956,433,348,243,63,218,348,498,602,795,724,603,448,170,37,4194.465967,11207.84996,9,0,0,150658
종로1.2.3.4가동,11110615,dong,종로구,종로1.2.3.4가동,"4,327","2,876",4149,523,286,204,49,275,295,1096,1208,1244,1583,1469,862,364,91,7020.035796,94206.90836,117,8.5,3,249923
종로5.6가동,11110630,dong,종로구,종로5.6가동,"2,888","2,433",2353,520,285,180,57,126,273,1365,761,671,1017,798,540,201,39,5214.206737,15595.59129,26,0,2,255336
이화동,11110640,dong,종로구,이화동,"3,640","4,085",2725,805,462,343,98,279,505,2061,1364,1070,1155,924,612,305,48,8204.404689,4510.438823,19,5.3,0,162176
혜화동,11110650,dong,종로구,혜화동,"8,141","8,700",5634,1459,1050,875,217,723,1631,7034,2326,2326,2338,1593,1250,623,90,16286.39554,7313.302386,33,0,1,164646
창신1동,11110670,dong,종로구,창신1동,"2,801","2,372",1766,571,317,208,72,171,275,930,642,761,1363,1051,560,209,45,5453.946064,1362.965106,7,0,0,197134
창신2동,11110680,dong,종로구,창신2동,"4,295","4,044",1983,908,622,445,135,286,571,1650,1091,1310,2113,1428,836,308,48,8654.602858,347.7611709,4,0,0,90776
창신3동,11110690,dong,종로구,창신3동,"3,408","3,559",944,689,634,454,151,412,558,1039,1019,1015,1308,997,550,235,45,7580.862969,319.1046572,3,0,1,98319
숭인1동,11110700,dong,종로구,숭인1동,"2,990","3,153",1397,658,459,355,95,329,399,906,925,1023,1216,894,535,223,35,6003.116856,446.8339407,8,0,0,100845
숭인2동,11110710,dong,종로구,숭인2동,"4,876","4,721",3915,921,519,386,104,304,392,2072,1606,1326,1778,1373,761,307,50,9210.065001,1891.291766,25,0,1,120870
중구,11140,gu,중구,계,"61,651","64,339",31643,13498,9121,6839,1660,7639,7628,21809,22296,19779,22495,17865,10726,4731,864,124842.5916,335125.8512,450,2.7,14,252706
소공동,11140520,dong,중구,소공동,"1,029","1,066",631,219,160,98,17,275,208,267,661,696,448,304,120,49,11,2124.941739,80301.90007,52,0,1,221939
회현동,11140540,dong,중구,회현동,"2,762","2,428",2025,442,302,222,65,240,251,564,676,805,1117,1143,598,291,86,4844.386535,54222.95526,60,8.3,2,378616
명동,11140550,dong,중구,명동,"1,269","1,695",1109,220,141,81,24,136,192,479,554,569,642,589,349,146,28,2819.865803,72555.51564,91,0,2,257799
필동,11140570,dong,중구,필동,"2,072","1,947",1480,422,214,157,50,209,222,1303,721,520,649,621,356,177,50,3174.782083,13541.67266,31,0,1,159193
장충동,11140580,dong,중구,장충동,"2,366","2,320",1791,432,240,208,65,217,378,1723,762,670,659,530,380,174,32,6230.613168,13948.79361,16,18.8,1,114518
광희동,11140590,dong,중구,광희동,"2,671","2,393",2003,536,283,186,46,198,256,1311,1076,801,1081,929,547,210,39,4848.702754,42255.39216,55,1.8,1,203825
을지로동,11140605,dong,중구,을지로동,"1,109",728,1081,165,62,35,10,58,45,273,318,212,365,410,203,78,21,1735.257257,15564.37526,34,2.9,2,186177
신당동,11140615,dong,중구,신당동,"3,800","3,817",2840,830,439,312,68,329,363,1856,1538,1284,1744,1117,664,248,55,7700.965437,3278.598408,32,3.1,1,367247
다산동,11140625,dong,중구,다산동,"7,009","7,403",3193,1661,1028,853,186,619,906,2639,2396,2188,2429,1945,1249,494,78,13781.04111,6286.911913,17,0,1,121953
약수동,11140635,dong,중구,약수동,"8,147","9,144",2914,2082,1492,1014,235,1192,1037,2092,2546,2569,2935,2624,1648,780,147,16508.99597,16639.03258,12,0,2,167356
청구동,11140645,dong,중구,청구동,"6,693","7,424",2478,1531,1164,904,219,811,939,2077,2277,2058,2416,1913,1173,591,91,14102.87615,3058.004022,6,0,0,103145
신당5동,11140650,dong,중구,신당5동,"5,176","5,471",2643,1188,761,578,145,634,600,1763,1856,1642,1951,1327,840,330,47,11140.81072,1115.84028,7,14.3,0,129345
동화동,11140665,dong,중구,동화동,"5,192","5,584",1155,973,902,834,219,791,882,1525,1414,1686,1998,1395,771,407,60,8837.899827,1193.459153,10,0,0,118512
황학동,11140670,dong,중구,황학동,"6,054","6,619",3787,1498,898,579,133,845,570,2386,3087,1968,2001,1573,895,339,49,12629.25168,1726.061509,13,0,0,143028
중림동,11140680,dong,중구,중림동,"6,302","6,300",2513,1299,1035,778,178,1085,779,1551,2414,2111,2060,1445,933,417,70,12486.91486,4280.440382,14,0,0,136658
용산구,11170,gu,용산구,계,"110,403","118,959",53405,23093,17159,13372,3444,15265,17019,36195,42354,39125,38792,28862,17384,8411,1590,232340.0535,180858.8667,303,1.7,13,137149
후암동,11170510,dong,용산구,후암동,"8,672","9,146",4104,1772,1367,970,283,1065,1347,2666,2975,2894,3037,2265,1354,589,133,17797.1877,2301.522687,19,0,0,110670
용산2가동,11170520,dong,용산구,용산2가동,"4,898","5,275",2844,1196,744,479,132,487,650,1923,2255,1683,1622,1512,935,451,86,9923.750102,1720.333681,20,0,1,104591
남영동,11170530,dong,용산구,남영동,"4,722","2,991",4217,609,301,244,63,245,290,1077,1158,1232,1808,1373,706,281,65,12568.66324,32025.59423,33,3,3,120790
청파동,11170555,dong,용산구,청파동,"9,329","10,592",6570,2031,1215,888,246,751,1250,4474,3334,2882,3212,2403,1560,661,102,20803.57184,6501.378394,27,7.4,0,133706
원효로1동,11170560,dong,용산구,원효로1동,"7,770","8,356",3791,1693,1260,954,210,1470,912,2513,3879,2765,2288,1660,849,361,77,15895.02014,4602.507407,19,0,0,100664
원효로2동,11170570,dong,용산구,원효로2동,"6,759","7,607",2144,1304,1189,1035,253,970,1308,1917,2131,2413,2363,1716,1048,539,73,11304.88539,3636.205761,15,6.7,0,107100
효창동,11170580,dong,용산구,효창동,"4,859","5,395",1519,998,849,708,184,797,801,1630,1898,1598,1586,1032,644,331,57,8220.961606,1542.481994,9,0,0,135502
용문동,11170590,dong,용산구,용문동,"5,891","6,474",1985,1313,1037,809,210,808,884,1868,2080,1905,2024,1531,956,373,67,12222.72922,2617.220448,8,0,1,101189
한강로동,11170625,dong,용산구,한강로동,"8,929","9,570",5719,1857,1227,925,193,1148,1067,2937,4004,2982,3285,2351,1371,614,139,14918.92124,40403.68496,47,2.1,4,142638
이촌1동,11170630,dong,용산구,이촌1동,"13,229","15,105",2213,2314,2672,2417,555,3001,3075,3050,3944,5305,4614,3013,1884,1180,229,37771.45529,14497.00233,16,0,0,301294
이촌2동,11170640,dong,용산구,이촌2동,"4,124","4,646",1318,1046,804,495,139,575,523,1019,1539,1257,1423,1327,779,370,60,9128.157769,2976.48412,6,0,0,70071
