CD,Æó¾÷·ü
11500640.0,3.7
11500641.0,0.0
11530.0,2.5
11530510.0,3.2
11530520.0,9.1
11530530.0,0.0
11530540.0,2.8
11530550.0,0.0
11530560.0,0.0
11530595.0,5.9
11530720.0,8.3
11530730.0,4.3
11530740.0,4.8
11530750.0,0.0
11530760.0,0.0
11530770.0,0.0
11530780.0,4.0
11530790.0,0.0
11545.0,4.7
11545510.0,3.8
11545610.0,3.0
11545620.0,7.1
11545630.0,5.9
11545640.0,15.4
11545670.0,5.1
11545680.0,0.0
11545690.0,0.0
11545700.0,9.1
11545710.0,0.0
11560.0,4.1
11560515.0,13.0
11560535.0,1.4
11560540.0,4.2
11560550.0,6.1
11560560.0,7.5
11560585.0,0.0
11560605.0,2.5
11560610.0,5.0
11560620.0,7.7
11560630.0,5.6
11560650.0,10.0
11560660.0,16.7
11560670.0,0.0
11560680.0,0.0
11560690.0,0.0
11560700.0,0.0
11560710.0,0.0
11560720.0,0.0
11590.0,3.2
11590510.0,0.0
11590520.0,4.5
11590530.0,2.1
11590540.0,9.1
11590550.0,0.0
11590560.0,0.0
11590605.0,0.0
11590620.0,10.0
11590630.0,0.0
11590640.0,7.7
11590650.0,0.0
11590651.0,0.0
11590660.0,8.3
11590670.0,0.0
11590680.0,0.0
11620.0,4.0
11620525.0,6.3
11620545.0,0.0
11620565.0,0.0
11620575.0,2.9
11620585.0,0.0
11620595.0,7.0
11620605.0,0.0
11620615.0,5.0
11620625.0,0.0
11620630.0,0.0
11620645.0,0.0
11620655.0,10.0
11620665.0,4.5
11620685.0,3.7
11620695.0,4.5
11620715.0,0.0
11620725.0,8.7
11620735.0,4.7
11620745.0,0.0
11620765.0,9.5
11620775.0,9.5
11650.0,2.9
11650510.0,8.6
11650520.0,4.5
11650530.0,3.5
11650531.0,2.7
11650540.0,2.7
11650550.0,0.0
11650560.0,7.1
11650570.0,0.0
11650580.0,0.0
11650581.0,0.0
11650590.0,12.5
11650600.0,5.9
11650610.0,0.0
11650620.0,0.0
11650621.0,0.0
11650651.0,0.0
11650652.0,0.0
11650660.0,0.0
11680.0,3.7
11680510.0,6.0
11680521.0,3.6
11680531.0,2.6
11680545.0,5.4
11680565.0,0.0
11680580.0,3.5
11680590.0,5.5
11680600.0,8.7
11680610.0,2.0
11680630.0,6.1
11680640.0,3.1
11680650.0,5.4
11680655.0,3.6
11680656.0,4.2
11680660.0,0.0
11680670.0,8.3
11680690.0,3.4
11680700.0,0.0
11680720.0,0.0
11680730.0,8.3
11680740.0,0.0
11680750.0,0.0
11710.0,3.6
11710510.0,0.0
11710520.0,0.0
11710531.0,7.1
11710532.0,0.0
11710540.0,9.1
11710550.0,11.1
11710561.0,0.0
11710562.0,2.6
11710566.0,0.0
11710570.0,2.8
11710580.0,3.8
11710590.0,8.3
11710600.0,4.3
11710610.0,2.8
11710620.0,2.3
11710631.0,0.0
11710632.0,0.0
11710641.0,5.0
11710642.0,5.8
11710646.0,8.3
11710647.0,12.5
11710650.0,4.8
11710670.0,0.0
11710680.0,0.0
11710690.0,0.0
11710710.0,0.0
11710720.0,0.0
11740.0,3.8
11740515.0,8.7
11740520.0,9.1
11740530.0,0.0
11740540.0,0.0
11740550.0,0.0
11740560.0,0.0
11740570.0,0.0
11740580.0,10.0
11740590.0,0.0
11740600.0,0.0
11740610.0,7.8
11740620.0,3.3
11740640.0,11.5
11740650.0,12.0
11740660.0,2.9
11740685.0,0.0
11740690.0,0.0
11740700.0,0.0
