자치구,0-9외국인남,10-19외국인남,20-29외국인남,30-39외국인남,40-49외국인남,50-59외국인남,60-69외국인남,70-79외국인남,80-89외국인남,90-99외국인남,0-9외국인여,10-19외국인여,20-29외국인여,30-39외국인여,40-49외국인여,50-59외국인여,60-69외국인여,70-79외국인여,80-89외국인여,90-99외국인여,0-9외국인,10-19외국인,20-29외국인,30-39외국인,40-49외국인,50-59외국인,60-69외국인,70-79외국인,80-89외국인,90-99외국인,외국인남,외국인여,외국인
강서구,192,63,260,732,583,753,315,60,12,1,183,70,532,939,555,718,253,32,13,1,375,133,792,1671,1138,1471,568,92,25,2,2971,3296,6267
구로구,1025,425,1179,3407,3683,5987,2059,146,36,6,1019,394,1120,2507,2264,4637,1598,105,29,6,2044,819,2299,5914,5947,10624,3657,251,65,12,17953,13679,31632
금천구,688,241,596,1855,2137,3644,1064,77,11,3,652,203,541,1406,1388,2820,896,62,17,3,1340,444,1137,3261,3525,6464,1960,139,28,6,10316,7988,18304
영등포구,1022,487,1078,3408,3600,5948,2001,159,31,9,1000,431,997,2329,2290,5098,1738,121,45,13,2022,918,2075,5737,5890,11046,3739,280,76,22,17743,14062,31805
동작구,205,126,1531,989,741,1188,436,37,11,4,191,199,2699,863,603,1259,482,31,14,2,396,325,4230,1852,1344,2447,918,68,25,6,5268,6343,11611
관악구,420,227,1147,1803,1301,2150,780,65,16,2,415,260,2101,1658,1137,2220,790,60,20,6,835,487,3248,3461,2438,4370,1570,125,36,8,7911,8667,16578
서초구,146,141,292,604,467,290,92,18,6,2,150,116,406,551,416,311,110,17,6,2,296,257,698,1155,883,601,202,35,12,4,2058,2085,4143
강남구,71,70,514,852,464,318,113,23,7,2,60,78,853,738,337,268,126,26,4,1,131,148,1367,1590,801,586,239,49,11,3,2434,2491,4925
송파구,190,78,347,819,607,733,258,26,8,0,181,96,605,905,568,823,272,31,6,2,371,174,952,1724,1175,1556,530,57,14,2,3066,3489,6555
강동구,115,63,296,454,370,513,202,21,2,0,119,78,359,533,441,603,187,21,4,2,234,141,655,987,811,1116,389,42,6,2,2036,2347,4383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
