지역,남성,여성
종로구,4467,5920
중구,4833,5300
용산구,8947,7000
성동구,3615,4440
광진구,6693,8899
동대문구,6350,10250
중랑구,2060,2918
성북구,4588,7307
강북구,1440,2350
도봉구,921,1382
노원구,1801,2452
은평구,1905,2650
서대문구,4291,8798
마포구,4369,7194
양천구,1816,2228
강서구,3234,3394
구로구,19466,14447
금천구,11370,8612
영등포구,19805,15407
동작구,5871,7244
관악구,8529,9246
서초구,2132,2139
강남구,2574,2530
송파구,3339,3595
강동구,2006,2306
