NM,CD,GUBUN,자치구,행정동
도봉구,11320,gu,도봉구,계
창1동,11320511,dong,도봉구,창1동
창2동,11320512,dong,도봉구,창2동
창3동,11320513,dong,도봉구,창3동
창4동,11320514,dong,도봉구,창4동
창5동,11320515,dong,도봉구,창5동
도봉1동,11320521,dong,도봉구,도봉1동
도봉2동,11320522,dong,도봉구,도봉2동
쌍문1동,11320660,dong,도봉구,쌍문1동
쌍문2동,11320670,dong,도봉구,쌍문2동
쌍문3동,11320680,dong,도봉구,쌍문3동
쌍문4동,11320681,dong,도봉구,쌍문4동
방학1동,11320690,dong,도봉구,방학1동
방학2동,11320700,dong,도봉구,방학2동
방학3동,11320710,dong,도봉구,방학3동
노원구,11350,gu,노원구,계
월계1동,11350560,dong,노원구,월계1동
월계2동,11350570,dong,노원구,월계2동
월계3동,11350580,dong,노원구,월계3동
공릉1동,11350595,dong,노원구,공릉1동
공릉2동,11350600,dong,노원구,공릉2동
하계1동,11350611,dong,노원구,하계1동
하계2동,11350612,dong,노원구,하계2동
중계본동,11350619,dong,노원구,중계본동
중계1동,11350621,dong,노원구,중계1동
중계4동,11350624,dong,노원구,중계4동
중계2.3동,11350625,dong,노원구,중계2.3동
상계1동,11350630,dong,노원구,상계1동
상계2동,11350640,dong,노원구,상계2동
상계3.4동,11350665,dong,노원구,상계3.4동
상계5동,11350670,dong,노원구,상계5동
상계6.7동,11350695,dong,노원구,상계6.7동
상계8동,11350700,dong,노원구,상계8동
상계9동,11350710,dong,노원구,상계9동
상계10동,11350720,dong,노원구,상계10동
은평구,11380,gu,은평구,계
녹번동,11380510,dong,은평구,녹번동
불광1동,11380520,dong,은평구,불광1동
불광2동,11380530,dong,은평구,불광2동
갈현1동,11380551,dong,은평구,갈현1동
갈현2동,11380552,dong,은평구,갈현2동
구산동,11380560,dong,은평구,구산동
대조동,11380570,dong,은평구,대조동
응암1동,11380580,dong,은평구,응암1동
응암2동,11380590,dong,은평구,응암2동
응암3동,11380600,dong,은평구,응암3동
역촌동,11380625,dong,은평구,역촌동
신사1동,11380631,dong,은평구,신사1동
신사2동,11380632,dong,은평구,신사2동
증산동,11380640,dong,은평구,증산동
