지역,남성,여성
종로구,4457,5680
중구,4848,5090
용산구,8967,6964
성동구,3296,4158
광진구,6204,8147
동대문구,5845,8942
중랑구,2035,2966
성북구,4120,6358
강북구,1361,2261
도봉구,869,1315
노원구,1849,2305
은평구,1783,2631
서대문구,4001,7503
마포구,3995,6572
양천구,1840,2241
강서구,2971,3296
구로구,17953,13679
금천구,10316,7988
영등포구,17743,14062
동작구,5268,6343
관악구,7911,8667
서초구,2058,2085
강남구,2434,2491
송파구,3066,3489
강동구,2036,2347
