지역,행정동코드,남자인구수,여자인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,직장인구,주거인구,대규모점포인허가수,편의점수,편의점매출,폐업률,지하철역수,1층임대시세
종로구,11110,75247,78533,35775,13792,10877,9649,2631,9086,13394,28272,22811,25576,27022,18602,12578,5080,920,311050.7297,153247.0714,21,331,3121827606,45.9,11,212040
중구,11140,62260,63772,29298,12583,9323,7407,1834,8210,8481,21156,22364,20815,22797,16510,10154,4067,702,506063.3208,119642.1953,62,432,2766825540,73.5,14,226352
용산구,11170,111078,118599,50177,22039,17054,14308,3662,16486,18622,35102,42623,41085,38125,26902,17082,7551,1339,178569.1505,230964.9934,22,295,3317867024,54.4,13,128975
성동구,11200,151571,156495,53571,28958,24842,21743,4909,23700,23932,49540,54687,51194,50685,33752,20078,7298,975,192197.6308,309775.8604,22,325,2970378295,30.6,16,126897
광진구,11215,173216,182532,69240,32155,27275,25203,5652,24198,30542,66086,62962,59112,59588,38513,21023,7263,1048,77063.17909,339056.4267,27,409,2995254795,76.5,9,107936
동대문구,11230,174128,174775,71395,32053,26330,23082,5962,23493,28328,63190,54565,56010,57093,43274,27286,9655,1376,90282.12992,336343.6538,34,394,2691566080,42,7,118968
중랑구,11260,201803,203748,70619,39937,32822,27785,6681,27384,31583,59037,63935,64018,73167,51598,28631,9460,1316,53784.42759,406056.2937,16,296,2739598560,48,11,89913
성북구,11290,214430,225842,69919,38423,34984,32779,7958,32885,41676,70369,65156,76185,69231,50331,32258,11756,1655,66690.15786,435034.1868,42,361,3648809460,110,11,105655
강북구,11305,157769,164616,56220,32679,26062,21213,5418,19782,26236,45182,45316,52680,55231,42576,28390,9230,1215,36271.1164,320557.6242,27,267,2295933627,39,11,91179
도봉구,11320,167465,174463,41897,32200,29175,26049,6321,22979,30694,47166,46759,55021,60045,44341,25910,9645,1397,39271.84295,335571.4005,15,219,2710114876,57.4,5,97093
노원구,11350,266826,282539,66145,47105,45114,46634,10089,39696,62573,78398,73725,96722,89995,61019,34730,14060,2019,68360.75536,540634.1809,25,350,3476915051,76,13,128814
은평구,11380,234905,249737,71730,45944,39547,34658,8907,34420,44037,66440,73297,82585,78522,57989,36785,12810,1782,49044.4877,458409.9607,34,357,2822638880,72,11,99553
서대문구,11410,150131,161149,55942,28682,24323,21739,5301,21687,26972,54771,47422,51325,50420,35535,24200,9320,1373,75541.91906,312811.0989,12,294,2775987648,37.8,7,134330
마포구,11440,178430,196261,73510,35075,28694,25680,6052,28490,31755,63553,69449,65607,54749,36785,24033,9494,1297,213568.629,360220.6139,32,555,3124046176,68.8,15,149627
양천구,11470,230322,236829,47672,36099,38459,41850,9527,35999,55959,63156,64643,85223,79036,50933,25135,9369,1417,69234.36848,446980.6134,26,316,2846354454,68.4,7,113300
강서구,11500,291966,308291,94180,56202,48806,43863,10574,48407,50759,88807,109409,96999,93296,69489,35029,12599,1982,187099.5287,574216.8836,35,548,3651778360,44,17,124556
구로구,11530,202016,205219,61659,37733,32818,30040,7357,34397,33831,58183,73275,73205,75536,53077,28335,9145,1166,172162.278,402346.3742,51,357,2906256345,37.5,10,108803
금천구,11545,118530,114733,45252,22512,18047,15441,3836,16235,17816,36406,39551,40714,48826,30711,16515,5103,723,189254.2225,236158.0979,29,255,1925465960,47,3,100783
영등포구,11560,183888,185115,74245,33751,28410,25130,5927,29137,27818,57864,72586,65467,69657,45526,25496,9408,1304,551345.357,415301.6322,44,507,3339486774,73.8,15,112828
동작구,11590,192296,202492,70744,35811,30873,28177,6752,28928,31395,68829,68085,63709,61777,45540,27559,9779,1417,67263.32857,366898.4433,20,344,2702933430,48,11,127102
관악구,11620,253600,250448,138902,48098,34454,28885,7057,29295,33968,106341,95516,77292,75932,56985,34540,10386,1418,68236.00753,498913.1969,26,471,3870944721,84,4,123668
서초구,11650,210596,229248,56709,34368,34542,36849,8910,38795,47642,58922,71713,82212,63517,45665,25245,8481,1611,483615.2277,428040.8472,33,558,3709360692,52.2,17,142847
강남구,11680,261815,285137,87621,42154,41293,44619,10280,40487,61361,78880,90873,101432,80184,56324,30023,10132,1946,834672.2438,557954.6233,55,991,4375710548,81.4,26,159885
송파구,11710,323741,342698,88247,54441,54376,55211,12419,54866,64330,96170,116419,112695,104890,74671,34717,12059,2109,310177.7859,666525.7564,46,646,4586092938,97.2,18,129378
강동구,11740,214740,218009,60501,37596,35039,33947,8194,33140,40160,59873,69741,71230,73336,53574,25571,8734,1484,89963.30754,414195.7888,45,417,2634320934,68.4,10,107111
