이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,매출
용문동,11170590,140551,889,986,1805,2133,2006,2030,1505,930,354,1896,1297,1025,868,2724.658,16690.9,7,24,0,137,0,1,1,7,1,1,25756737
한강로동,11170625,154658,1137,1021,2786,3906,2948,3194,2294,1320,600,5374,1834,1233,896,43363.3,25235.97,45,84,62,814,4,0,11,18,0,4,93487189
이촌1동,11170630,313893,3061,3139,3021,4005,5459,4457,2816,1894,1114,2239,2239,2619,2421,16186.05,19012.25,13,30,0,229,0,2,2,3,5,0,41459226
이촌2동,11170640,92229,614,583,1016,1581,1294,1454,1291,773,358,1315,1049,755,558,2252.336,34410.81,4,10,1,41,0,0,0,1,1,0,84565506
이태원1동,11170650,226931,402,416,1787,1779,1301,1320,1053,648,374,2162,728,439,324,12691.39,15481.69,25,66,12,615,0,0,3,4,2,1,98282185
이태원2동,11170660,160846,638,630,1633,2134,1723,1491,1222,898,407,2598,1015,660,449,2996.73,20058.14,14,28,2,332,0,1,0,3,0,0,67588808
한남동,11170685,147759,1449,1429,3202,4858,3995,3598,2710,1630,626,6088,2284,1380,920,41921.36,25501.59,23,86,8,713,6,3,9,13,1,2,73013155
서빙고동,11170690,144110,963,1655,1886,1759,2712,2325,1363,866,595,1733,1107,949,1101,17692.05,9098.839,9,19,1,62,2,0,1,0,0,1,39585793
보광동,11170700,86167,645,936,2614,2699,2474,2748,2001,1245,530,4043,1688,1030,722,1994.068,27544.81,10,35,6,191,0,1,5,5,0,0,67345273
왕십리2동,11200520,118056,1312,1381,2683,3212,2841,2905,2035,1121,415,2896,1671,1472,1204,1336.677,18162.02,10,18,7,120,0,2,3,7,4,1,20687061
왕십리도선동,11200535,136197,2579,1722,4624,5072,4223,4517,2786,1588,658,4406,2458,2338,2005,4879.023,34914.37,32,44,33,439,2,4,7,15,1,0,50690539
마장동,11200540,131807,1386,1891,4800,3482,3351,4007,2869,1671,646,4779,2300,1774,1527,3979.921,15081.5,15,37,3,217,5,2,11,8,1,1,58983771
사근동,11200550,139365,496,1018,5695,1860,1263,1280,945,743,255,5241,948,574,504,2691.08,15353.14,34,20,2,435,0,13,16,20,0,2,1.13E+08
행당1동,11200560,169283,1117,1167,2935,2737,2553,2714,1877,1091,407,3036,1535,1342,1098,9926.886,20522.42,18,37,1,323,0,0,7,10,5,1,48955365
행당2동,11200570,191129,2065,2387,3106,3882,4525,3919,2662,1641,620,2353,2340,2182,2085,290.2906,16589.1,7,9,0,75,0,0,0,3,3,1,51291781
응봉동,11200580,157901,1302,1839,1808,2368,3170,2434,1655,1171,453,1598,1387,1427,1346,1330.988,9093.478,3,16,0,41,0,1,0,1,0,1,6666667
금호1가동,11200590,125396,1328,1204,1956,2952,2664,2459,1905,1066,451,2091,1652,1419,1145,2557.883,17617.6,8,16,2,71,0,2,2,2,3,1,6209688
금호2.3가동,11200615,147156,1908,1681,3088,4505,4017,3743,2869,1754,670,3543,2571,2128,1622,1101.994,30254.91,13,38,10,234,0,2,5,7,1,0,33194624
금호4가동,11200620,100600,1520,1024,1718,2954,2703,2236,1706,1034,388,2163,1593,1479,986,1042.744,18142.18,9,19,2,122,1,4,2,8,2,1,11203197
옥수동,11200645,184328,2755,1773,3201,5547,4466,4038,3016,1701,702,3183,2797,2547,1874,8592.166,28727.59,11,14,0,156,1,2,2,5,5,1,80773150
성수1가1동,11200650,104413,1165,1318,2712,3039,2751,3148,1922,957,351,3092,1661,1329,1241,3846.468,20066.84,23,35,3,173,2,3,5,10,2,0,52226851
성수1가2동,11200660,128943,961,1079,2538,2891,2437,2403,1733,913,358,3187,1454,1155,969,6092.195,24706.3,29,39,5,433,6,1,9,15,1,2,42323574
성수2가1동,11200670,79241,976,1112,2613,2862,2744,3592,2523,1217,438,4169,1768,1316,1053,9522.93,32276.91,23,41,11,374,1,7,9,18,2,0,54968109
성수2가3동,11200690,119524,667,617,2141,2129,1624,1999,1468,795,309,2902,1049,812,670,23258.74,21975.27,53,58,7,515,6,6,18,27,1,1,53434899
송정동,11200720,86989,641,691,1830,1900,1768,2230,1528,743,260,2775,1146,818,631,1923.695,45318.12,8,20,7,74,2,1,2,4,0,0,53042630
용답동,11200790,124298,607,807,2293,2072,2201,2731,1757,1071,398,4157,1256,823,688,5162.897,32933.29,15,49,7,238,8,3,7,17,2,3,42259641
화양동,11215710,167699,529,1184,11096,4634,2362,2296,1707,1035,392,12427,1992,758,600,3042.434,15342.41,63,45,34,955,1,17,30,100,3,1,75762823
군자동,11215730,101971,1143,1300,5487,4005,2796,3190,2257,1369,474,5788,2021,1345,1090,2777.387,16044.83,27,36,13,363,2,5,11,22,2,0,32746282
중곡1동,11215740,82569,941,900,2687,3240,2408,2781,2018,1146,327,3854,1809,1246,862,3701.882,27409.9,16,36,7,256,6,7,7,23,1,0,72541145
중곡2동,11215750,86724,1422,1556,3868,4162,3278,3820,2579,1403,437,4411,2316,1787,1413,2917.547,31649.46,24,41,9,266,1,4,4,24,4,0,39841891
중곡3동,11215760,98827,942,1129,2788,2966,2568,3235,2195,1257,409,3950,1927,1330,978,1631.759,12679.1,20,22,7,236,4,10,3,19,2,1,44741668
중곡4동,11215770,114231,1804,2301,4642,4787,4642,5679,3952,2200,661,4887,3054,2592,2033,4896.79,10757.92,22,40,3,225,2,5,9,20,4,0,35608315
능동,11215780,147636,679,599,2392,2833,1637,1513,1190,735,257,3445,1295,748,518,2711.459,26148.01,17,20,1,150,5,3,7,21,0,3,42874406
광장동,11215810,143667,3475,5744,4247,4233,8027,5272,2852,1452,737,2186,1904,3003,4033,10456.22,33992.79,25,36,4,245,2,2,5,9,12,1,37985825
자양1동,11215820,120657,1253,1691,4468,4278,3742,4087,2745,1497,508,5555,2430,1702,1364,11404.47,49571.61,24,29,4,336,4,6,13,20,4,0,66151509
자양2동,11215830,93207,1923,2136,4060,4522,4375,4549,3384,1622,559,3926,2498,2224,1996,5361.617,20111.83,21,36,2,235,1,7,6,22,4,1,30948333
자양3동,11215840,116743,2640,2838,4139,4643,4870,4836,3297,1551,758,2875,2351,2492,2620,3850.528,4085.116,27,31,4,290,1,5,4,9,5,1,73645292
자양4동,11215847,149053,1065,1104,3957,3625,3440,4984,3227,1610,563,5065,2015,1405,976,1419.932,15252.87,33,36,16,446,1,10,13,46,4,0,52167900
구의1동,11215850,103925,1095,1398,4724,4593,3461,3577,2328,1417,516,6178,2387,1595,1178,3790.741,26216.47,29,41,6,445,1,6,15,56,1,0,39247239
