이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
필동,11140570,134650,230,334,1235,771,574,722,570,344,173,1386,382,243,179,19108.09,48809.21,29,40,12,514,2,4,8,19,2,1,75734321
장충동,11140580,89626,255,450,1636,800,757,673,537,383,145,1616,460,268,221,13527.61,22900.21,18,15,12,148,2,2,3,3,1,1,59902075
광희동,11140590,182225,198,303,1046,903,804,1146,899,491,185,1807,518,289,212,38740.98,16634.01,46,223,52,826,2,5,18,19,2,1,76746925
을지로동,11140605,191859,51,51,221,218,207,386,380,196,77,926,133,69,36,28544.49,29338.56,31,120,27,614,3,1,20,19,3,2,51832757
신당동,11140615,336315,364,467,1885,1546,1535,1839,1013,613,228,2632,798,509,356,14335.03,22231.58,38,130,18,334,3,1,10,21,1,1,60394851
다산동,11140625,108725,733,1072,2582,2511,2392,2450,1820,1223,394,2971,1609,1115,904,7766.974,20831.48,16,32,7,205,3,1,6,19,1,1,78461799
약수동,11140635,141717,1351,1145,2263,2832,2794,2963,2425,1539,699,2760,1995,1565,1120,2712.865,9146.151,15,15,3,131,0,5,3,9,2,2,62816550
청구동,11140645,125751,933,1088,2159,2410,2295,2510,1738,1191,527,2440,1513,1192,994,2856.042,27473.36,7,15,0,86,0,2,4,2,2,0,63489359
신당5동,11140650,140215,618,667,1354,1476,1643,1736,1158,740,249,2043,921,702,585,2354.825,48502.09,7,18,8,228,7,4,4,14,1,0,81474640
동화동,11140665,130071,850,935,1672,1583,1782,2038,1247,729,344,1175,878,888,923,2131.683,17339.99,13,14,4,105,0,3,7,7,0,0,40036474
황학동,11140670,145735,863,605,2265,2827,1992,2103,1463,834,294,3356,1325,893,633,3241.652,14602.1,14,38,23,258,0,1,5,11,0,0,87215483
중림동,11140680,158501,1073,856,1581,2521,2035,2015,1339,848,347,2421,1213,997,825,7447.454,22195.62,14,25,13,236,0,5,6,6,1,0,41288743
후암동,11170510,119917,1241,1569,2612,3161,3122,3004,2123,1308,554,3901,1680,1413,1138,3292.841,19287.02,18,39,5,202,2,2,2,4,0,0,57597457
용산2가동,11170520,114724,598,785,1931,2373,1884,1809,1481,905,383,2784,1206,789,566,2968.7,18080.72,17,30,1,194,0,1,1,3,0,1,33918425
남영동,11170530,88701,283,337,1147,1190,1355,1828,1348,656,253,4172,594,334,247,52698.48,18650.32,32,37,35,509,1,9,14,24,2,3,64131041
청파동,11170555,114279,881,1518,4243,3376,3242,3310,2277,1554,582,5896,1966,1271,1049,8556.984,23103.81,28,57,11,447,4,7,5,14,4,0,65837384
원효로1동,11170560,114736,1424,960,2370,3579,2573,2147,1471,839,317,3238,1526,1185,947,16340.55,19218.49,21,32,7,364,2,3,5,11,2,0,72469145
원효로2동,11170570,100766,1146,1534,1939,2313,2632,2369,1649,1027,474,1952,1300,1193,1161,4075.125,45385.25,16,24,3,120,6,1,4,5,2,0,57211911
효창동,11170580,129762,644,799,1406,1525,1482,1404,885,642,267,1327,835,653,653,1701.404,16749.61,10,21,0,64,0,0,2,0,2,0,55540082
용문동,11170590,120811,953,1046,1781,2217,2126,1984,1432,907,315,1846,1230,1047,915,1024.046,20226.69,7,21,0,130,0,1,2,6,1,1,30214018
한강로동,11170625,124010,1153,1027,2724,3760,2946,3057,2199,1309,594,5214,1753,1202,895,60560.63,29454.59,46,82,63,793,4,1,11,20,0,4,99934004
이촌1동,11170630,220350,3138,3183,2889,4135,5620,4261,2681,1856,1093,2189,2193,2579,2442,2771.054,44725.7,11,28,0,224,0,2,3,3,4,0,74653804
이촌2동,11170640,100762,659,603,1065,1607,1377,1485,1254,781,340,1251,1008,804,584,503.9333,14967.2,5,10,1,46,0,0,0,1,1,0,65880495
이태원1동,11170650,171669,420,437,1507,1703,1303,1318,1019,665,339,2249,712,449,309,5622.582,17349.73,25,57,12,628,0,0,4,4,2,1,1.08E+08
이태원2동,11170660,235874,647,661,1633,2171,1785,1554,1188,894,377,2571,1002,677,475,2582.882,17908.82,15,23,2,366,0,1,0,3,0,0,93592090
한남동,11170685,139726,1529,1431,3371,4990,4089,3567,2626,1629,594,5902,2269,1398,964,14937.64,17692.93,25,84,7,679,6,3,9,14,1,2,90797206
서빙고동,11170690,78182,1060,1710,1873,1762,2876,2293,1287,879,564,1710,1093,969,1161,5839.18,32987.91,8,20,1,59,2,0,1,0,0,1,72299563
보광동,11170700,92013,710,1022,2611,2761,2673,2735,1982,1231,505,3975,1672,1091,802,787.7408,14791.49,11,31,6,186,0,1,6,5,0,0,72200848
왕십리2동,11200520,135498,1339,1430,2810,3304,2959,2943,1928,1112,389,2911,1652,1464,1264,1304.75,48623.67,10,17,6,118,0,3,3,7,5,1,46417981
왕십리도선동,11200535,149284,2591,1796,4608,5114,4354,4462,2640,1537,602,4156,2432,2283,2093,8349.731,27754.07,35,43,40,430,2,4,7,15,1,0,49985042
마장동,11200540,132900,1454,1975,4721,3637,3516,3996,2759,1627,604,4382,2210,1791,1633,11178.68,15724.26,14,42,3,213,5,2,11,9,1,1,74588530
사근동,11200550,189639,525,948,5223,1854,1330,1285,914,740,241,4700,903,599,542,7313.527,20714.26,34,20,2,441,0,12,16,19,0,2,85067398
행당1동,11200560,158169,863,1118,2511,2224,2256,2419,1627,993,367,2718,1288,1100,939,6266.634,38235.84,18,34,1,307,0,2,8,9,5,1,48718586
행당2동,11200570,134326,2264,2474,3120,4092,4693,3817,2503,1603,566,2302,2201,2226,2152,897.5125,34665.69,8,9,0,75,0,0,0,3,3,1,51862070
응봉동,11200580,101570,1428,1903,1815,2455,3326,2345,1631,1157,443,1651,1372,1395,1400,471.4132,13175.57,4,15,0,42,0,0,1,1,0,1,6666667
금호1가동,11200590,149747,1364,1289,1918,2906,2657,2466,1781,1067,413,1989,1555,1350,1200,1007.935,15990.21,11,18,3,64,0,2,1,3,3,1,40382745
금호2.3가동,11200615,121886,1988,1788,3131,4692,4049,3707,2735,1746,612,3456,2477,2122,1688,1217.308,10359.69,13,34,11,227,0,2,5,7,1,0,70164679
금호4가동,11200620,145070,1538,1030,1711,2987,2755,2274,1633,1034,351,2162,1545,1406,1053,838.8656,51558.73,8,18,3,119,1,4,2,10,2,1,15038580
옥수동,11200645,179800,2839,1864,3350,5674,4548,4007,2844,1635,670,3099,2741,2533,1975,3329.858,22450.95,17,14,1,153,1,2,2,5,5,1,81480033
성수1가1동,11200650,94385,1223,1422,2714,3120,2914,3190,1792,920,350,3032,1615,1342,1298,6640.616,23978.49,21,33,3,168,2,3,3,11,2,0,74661891
성수1가2동,11200660,120022,1076,1139,2639,3028,2579,2592,1714,948,319,3213,1507,1215,1045,15668.36,17009.87,29,37,5,399,6,1,10,16,1,2,51548788
성수2가1동,11200670,98796,1059,1236,2683,2939,2928,3655,2387,1216,414,4029,1739,1344,1148,44919.11,15210.21,26,36,11,380,1,7,10,19,2,0,68713476
성수2가3동,11200690,110844,726,683,2077,2236,1710,2049,1445,785,280,2787,1079,821,722,48668.09,10466.22,53,59,9,484,6,6,18,28,1,1,67476364
송정동,11200720,95767,694,761,1825,1952,1870,2294,1437,731,264,2601,1115,834,693,2448.223,44853.87,6,22,7,75,1,1,2,4,0,0,67001447
용답동,11200790,105001,729,1076,2684,2473,2750,3184,1982,1227,413,4383,1527,1017,898,27241.96,48046.46,18,57,11,235,9,6,6,17,2,3,50984445
화양동,11215710,147351,597,1041,10291,4612,2417,2315,1712,1032,350,11579,1904,838,646,6410.88,14332.09,63,43,37,959,1,20,30,111,2,1,1.01E+08
군자동,11215730,107359,1205,1338,5278,3987,2988,3179,2151,1327,417,5484,1975,1400,1146,6822.36,37054.01,28,32,14,353,3,7,11,24,2,0,42107278
중곡1동,11215740,92260,969,953,2644,3276,2452,2750,1900,1128,290,3524,1795,1258,908,4208.976,73846.54,15,36,7,253,8,8,7,23,1,0,79262380
중곡2동,11215750,87060,1495,1687,3855,4162,3401,3904,2493,1349,403,4215,2234,1828,1521,3930.107,16265.09,26,43,8,262,1,4,3,25,4,0,35192447
중곡3동,11215760,91166,990,1260,2787,3090,2755,3279,2105,1210,359,3709,1904,1397,1050,2489.581,28169.69,20,23,6,251,4,10,3,20,2,1,48675931
중곡4동,11215770,89814,1960,2575,4737,4928,5009,5665,3803,2070,620,4682,2931,2622,2231,2522.681,31514.09,25,36,3,242,2,5,9,20,5,0,39592054
능동,11215780,123130,729,634,2343,2883,1649,1497,1146,704,227,3294,1257,777,559,3278.483,32225.39,20,21,1,153,5,3,7,21,0,3,41527628
광장동,11215810,108525,3632,5866,4276,4302,8177,5239,2644,1468,709,2105,1783,2958,4136,6875.695,20496.05,28,34,2,257,2,2,5,9,12,1,67761771
자양1동,11215820,99587,1325,1812,4397,4438,3928,4103,2633,1433,473,5344,2401,1681,1466,9047.837,22874.55,27,32,5,317,4,8,11,21,4,0,72560926
자양2동,11215830,101332,2086,2302,4052,4743,4495,4621,3193,1575,511,3818,2452,2300,2058,5406.941,32529.26,21,36,1,240,2,8,7,20,4,1,52464265
자양3동,11215840,121776,2771,3017,4232,4831,5094,4869,3133,1501,722,2730,2315,2509,2720,3156.051,24211.33,28,30,4,295,1,5,4,10,5,1,1.14E+08
자양4동,11215847,103327,1160,1219,4094,3854,3757,5236,3177,1599,531,5228,2065,1432,1107,2923.687,12739.48,33,37,15,435,1,12,14,48,4,0,76593672
구의1동,11215850,110851,1193,1555,4630,4647,3629,3639,2250,1387,458,5853,2352,1663,1245,4627.053,11830.74,28,35,6,436,1,8,15,63,1,0,56779022
구의2동,11215860,98962,1890,2408,3550,4105,4311,4272,3108,1652,568,3752,2333,2102,1870,3356.907,31771.64,16,38,11,246,4,7,3,13,5,0,58195247
구의3동,11215870,126248,2196,2875,4920,5104,5050,5020,3065,1588,625,3923,2454,2510,2540,9576.546,45329.39,31,68,8,421,2,8,10,19,10,1,73109885
용신동,11230536,120833,1667,1755,5576,5427,4757,5363,3805,2595,951,9148,2990,1962,1604,28668.4,52969.27,61,110,38,698,7,6,18,25,3,2,62042207
제기동,11230545,124386,1342,1764,5650,3855,3627,4183,3681,2480,946,6522,2510,1740,1412,6055.097,31044.94,27,138,29,478,1,4,6,6,2,1,68994146
전농1동,11230560,127935,1935,2246,4458,4314,4506,5041,3785,2492,842,6623,2736,2209,1850,2877.728,24589.77,30,44,26,412,4,11,14,17,9,0,57522388
전농2동,11230570,133717,1518,2022,2688,2672,3462,3330,2416,1551,613,2028,1767,1736,1540,2894.443,35118.23,15,28,1,149,1,3,6,9,3,0,74310994
답십리1동,11230600,122658,2452,1996,3726,4852,4310,4037,2691,1654,596,4238,2189,2113,1879,4930.61,36781.96,32,40,19,238,1,2,11,18,3,0,58958345
답십리2동,11230610,94022,1981,2430,3916,4125,4788,5109,3756,2326,839,3963,2787,2383,2169,3851.855,24568.69,16,35,4,183,4,5,4,17,5,0,60871899
장안1동,11230650,105897,2913,2956,5368,6951,6592,6327,4862,2540,757,6830,3604,3097,2655,12915.82,28596.81,54,70,21,631,9,17,24,40,0,0,66197618
장안2동,11230660,95242,2844,2920,3643,4995,5688,4735,3703,1966,595,4148,2601,2627,2425,6689.339,15502.47,34,78,31,575,1,8,25,35,13,0,67883641
청량리동,11230705,123481,1105,1454,2866,2914,3220,4216,3557,2419,913,4789,2298,1634,1306,5756.013,26835.05,17,78,18,353,5,6,12,19,2,1,56329957
회기동,11230710,172855,592,1040,4628,1765,1429,1240,930,719,266,3680,860,609,538,3759.537,36156.92,25,29,7,473,1,9,12,28,3,0,61175789
휘경1동,11230720,128554,608,945,3908,2115,1937,2062,1553,1029,386,3793,1225,861,718,2104.718,11474.37,17,28,16,213,1,5,2,14,3,1,64325948
휘경2동,11230730,116193,1626,2404,5138,3433,3864,3617,2780,1622,558,4893,2018,1845,1774,3498.884,35852.26,16,24,0,137,7,2,5,3,2,0,87485639
이문1동,11230740,124405,1318,2263,8442,4086,4132,4221,3101,2212,823,7985,2541,1805,1480,5685.433,18051.33,36,47,5,455,1,13,7,16,8,1,92601967
이문2동,11230750,68702,1592,2133,3183,3061,3698,3612,2654,1681,570,2755,1927,1709,1732,985.8893,18422.01,14,28,6,104,1,1,3,6,3,1,55881939
면목2동,11260520,88047,1706,2035,3656,4069,4325,5043,3281,1860,609,5221,2672,2071,1692,2624.875,95697.08,21,41,10,272,4,2,9,26,2,0,39050107
면목4동,11260540,74020,1361,1551,3069,3266,3404,3492,2737,1670,401,3945,2115,1687,1348,2398.398,46432.6,13,38,2,150,1,1,5,10,0,1,57410857
면목5동,11260550,72812,641,768,1403,1597,1636,1920,1288,745,230,1896,1093,814,648,1143.29,13877.21,6,20,5,96,6,4,6,6,2,0,29137686
면목본동,11260565,88627,2029,2504,5688,6102,5837,6675,4493,2512,765,7971,3857,2853,2133,2918.551,12283.92,29,66,7,418,0,9,10,35,1,1,73360264
면목7동,11260570,87874,1294,1488,3252,3429,3405,4154,3089,1697,581,4147,2284,1791,1444,1077.806,28566.42,17,32,4,232,1,4,7,23,4,0,75762724
면목3.8동,11260575,87998,1435,1926,4101,4073,4280,5052,3665,2131,678,5408,2830,2190,1665,3643.236,12451.6,20,40,11,423,1,13,18,57,3,1,59249315
상봉1동,11260580,92636,2053,2372,3871,3890,4019,4591,2846,1519,552,2942,2256,2206,2157,2906.259,23522.91,15,44,0,149,2,4,4,9,1,0,37499442
