이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
중계본동,11350619,152734,1724,4955,3780,2094,5850,4802,2097,1119,545,2127,1367,1947,2916,2342.972,37286.08,14,26,0,210,1,4,7,8,12,0,68108330
중계1동,11350621,210576,2034,6172,3354,2099,7210,4427,1722,1001,461,1391,1275,2253,3454,1562.622,15327.16,14,23,0,159,0,4,1,4,13,0,63248320
중계4동,11350624,143662,1402,2699,2764,2391,4017,3614,2573,1686,630,2338,1931,1702,1940,2399.048,24630.01,11,27,0,256,0,5,10,25,7,0,54384989
중계2.3동,11350625,208505,2698,3971,4687,5068,6829,5873,4557,3133,1316,4599,3880,3267,2977,2800.978,28808.52,9,42,0,173,1,1,2,2,1,1,1.21E+08
상계1동,11350630,117448,2860,3924,5924,5573,6580,7361,5104,2737,1076,4242,3499,3366,3431,6777.946,16902.53,27,44,2,410,3,9,17,36,6,1,54091082
상계2동,11350640,151481,1199,2229,3630,2614,3554,4076,2559,1339,520,3003,1675,1643,1891,4511.057,19063.3,25,58,0,686,3,11,25,66,11,1,1.30E+08
상계3.4동,11350665,82843,1488,2392,3285,3073,4331,4921,3923,2698,927,4541,2793,2074,1817,3413.984,43664.92,15,56,3,245,0,5,12,22,4,1,43406546
상계5동,11350670,94242,1430,2580,3762,3160,4351,4810,3369,2210,812,3812,2622,2202,1937,2086.638,13268.64,12,34,5,234,0,10,9,16,6,1,45182682
상계6.7동,11350695,158613,3139,3721,4881,5548,6448,5637,3504,1823,872,4021,3133,3136,3055,6852.535,24158.05,28,35,14,311,3,4,11,24,9,0,73827405
상계8동,11350700,185570,3049,2606,2653,5523,4321,2948,2050,1084,498,2107,2176,2365,2191,1147.821,32736.36,6,11,0,62,0,2,0,4,2,1,88389112
상계9동,11350710,156429,1800,2593,2860,3248,4090,3604,2540,1269,558,1965,2050,2040,2016,1269.257,15712.31,7,18,0,70,0,1,1,3,6,0,63105192
상계10동,11350720,128814,1235,1715,2501,2798,2956,2842,1892,813,410,1679,1622,1634,1420,1000.695,28690.11,5,12,0,30,1,2,1,5,2,0,32735135
녹번동,11380510,96273,2226,2447,4406,5223,5388,5453,4144,2746,954,5957,3332,2656,2140,6651.87,21976.62,26,52,8,313,5,8,9,18,1,2,54243217
불광1동,11380520,117929,3103,3185,5683,6363,6831,6995,4989,3393,1277,6079,4123,3680,2885,2793.943,27772.71,13,24,5,228,0,4,4,17,4,1,46448386
불광2동,11380530,104358,1558,2316,4376,4435,4726,5196,3965,2583,855,5506,3267,2424,1824,2812.485,20252.75,25,58,13,343,5,8,8,9,1,1,65003032
갈현1동,11380551,95771,1336,2115,3956,3631,4015,4347,3208,1989,624,4263,2622,2082,1607,2379.507,27107,21,38,9,414,3,10,15,41,4,0,55514444
갈현2동,11380552,109404,2010,3163,4467,4643,5241,4993,3410,2130,740,3971,2893,2677,2227,3136.811,31173.73,34,54,1,379,2,10,14,32,5,0,41367419
구산동,11380560,83293,2272,3186,4554,4621,5643,5701,4286,2587,915,3606,2990,2764,2512,4423.94,53905.27,24,41,1,146,0,0,1,4,5,1,59621074
대조동,11380570,102072,1901,2443,5275,5471,5249,5185,3906,2635,853,7258,3435,2477,1935,3504.551,30072.72,33,66,46,548,0,8,14,33,3,1,74305258
응암1동,11380580,115080,1883,2773,3404,4177,4641,3820,2873,1879,678,4411,2425,1993,1784,4138.783,8875.764,27,35,7,280,1,5,9,16,10,0,68752411
응암2동,11380590,85725,2362,1981,2319,3728,4063,2998,2166,1383,468,2432,1866,1871,1698,1376.771,12904.13,4,9,0,70,0,0,3,6,0,0,10179624
응암3동,11380600,93465,1311,2042,3672,3707,4172,4564,3514,2535,930,5511,2799,2060,1549,2043.734,18842.92,28,53,12,468,5,10,20,42,6,0,91070231
역촌동,11380625,92550,3665,4413,6910,8140,8593,8009,5749,3617,1193,7012,4730,4278,3613,4208.903,18459.05,41,56,4,456,0,16,16,27,10,0,59876717
신사1동,11380631,93935,1883,2384,3967,4431,4591,4575,3391,2127,670,3432,2662,2432,2085,2100.26,7100.948,20,28,2,195,4,9,8,19,3,1,76134577
신사2동,11380632,75108,1453,2065,3027,3272,3622,3756,2845,1567,572,2937,2108,1835,1651,1718.893,24372.54,12,22,0,96,3,0,2,1,2,1,48263820
증산동,11380640,63743,1041,1389,2204,2275,2659,2857,2259,1400,468,2381,1646,1294,1203,2031.261,17718.08,16,23,0,192,5,3,10,10,0,1,62634102
수색동,11380650,73809,647,924,1656,1705,1815,2252,1830,1059,407,1895,1260,973,851,1551.966,20230.13,1,18,9,114,4,1,0,5,0,1,45243343
진관동,11380690,131409,5769,7211,6564,7475,11336,7821,5454,3155,1206,5079,3786,4051,5094,4423.773,18993.06,32,45,2,357,3,4,4,4,6,1,38880534
천연동,11410520,99609,1585,1733,2412,2822,3325,3075,2059,1512,651,3331,1680,1548,1399,1759.56,40322.9,10,22,3,191,0,2,6,7,3,0,54699441
북아현동,11410555,188282,1512,1234,2822,3227,2872,2942,1649,1078,407,2790,1683,1483,1295,1294.624,23694.95,8,38,5,117,0,0,3,4,2,0,42321069
충현동,11410565,108396,893,1419,2984,2723,2912,3250,2225,1416,626,4313,1677,1258,1146,24784.95,35823.58,27,37,1,474,0,2,8,13,3,2,74505272
신촌동,11410585,217905,1038,1286,10124,3747,2199,2058,1420,1039,427,8497,1480,849,669,21489.95,29758.01,82,121,74,1563,2,24,28,63,16,2,77828048
연희동,11410615,105565,2076,3171,8288,6455,6117,5803,4126,3048,1196,9375,3508,2620,2213,9058.184,32514.24,37,54,3,482,7,6,7,8,8,0,83372158
홍제1동,11410620,119428,1589,2057,3010,3356,3957,3780,2899,1947,722,3136,2246,1886,1672,1497.008,22137.15,14,37,4,199,1,3,1,14,0,0,63044336
홍제3동,11410640,104529,910,1422,2253,2090,2668,2866,2249,1617,640,2582,1636,1365,1156,1170.506,25493.17,11,31,10,250,1,1,9,11,5,1,91872039
홍제2동,11410655,121252,1009,1279,1979,2013,2376,2698,1783,1228,456,1632,1419,1271,1169,1667.142,19419.74,4,10,3,101,5,5,3,8,4,1,75391002
홍은1동,11410660,102028,1508,2245,3300,3026,3911,4240,3089,2031,817,3225,2156,1953,1829,1449.51,28623.62,10,32,3,144,0,2,5,4,5,0,62340083
홍은2동,11410685,107582,1736,2729,4514,4017,4903,4946,3494,2366,909,4687,2800,2326,2051,3519.521,13442.65,20,33,1,233,5,8,9,7,6,0,53458376
남가좌1동,11410690,202508,2443,1432,2008,2919,3206,2273,1634,978,350,1426,1162,1491,1489,1418.172,20856.15,8,34,15,163,1,0,3,5,3,1,60666779
남가좌2동,11410700,84515,1486,1981,3707,3168,3637,3666,2627,1855,714,4202,2185,1719,1516,1564.212,29268.98,21,29,1,306,2,11,10,25,4,0,38899856
북가좌1동,11410710,134330,1758,2017,2396,2909,3548,3016,2051,1334,475,1489,1597,1704,1707,1733.801,14116.31,10,11,0,57,1,1,2,0,4,0,75127729
북가좌2동,11410720,111716,2144,2967,4974,4950,5694,5807,4230,2751,930,5257,3453,2850,2428,2763.538,21182.97,32,33,3,272,1,11,12,16,6,0,55114688
아현동,11440555,206701,2706,1787,3445,5459,4134,4015,2338,1296,566,3214,2270,2350,2001,19188.44,14081.21,22,40,7,499,0,4,6,5,8,1,63541429
공덕동,11440565,103366,2585,2841,6551,7048,6551,6836,4281,2739,1086,7859,3929,3199,2701,12380.08,40403.84,30,49,4,279,1,4,10,15,1,1,48559722
도화동,11440585,172000,1719,1848,3182,4002,3701,3606,2488,1580,771,3524,2042,1823,1689,11182.77,26264.33,22,27,4,412,0,3,6,23,1,0,67191914
용강동,11440590,139479,2429,2018,2599,4102,4458,3108,1974,1283,570,3079,1926,1898,1716,17095.48,38283.94,29,32,1,416,4,3,8,25,2,1,47644461
대흥동,11440600,131515,490,852,4028,2115,1901,1839,1213,890,365,4664,1187,657,521,6079.034,16958.51,41,30,46,362,1,8,5,11,5,3,72922446
염리동,11440610,120056,654,959,2163,1593,1862,1656,1102,837,317,2349,1026,754,623,6191.801,19994.28,9,28,5,203,2,0,2,10,4,1,49842795
신수동,11440630,132489,1656,1974,3330,3609,3852,3187,2108,1409,575,3487,1851,1760,1607,3665.765,31763.57,17,24,1,190,0,0,5,4,1,0,71459455
서강동,11440655,155007,2033,2015,5021,4686,4345,3679,2160,1338,568,5036,2208,1968,1800,7463.229,23441.94,41,47,5,570,4,8,3,4,6,2,71504625
서교동,11440660,174220,1145,1527,6072,5748,4057,3148,2196,1577,675,8332,2452,1515,1198,49629.42,47133.1,132,156,23,2941,0,24,45,86,6,2,90178696
합정동,11440680,137632,1487,1155,3736,4307,2823,2596,1866,1223,461,4836,2131,1303,1026,10544.78,6176.613,29,45,8,570,4,4,4,12,0,1,78262960
망원1동,11440690,143486,1277,1571,3484,4173,3555,3156,2305,1534,553,4769,2280,1501,1287,2967.536,35100.75,25,33,2,419,0,5,10,18,2,0,64886048
망원2동,11440700,105055,1477,1882,2738,3331,3568,2814,2110,1346,451,2799,1873,1531,1535,1452.93,38330.7,18,31,0,272,3,6,3,14,2,0,53377675
연남동,11440710,124463,851,1056,3588,3672,2674,2323,1789,1144,484,4704,1834,1109,834,4958.194,16321.22,26,44,2,668,0,3,1,10,2,0,57812942
성산1동,11440720,112213,1241,1706,3206,3808,3731,2865,2085,1361,445,4030,1989,1566,1253,8334.862,12468.45,31,27,3,233,8,5,4,15,3,0,43071951
성산2동,11440730,141841,3193,4061,6273,6952,7384,5601,3988,2790,935,6940,3682,3242,3082,9830.541,30094.05,30,44,1,285,1,2,8,3,4,2,62391219
상암동,11440740,179654,3547,4503,4137,4844,7011,4320,2782,1686,672,3888,2395,2518,2807,39593.38,26370.64,53,43,0,753,1,3,8,7,0,1,73776171
목1동,11470510,152416,3132,5388,3758,3811,7379,4860,2550,1176,437,1582,1674,2791,3582,12857.31,17788.22,36,29,3,592,0,5,15,26,8,2,67452083
목2동,11470520,106250,2135,2999,5134,5846,4958,5217,3313,1520,590,4160,2767,2622,2495,2615.585,25469.66,25,29,2,200,9,7,8,15,4,1,41716898
목3동,11470530,130152,1496,1764,3567,4050,3350,3720,2494,1221,512,3263,2110,1902,1591,2390.137,26577.35,17,31,1,240,0,5,11,26,6,1,63108875
목4동,11470540,102755,1756,3954,4158,3272,5309,4732,2376,1302,483,2715,1862,2070,2629,2093,24663.38,21,33,2,282,2,5,6,17,11,0,33278909
목5동,11470550,188222,3724,7869,5111,4449,9678,6778,3574,1438,738,1612,1987,3550,5233,5508.924,21361.16,19,40,0,220,2,5,5,4,16,0,95751179
신월1동,11470560,92224,1361,1655,2964,3333,3650,4317,3214,1619,471,4129,2295,1821,1422,2751.056,11538.09,16,47,4,319,1,8,11,27,1,0,64933586
신월2동,11470570,76263,1810,2016,2922,3677,3601,3719,3215,1457,473,2342,1986,1947,1722,2161.591,40214.86,9,33,3,113,1,2,7,8,5,0,38059445
신월3동,11470580,87821,1153,1431,2389,2396,2732,3300,2296,1217,404,3811,1796,1284,963,2475.255,15157.18,11,45,0,123,5,3,6,7,0,0,70632101
신월4동,11470590,127282,1897,1854,2298,3062,3186,3146,2481,1208,399,1404,1576,1671,1661,2232.723,21803.76,15,11,0,192,4,0,6,15,0,0,50342883
신월5동,11470600,70434,1269,1431,2307,2460,2544,2711,1864,968,309,2030,1419,1331,1200,3578.128,29256.89,16,21,6,166,5,3,5,16,2,0,43557685
신월6동,11470610,80162,463,756,870,897,1131,1249,929,468,140,695,566,554,586,1148.304,19686.08,6,13,0,74,0,2,5,10,0,0,43407520
신월7동,11470611,77072,1506,1887,2963,3348,3530,3979,3177,1680,680,2803,2449,2037,1621,3031.039,34066.56,13,37,0,171,2,5,12,22,3,1,45306961
신정1동,11470620,122610,1913,3266,2683,2452,4320,3534,2002,1022,415,1399,1210,1640,2359,2622.046,33829.9,10,23,2,211,3,3,2,11,7,0,75428266
신정2동,11470630,110392,1404,3236,2925,2047,4183,3790,1982,1023,423,1546,1230,1509,2284,1652.641,30473.64,12,23,0,190,2,2,7,16,19,0,37337906
신정3동,11470640,132155,4526,5978,6093,6863,9253,8065,5258,2754,1001,4228,3882,3986,4403,6279.658,33881.23,19,44,3,248,3,4,11,23,6,1,61025285
신정4동,11470650,109967,2337,2750,5469,6272,5838,6066,4482,2384,667,6273,3515,2917,2338,7984.466,32607.46,48,63,6,489,5,12,13,66,6,1,44326945
신정6동,11470670,215697,2141,3983,3467,2920,5130,4317,2266,861,415,983,1362,2232,2927,5696.495,28246,12,14,0,63,0,2,0,0,5,0,61517015
신정7동,11470680,136951,1976,3742,4078,3488,5451,5536,3460,1817,812,2697,2413,2595,2834,2116.235,41962.83,11,20,1,147,11,6,5,7,13,0,70766365
염창동,11500510,120022,4366,4779,5411,7031,7891,5973,3601,1558,549,3033,2729,3573,4134,10879.41,41701.44,25,35,11,305,7,5,11,18,9,1,94534858
등촌1동,11500520,96292,1573,1612,4560,5481,3384,3189,1948,1046,585,5893,2088,1702,1526,26931.08,36604.52,31,23,0,321,2,3,5,22,2,1,77676754
등촌2동,11500530,83520,1596,1945,3485,3944,3259,3725,2678,1141,384,2339,1961,1887,1796,2421.354,13213.3,11,19,1,131,5,4,4,5,1,0,59102792
등촌3동,11500535,153408,1955,2872,4889,5005,4684,6143,4446,2293,1301,5153,3849,2856,2270,13888.92,26738.39,29,47,0,423,3,6,12,20,11,0,65367007
화곡1동,11500540,88548,3613,3060,8894,11990,7911,8378,6625,3391,919,11175,5827,4448,3040,4635.506,20663.88,60,81,104,614,3,11,22,62,2,1,79815032
화곡2동,11500550,74873,1689,1730,2653,3750,3568,2968,2322,1192,293,2679,1965,1710,1385,1660.238,29757.23,12,45,0,79,2,3,4,5,1,0,26794756
화곡3동,11500560,111778,1541,1851,3357,3572,3339,3742,3175,1577,477,2908,2045,1922,1641,2435.279,14030.2,13,25,0,258,1,11,15,23,5,0,65083674
화곡4동,11500570,120581,1570,1684,3180,4133,3630,3829,2994,1474,492,3493,2371,1974,1503,1847.609,34848.18,16,42,4,283,3,6,12,38,3,0,65061840
화곡본동,11500590,113590,3005,2880,5403,7265,6146,5186,3838,1945,615,6224,3618,2980,2349,2588.034,17956.77,25,49,41,266,2,6,11,14,4,0,56136461
화곡6동,11500591,110257,1616,1920,3888,4311,3853,4222,3191,1412,509,4358,2303,1987,1729,10727.76,20511.91,36,39,20,498,4,7,21,41,2,0,55462279
화곡8동,11500593,152370,1885,1954,3862,5152,4327,4142,3447,1819,479,4115,2920,2241,1770,1668.841,23890.73,15,34,0,227,0,7,7,12,3,1,52992063
가양1동,11500603,239840,2118,2228,7845,7846,4679,4421,2600,1121,421,10749,2485,2069,2004,21145.75,17023.36,87,45,0,854,15,4,20,26,1,2,47943923
가양2동,11500604,158938,631,639,2308,2825,1650,2938,2905,1426,680,3752,2167,1248,727,2224.94,12387.06,5,11,0,80,1,3,3,3,2,1,2.44E+08
가양3동,11500605,92691,942,857,2137,3256,2086,2704,2469,1400,572,2846,2368,1466,801,8165.961,19041.59,3,10,0,47,3,0,0,0,0,0,38690104
발산1동,11500611,107256,4306,5322,4678,5372,7704,5629,3423,1865,668,2436,2833,3156,3772,7282.067,23406.32,24,45,3,287,4,7,11,7,12,0,46830484
우장산동,11500615,126287,4575,5730,5637,6911,9098,6747,4769,2255,635,3749,3105,3806,4600,4972.711,15744.96,30,36,3,254,3,9,8,21,7,1,66505203
공항동,11500620,103373,2967,1860,4014,5738,4433,4359,3033,1639,561,5217,2602,2205,1887,41786.24,16164.56,44,54,5,410,16,4,11,31,1,4,66673375
방화1동,11500630,119026,5242,4321,5782,7657,7977,6886,5118,2555,897,4590,3667,3640,4000,7561.275,26880.93,36,37,4,394,3,10,16,30,5,2,80479599
방화2동,11500640,75611,1462,1750,3683,3909,3593,4002,3389,1999,739,5134,2527,1818,1407,4544.753,19045.83,27,41,8,306,3,9,11,33,1,2,34351188
방화3동,11500641,135092,1755,1765,3141,4261,3787,4113,3518,1921,823,4337,2772,2118,1522,4010.896,17056.21,19,19,0,117,0,3,1,4,0,1,39912508
신도림동,11530510,121697,4048,3658,4721,6870,6684,5367,3853,1742,592,2755,2820,3325,3447,10402.61,21892.55,31,43,1,348,1,3,5,13,5,2,77388531
구로1동,11530520,127816,2268,2185,2801,4226,3829,3252,2240,885,323,1666,1710,1876,2083,2403.243,28894.89,11,14,0,104,1,3,5,3,6,0,26746919
구로2동,11530530,113861,1851,2005,4279,5237,6565,8287,4546,2656,798,6030,2901,1949,1502,26592.04,40688.9,25,98,35,645,4,11,16,43,2,1,61497659
구로3동,11530540,171524,1913,1613,4839,6295,4483,3640,2619,1393,483,7805,2185,1694,1427,78091.54,28986.57,71,70,14,846,6,9,24,51,2,2,73845419
구로4동,11530550,126113,1537,1523,3286,4521,4620,5748,3437,1979,637,4831,2523,1733,1225,2281.133,9173.017,18,60,22,439,2,7,13,45,4,0,68968475
구로5동,11530560,86362,2536,2040,5444,6705,5356,5943,3642,1962,620,6490,2808,2340,1997,19241.06,26680.19,31,75,13,612,4,10,13,54,3,1,79571562
가리봉동,11530595,76350,618,533,1547,2268,3154,4813,2135,917,352,3796,1048,559,368,1492.239,23589.5,17,47,37,297,1,8,3,49,0,0,66118298
고척1동,11530720,101807,1728,2326,3449,3394,4023,4190,3226,1724,552,2760,2092,2025,2031,6598.554,24230.56,12,49,4,353,2,8,17,28,5,0,1.24E+08
고척2동,11530730,69820,2334,2703,3968,4131,5065,5206,3633,2058,710,3593,2600,2437,2333,2004.957,16062.34,23,37,2,225,2,2,7,18,1,0,35462568
개봉1동,11530740,93218,2547,2851,4522,5115,5576,6115,4702,2569,786,4655,3285,2740,2479,3449.508,25904.43,21,54,6,325,6,8,7,26,2,1,52201673
개봉2동,11530750,99193,2907,2699,4079,5643,5174,5352,4772,2484,718,3159,3093,2949,2643,1378.294,14159.7,11,28,5,205,0,6,4,14,5,0,73556473
개봉3동,11530760,79498,1640,1784,2857,3542,3562,3619,3014,1558,515,2464,2132,1973,1624,4790.018,11085.22,11,30,0,194,3,4,7,9,2,0,54569392
오류1동,11530770,97961,1452,1388,3665,4488,3245,3314,2811,1621,523,4707,2286,1648,1298,2450.511,9673.975,27,27,23,201,5,9,9,21,4,0,1.03E+08
오류2동,11530780,108371,4968,4204,5386,6914,7574,6536,5144,3036,1024,4345,3858,3389,3637,4838.074,12969.16,25,35,0,232,2,5,4,9,4,2,55056094
수궁동,11530790,73171,2050,2319,3340,3926,4295,4154,3303,1751,512,2603,2392,2181,1946,4157.971,7700.557,23,32,0,162,8,7,9,11,2,1,60316783
가산동,11545510,108401,1071,874,5121,5134,3535,4411,2295,1034,299,8664,1686,1141,824,151824.3,6978.961,104,96,48,1137,3,10,31,41,1,1,77413002
독산1동,11545610,101676,3074,2342,6482,7780,6053,6559,4045,2301,715,8068,3286,2707,2461,18419.19,36676.46,33,75,8,467,5,6,14,33,2,1,66525245
독산2동,11545620,77147,1313,1612,3096,3152,3663,4869,2854,1368,387,3888,2134,1663,1318,1668.058,16701,14,30,3,194,3,8,5,15,1,0,46873366
독산3동,11545630,90960,1686,1869,4014,4586,5166,7030,3913,1848,545,5392,2701,2003,1578,4518.127,20747.79,17,66,8,377,4,12,12,30,4,0,78972911
독산4동,11545640,79178,1082,1337,2531,2645,3235,4172,2424,1210,308,3215,1700,1348,1048,1734.809,27274.42,13,30,12,209,1,4,11,31,0,0,55599357
시흥1동,11545670,108348,2596,2816,4817,5750,6067,7053,4582,2577,812,5966,3404,2776,2409,11790.19,10931.21,39,56,24,620,5,12,17,50,7,1,55035845
시흥2동,11545680,154199,1934,2431,2859,2933,4065,4037,2890,1712,585,1939,2015,1895,2007,1470.812,29122.98,3,10,0,39,0,0,0,1,4,0,76434633
시흥3동,11545690,106961,747,853,1601,1697,1760,2209,1737,953,287,1389,1208,1010,838,7116.108,18242.51,9,26,2,155,7,2,4,8,0,0,58452970
시흥4동,11545700,92996,1515,1899,3120,3162,3635,4452,3060,1629,511,3018,2166,1844,1616,929.8488,49369.05,11,27,0,122,0,4,6,8,1,0,98887392
시흥5동,11545710,106072,1217,1783,2765,2712,3535,4034,2911,1883,654,3713,2212,1660,1342,1944.947,19861.26,12,43,1,185,2,5,7,17,2,0,76507807
영등포본동,11560515,130543,1894,1684,3179,4093,4225,5017,3196,1670,601,4272,2003,1804,1584,3144.931,39509.51,23,52,6,252,2,5,4,23,4,1,62285094
영등포동,11560535,128215,1284,1029,5204,5804,3475,3755,2784,1430,501,10924,2025,1257,1062,21997.05,47426.74,72,134,125,1032,7,10,35,65,2,1,53931990
여의동,11560540,187993,3142,2952,4023,5326,5509,5076,3810,2628,1163,3352,2800,2978,2782,356983.4,7189.33,96,132,5,1928,5,7,25,16,5,4,80805968
당산1동,11560550,98777,1388,1232,3394,4357,3214,3218,2558,1375,511,4962,2044,1560,1213,18402.18,19756.6,33,66,35,608,4,3,14,45,1,1,72642598
당산2동,11560560,143401,2857,2388,7198,7866,5061,4774,3348,1778,751,8178,2846,2650,2504,30314.95,32749.88,40,37,9,423,1,6,13,17,4,1,66802973
도림동,11560585,79065,1444,1222,2999,4142,3729,4292,2473,1461,532,4311,2050,1455,1108,3418.59,42103.56,13,36,1,168,2,6,5,14,3,0,54897711
문래동,11560605,114516,3485,2958,3639,6210,5661,4084,3367,1869,714,3461,2610,2786,2708,35271.13,37892.99,40,67,5,564,7,4,18,11,5,1,88865044
양평1동,11560610,72461,1456,1151,2585,4201,2831,2245,1712,1086,410,3832,1811,1393,1039,19650.84,15475.26,20,34,12,321,2,3,9,6,1,1,55036596
양평2동,11560620,110113,1911,1911,3776,4987,3756,3165,1965,1070,403,3829,1984,1790,1740,40479.13,23073.03,39,46,11,365,9,2,9,15,1,1,29682852
신길1동,11560630,87032,886,1164,3129,3269,3176,3561,2364,1499,558,5439,1782,1161,868,3268.483,86612.6,18,41,13,235,4,8,10,21,4,1,55755560
신길3동,11560650,111927,1212,1315,2237,2522,2942,3424,2310,1253,450,2740,1446,1284,1175,1615.018,27206.95,10,30,11,160,2,3,7,17,2,0,49757752
신길4동,11560660,103159,508,753,1436,1334,1733,2249,1462,823,303,1838,962,752,606,1315.701,12279.92,6,14,3,88,0,2,2,5,2,0,73570577
신길5동,11560670,77926,671,882,1427,1655,2120,2692,1677,866,287,1931,1019,802,633,1227.841,28637.2,7,26,12,106,3,2,4,13,0,0,23904630
신길6동,11560680,134704,1323,1395,2958,3250,3097,3576,2462,1346,492,3322,1776,1465,1244,2817.553,30219.09,12,36,8,217,9,5,2,21,6,1,1.04E+08
신길7동,11560690,101418,1669,1691,2522,2945,3042,2642,1635,868,327,1914,1286,1330,1572,2929.145,30470.41,13,8,5,118,3,3,1,9,2,1,52407517
대림1동,11560700,85886,910,1108,2187,2381,2922,3690,2179,1270,389,2899,1388,1027,813,2691.757,24088.05,17,37,7,216,1,7,3,17,1,0,59051022
대림2동,11560710,118731,1207,990,2241,3523,4036,5806,2625,1373,426,3167,1523,918,664,2127.26,21423.05,19,46,10,400,1,9,8,54,1,0,77244429
대림3동,11560720,80087,1890,1993,3730,4721,4938,6391,3599,1831,590,3874,2396,1998,1815,8140.02,20451.33,29,53,2,376,8,9,17,77,1,1,93676970
노량진1동,11590510,163272,2276,2304,5575,5443,4686,5039,3878,2394,963,6149,3016,2525,2177,3613.257,10373.96,42,51,12,559,1,25,10,16,75,2,69664467
노량진2동,11590520,115939,500,793,2464,2215,2023,2808,1967,1191,432,3890,1422,971,665,5466.503,23468.87,22,37,10,295,2,6,4,19,6,0,59273848
상도1동,11590530,116809,3707,3710,10702,7646,7147,6353,4864,2909,1128,9107,3843,3677,3340,4941.528,21284.49,47,38,4,446,6,16,22,23,7,2,85563504
상도2동,11590540,108435,2348,2023,4233,4873,4426,3963,2978,1805,684,4655,2416,2104,2020,3548.19,34399.94,22,32,7,256,0,5,8,14,4,1,45364900
상도3동,11590550,172873,1700,1915,4189,4689,4046,4090,2952,1949,628,4585,2553,2103,1655,1274.451,28562.28,12,24,0,151,1,8,3,12,5,0,49104746
상도4동,11590560,80353,2136,2223,4524,5346,4778,4775,3485,2081,785,4766,2963,2469,2096,1440.34,28468.51,14,26,1,169,1,3,2,13,1,0,45993057
흑석동,11590605,138201,2175,2297,6498,4562,4570,4693,3477,2300,950,5127,2583,2372,2148,4828.394,31572.42,27,41,5,441,2,10,12,12,5,1,75952356
사당1동,11590620,107548,1125,1097,5111,5030,3147,3617,2858,1562,402,6671,2514,1657,1210,6636.233,22491.49,30,29,7,440,2,9,10,38,2,0,55843880
사당2동,11590630,180474,2160,1819,3981,5083,4377,4507,3696,2198,709,3975,2777,2395,1980,3524.948,13842.45,23,35,7,459,1,7,9,32,3,2,41502331
사당3동,11590640,130842,2216,1818,3714,4445,4005,4065,3260,1888,551,3334,2292,2111,2005,2653.366,18536.32,13,22,0,158,0,2,3,5,10,0,39112200
사당4동,11590650,151939,897,879,2584,2773,2212,2299,1826,1144,298,2776,1509,1159,988,900.6097,9992.937,10,20,2,107,2,4,2,9,1,1,39239063
사당5동,11590651,92915,1031,972,2059,2365,2121,1978,1483,871,312,2171,1188,1085,955,833.222,30193.02,6,11,0,59,0,1,1,1,0,0,56112305
대방동,11590660,115822,2791,4778,6509,6010,7454,5814,3872,2349,935,6368,3146,2892,3352,9513.963,24116.55,36,42,3,277,3,8,11,15,8,2,54508653
신대방1동,11590670,115816,2057,2836,3427,3944,5147,4879,2915,1551,558,3449,1939,1819,2063,2752.955,13041.3,9,31,5,188,4,3,3,9,3,1,65767452
신대방2동,11590680,110308,1809,1931,3259,3661,3570,2897,2029,1367,444,3721,1650,1534,1523,19060.01,36595.59,31,25,3,313,0,5,14,10,1,0,66951518
보라매동,11620525,100775,1654,1785,4618,4811,3890,3934,3225,1912,581,5178,2598,1949,1604,5375.124,62219.76,16,28,0,255,4,5,5,20,4,0,41224993
청림동,11620545,75945,1639,1273,2059,2986,2725,2398,1823,1198,445,1947,1548,1472,1276,663.5496,23451.04,7,14,2,64,3,1,1,2,1,0,1.09E+08
성현동,11620565,120950,2561,3461,4151,4754,5981,5060,3866,2549,806,3791,2998,2665,2694,1651.062,41149.29,11,20,0,94,0,4,4,2,6,0,69902591
행운동,11620575,115005,1526,1598,7346,6351,3989,3890,3180,1930,552,9856,2863,1887,1508,3774.203,21641.16,35,33,11,305,1,9,5,17,4,0,50959433
낙성대동,11620585,122840,986,995,5443,3876,2289,1793,1398,926,299,7147,1496,912,733,12115.88,22508.96,23,29,12,512,1,5,10,27,6,0,69252094
청룡동,11620595,163423,1197,1632,8646,5690,3750,3664,2931,1766,474,12209,2452,1403,1205,7671.665,13498.01,43,45,31,420,1,11,14,25,1,1,54935888
은천동,11620605,144398,2829,2831,5295,6273,5832,5328,4185,2582,739,5990,3396,2723,2538,3760.622,19084.75,24,38,0,305,3,5,13,21,3,0,61942120
중앙동,11620615,117149,547,795,4077,3031,1968,2131,1660,1078,332,5486,1527,883,700,2045.511,24827.16,20,14,0,236,0,2,5,9,5,1,70954996
인헌동,11620625,148282,1599,1886,5703,5482,4096,3723,2763,1729,520,7209,2635,1915,1592,3764.922,40028.15,21,24,0,234,3,6,7,17,5,1,66230322
남현동,11620630,117371,1281,1014,3911,4063,2561,2703,2031,1164,312,4355,1851,1395,1134,3330.718,31898.26,22,29,10,249,3,1,3,15,3,0,76561075
서원동,11620645,162127,953,1094,6040,4983,3131,3320,2414,1524,389,7870,2389,1470,1016,4236.646,9121.974,27,33,13,470,1,11,13,33,4,0,95251328
