code,name,parent,parentname,convnum,rent2018,rent2019,rent2020
11260680,신내1동,11260,중랑구,20,92915,90579,99522
11260690,신내2동,11260,중랑구,10,121844,168207,128149
11290,성북구,11,서울특별시,356,105655,109228,111096
11290525,성북동,11290,성북구,17,139088,123956,139800
11290555,삼선동,11290,성북구,32,110147,124730,116038
11290575,동선동,11290,성북구,37,157886,140172,171469
11290580,돈암1동,11290,성북구,7,129046,103208,82975
11290590,돈암2동,11290,성북구,5,0,0,115874
11290600,안암동,11290,성북구,47,131905,125533,134392
11290610,보문동,11290,성북구,17,96817,94935,90104
11290620,정릉1동,11290,성북구,15,107330,82374,99725
11290630,정릉2동,11290,성북구,16,115222,146211,91397
11290640,정릉3동,11290,성북구,15,101198,98705,80501
11290650,정릉4동,11290,성북구,18,91713,137973,107430
11290660,길음1동,11290,성북구,7,111214,139858,164501
11290685,길음2동,11290,성북구,8,86189,147536,140956
11290705,종암동,11290,성북구,27,83610,92412,96620
11290715,월곡1동,11290,성북구,13,111180,101653,97281
11290725,월곡2동,11290,성북구,24,101334,97317,105170
11290760,장위1동,11290,성북구,12,59940,53492,61785
11290770,장위2동,11290,성북구,8,75714,84513,79768
11290780,장위3동,11290,성북구,8,93534,114259,95326
11290810,석관동,11290,성북구,23,79588,90949,94920
11305,강북구,11,서울특별시,272,91179,97288,99833
11305534,삼양동,11305,강북구,13,83920,93911,84721
11305535,미아동,11305,강북구,32,100387,94767,109104
11305545,송중동,11305,강북구,28,124516,116732,119842
11305555,송천동,11305,강북구,23,88510,90423,90665
11305575,삼각산동,11305,강북구,9,120304,153338,127057
11305590,번1동,11305,강북구,30,95096,92235,95557
11305600,번2동,11305,강북구,7,74150,92725,70717
11305606,번3동,11305,강북구,11,78193,99483,97154
11305610,수유1동,11305,강북구,23,88510,96451,99017
11305620,수유2동,11305,강북구,17,73407,79360,80314
11305630,수유3동,11305,강북구,35,101505,120010,121017
11305645,우이동,11305,강북구,17,68861,82934,80774
11305660,인수동,11305,강북구,27,63163,60844,65162
11320,도봉구,11,서울특별시,232,97093,103940,100812
11320511,창1동,11320,도봉구,15,107254,81261,100710
11320512,창2동,11320,도봉구,22,80417,101554,90065
11320513,창3동,11320,도봉구,14,74091,80754,79993
11320514,창4동,11320,도봉구,18,218012,215119,173094
11320515,창5동,11320,도봉구,19,139074,140496,132260
11320521,도봉1동,11320,도봉구,22,69514,98691,90325
11320522,도봉2동,11320,도봉구,14,88623,105854,101683
11320660,쌍문1동,11320,도봉구,18,88584,95225,70214
11320670,쌍문2동,11320,도봉구,13,94776,101101,94134
11320680,쌍문3동,11320,도봉구,14,108029,72936,121258
11320681,쌍문4동,11320,도봉구,11,144198,118387,114171
11320690,방학1동,11320,도봉구,25,88058,118707,103418
11320700,방학2동,11320,도봉구,16,101506,74361,85839
11320710,방학3동,11320,도봉구,11,58673,94694,85367
11350,노원구,11,서울특별시,356,128814,133134,136712
11350560,월계1동,11350,노원구,33,103361,133370,138209
11350570,월계2동,11350,노원구,18,88942,131897,88552
11350580,월계3동,11350,노원구,10,0,148960,190722
11350595,공릉1동,11350,노원구,45,105489,113500,111611
11350600,공릉2동,11350,노원구,38,97328,140378,120824
11350611,하계1동,11350,노원구,20,87420,107662,100393
11350612,하계2동,11350,노원구,5,0,0,174586
11350619,중계본동,11350,노원구,15,152734,112986,128484
11350621,중계1동,11350,노원구,13,210576,171461,228056
11350624,중계4동,11350,노원구,12,143662,103525,152226
