CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
회기동,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,1,11230710,,11230710,1,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,,11230710,
휘경1동,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,1,11230720,1,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,,11230720,
휘경2동,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,1,11230730,1,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,,11230730,
이문1동,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,1,11230740,1,11230740,1,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,,11230740,
이문2동,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,1,11230750,1,11230750,1,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,,11230750,
중랑구,11260,,11260,,11260,,11260,,11260,2,11260,2,11260,2,11260,2,11260,,11260,,11260,2,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,,11260,
면목2동,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,1,11260520,1,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,,11260520,
면목4동,11260540,,11260540,,11260540,,11260540,,11260540,1,11260540,1,11260540,1,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,,11260540,
면목5동,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,1,11260550,1,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,,11260550,
면목본동,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,1,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,,11260565,
면목7동,11260570,,11260570,,11260570,,11260570,,11260570,1,11260570,,11260570,1,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,,11260570,
면목3.8동,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,1,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,,11260575,
상봉1동,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,1,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,,11260580,
상봉2동,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,1,11260590,1,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,,11260590,
중화1동,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,1,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,,11260600,
중화2동,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,1,11260610,1,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,,11260610,
묵1동,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,1,11260620,,11260620,,11260620,,11260620,1,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,,11260620,
묵2동,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,1,11260630,1,11260630,,11260630,,11260630,1,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,,11260630,
망우본동,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,1,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,,11260655,
망우3동,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,1,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,,11260660,
신내1동,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,1,11260680,,11260680,,11260680,,11260680,1,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,,11260680,
신내2동,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,1,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,,11260690,
성북구,11290,2,11290,,11290,,11290,,11290,,11290,2,11290,2,11290,2,11290,2,11290,,11290,2,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,,11290,
성북동,11290525,1,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,1,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,,11290525,
삼선동,11290555,1,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,1,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,,11290555,
동선동,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,1,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,,11290575,
돈암1동,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,1,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,,11290580,
돈암2동,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,1,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,,11290590,
안암동,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,1,11290600,,11290600,1,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,,11290600,
보문동,11290610,1,11290610,,11290610,,11290610,,11290610,,11290610,1,11290610,,11290610,1,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,,11290610,
정릉1동,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,1,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,,11290620,
정릉2동,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,1,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,,11290630,
정릉3동,11290640,1,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,1,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,,11290640,
정릉4동,11290650,1,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,1,11290650,1,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,,11290650,
길음1동,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,1,11290660,1,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,,11290660,
길음2동,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,1,11290685,1,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,,11290685,
종암동,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,1,11290705,,11290705,1,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,,11290705,
월곡1동,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,1,11290715,1,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,,11290715,
월곡2동,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,1,11290725,,11290725,1,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,,11290725,
장위1동,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,1,11290760,1,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,,11290760,
장위2동,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,1,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,,11290770,
장위3동,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,1,11290780,1,11290780,,11290780,1,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,,11290780,
석관동,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,1,11290810,1,11290810,1,11290810,,11290810,,11290810,1,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,,11290810,
강북구,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,2,11305,2,11305,2,11305,2,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,,11305,
삼양동,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,1,11305534,1,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,,11305534,
미아동,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,1,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,,11305535,
송중동,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,1,11305545,1,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,,11305545,
송천동,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,1,11305555,1,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,,11305555,
삼각산동,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,1,11305575,1,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,,11305575,
번1동,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,1,11305590,1,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,,11305590,
번2동,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,1,11305600,1,11305600,1,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,,11305600,
번3동,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,1,11305606,1,11305606,,11305606,1,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,,11305606,
수유1동,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,1,11305610,1,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,,11305610,
수유2동,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,1,11305620,1,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,,11305620,
수유3동,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,1,11305630,1,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,,11305630,
우이동,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,1,11305645,1,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,,11305645,
인수동,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,1,11305660,1,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,,11305660,
도봉구,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,2,11320,2,11320,2,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,,11320,
창1동,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,1,11320511,1,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,,11320511,
창2동,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,1,11320512,1,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,,11320512,
창3동,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,1,11320513,1,11320513,1,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,,11320513,
창4동,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,1,11320514,1,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,,11320514,
창5동,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,1,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,,11320515,
도봉1동,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,1,11320521,1,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,,11320521,
도봉2동,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,1,11320522,1,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,,11320522,
쌍문1동,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,1,11320660,1,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,,11320660,
쌍문2동,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,1,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,,11320670,
쌍문3동,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,1,11320680,1,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,,11320680,
쌍문4동,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,1,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,,11320681,
방학1동,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,1,11320690,1,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,,11320690,
방학2동,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,1,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,,11320700,
방학3동,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,1,11320710,1,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,,11320710,
노원구,11350,,11350,,11350,,11350,,11350,,11350,,11350,2,11350,2,11350,2,11350,2,11350,2,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,,11350,
월계1동,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,1,11350560,,11350560,,11350560,1,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,,11350560,
월계2동,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,1,11350570,1,11350570,1,11350570,1,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,,11350570,
월계3동,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,1,11350580,,11350580,,11350580,1,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,,11350580,
공릉1동,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,1,11350595,,11350595,,11350595,,11350595,1,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,,11350595,
공릉2동,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,1,11350600,,11350600,,11350600,,11350600,1,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,,11350600,
하계1동,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,1,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,,11350611,
하계2동,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,1,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,,11350612,
중계본동,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,1,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,,11350619,
중계1동,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,1,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,,11350621,
중계4동,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,1,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,,11350624,
중계2.3동,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,1,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,,11350625,
상계1동,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,1,11350630,1,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,,11350630,
상계2동,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,1,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,,11350640,
상계3.4동,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,1,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,,11350665,
상계5동,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,1,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,,11350670,
상계6.7동,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,1,11350695,1,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,,11350695,
상계8동,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,1,11350700,1,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,,11350700,
상계9동,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,1,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,,11350710,
상계10동,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,1,11350720,1,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,,11350720,
은평구,11380,2,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,2,11380,2,11380,2,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,,11380,
녹번동,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,1,11380510,1,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,,11380510,
불광1동,11380520,1,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,1,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,,11380520,
불광2동,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,1,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,,11380530,
갈현1동,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,1,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,,11380551,
갈현2동,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,1,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,,11380552,
구산동,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,1,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,,11380560,
대조동,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,1,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,,11380570,
응암1동,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,1,11380580,1,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,,11380580,
응암2동,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,1,11380590,1,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,,11380590,
응암3동,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,1,11380600,1,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,,11380600,
역촌동,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,1,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,,11380625,
신사1동,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,1,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,,11380631,
