CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
필동,11140570,,11140570,1,11140570,1,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,,11140570,
장충동,11140580,,11140580,1,11140580,1,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,,11140580,
광희동,11140590,1,11140590,1,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,,11140590,
을지로동,11140605,1,11140605,1,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,,11140605,
신당동,11140615,1,11140615,1,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,,11140615,
다산동,11140625,,11140625,1,11140625,1,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,,11140625,
약수동,11140635,,11140635,1,11140635,1,11140635,1,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,,11140635,
청구동,11140645,,11140645,1,11140645,,11140645,1,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,,11140645,
신당5동,11140650,,11140650,1,11140650,,11140650,1,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,,11140650,
동화동,11140665,,11140665,1,11140665,,11140665,1,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,,11140665,
황학동,11140670,1,11140670,1,11140670,,11140670,1,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,,11140670,
중림동,11140680,,11140680,1,11140680,1,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,1,11140680,1,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,,11140680,
용산구,11170,,11170,2,11170,2,11170,2,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,2,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,,11170,
후암동,11170510,,11170510,1,11170510,1,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,,11170510,
용산2가동,11170520,,11170520,1,11170520,1,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,,11170520,
남영동,11170530,,11170530,1,11170530,1,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,,11170530,
청파동,11170555,,11170555,1,11170555,1,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,1,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,,11170555,
원효로1동,11170560,,11170560,,11170560,1,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,,11170560,
원효로2동,11170570,,11170570,,11170570,1,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,1,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,,11170570,
효창동,11170580,,11170580,,11170580,1,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,1,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,,11170580,
용문동,11170590,,11170590,,11170590,1,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,1,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,,11170590,
한강로동,11170625,,11170625,,11170625,1,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,,11170625,
이촌1동,11170630,,11170630,,11170630,1,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,,11170630,
이촌2동,11170640,,11170640,,11170640,1,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,,11170640,
