code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11200790,9.669050953,10.102501,50984445,42259641,44994326,45694177.02,94.4,93.3,100,99.17847
11200,0,0,61771834.32,54243271.79,52166276.06,44736089.54,98.15784615,94.53954984,98.11603774,99.277626
11215710,11.26347155,7.7944016,101000000,75762823,60226005,71514590.8,96.8,93.7,96.7,96.880844
11215730,9.291867313,9.725937,42107278,32746282,35202797,39585978.44,100,100,100,98.80361
11215740,11.57789435,10.553522,79262380,72541145,83985705,76606425.88,100,100,93.3,99.62744
11215750,9.610956449,10.05306,35192447,39841891,35672981,44753381.27,84.6,95.8,96.3,99.12925
11215760,10.74122458,10.281697,48675931,44741668,69082665,63057203.16,90,95,94.1,99.35685
11215770,9.099301438,10.3185005,39592054,35608315,34920187,36467522.38,92,90.9,95,99.393486
11215780,10.52784141,9.817929,41527628,42874406,33783080,59601627.12,90,100,95.2,98.89519
11215810,10.19770509,10.115867,67761771,37985825,51579789,54255323.61,92.9,96,95,99.19177
11215820,10.46242549,10.2316265,72560926,66151509,72106884,58542266.68,100,95.8,90.9,99.30701
11215830,9.712678538,10.322325,52464265,30948333,44863911,46400692.16,95.2,95.2,95,99.39729
11215840,10.28651546,9.825072,114000000,73645292,68310189,55693539.13,92.9,100,96.4,98.9023
11215847,10.76500036,10.098163,76593672,52167900,102000000,63442233.68,97,100,96.7,99.17415
11215850,9.988748094,9.985285,56779022,39247239,51413319,50871426.02,96.4,86.2,96.4,99.06178
11215860,10.18715515,10.411635,58195247,34423087,56957760,54084475.42,100,100,94.4,99.4862
11215870,10.13456987,9.628287,73109885,60640613,53026409,53232897.31,93.5,93.3,93.7,98.706406
11215,0,0,68227320.22,52159890.57,57021707.31,57816441.18,94.86136919,95.70530303,95.61159794,99.020905
11230536,10.31758177,8.426988,62042207,54372889,61628909,56196634.24,98.4,96.3,98,97.51056
11230545,9.778299001,9.409153,68994146,65668922,43903531,47463365.02,96.3,100,96.7,98.488266
11230560,9.42133129,9.831656,57522388,35902517,34583604,41682547.84,100,93.1,89.7,98.90885
11230570,9.310543657,10.450746,74310994,56197918,38319238,39888427.44,100,100,100,99.52513
11230600,9.544616614,9.741687,58958345,38097529,34899171,43679058.72,90.6,100,90.9,98.81929
11230610,9.659820584,10.52446,60871899,32777471,46352297,45544698.3,100,94.1,100,99.59851
