CD,총생활인구수
11110515.0,16577.821963978495
11110530.0,37730.676782258066
11110540.0,6978.414066129034
11110550.0,13695.595364784947
11110560.0,19979.71212607527
11110570.0,6923.876169354839
11110580.0,8559.523839650537
11110600.0,8226.264757392473
11110615.0,84069.46567782258
11110630.0,21722.127237096774
11110640.0,24835.031069489247
11110650.0,33145.137149596776
11110670.0,12460.39250577957
11110680.0,10452.22049623656
11110690.0,4781.075306989247
11110700.0,7213.09533844086
11110710.0,15244.378771774193
11140520.0,35833.58535228494
11140540.0,29121.723978360213
11140550.0,48712.64973830645
11140570.0,16755.596650268817
11140580.0,13088.950176209677
11140590.0,23273.97187258064
11140605.0,18658.888178360212
11140615.0,25255.651400134408
11140625.0,16821.639298521502
11140635.0,16080.820095564513
11140645.0,11910.17704139785
11140650.0,13326.306786693547
11140665.0,9124.128599596774
11140670.0,13410.375463306453
11140680.0,7279.399605510754
11170510.0,14216.771115591398
11170520.0,12025.986176747312
11170530.0,22476.356342876345
11170555.0,24327.373260349465
11170560.0,18449.025837903228
11170570.0,13352.610746774191
11170580.0,10157.363565456988
11170590.0,11277.407620026881
11170625.0,49118.81190551075
11170630.0,27241.30805094086
11170640.0,8659.186760483872
11170650.0,15471.64977043011
11170660.0,11649.244109005376
11170685.0,31794.550192607527
11170690.0,18629.920366263443
11170700.0,11784.02176922043
11200520.0,11149.178787096775
11200535.0,24313.713297715054
11200540.0,28246.465045698922
11200550.0,22944.46359811828
11200560.0,26072.221519623658
11200570.0,19061.369589650538
11200580.0,13591.584253225807
11200590.0,13669.962713172043
11200615.0,24296.826005510757
11200620.0,9755.26926545699
11200645.0,33190.00112163978
11200650.0,17700.661170698924
11200660.0,23462.211847983872
11200670.0,22208.56356814516
11200690.0,26548.59299905914
11200720.0,10662.62261922043
11200790.0,21594.71622096774
11215710.0,42771.57681518817
11215730.0,18698.59775645161
11215740.0,17461.711312768817
11215750.0,20097.711785349464
11215760.0,16395.868421639785
11215770.0,29289.9493967742
11215780.0,16512.13037271505
11215810.0,40376.14850497312
11215820.0,27106.607878225805
11215830.0,26075.689987365593
11215840.0,23362.58667311828
11215847.0,29510.41340672043
11215850.0,23758.65421612903
11215860.0,22084.201518817204
11215870.0,33684.60949045699
11230536.0,46061.355585349454
11230545.0,34734.806405241936
11230560.0,37136.2641827957
11230570.0,16638.99750887097
11230600.0,23705.284459946237
11230610.0,22869.223510215055
11230650.0,33664.52110201613
11230660.0,32783.67939408602
11230705.0,21683.057481989246
11230710.0,20224.29529986559
11230720.0,18119.935332258065
11230730.0,21806.14765860215
11230740.0,28678.196564112906
11230750.0,18712.18020026882
11260520.0,22940.39055698925
11260540.0,18255.638111290322
11260550.0,13437.6912530914
11260565.0,31287.535870564516
11260570.0,19329.82883454301
11260575.0,24413.97469206989
11260580.0,24453.13356599462
11260590.0,26706.423528494623
11260600.0,14820.520074327957
11260610.0,26235.921967607526
11260620.0,29132.512335752686
11260630.0,20753.919761155914
11260655.0,31988.26129583333
11260660.0,13544.99804973118
11260680.0,34539.36797163978
11260690.0,20058.375158467745
11290525.0,19156.918350403226
11290555.0,32226.36179932796
11290575.0,26220.907565591395
11290580.0,15607.52239435484
11290590.0,11954.36707701613
11290600.0,26134.98849126344
11290610.0,21320.7648922043
11290620.0,19004.41004327957
11290630.0,20106.017086155913
11290640.0,15673.90786276882
11290650.0,20108.186244489243
11290660.0,33527.884546370966
11290685.0,12295.721220026884
11290705.0,38928.42077258065
11290715.0,21049.406478360215
11290725.0,28947.93392634409
11290760.0,17667.57750389785
11290770.0,17124.8903844086
11290780.0,10686.64096438172
11290810.0,29670.07378091398
11305534.0,26785.53741572581
11305535.0,24211.95994327957
