CD,총생활인구수
11110515.0,16300.0073702957
11110530.0,30201.43832540323
11110540.0,6427.98226733871
11110550.0,11151.597403629032
11110560.0,18358.091473252687
11110570.0,7085.226589650538
11110580.0,7850.1179974462375
11110600.0,8261.217196908601
11110615.0,71969.48305443548
11110630.0,21071.644067741934
11110640.0,28295.840801075272
11110650.0,29896.49093064516
11110670.0,13570.899609005377
11110680.0,9241.743059946237
11110690.0,3901.1337942204304
11110700.0,8381.1952280914
11110710.0,15779.025475806451
11140520.0,34149.038624596775
11140540.0,30763.035660080648
11140550.0,43020.46437701613
11140570.0,16027.399767876343
11140580.0,11528.820507795697
11140590.0,23207.322474731183
11140605.0,19144.94380658602
11140615.0,26227.26439206989
11140625.0,16084.172077553761
11140635.0,15667.08574919355
11140645.0,12174.006509408602
11140650.0,11655.946555241935
11140665.0,9605.41701545699
11140670.0,13082.330141935483
11140680.0,10294.307255241936
11170510.0,14683.332265994624
11170520.0,11215.065917741935
11170530.0,18373.047186155913
11170555.0,25522.161469758066
11170560.0,17478.912097983874
11170570.0,13336.209737365589
11170580.0,9980.196158870967
11170590.0,10849.918420026883
11170625.0,50870.55948924731
11170630.0,27246.736334005374
11170640.0,7300.205603629032
11170650.0,14036.024022177418
11170660.0,12169.46511666667
11170685.0,34146.33774032258
11170690.0,19362.83153104839
11170700.0,11340.544803763441
11200520.0,13646.740363575267
11200535.0,22793.1755733871
11200540.0,27179.682339112904
11200550.0,22103.55694018817
11200560.0,30336.32464946237
11200570.0,18000.260873521507
11200580.0,14937.38260846774
11200590.0,16671.85797607527
11200615.0,24905.609928897848
11200620.0,9630.80252110215
11200645.0,32269.818577284947
11200650.0,17605.141046505378
11200660.0,19862.12423360215
11200670.0,20824.272880107525
11200690.0,28462.391883602144
11200720.0,10349.149220430107
11200790.0,21627.190084139787
11215710.0,41149.609003494625
11215730.0,18009.51957876344
11215740.0,17109.369929166667
11215750.0,18946.451153763443
11215760.0,18089.85067580645
11215770.0,31956.643965860214
11215780.0,14452.997985887096
11215810.0,41818.00527311827
11215820.0,28809.077489784948
11215830.0,25250.197484274195
11215840.0,24712.814824462366
11215847.0,27813.231797311826
11215850.0,24050.76141384408
11215860.0,23442.7384375
11215870.0,34514.12808400538
11230536.0,43944.16219287634
11230545.0,35998.77491330645
11230560.0,37522.91982150538
11230570.0,17992.18878266129
11230600.0,25280.10522325269
11230610.0,23374.95347432796
11230650.0,35903.944767069894
11230660.0,29927.690286962366
11230705.0,19846.141377688175
11230710.0,20443.362556451615
11230720.0,17078.40561801075
11230730.0,20345.65271693549
11230740.0,25558.274767204304
11230750.0,18222.860419758064
11260520.0,21069.53634516129
11260540.0,18558.6813938172
11260550.0,11813.94907674731
11260565.0,31692.16514327957
11260570.0,20773.18586075269
11260575.0,22402.17589045699
11260580.0,23007.526844489246
11260590.0,27931.147024462363
11260600.0,16513.50199556452
11260610.0,27446.17710147849
11260620.0,29165.64431532258
11260630.0,21332.89850766129
11260655.0,32381.073874059137
11260660.0,14846.279115591398
11260680.0,31970.291117876342
11260690.0,18861.888064516126
11290525.0,21694.16640094086
11290555.0,31226.45887782258
11290575.0,25834.175776612905
11290580.0,18685.625058602152
11290590.0,11866.554603225806
11290600.0,26119.383679301074
11290610.0,18087.08772755376
11290620.0,14053.116996639783
11290630.0,24886.3586202957
11290640.0,15809.794147580647
11290650.0,22042.45242231183
11290660.0,32964.044422983876
11290685.0,14684.981888440858
11290705.0,38964.24085672043
11290715.0,22021.67029045699
11290725.0,28929.9198719086
11290760.0,16889.968483333334
11290770.0,13485.974552822583
11290780.0,9174.252946505378
11290810.0,29011.795906854844
11305534.0,24268.53050725807
11305535.0,23481.899349731182
11305545.0,33954.69469905914
11305555.0,28331.058489112904
11305575.0,23052.937997446235
11305590.0,21312.38340268817
11305600.0,12207.249318548387
11305606.0,15857.064313172043
11305610.0,19662.61955094086
11305620.0,22949.38465336021
11305630.0,28098.23159502688
11305645.0,18137.757874193547
11305660.0,32361.44409637097
11320511.0,23962.931851881727
11320512.0,28272.761304032258
11320513.0,14219.776256854837
11320514.0,34625.5504297043
11320515.0,26022.637840725805
11320521.0,17085.83903172043
11320522.0,21171.19710026882
11320660.0,18809.145415591396
11320670.0,19294.119941935485
11320680.0,15804.210323521504
11320681.0,15176.166276344087
11320690.0,27100.049396102146
11320700.0,14758.888020430108
11320710.0,22631.67847379032
11350560.0,25304.56467110215
11350570.0,19295.444877150538
11350580.0,27136.088711559143
11350595.0,44769.4998155914
11350600.0,46976.28597459678
11350611.0,31378.794174327955
11350612.0,17477.874130913977
11350619.0,22453.2022047043
11350621.0,25929.821031451615
11350624.0,19640.96553481183
11350625.0,37083.28044838709
11350630.0,38949.80974905914
11350640.0,34373.80189045699
11350665.0,21339.81238857527
11350670.0,21633.945658064516
11350695.0,42473.08011599462
11350700.0,15687.241289650536
11350710.0,19061.261172849463
11350720.0,15768.51802486559
11380510.0,34076.55624583334
11380520.0,37832.105784274194
11380530.0,26313.297179301073
11380551.0,27168.93054395161
11380552.0,23881.4164936828
11380560.0,27881.75880013441
11380570.0,36102.224388844086
11380580.0,23680.28328387097
11380590.0,16560.17940255376
11380600.0,24521.49638669355
11380625.0,44394.664885215054
11380631.0,25235.016494892472
11380632.0,16857.295148387097
11380640.0,11738.694690994624
11380650.0,12288.343084139788
11380690.0,61087.28244502688
11410520.0,18957.390697580646
11410555.0,34572.431678897854
11410565.0,41691.44091935484
11410585.0,63874.05040349463
11410615.0,41291.2141061828
11410620.0,27732.95292782258
11410640.0,17699.936629973115
11410655.0,8688.986617741935
11410660.0,15071.48488763441
11410685.0,24577.1102875
11410690.0,16561.363561424732
11410700.0,20144.536987903226
11410710.0,14468.424149596773
11410720.0,36915.25102338709
11440555.0,25438.569366532258
11440565.0,39867.62642231183
11440585.0,23932.642988172043
11440590.0,26322.858567741936
11440600.0,22529.567022311825
11440610.0,13568.770463037636
11440630.0,20508.194206182794
11440655.0,28429.132431854836
11440660.0,81475.41312768817
11440680.0,24206.535544623657
11440690.0,20165.672847715054
11440700.0,19357.401091935484
11440710.0,23068.658841263437
11440720.0,20721.4998327957
11440730.0,40093.27643373656
11440740.0,47092.68653024193
11470510.0,49373.95105080645
11470520.0,26748.405180645164
11470530.0,20875.108238844085
11470540.0,16651.163811021506
11470550.0,43450.145564247316
11470560.0,16531.73573575269
11470570.0,16031.210600268816
11470580.0,14123.015953360216
11470590.0,13963.420914919354
11470600.0,11857.272015860213
11470610.0,6329.920873387097
11470611.0,19812.341913172044
11470620.0,16153.821244623658
11470630.0,15282.12030403226
11470640.0,38792.67047419355
11470650.0,35750.49746075268
11470670.0,19337.232159139785
11470680.0,24839.022843279567
11500510.0,32425.673456720433
11500520.0,20756.953397446236
11500530.0,16586.778480510755
11500535.0,32548.156722580643
11500540.0,49548.06194005376
11500550.0,15511.641160215057
11500560.0,17455.680106989246
11500570.0,19092.82849811828
11500590.0,30228.418100672043
11500591.0,24975.38526948925
11500593.0,30747.62859704301
11500603.0,37813.54552553764
11500604.0,14559.34874986559
11500605.0,14276.47787876344
11500611.0,34677.74402607527
11500615.0,37424.4528047043
11500620.0,39883.402608602155
11500630.0,37386.48648924731
11500640.0,34553.02167822581
11500641.0,20283.986997715056
11530510.0,35401.05122634408
11530520.0,16503.640201344086
11530530.0,38333.631234139786
11530540.0,47110.4423952957
11530550.0,18170.3383280914
11530560.0,36350.954174059145
11530595.0,9428.140417338709
11530720.0,26984.46005873656
11530730.0,20042.301051344086
11530740.0,27830.490781317203
11530750.0,27389.134030376346
11530760.0,18202.679363978492
11530770.0,16163.209629569894
11530780.0,44068.78149032258
11530790.0,24325.846463440856
11545510.0,60615.435152419355
11545610.0,32244.91723978495
11545620.0,15288.145915725807
11545630.0,21205.948869892472
11545640.0,12620.760126478493
11545670.0,32221.610967069893
11545680.0,15362.549274193549
11545690.0,12084.105880510753
11545700.0,13305.469891801076
11545710.0,13376.1511452957
11560515.0,23973.103364784947
11560535.0,53586.770023521494
11560540.0,94202.544109543
11560550.0,26688.068609677415
11560560.0,41661.171577016125
11560585.0,17732.67902594086
11560605.0,41731.12216465054
11560610.0,19857.616082392473
11560620.0,27613.706356048388
11560630.0,18509.21783870968
11560650.0,15023.736458064517
11560660.0,7203.237381182795
11560670.0,7542.33638373656
11560680.0,19622.920805376343
11560690.0,14652.80454596774
11560700.0,13556.96800752688
11560710.0,15473.376380241936
11560720.0,28017.42672916667
11590510.0,49619.28846975807
11590520.0,19876.528541666667
11590530.0,48830.41806518817
11590540.0,24335.64698575269
11590550.0,19304.744742473118
11590560.0,23618.121238575266
11590605.0,34871.25950604839
11590620.0,28449.85488548387
11590630.0,35240.32674193548
11590640.0,20284.69957298387
11590650.0,13545.998089784947
11590651.0,9233.78628158602
11590660.0,39101.20549516129
11590670.0,17802.759647177416
11590680.0,28169.519960080645
11620525.0,21810.25040927419
11620545.0,9691.955356048387
11620565.0,28320.933568951612
11620575.0,28742.97495739247
11620585.0,26886.170302150542
11620595.0,36004.91822903226
11620605.0,29329.775114381715
11620615.0,16026.006654301078
11620625.0,23516.7176327957
11620630.0,25745.588287500002
11620645.0,27139.55056532258
11620655.0,15908.483547446238
11620665.0,19654.632796370966
11620685.0,23190.5774952957
11620695.0,31840.805971505375
11620715.0,11782.849100268817
11620725.0,29211.13517298387
11620735.0,37390.41949247311
11620745.0,22756.778220564516
11620765.0,23951.44645873656
11620775.0,19974.326817876343
11650510.0,35731.37075362903
11650520.0,45905.699292741934
11650530.0,68320.59240349462
11650531.0,47421.08121760753
11650540.0,40432.46189583333
11650550.0,10338.08324798387
11650560.0,36373.114179435484
11650570.0,19411.14489717742
11650580.0,20541.892325672045
11650581.0,47137.7154952957
11650590.0,26016.21420201613
11650600.0,20671.14134905914
11650610.0,26760.73347701613
11650620.0,23302.93395080645
11650621.0,27165.411550403227
11650651.0,52702.681021774195
11650652.0,40624.298549327956
11650660.0,24833.0680452957
11680510.0,39759.796876612905
11680521.0,47478.46954462366
11680531.0,44809.988104704295
11680545.0,48277.15995577957
11680565.0,45898.93175698925
11680580.0,47733.21518965053
11680590.0,42974.747132661294
11680600.0,27614.58550349463
11680610.0,59650.68577486559
11680630.0,36889.52569287634
11680640.0,118488.35676666665
11680650.0,50619.032747311816
11680655.0,28519.814696505375
11680656.0,31197.15941814516
11680660.0,6811.197956451613
11680670.0,15020.31365456989
11680690.0,18559.975868682795
11680700.0,43759.890674596776
11680720.0,25040.7175827957
11680730.0,19364.44690658602
11680740.0,15641.733761962363
11680750.0,25696.48239126344
11710510.0,18428.98310188172
11710520.0,39997.070033870965
11710531.0,13092.459640053765
11710532.0,13787.253156854842
11710540.0,12611.308882392472
11710550.0,16296.222924865591
11710561.0,18130.76830389785
11710562.0,36141.91645040322
11710566.0,22010.255505913978
11710570.0,38242.47443064516
11710580.0,29230.345163978494
11710590.0,18067.269038978495
11710600.0,29855.701966129032
11710610.0,32027.85993817204
11710620.0,37797.85240698925
11710631.0,18153.196808870965
11710632.0,30384.662912096774
11710641.0,23604.0806391129
11710642.0,47736.4936014785
11710646.0,33814.32421868279
11710647.0,35071.45221276882
11710650.0,37231.44090551075
11710670.0,35148.20391545699
11710680.0,53576.28550658601
11710690.0,26198.387903494626
11710710.0,47359.1008719086
11710720.0,10474.265256317205
11740515.0,35285.94498387097
11740520.0,17261.847558736557
11740530.0,25469.519682392478
11740540.0,18982.759203360216
11740550.0,15435.963923521505
11740560.0,9564.033164650536
11740570.0,36947.847641801076
11740580.0,17425.88392311828
11740590.0,15508.235314919355
11740600.0,42981.63821975807
11740610.0,46623.578871774196
11740620.0,31644.36901935484
11740640.0,26726.05003669354
11740650.0,29816.856489650534
11740660.0,29893.394886962367
11740685.0,55929.79219569893
11740690.0,6661.37541142473
11740700.0,30053.355362365593
