CD,총생활인구수
11110515.0,16188.773370684523
11110530.0,35794.96996473214
11110540.0,7381.516749851191
11110550.0,12517.351555803572
11110560.0,20272.74467678571
11110570.0,8024.296848958334
11110580.0,8800.789649553572
11110600.0,7735.367591666667
11110615.0,78616.31437172618
11110630.0,20006.178123363094
11110640.0,27366.8540889881
11110650.0,28722.787471875
11110670.0,12434.833588839285
11110680.0,9922.071107291666
11110690.0,4542.6083761904765
11110700.0,7593.530493750001
11110710.0,14905.417561309523
11140520.0,35320.80341681548
11140540.0,28719.90051592262
11140550.0,44217.717361160714
11140570.0,15769.54593392857
11140580.0,12610.424882738098
11140590.0,22533.966544494047
11140605.0,18528.24486785714
11140615.0,23537.072299107145
11140625.0,16259.991427678571
11140635.0,16063.02750952381
11140645.0,11783.264530357143
11140650.0,12973.117213541667
11140665.0,9372.881878273809
11140670.0,13147.160951785716
11140680.0,7175.798157291667
11170510.0,14453.077389434524
11170520.0,11755.341504910713
11170530.0,20230.23585193452
11170555.0,24540.768284375
11170560.0,18304.659022619046
11170570.0,12467.143168303572
11170580.0,9743.15491517857
11170590.0,11417.967659077382
11170625.0,48336.078592113096
11170630.0,26804.89186875
11170640.0,8690.029252083335
11170650.0,16746.347494791666
11170660.0,11106.135324702382
11170685.0,32197.12909345238
11170690.0,18536.977727380952
11170700.0,11536.358620982142
11200520.0,10737.594658630953
11200535.0,24212.83758080357
11200540.0,27960.163155803566
11200550.0,22028.182099999998
11200560.0,25538.92290848214
11200570.0,18857.69936369048
11200580.0,13614.06535282738
11200590.0,13774.459447916666
11200615.0,23586.70667127976
11200620.0,10110.850179315476
11200645.0,31763.314678273808
11200650.0,17557.220951636904
11200660.0,22987.715267708336
11200670.0,23064.677276488095
11200690.0,24790.590854613092
11200720.0,11128.877530208334
11200790.0,21422.626161904762
11215710.0,41182.74563675595
11215730.0,16812.299831547618
11215740.0,18060.23708794643
11215750.0,19124.848047321426
11215760.0,16634.094176339284
11215770.0,30667.24934702381
11215780.0,15913.976433184525
11215810.0,40682.338072023806
11215820.0,26637.9169733631
11215830.0,26176.685532142852
11215840.0,23550.868870238093
11215847.0,29434.71157247024
11215850.0,23186.0281875
11215860.0,22063.95465625
11215870.0,33565.08592886905
11230536.0,44923.57289300595
11230545.0,34720.111485416666
11230560.0,38370.8877141369
11230570.0,17632.844189434523
11230600.0,22435.077873958333
11230610.0,22825.778364880953
11230650.0,32325.30917380952
11230660.0,32978.47484002976
11230705.0,20690.9271125
11230710.0,19461.53126309524
11230720.0,17161.842229315476
11230730.0,21570.16741160714
11230740.0,27590.641429166666
11230750.0,18608.28036919643
11260520.0,22648.811766666666
11260540.0,17795.019232738094
11260550.0,13502.205461904761
11260565.0,34066.73958363096
11260570.0,19119.955069494044
11260575.0,23471.884454613093
11260580.0,24748.86245654762
11260590.0,28712.406257738094
11260600.0,13568.898532589288
11260610.0,25349.746596130954
11260620.0,29461.421133779764
11260630.0,21000.158243154765
11260655.0,34097.78568497024
11260660.0,12845.651269791668
11260680.0,31701.496927678574
11260690.0,19956.897663244046
11290525.0,19541.290709375
11290555.0,32191.895973363098
11290575.0,24682.674290327384
11290580.0,17326.116513244047
11290590.0,11221.406417410713
11290600.0,25050.477164583335
11290610.0,20763.93864955357
11290620.0,17783.109251190475
11290630.0,22415.352338839286
11290640.0,14859.959792261907
11290650.0,21982.749105059524
11290660.0,31518.976192410715
11290685.0,14406.600443303569
11290705.0,38979.820433333334
11290715.0,20796.541995535714
11290725.0,28766.28707514881
11290760.0,17740.900453720235
11290770.0,17111.413629017858
11290780.0,9757.380604166667
11290810.0,29750.317521874997
11305534.0,26210.438593898813
11305535.0,24343.853557440474
11305545.0,35222.78814717262
11305555.0,29330.745575446424
11305575.0,23770.496279017858
11305590.0,21840.73772470238
11305600.0,12170.357866666667
11305606.0,17159.771918303573
11305610.0,19674.30803229167
11305620.0,22156.665215327383
11305630.0,29972.00637157738
11305645.0,18542.13606473214
11305660.0,29706.08641904762
11320511.0,27476.006973809523
11320512.0,24337.117538541665
11320513.0,13636.063504017857
11320514.0,32570.847335863094
11320515.0,24444.968523363095
11320521.0,20027.497076636904
11320522.0,21117.19392738095
11320660.0,19263.635953720237
11320670.0,20122.880979761903
11320680.0,15677.41381011905
11320681.0,15386.612286607142
11320690.0,32275.516289880954
11320700.0,13591.606151339287
11320710.0,22735.850082142857
11350560.0,24343.668171577378
11350570.0,21171.89706220238
11350580.0,28106.63660669643
11350595.0,43103.43045386905
11350600.0,46303.524059523814
11350611.0,28961.53147633928
11350612.0,18567.803288392857
11350619.0,20970.776723214283
11350621.0,22343.713970238095
11350624.0,22078.248532440473
11350625.0,36366.44041339286
11350630.0,37933.96326785714
11350640.0,35421.35449568453
11350665.0,23139.436949553572
11350670.0,24231.06803735119
11350695.0,38877.406209374996
11350700.0,19200.595119494046
11350710.0,20017.407220535715
11350720.0,23941.11010550595
11380510.0,32478.766417410712
11380520.0,37679.71207366071
11380530.0,23027.377395982145
11380551.0,27331.359153273814
11380552.0,25306.306554017854
11380560.0,29622.037787648806
11380570.0,37377.81252857143
11380580.0,23001.816541815475
11380590.0,17308.91752752976
11380600.0,26476.649536904762
11380625.0,46175.721811755946
11380631.0,25877.592798214282
11380632.0,17923.56373065476
11380640.0,13070.566192857143
11380650.0,12885.234563541666
11380690.0,59677.11842767858
11410520.0,17412.50066532738
11410555.0,22608.018709077383
11410565.0,34025.635742113096
11410585.0,66187.05967604167
