瘤开,0~9技,10~19技,20~29技,30~39技,40~49技,50~59技,60~69技,70~79技,80~89技,90~99技
辆肺备,9086,13394,28272,22811,25576,27022,18602,12578,5080,920
吝备,8210,8481,21156,22364,20815,22797,16510,10154,4067,702
侩魂备,16486,18622,35102,42623,41085,38125,26902,17082,7551,1339
己悼备,23700,23932,49540,54687,51194,50685,33752,20078,7298,975
堡柳备,24198,30542,66086,62962,59112,59588,38513,21023,7263,1048
悼措巩备,23493,28328,63190,54565,56010,57093,43274,27286,9655,1376
吝尔备,27384,31583,59037,63935,64018,73167,51598,28631,9460,1316
己合备,32885,41676,70369,65156,76185,69231,50331,32258,11756,1655
碍合备,19782,26236,45182,45316,52680,55231,42576,28390,9230,1215
档豪备,22979,30694,47166,46759,55021,60045,44341,25910,9645,1397
畴盔备,39696,62573,78398,73725,96722,89995,61019,34730,14060,2019
篮乞备,34420,44037,66440,73297,82585,78522,57989,36785,12810,1782
辑措巩备,21687,26972,54771,47422,51325,50420,35535,24200,9320,1373
付器备,28490,31755,63553,69449,65607,54749,36785,24033,9494,1297
剧玫备,35999,55959,63156,64643,85223,79036,50933,25135,9369,1417
碍辑备,48407,50759,88807,109409,96999,93296,69489,35029,12599,1982
备肺备,34397,33831,58183,73275,73205,75536,53077,28335,9145,1166
陛玫备,16235,17816,36406,39551,40714,48826,30711,16515,5103,723
康殿器备,29137,27818,57864,72586,65467,69657,45526,25496,9408,1304
悼累备,28928,31395,68829,68085,63709,61777,45540,27559,9779,1417
包厩备,29295,33968,106341,95516,77292,75932,56985,34540,10386,1418
辑檬备,38795,47642,58922,71713,82212,63517,45665,25245,8481,1611
碍巢备,40487,61361,78880,90873,101432,80184,56324,30023,10132,1946
价颇备,54866,64330,96170,116419,112695,104890,74671,34717,12059,2109
碍悼备,33140,40160,59873,69741,71230,73336,53574,25571,8734,1484
