자치구,행정동,1인세대,2인세대,3인세대,4인세대,5인세대
강북구,수유2동,3204,2389,1892,1525,386
강북구,수유3동,6199,2549,1845,1249,304
강북구,삼양동,4783,2851,2324,1842,495
강북구,미아동,5285,2401,1710,1301,332
강북구,송중동,5377,2821,2290,1916,520
강북구,송천동,6049,3052,2253,1815,456
강북구,삼각산동,2524,2387,2753,3319,731
강북구,우이동,3407,2276,1856,1392,375
강북구,인수동,5247,3459,2738,2091,569
도봉구,계,41897,32200,29175,26049,6321
도봉구,쌍문1동,2929,2191,1895,1547,416
도봉구,쌍문2동,2853,2121,1792,1366,328
도봉구,쌍문3동,2895,1798,1426,1142,285
도봉구,쌍문4동,1502,1476,1733,1944,434
도봉구,방학1동,4353,2899,2452,2167,608
도봉구,방학2동,3548,2317,1843,1411,342
도봉구,방학3동,1717,2211,2621,2735,677
도봉구,창1동,3368,2470,2347,2156,442
도봉구,창2동,3514,2955,2741,2369,577
도봉구,창3동,2439,1622,1259,1005,252
도봉구,창4동,2615,2206,2349,2642,583
도봉구,창5동,2454,2234,2362,2182,511
도봉구,도봉1동,3917,2679,1830,1354,383
도봉구,도봉2동,3793,3021,2525,2029,483
노원구,계,66145,47105,45114,46634,10089
노원구,월계1동,4264,2126,1766,1742,454
노원구,월계2동,3636,2895,2217,1922,468
노원구,월계3동,3466,3409,2963,2470,524
노원구,공릉2동,5087,2972,3223,3781,782
노원구,하계1동,4620,2292,2228,2551,531
노원구,하계2동,1545,1722,2048,2391,546
노원구,중계본동,2127,1367,1947,2916,702
노원구,중계1동,1391,1275,2253,3454,631
노원구,중계4동,2338,1931,1702,1940,414
노원구,상계1동,4242,3499,3366,3431,875
노원구,상계2동,3003,1675,1643,1891,412
노원구,상계5동,3812,2622,2202,1937,448
노원구,상계8동,2107,2176,2365,2191,412
노원구,상계9동,1965,2050,2040,2016,363
노원구,상계10동,1679,1622,1634,1420,225
노원구,상계3.4동,4541,2793,2074,1817,498
노원구,상계6.7동,4021,3133,3136,3055,565
노원구,중계2.3동,4599,3880,3267,2977,633
노원구,공릉1동,7702,3666,3040,2732,606
은평구,계,71730,45944,39547,34658,8907
은평구,녹번동,5957,3332,2656,2140,513
은평구,불광1동,6079,4123,3680,2885,692
은평구,갈현1동,4263,2622,2082,1607,423
은평구,갈현2동,3971,2893,2677,2227,558
은평구,구산동,3606,2990,2764,2512,636
은평구,대조동,7258,3435,2477,1935,466
은평구,응암1동,4411,2425,1993,1784,451
은평구,응암2동,2432,1866,1871,1698,387
은평구,신사1동,3432,2662,2432,2085,499
은평구,신사2동,2937,2108,1835,1651,409
은평구,증산동,2381,1646,1294,1203,318
은평구,수색동,1895,1260,973,851,212
은평구,진관동,5079,3786,4051,5094,1594
은평구,불광2동,5506,3267,2424,1824,466
은평구,응암3동,5511,2799,2060,1549,391
은평구,역촌동,7012,4730,4278,3613,892
서대문구,계,55942,28682,24323,21739,5301
서대문구,천연동,3331,1680,1548,1399,308
서대문구,홍제1동,3136,2246,1886,1672,405
서대문구,홍제3동,2582,1636,1365,1156,289
서대문구,홍제2동,1632,1419,1271,1169,263
서대문구,홍은1동,3225,2156,1953,1829,472
서대문구,홍은2동,4687,2800,2326,2051,487
서대문구,남가좌1동,1426,1162,1491,1489,387
서대문구,남가좌2동,4202,2185,1719,1516,386
서대문구,북가좌1동,1489,1597,1704,1707,400
서대문구,북가좌2동,5257,3453,2850,2428,566
서대문구,충현동,4313,1677,1258,1146,298
서대문구,북아현동,2790,1683,1483,1295,239
서대문구,신촌동,8497,1480,849,669,170
서대문구,연희동,9375,3508,2620,2213,631
마포구,계,73510,35075,28694,25680,6052
마포구,용강동,3079,1926,1898,1716,375
마포구,대흥동,4664,1187,657,521,118
마포구,염리동,2349,1026,754,623,171
마포구,신수동,3487,1851,1760,1607,347
마포구,서교동,8332,2452,1515,1198,304
마포구,합정동,4836,2131,1303,1026,232
마포구,망원1동,4769,2280,1501,1287,348
마포구,망원2동,2799,1873,1531,1535,342
마포구,연남동,4704,1834,1109,834,213
마포구,성산1동,4030,1989,1566,1253,344
마포구,성산2동,6940,3682,3242,3082,724
마포구,상암동,3888,2395,2518,2807,818
마포구,도화동,3524,2042,1823,1689,399
마포구,서강동,5036,2208,1968,1800,398
마포구,공덕동,7859,3929,3199,2701,546
마포구,아현동,3214,2270,2350,2001,373
양천구,계,47672,36099,38459,41850,9527
양천구,목1동,1582,1674,2791,3582,697
양천구,목2동,4160,2767,2622,2495,616
양천구,목3동,3263,2110,1902,1591,341
양천구,목4동,2715,1862,2070,2629,610
양천구,신월1동,4129,2295,1821,1422,352
양천구,신월2동,2342,1986,1947,1722,519
양천구,신월3동,3811,1796,1284,963,282
양천구,신월4동,1404,1576,1671,1661,462
양천구,신월5동,2030,1419,1331,1200,297
양천구,신월6동,695,566,554,586,154
양천구,신월7동,2803,2449,2037,1621,330
양천구,신정1동,1399,1210,1640,2359,520
양천구,신정2동,1546,1230,1509,2284,525
양천구,신정3동,4228,3882,3986,4403,1205
양천구,신정6동,983,1362,2232,2927,524
양천구,신정7동,2697,2413,2595,2834,552
양천구,목5동,1612,1987,3550,5233,941
양천구,신정4동,6273,3515,2917,2338,600
강서구,계,94180,56202,48806,43863,10574
강서구,염창동,3033,2729,3573,4134,834
강서구,등촌1동,5893,2088,1702,1526,303
강서구,등촌2동,2339,1961,1887,1796,403
강서구,등촌3동,5153,3849,2856,2270,481
강서구,화곡본동,6224,3618,2980,2349,576
강서구,화곡2동,2679,1965,1710,1385,406
강서구,화곡3동,2908,2045,1922,1641,442
강서구,화곡4동,3493,2371,1974,1503,363
강서구,화곡6동,4358,2303,1987,1729,421
강서구,화곡8동,4115,2920,2241,1770,407
강서구,가양1동,10749,2485,2069,2004,474
강서구,가양2동,3752,2167,1248,727,176
강서구,가양3동,2846,2368,1466,801,182
강서구,발산1동,2436,2833,3156,3772,957
강서구,공항동,5217,2602,2205,1887,484
강서구,방화1동,4590,3667,3640,4000,1113
강서구,방화2동,5134,2527,1818,1407,417
강서구,방화3동,4337,2772,2118,1522,390
강서구,화곡1동,11175,5827,4448,3040,782
강서구,우장산동,3749,3105,3806,4600,963
구로구,계,61659,37733,32818,30040,7357
구로구,신도림동,2755,2820,3325,3447,738
구로구,구로1동,1666,1710,1876,2083,396
구로구,구로3동,7805,2185,1694,1427,341
구로구,구로4동,4831,2523,1733,1225,284
구로구,구로5동,6490,2808,2340,1997,460
구로구,고척1동,2760,2092,2025,2031,438
구로구,고척2동,3593,2600,2437,2333,553
구로구,개봉2동,3159,3093,2949,2643,657
구로구,개봉3동,2464,2132,1973,1624,391
구로구,오류1동,4707,2286,1648,1298,357
구로구,오류2동,4345,3858,3389,3637,1059
구로구,수궁동,2603,2392,2181,1946,536
구로구,가리봉동,3796,1048,559,368,113
구로구,구로2동,6030,2901,1949,1502,384
구로구,개봉1동,4655,3285,2740,2479,650
금천구,계,45252,22512,18047,15441,3836
금천구,가산동,8664,1686,1141,824,200
금천구,독산1동,8068,3286,2707,2461,620
금천구,독산2동,3888,2134,1663,1318,294
금천구,독산3동,5392,2701,2003,1578,383
금천구,독산4동,3215,1700,1348,1048,272
금천구,시흥1동,5966,3404,2776,2409,589
금천구,시흥2동,1939,2015,1895,2007,504
금천구,시흥3동,1389,1208,1010,838,226
금천구,시흥4동,3018,2166,1844,1616,409
금천구,시흥5동,3713,2212,1660,1342,339
영등포구,계,74245,33751,28410,25130,5927
영등포구,여의동,3352,2800,2978,2782,589
영등포구,당산1동,4962,2044,1560,1213,299
영등포구,당산2동,8178,2846,2650,2504,557
영등포구,양평1동,3832,1811,1393,1039,234
영등포구,양평2동,3829,1984,1790,1740,393
영등포구,신길1동,5439,1782,1161,868,222
영등포구,신길3동,2740,1446,1284,1175,309
영등포구,신길4동,1838,962,752,606,167
영등포구,신길5동,1931,1019,802,633,176
영등포구,신길6동,3322,1776,1465,1244,337
영등포구,신길7동,1914,1286,1330,1572,359
영등포구,대림1동,2899,1388,1027,813,205
영등포구,대림2동,3167,1523,918,664,178
영등포구,대림3동,3874,2396,1998,1815,414
영등포구,영등포본동,4272,2003,1804,1584,388
영등포구,영등포동,10924,2025,1257,1062,236
영등포구,도림동,4311,2050,1455,1108,283
영등포구,문래동,3461,2610,2786,2708,581
동작구,계,70744,35811,30873,28177,6752
동작구,노량진2동,3890,1422,971,665,154
동작구,상도1동,9107,3843,3677,3340,760
동작구,상도2동,4655,2416,2104,2020,465
동작구,상도3동,4585,2553,2103,1655,431
동작구,상도4동,4766,2963,2469,2096,508
동작구,사당1동,6671,2514,1657,1210,249
동작구,사당3동,3334,2292,2111,2005,480
동작구,사당4동,2776,1509,1159,988,241
동작구,사당5동,2171,1188,1085,955,215
동작구,대방동,6368,3146,2892,3352,760
동작구,신대방1동,3449,1939,1819,2063,497
동작구,신대방2동,3721,1650,1534,1523,421
동작구,흑석동,5127,2583,2372,2148,516
동작구,노량진1동,6149,3016,2525,2177,564
동작구,사당2동,3975,2777,2395,1980,491
관악구,계,138902,48098,34454,28885,7057
관악구,보라매동,5178,2598,1949,1604,387
관악구,청림동,1947,1548,1472,1276,262
관악구,행운동,9856,2863,1887,1508,363
관악구,낙성대동,7147,1496,912,733,189
관악구,중앙동,5486,1527,883,700,183
관악구,인헌동,7209,2635,1915,1592,378
관악구,남현동,4355,1851,1395,1134,287
관악구,서원동,7870,2389,1470,1016,282
관악구,신원동,5558,2138,1258,927,195
관악구,서림동,8972,2155,1486,1117,313
관악구,신사동,7384,2290,1554,1132,276
관악구,신림동,12308,1972,719,431,92
관악구,난향동,1809,1453,1381,1371,319
관악구,조원동,6023,1784,1080,890,194
관악구,대학동,11348,1765,1186,939,239
관악구,은천동,5990,3396,2723,2538,569
관악구,성현동,3791,2998,2665,2694,672
관악구,청룡동,12209,2452,1403,1205,317
관악구,난곡동,4813,3028,2419,1944,456
관악구,삼성동,4447,2668,2052,1753,484
관악구,미성동,5202,3092,2645,2381,600
서초구,계,56709,34368,34542,36849,8910
서초구,서초1동,3678,1708,1569,1567,418
서초구,서초2동,3243,1399,1343,1361,295
서초구,서초3동,4975,2493,2275,2182,601
서초구,서초4동,2135,1859,2528,3362,631
서초구,잠원동,4573,2616,2934,3047,572
서초구,반포본동,731,814,984,1348,276
서초구,반포1동,6080,1933,1952,2184,544
서초구,반포2동,1159,1394,1911,2468,625
서초구,반포3동,1291,1260,1666,1939,374
서초구,반포4동,1846,1508,1730,1716,406
서초구,방배본동,2067,1468,1686,1947,482
서초구,방배1동,2791,1694,1392,1230,274
서초구,방배2동,3728,2484,2102,1933,471
서초구,방배3동,2307,1798,1824,1883,443
서초구,방배4동,3402,2064,1948,2111,517
서초구,양재1동,5826,3891,3452,3622,1166
서초구,양재2동,4927,2277,1672,1527,432
서초구,내곡동,1950,1708,1574,1422,383
강남구,계,87621,42154,41293,44619,10280
강남구,신사동,2926,1554,1302,1311,319
강남구,논현1동,9104,2400,1326,895,264
강남구,논현2동,5824,2121,1616,1249,312
강남구,삼성1동,1890,1166,1149,1218,295
강남구,삼성2동,5544,2189,2261,2338,520
강남구,대치1동,566,904,1923,3169,670
강남구,대치4동,5144,1658,1392,1489,327
강남구,역삼1동,15817,3369,1797,1231,335
강남구,역삼2동,5802,2250,2777,3227,622
강남구,도곡1동,2478,1509,1810,2118,467
강남구,도곡2동,2284,2278,2959,3553,718
강남구,개포1동,1631,1156,997,1107,266
강남구,개포4동,2953,1483,1440,1477,384
강남구,일원본동,1528,1441,2003,2686,519
강남구,일원1동,2996,1727,1365,1101,308
강남구,일원2동,1972,1543,1363,1294,259
강남구,수서동,3084,2301,1377,820,191
강남구,세곡동,5245,3524,3252,3546,1209
강남구,압구정동,2935,2288,2434,2341,538
