이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
금호4가동,11200620,145070,1538,1030,1711,2987,2755,2274,1633,1034,351,2162,1545,1406,1053,8,1,15038580
옥수동,11200645,179800,2839,1864,3350,5674,4548,4007,2844,1635,670,3099,2741,2533,1975,17,1,81480033
성수1가1동,11200650,94385,1223,1422,2714,3120,2914,3190,1792,920,350,3032,1615,1342,1298,21,0,74661891
성수1가2동,11200660,120022,1076,1139,2639,3028,2579,2592,1714,948,319,3213,1507,1215,1045,29,2,51548788
성수2가1동,11200670,98796,1059,1236,2683,2939,2928,3655,2387,1216,414,4029,1739,1344,1148,26,0,68713476
성수2가3동,11200690,110844,726,683,2077,2236,1710,2049,1445,785,280,2787,1079,821,722,53,1,67476364
송정동,11200720,95767,694,761,1825,1952,1870,2294,1437,731,264,2601,1115,834,693,6,0,67001447
용답동,11200790,105001,729,1076,2684,2473,2750,3184,1982,1227,413,4383,1527,1017,898,18,3,50984445
화양동,11215710,147351,597,1041,10291,4612,2417,2315,1712,1032,350,11579,1904,838,646,63,1,1.01E+08
군자동,11215730,107359,1205,1338,5278,3987,2988,3179,2151,1327,417,5484,1975,1400,1146,28,0,42107278
중곡1동,11215740,92260,969,953,2644,3276,2452,2750,1900,1128,290,3524,1795,1258,908,15,0,79262380
중곡2동,11215750,87060,1495,1687,3855,4162,3401,3904,2493,1349,403,4215,2234,1828,1521,26,0,35192447
중곡3동,11215760,91166,990,1260,2787,3090,2755,3279,2105,1210,359,3709,1904,1397,1050,20,1,48675931
중곡4동,11215770,89814,1960,2575,4737,4928,5009,5665,3803,2070,620,4682,2931,2622,2231,25,0,39592054
능동,11215780,123130,729,634,2343,2883,1649,1497,1146,704,227,3294,1257,777,559,20,3,41527628
광장동,11215810,108525,3632,5866,4276,4302,8177,5239,2644,1468,709,2105,1783,2958,4136,28,1,67761771
자양1동,11215820,99587,1325,1812,4397,4438,3928,4103,2633,1433,473,5344,2401,1681,1466,27,0,72560926
자양2동,11215830,101332,2086,2302,4052,4743,4495,4621,3193,1575,511,3818,2452,2300,2058,21,1,52464265
자양3동,11215840,121776,2771,3017,4232,4831,5094,4869,3133,1501,722,2730,2315,2509,2720,28,1,1.14E+08
자양4동,11215847,103327,1160,1219,4094,3854,3757,5236,3177,1599,531,5228,2065,1432,1107,33,0,76593672
구의1동,11215850,110851,1193,1555,4630,4647,3629,3639,2250,1387,458,5853,2352,1663,1245,28,0,56779022
구의2동,11215860,98962,1890,2408,3550,4105,4311,4272,3108,1652,568,3752,2333,2102,1870,16,0,58195247
구의3동,11215870,126248,2196,2875,4920,5104,5050,5020,3065,1588,625,3923,2454,2510,2540,31,1,73109885
용신동,11230536,120833,1667,1755,5576,5427,4757,5363,3805,2595,951,9148,2990,1962,1604,61,2,62042207
제기동,11230545,124386,1342,1764,5650,3855,3627,4183,3681,2480,946,6522,2510,1740,1412,27,1,68994146
전농1동,11230560,127935,1935,2246,4458,4314,4506,5041,3785,2492,842,6623,2736,2209,1850,30,0,57522388
전농2동,11230570,133717,1518,2022,2688,2672,3462,3330,2416,1551,613,2028,1767,1736,1540,15,0,74310994
답십리1동,11230600,122658,2452,1996,3726,4852,4310,4037,2691,1654,596,4238,2189,2113,1879,32,0,58958345
답십리2동,11230610,94022,1981,2430,3916,4125,4788,5109,3756,2326,839,3963,2787,2383,2169,16,0,60871899
장안1동,11230650,105897,2913,2956,5368,6951,6592,6327,4862,2540,757,6830,3604,3097,2655,54,0,66197618
장안2동,11230660,95242,2844,2920,3643,4995,5688,4735,3703,1966,595,4148,2601,2627,2425,34,0,67883641
청량리동,11230705,123481,1105,1454,2866,2914,3220,4216,3557,2419,913,4789,2298,1634,1306,17,1,56329957
회기동,11230710,172855,592,1040,4628,1765,1429,1240,930,719,266,3680,860,609,538,25,0,61175789
휘경1동,11230720,128554,608,945,3908,2115,1937,2062,1553,1029,386,3793,1225,861,718,17,1,64325948
휘경2동,11230730,116193,1626,2404,5138,3433,3864,3617,2780,1622,558,4893,2018,1845,1774,16,0,87485639
이문1동,11230740,124405,1318,2263,8442,4086,4132,4221,3101,2212,823,7985,2541,1805,1480,36,1,92601967
이문2동,11230750,68702,1592,2133,3183,3061,3698,3612,2654,1681,570,2755,1927,1709,1732,14,1,55881939
면목2동,11260520,88047,1706,2035,3656,4069,4325,5043,3281,1860,609,5221,2672,2071,1692,21,0,39050107
면목4동,11260540,74020,1361,1551,3069,3266,3404,3492,2737,1670,401,3945,2115,1687,1348,13,1,57410857
면목5동,11260550,72812,641,768,1403,1597,1636,1920,1288,745,230,1896,1093,814,648,6,0,29137686
면목본동,11260565,88627,2029,2504,5688,6102,5837,6675,4493,2512,765,7971,3857,2853,2133,29,1,73360264
