이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
청운효자동,11110515,160242,882,1227,1675,1776,2238,2036,1390,1032,505,2043,1135,991,915,12,0,32006332
사직동,11110530,200198,608,704,1279,1496,1558,1588,1203,781,460,2373,935,673,536,30,2,44629471
삼청동,11110540,183892,139,237,350,426,428,453,447,299,156,729,252,182,140,8,0,20644838
부암동,11110550,104196,588,941,1526,1366,1693,1733,1287,809,390,1686,972,745,689,12,0,36622411
평창동,11110560,82299,1208,1665,2523,2287,2834,3363,2465,1413,757,2428,1753,1470,1352,14,0,24478622
무악동,11110570,162791,730,1025,949,984,1582,1411,990,652,302,764,717,736,757,4,1,1.59E+08
교남동,11110580,223640,907,872,1307,1840,1877,1628,1138,737,316,1658,1090,918,755,16,0,15189186
가회동,11110600,150658,218,348,498,602,795,724,603,448,170,956,433,348,243,9,0,46916698
종로1.2.3.4가동,11110615,249923,275,295,1096,1208,1244,1583,1469,862,364,4149,523,286,204,117,3,44199419
종로5.6가동,11110630,255336,126,273,1365,761,671,1017,798,540,201,2353,520,285,180,26,2,54752791
이화동,11110640,162176,279,505,2061,1364,1070,1155,924,612,305,2725,805,462,343,19,0,1.50E+08
혜화동,11110650,164646,723,1631,7034,2326,2326,2338,1593,1250,623,5634,1459,1050,875,33,1,30640744
창신1동,11110670,197134,171,275,930,642,761,1363,1051,560,209,1766,571,317,208,7,0,64242900
창신2동,11110680,90776,286,571,1650,1091,1310,2113,1428,836,308,1983,908,622,445,4,0,61860647
창신3동,11110690,98319,412,558,1039,1019,1015,1308,997,550,235,944,689,634,454,3,1,12048044
숭인1동,11110700,100845,329,399,906,925,1023,1216,894,535,223,1397,658,459,355,8,0,63671322
숭인2동,11110710,120870,304,392,2072,1606,1326,1778,1373,761,307,3915,921,519,386,25,1,63447943
소공동,11140520,221939,275,208,267,661,696,448,304,120,49,631,219,160,98,52,1,53499882
회현동,11140540,378616,240,251,564,676,805,1117,1143,598,291,2025,442,302,222,60,2,31178842
명동,11140550,257799,136,192,479,554,569,642,589,349,146,1109,220,141,81,91,2,48529243
필동,11140570,159193,209,222,1303,721,520,649,621,356,177,1480,422,214,157,31,1,39023219
장충동,11140580,114518,217,378,1723,762,670,659,530,380,174,1791,432,240,208,16,1,34236275
광희동,11140590,203825,198,256,1311,1076,801,1081,929,547,210,2003,536,283,186,55,1,46045293
을지로동,11140605,186177,58,45,273,318,212,365,410,203,78,1081,165,62,35,34,2,40839318
신당동,11140615,367247,329,363,1856,1538,1284,1744,1117,664,248,2840,830,439,312,32,1,55381230
다산동,11140625,121953,619,906,2639,2396,2188,2429,1945,1249,494,3193,1661,1028,853,17,1,36943084
약수동,11140635,167356,1192,1037,2092,2546,2569,2935,2624,1648,780,2914,2082,1492,1014,12,2,50351495
