지역,행정동코드,편의점 수
종로구,11110.0,347.0
중구,11140.0,450.0
용산구,11170.0,303.0
성동구,11200.0,318.0
광진구,11215.0,388.0
동대문구,11230.0,386.0
중랑구,11260.0,311.0
성북구,11290.0,356.0
강북구,11305.0,272.0
도봉구,11320.0,232.0
노원구,11350.0,356.0
은평구,11380.0,374.0
서대문구,11410.0,326.0
마포구,11440.0,543.0
양천구,11470.0,318.0
강서구,11500.0,572.0
구로구,11530.0,369.0
금천구,11545.0,303.0
영등포구,11560.0,530.0
동작구,11590.0,341.0
관악구,11620.0,459.0
서초구,11650.0,518.0
강남구,11680.0,951.0
송파구,11710.0,644.0
강동구,11740.0,399.0
