지역,행정동코드,편의점 수
종로구,11110.0,347.0
중구,11140.0,427.0
용산구,11170.0,289.0
성동구,11200.0,311.0
광진구,11215.0,396.0
동대문구,11230.0,379.0
중랑구,11260.0,302.0
성북구,11290.0,357.0
강북구,11305.0,273.0
도봉구,11320.0,220.0
노원구,11350.0,355.0
은평구,11380.0,359.0
서대문구,11410.0,311.0
마포구,11440.0,543.0
양천구,11470.0,316.0
강서구,11500.0,558.0
구로구,11530.0,360.0
금천구,11545.0,280.0
영등포구,11560.0,487.0
동작구,11590.0,340.0
관악구,11620.0,475.0
서초구,11650.0,526.0
강남구,11680.0,976.0
송파구,11710.0,622.0
강동구,11740.0,399.0
