자치구,행정동,1인세대,2인세대,3인세대,4인세대,5인세대
종로구,계,36390,13987,10916,9116,2546
종로구,사직동,2224,885,680,531,168
종로구,삼청동,743,250,182,149,52
종로구,부암동,1630,936,753,696,189
종로구,평창동,2410,1665,1490,1385,422
종로구,무악동,727,681,732,783,183
종로구,교남동,1610,1107,917,745,145
종로구,가회동,913,438,341,247,69
종로구,종로1.2.3.4가동,4189,518,297,211,54
종로구,종로5·6가동,2105,496,295,200,58
종로구,이화동,2712,790,504,368,102
종로구,창신1동,1724,567,340,214,85
종로구,창신2동,1918,870,653,493,154
종로구,창신3동,891,668,635,490,169
종로구,숭인1동,1357,649,486,353,103
종로구,숭인2동,3758,909,566,404,101
종로구,청운효자동,1956,1129,999,953,245
종로구,혜화동,5523,1429,1046,894,247
중구,계,30425,12963,9226,7133,1778
중구,소공동,633,199,152,98,17
중구,회현동,2172,439,289,222,67
중구,명동,945,212,137,83,25
중구,필동,1421,407,236,167,55
중구,장충동,1680,451,242,226,71
중구,광희동,1854,529,284,190,50
중구,을지로동,1057,152,68,38,12
중구,신당5동,2320,989,744,562,133
중구,황학동,3624,1415,906,594,156
중구,중림동,2471,1253,1068,827,163
중구,신당동,2716,809,456,337,75
중구,다산동,3089,1616,1076,890,197
중구,약수동,2815,2014,1524,1064,274
중구,청구동,2470,1533,1176,951,243
중구,동화동,1158,945,868,884,240
용산구,계,51507,22654,16920,13783,3585
용산구,후암동,3989,1738,1391,1037,300
용산구,용산2가동,2784,1229,771,523,137
용산구,남영동,4185,587,314,258,66
용산구,원효로2동,2047,1316,1174,1088,286
용산구,효창동,1402,928,759,689,189
용산구,용문동,1896,1297,1025,868,226
용산구,이촌1동,2239,2239,2619,2421,555
용산구,이촌2동,1315,1049,755,558,139
용산구,이태원1동,2162,728,439,324,89
용산구,이태원2동,2598,1015,660,449,126
용산구,서빙고동,1733,1107,949,1101,341
용산구,보광동,4043,1688,1030,722,189
용산구,청파동,6132,1974,1220,986,266
용산구,원효로1동,3520,1641,1201,943,220
용산구,한강로동,5374,1834,1233,896,194
용산구,한남동,6088,2284,1380,920,262
성동구,계,55571,29586,24935,20648,4622
성동구,왕십리2동,2896,1671,1472,1204,271
성동구,마장동,4779,2300,1774,1527,377
성동구,사근동,5241,948,574,504,132
성동구,행당1동,3036,1535,1342,1098,238
성동구,행당2동,2353,2340,2182,2085,403
성동구,응봉동,1598,1387,1427,1346,322
성동구,금호1가동,2091,1652,1419,1145,250
성동구,금호4가동,2163,1593,1479,986,218
성동구,성수1가1동,3092,1661,1329,1241,254
성동구,성수1가2동,3187,1454,1155,969,221
성동구,성수2가1동,4169,1768,1316,1053,230
성동구,성수2가3동,2902,1049,812,670,176
성동구,송정동,2775,1146,818,631,168
성동구,용답동,4157,1256,823,688,147
성동구,왕십리도선동,4406,2458,2338,2005,423
성동구,금호2.3가동,3543,2571,2128,1622,357
성동구,옥수동,3183,2797,2547,1874,435
광진구,계,72629,33104,27031,24147,5342
광진구,화양동,12427,1992,758,600,110
광진구,군자동,5788,2021,1345,1090,235
광진구,중곡1동,3854,1809,1246,862,193
광진구,중곡2동,4411,2316,1787,1413,319
광진구,중곡3동,3950,1927,1330,978,247
광진구,중곡4동,4887,3054,2592,2033,496
광진구,능동,3445,1295,748,518,153
광진구,구의1동,6178,2387,1595,1178,297
광진구,구의2동,4045,2592,2321,2035,482
광진구,구의3동,4037,2513,2483,2451,541
광진구,광장동,2186,1904,3003,4033,697
광진구,자양1동,5555,2430,1702,1364,316
광진구,자양2동,3926,2498,2224,1996,453
광진구,자양3동,2875,2351,2492,2620,544
광진구,자양4동,5065,2015,1405,976,259
동대문구,계,74224,32907,26139,22265,5513
동대문구,회기동,3860,872,601,490,141
동대문구,휘경1동,3912,1260,899,769,176
동대문구,휘경2동,5355,2106,1784,1683,422
동대문구,청량리동,4957,2307,1597,1221,338
동대문구,용신동,9975,3033,1926,1515,384
동대문구,제기동,6910,2592,1728,1310,366
동대문구,전농1동,7208,2957,2357,1829,445
동대문구,전농2동,2180,1849,1709,1495,390
동대문구,답십리1동,4795,2622,2428,2130,512
동대문구,답십리2동,4299,3054,2493,2200,504
동대문구,장안1동,7206,3727,3117,2541,638
동대문구,장안2동,4446,2809,2678,2385,544
동대문구,이문1동,6397,1817,1160,1069,262
동대문구,이문2동,2724,1902,1662,1628,391
중랑구,계,73677,41039,32438,26181,6343
중랑구,면목2동,5379,2722,2014,1603,398
중랑구,면목4동,3942,2148,1648,1241,283
중랑구,면목5동,1888,1093,811,616,139
중랑구,면목7동,4244,2303,1784,1352,307
중랑구,상봉1동,3029,2313,2225,2081,428
중랑구,상봉2동,6002,2160,1309,879,189
중랑구,중화1동,3173,2192,1796,1392,344
중랑구,중화2동,7290,3200,2080,1404,345
중랑구,묵1동,4638,3281,3051,2736,661
중랑구,묵2동,3852,2081,1670,1210,311
중랑구,망우3동,3681,1981,1467,1045,245
중랑구,신내1동,3394,3279,3176,3504,1083
중랑구,신내2동,2732,2237,2009,1651,343
중랑구,면목본동,8270,3930,2820,2016,439
중랑구,면목3.8동,5529,2895,2139,1560,359
중랑구,망우본동,6634,3224,2439,1891,469
성북구,계,73240,40021,35080,31823,7684
성북구,돈암1동,1789,1541,1364,1244,290
성북구,돈암2동,1562,1759,2223,2283,555
성북구,안암동,5838,1405,898,719,156
성북구,보문동,3764,1566,1284,1059,228
성북구,정릉1동,2181,1615,1633,1509,362
성북구,정릉2동,3007,2291,1996,1799,413
성북구,정릉3동,3969,1501,1086,879,251
성북구,정릉4동,3603,2568,2276,1931,484
성북구,길음1동,2547,2439,3146,3759,754
성북구,길음2동,2301,1399,1361,1260,287
성북구,월곡1동,3127,2427,2265,2244,542
성북구,월곡2동,3929,1857,1524,1347,346
성북구,장위1동,3342,2122,1666,1421,355
